equipment_id,period_month,operating_hours,utilization_pct
EQ-CRUS-0011,2026-07,428.6,59.5
EQ-CRUS-0011,2026-08,438.9,61.0
EQ-CRUS-0012,2024-09,418.4,58.1
EQ-CRUS-0012,2024-10,468.5,65.1
EQ-CRUS-0012,2024-11,433.0,60.1
EQ-CRUS-0012,2024-12,516.7,71.8
EQ-CRUS-0012,2025-01,464.9,64.6
EQ-CRUS-0012,2025-02,449.8,62.5
EQ-CRUS-0012,2025-03,447.0,62.1
EQ-CRUS-0012,2025-04,459.4,63.8
EQ-CRUS-0012,2025-05,494.4,68.7
EQ-CRUS-0012,2025-06,504.7,70.1
EQ-CRUS-0012,2025-07,421.3,58.5
EQ-CRUS-0012,2025-08,413.6,57.4
EQ-CRUS-0012,2025-09,415.0,57.6
EQ-CRUS-0012,2025-10,472.5,65.6
EQ-CRUS-0012,2025-11,450.7,62.6
EQ-CRUS-0012,2025-12,434.1,60.3
EQ-CRUS-0012,2026-01,502.3,69.8
EQ-CRUS-0012,2026-02,516.0,71.7
EQ-CRUS-0012,2026-03,499.5,69.4
EQ-CRUS-0012,2026-04,511.4,71.0
EQ-CRUS-0012,2026-05,425.6,59.1
EQ-CRUS-0012,2026-06,496.0,68.9
EQ-CRUS-0012,2026-07,477.9,66.4
EQ-CRUS-0012,2026-08,495.5,68.8
EQ-MILL-0013,2024-09,558.0,77.5
EQ-MILL-0013,2024-10,472.1,65.6
EQ-MILL-0013,2024-11,544.9,75.7
EQ-MILL-0013,2024-12,470.0,65.3
EQ-MILL-0013,2025-01,480.3,66.7
EQ-MILL-0013,2025-02,457.7,63.6
EQ-MILL-0013,2025-03,500.3,69.5
EQ-MILL-0013,2025-04,491.4,68.3
EQ-MILL-0013,2025-05,498.7,69.3
EQ-MILL-0013,2025-06,461.9,64.2
EQ-MILL-0013,2025-07,535.2,74.3
EQ-MILL-0013,2025-08,490.8,68.2
EQ-MILL-0013,2025-09,480.6,66.7
EQ-MILL-0013,2025-10,520.1,72.2
EQ-MILL-0013,2025-11,481.5,66.9
EQ-MILL-0013,2025-12,493.7,68.6
EQ-MILL-0013,2026-01,470.4,65.3
EQ-MILL-0013,2026-02,512.2,71.1
EQ-MILL-0013,2026-03,493.8,68.6
EQ-MILL-0013,2026-04,518.7,72.0
EQ-MILL-0013,2026-05,465.7,64.7
EQ-MILL-0013,2026-06,516.5,71.7
EQ-MILL-0013,2026-07,472.3,65.6
EQ-MILL-0013,2026-08,508.1,70.6
EQ-MILL-0014,2024-09,431.9,60.0
EQ-MILL-0014,2024-10,367.8,51.1
EQ-MILL-0014,2024-11,432.4,60.1
EQ-MILL-0014,2024-12,404.2,56.1
EQ-MILL-0014,2025-01,415.4,57.7
EQ-MILL-0014,2025-02,409.7,56.9
EQ-MILL-0014,2025-03,374.7,52.0
EQ-MILL-0014,2025-04,411.4,57.1
EQ-MILL-0014,2025-05,456.1,63.3
EQ-MILL-0014,2025-06,422.5,58.7
EQ-MILL-0014,2025-07,355.5,49.4
EQ-MILL-0014,2025-08,385.2,53.5
EQ-MILL-0014,2025-09,414.5,57.6
EQ-MILL-0014,2025-10,427.8,59.4
EQ-MILL-0014,2025-11,402.3,55.9
EQ-MILL-0014,2025-12,352.2,48.9
EQ-MILL-0014,2026-01,373.8,51.9
EQ-MILL-0014,2026-02,455.8,63.3
EQ-MILL-0014,2026-03,355.4,49.4
EQ-MILL-0014,2026-04,366.5,50.9
EQ-MILL-0014,2026-05,422.7,58.7
EQ-MILL-0014,2026-06,444.0,61.7
EQ-MILL-0014,2026-07,408.6,56.7
EQ-MILL-0014,2026-08,408.8,56.8
EQ-MILL-0015,2024-09,435.7,60.5
EQ-MILL-0015,2024-10,508.5,70.6
EQ-MILL-0015,2024-11,488.7,67.9
EQ-MILL-0015,2024-12,437.5,60.8
EQ-MILL-0015,2025-01,462.1,64.2
EQ-MILL-0015,2025-02,457.4,63.5
EQ-MILL-0015,2025-03,447.7,62.2
EQ-MILL-0015,2025-04,474.7,65.9
EQ-MILL-0015,2025-05,503.6,69.9
EQ-MILL-0015,2025-06,469.0,65.1
EQ-MILL-0015,2025-07,420.7,58.4
EQ-MILL-0015,2025-08,446.6,62.0
EQ-MILL-0015,2025-09,491.6,68.3
EQ-MILL-0015,2025-10,435.7,60.5
EQ-MILL-0015,2025-11,504.9,70.1
EQ-MILL-0015,2025-12,427.1,59.3
EQ-MILL-0015,2026-01,450.0,62.5
EQ-MILL-0015,2026-02,468.9,65.1
EQ-MILL-0015,2026-03,502.4,69.8
EQ-MILL-0015,2026-04,456.6,63.4
EQ-MILL-0015,2026-05,481.1,66.8
EQ-MILL-0015,2026-06,426.9,59.3
EQ-MILL-0015,2026-07,491.6,68.3
EQ-MILL-0015,2026-08,409.4,56.9
EQ-MILL-0016,2024-09,524.5,72.8
EQ-MILL-0016,2024-10,598.8,83.2
EQ-MILL-0016,2024-11,518.0,71.9
EQ-MILL-0016,2024-12,611.2,84.9
EQ-MILL-0016,2025-01,556.1,77.2
EQ-MILL-0016,2025-02,540.2,75.0
EQ-MILL-0016,2025-03,556.0,77.2
EQ-MILL-0016,2025-04,606.9,84.3
EQ-MILL-0016,2025-05,527.3,73.2
EQ-MILL-0016,2025-06,565.8,78.6
EQ-MILL-0016,2025-07,531.0,73.8
EQ-MILL-0016,2025-08,615.9,85.5
EQ-MILL-0016,2025-09,621.8,86.4
EQ-MILL-0016,2025-10,564.5,78.4
EQ-MILL-0016,2025-11,624.9,86.8
EQ-MILL-0016,2025-12,519.7,72.2
EQ-MILL-0016,2026-01,609.5,84.7
EQ-MILL-0016,2026-02,604.6,84.0
EQ-MILL-0016,2026-03,607.2,84.3
EQ-MILL-0016,2026-04,545.9,75.8
EQ-MILL-0016,2026-05,558.5,77.6
EQ-MILL-0016,2026-06,520.9,72.3
EQ-MILL-0016,2026-07,546.0,75.8
EQ-MILL-0016,2026-08,514.4,71.4
EQ-MILL-0017,2024-09,426.5,59.2
EQ-MILL-0017,2024-10,501.9,69.7
EQ-MILL-0017,2024-11,459.5,63.8
EQ-MILL-0017,2024-12,409.0,56.8
EQ-MILL-0017,2025-01,440.2,61.1
EQ-MILL-0017,2025-02,419.8,58.3
EQ-MILL-0017,2025-03,508.6,70.6
EQ-MILL-0017,2025-04,502.3,69.8
EQ-MILL-0017,2025-05,463.8,64.4
EQ-MILL-0017,2025-06,458.8,63.7
EQ-MILL-0017,2025-07,483.8,67.2
EQ-MILL-0017,2025-08,417.1,57.9
EQ-MILL-0017,2025-09,472.4,65.6
EQ-MILL-0017,2025-10,478.9,66.5
EQ-MILL-0017,2025-11,468.5,65.1
EQ-MILL-0017,2025-12,515.7,71.6
EQ-MILL-0017,2026-01,419.7,58.3
EQ-MILL-0017,2026-02,500.9,69.6
EQ-MILL-0017,2026-03,419.1,58.2
EQ-MILL-0017,2026-04,483.2,67.1
EQ-MILL-0017,2026-05,421.4,58.5
EQ-MILL-0017,2026-06,438.8,60.9
EQ-MILL-0017,2026-07,474.8,65.9
EQ-MILL-0017,2026-08,516.2,71.7
EQ-MILL-0018,2024-09,400.5,55.6
EQ-MILL-0018,2024-10,351.5,48.8
EQ-MILL-0018,2024-11,400.1,55.6
EQ-MILL-0018,2024-12,363.7,50.5
EQ-MILL-0018,2025-01,346.6,48.1
EQ-MILL-0018,2025-02,453.2,62.9
EQ-MILL-0018,2025-03,458.0,63.6
EQ-MILL-0018,2025-04,386.4,53.7
EQ-MILL-0018,2025-05,406.0,56.4
EQ-MILL-0018,2025-06,453.9,63.0
EQ-MILL-0018,2025-07,453.3,63.0
EQ-MILL-0018,2025-08,365.5,50.8
EQ-MILL-0018,2025-09,352.0,48.9
EQ-MILL-0018,2025-10,399.3,55.5
EQ-MILL-0018,2025-11,407.6,56.6
EQ-MILL-0018,2025-12,406.5,56.5
EQ-MILL-0018,2026-01,415.3,57.7
EQ-MILL-0018,2026-02,424.7,59.0
EQ-MILL-0018,2026-03,402.8,55.9
EQ-MILL-0018,2026-04,433.5,60.2
EQ-MILL-0018,2026-05,440.3,61.2
EQ-MILL-0018,2026-06,397.2,55.2
EQ-MILL-0018,2026-07,443.7,61.6
EQ-MILL-0018,2026-08,457.2,63.5
EQ-MILL-0019,2024-09,554.3,77.0
EQ-MILL-0019,2024-10,480.6,66.7
EQ-MILL-0019,2024-11,546.6,75.9
EQ-MILL-0019,2024-12,501.6,69.7
EQ-MILL-0019,2025-01,475.5,66.0
EQ-MILL-0019,2025-02,548.4,76.2
EQ-MILL-0019,2025-03,562.8,78.2
EQ-MILL-0019,2025-04,492.2,68.4
EQ-MILL-0019,2025-05,517.1,71.8
EQ-MILL-0019,2025-06,497.5,69.1
EQ-MILL-0019,2025-07,531.5,73.8
EQ-MILL-0019,2025-08,457.5,63.5
EQ-MILL-0019,2025-09,471.6,65.5
EQ-MILL-0019,2025-10,550.3,76.4
EQ-MILL-0019,2025-11,476.4,66.2
EQ-MILL-0019,2025-12,449.2,62.4
EQ-MILL-0019,2026-01,557.6,77.4
EQ-MILL-0019,2026-02,457.4,63.5
EQ-MILL-0019,2026-03,531.1,73.8
EQ-MILL-0019,2026-04,450.7,62.6
EQ-MILL-0019,2026-05,486.6,67.6
EQ-MILL-0019,2026-06,451.1,62.7
EQ-MILL-0019,2026-07,486.4,67.6
EQ-MILL-0019,2026-08,499.2,69.3
EQ-MILL-0020,2024-09,462.0,64.2
EQ-MILL-0020,2024-10,533.1,74.0
EQ-MILL-0020,2024-11,478.1,66.4
EQ-MILL-0020,2024-12,448.6,62.3
EQ-MILL-0020,2025-01,498.1,69.2
EQ-MILL-0020,2025-02,547.5,76.0
EQ-MILL-0020,2025-03,452.2,62.8
EQ-MILL-0020,2025-04,548.9,76.2
EQ-MILL-0020,2025-05,515.0,71.5
EQ-MILL-0020,2025-06,492.5,68.4
EQ-MILL-0020,2025-07,498.4,69.2
EQ-MILL-0020,2025-08,537.7,74.7
EQ-MILL-0020,2025-09,486.8,67.6
EQ-MILL-0020,2025-10,476.0,66.1
EQ-MILL-0020,2025-11,453.9,63.0
EQ-MILL-0020,2025-12,491.8,68.3
EQ-MILL-0020,2026-01,544.9,75.7
EQ-MILL-0020,2026-02,465.4,64.6
EQ-MILL-0020,2026-03,498.6,69.3
EQ-MILL-0020,2026-04,518.1,72.0
EQ-MILL-0020,2026-05,503.5,69.9
EQ-MILL-0020,2026-06,471.7,65.5
EQ-MILL-0020,2026-07,485.3,67.4
EQ-MILL-0020,2026-08,495.4,68.8
EQ-MILL-0021,2024-09,432.8,60.1
EQ-MILL-0021,2024-10,479.5,66.6
EQ-MILL-0021,2024-11,480.7,66.8
EQ-MILL-0021,2024-12,525.5,73.0
EQ-MILL-0021,2025-01,506.2,70.3
EQ-MILL-0021,2025-02,524.7,72.9
EQ-MILL-0021,2025-03,485.4,67.4
EQ-MILL-0021,2025-04,473.5,65.8
EQ-MILL-0021,2025-05,492.8,68.4
EQ-MILL-0021,2025-06,530.3,73.6
EQ-MILL-0021,2025-07,517.7,71.9
EQ-MILL-0021,2025-08,460.0,63.9
EQ-MILL-0021,2025-09,507.4,70.5
EQ-MILL-0021,2025-10,489.1,67.9
EQ-MILL-0021,2025-11,449.5,62.4
EQ-MILL-0021,2025-12,518.5,72.0
EQ-MILL-0021,2026-01,480.2,66.7
EQ-MILL-0021,2026-02,471.7,65.5
EQ-MILL-0021,2026-03,498.6,69.3
EQ-MILL-0021,2026-04,507.5,70.5
EQ-MILL-0021,2026-05,459.2,63.8
EQ-MILL-0021,2026-06,463.9,64.4
EQ-MILL-0021,2026-07,448.8,62.3
EQ-MILL-0021,2026-08,533.2,74.1
EQ-MILL-0022,2024-09,481.0,66.8
EQ-MILL-0022,2024-10,524.0,72.8
EQ-MILL-0022,2024-11,445.7,61.9
EQ-MILL-0022,2024-12,491.0,68.2
EQ-MILL-0022,2025-01,457.3,63.5
EQ-MILL-0022,2025-02,453.3,63.0
EQ-MILL-0022,2025-03,535.6,74.4
EQ-MILL-0022,2025-04,436.2,60.6
EQ-MILL-0022,2025-05,486.3,67.5
EQ-MILL-0022,2025-06,475.7,66.1
EQ-MILL-0022,2025-07,531.1,73.8
EQ-MILL-0022,2025-08,527.0,73.2
EQ-MILL-0022,2025-09,525.9,73.0
EQ-MILL-0022,2025-10,450.9,62.6
EQ-MILL-0022,2025-11,533.0,74.0
EQ-MILL-0022,2025-12,528.1,73.3
EQ-MILL-0022,2026-01,423.6,58.8
EQ-MILL-0022,2026-02,428.3,59.5
EQ-MILL-0022,2026-03,438.6,60.9
EQ-MILL-0022,2026-04,427.3,59.3
EQ-MILL-0022,2026-05,494.6,68.7
EQ-MILL-0022,2026-06,426.4,59.2
EQ-MILL-0022,2026-07,441.4,61.3
EQ-MILL-0022,2026-08,486.6,67.6
EQ-MILL-0023,2024-09,498.0,69.2
EQ-MILL-0023,2024-10,496.8,69.0
EQ-MILL-0023,2024-11,552.4,76.7
EQ-MILL-0023,2024-12,600.6,83.4
EQ-MILL-0023,2025-01,565.6,78.6
EQ-MILL-0023,2025-02,508.9,70.7
EQ-MILL-0023,2025-03,533.2,74.1
EQ-MILL-0023,2025-04,516.0,71.7
EQ-MILL-0023,2025-05,547.8,76.1
EQ-MILL-0023,2025-06,576.6,80.1
EQ-MILL-0023,2025-07,595.3,82.7
EQ-MILL-0023,2025-08,577.4,80.2
EQ-MILL-0023,2025-09,499.2,69.3
EQ-MILL-0023,2025-10,589.8,81.9
EQ-MILL-0023,2025-11,498.8,69.3
EQ-MILL-0023,2025-12,592.6,82.3
EQ-MILL-0023,2026-01,538.4,74.8
EQ-MILL-0023,2026-02,528.0,73.3
EQ-MILL-0023,2026-03,548.0,76.1
EQ-MILL-0023,2026-04,553.8,76.9
EQ-MILL-0023,2026-05,560.4,77.8
EQ-MILL-0023,2026-06,520.9,72.3
EQ-MILL-0023,2026-07,539.4,74.9
EQ-MILL-0023,2026-08,565.1,78.5
EQ-MILL-0024,2024-09,569.8,79.1
EQ-MILL-0024,2024-10,554.5,77.0
EQ-MILL-0024,2024-11,589.9,81.9
EQ-MILL-0024,2024-12,516.8,71.8
EQ-MILL-0024,2025-01,495.7,68.8
EQ-MILL-0024,2025-02,492.0,68.3
EQ-MILL-0024,2025-03,494.1,68.6
EQ-MILL-0024,2025-04,567.3,78.8
EQ-MILL-0024,2025-05,501.9,69.7
EQ-MILL-0024,2025-06,566.1,78.6
EQ-MILL-0024,2025-07,521.5,72.4
EQ-MILL-0024,2025-08,506.9,70.4
EQ-MILL-0024,2025-09,524.6,72.9
EQ-MILL-0024,2025-10,539.8,75.0
EQ-MILL-0024,2025-11,569.5,79.1
EQ-MILL-0024,2025-12,541.6,75.2
EQ-MILL-0024,2026-01,497.1,69.0
