material_id,period_month,qty_consumed,movement_type,plant
5,2025-06,11,261,Gamsberg
5,2025-07,10,261,Gamsberg
5,2025-08,4,261,Gamsberg
5,2025-09,15,262,Gamsberg
5,2025-10,9,202,Gamsberg
5,2025-11,8,261,Gamsberg
5,2026-01,5,262,Gamsberg
5,2026-02,4,262,Gamsberg
5,2026-03,5,261,Gamsberg
5,2026-04,2,261,Gamsberg
5,2026-05,4,261,Gamsberg
5,2026-06,11,202,Gamsberg
5,2026-07,9,261,Gamsberg
5,2026-08,11,262,Gamsberg
6,2024-09,3,261,BMM
6,2024-10,3,261,BMM
6,2024-11,3,201,BMM
6,2024-12,3,262,BMM
6,2025-01,3,202,BMM
6,2025-02,3,261,BMM
6,2025-03,3,261,BMM
6,2025-04,3,201,BMM
6,2025-05,3,262,BMM
6,2025-06,3,262,BMM
6,2025-07,3,262,BMM
6,2025-08,3,201,BMM
6,2025-09,3,202,BMM
6,2025-10,3,262,BMM
6,2025-11,3,202,BMM
6,2025-12,3,262,BMM
6,2026-01,3,201,BMM
6,2026-02,3,202,BMM
6,2026-03,3,261,BMM
6,2026-04,3,202,BMM
6,2026-05,3,261,BMM
6,2026-06,3,261,BMM
6,2026-07,3,261,BMM
6,2026-08,3,262,BMM
7,2024-10,13,262,Gamsberg
7,2024-11,13,261,Gamsberg
7,2024-12,16,201,Gamsberg
7,2025-03,11,262,Gamsberg
7,2025-08,7,262,Gamsberg
7,2025-09,7,262,Gamsberg
7,2025-10,16,261,Gamsberg
7,2025-12,13,202,Gamsberg
7,2026-01,11,261,Gamsberg
7,2026-05,10,261,Gamsberg
7,2026-06,12,261,Gamsberg
7,2026-07,7,262,Gamsberg
7,2026-08,6,262,Gamsberg
8,2024-09,5,262,BMM
8,2024-10,5,262,BMM
8,2024-11,17,262,BMM
8,2024-12,8,201,BMM
8,2025-01,6,261,BMM
8,2025-02,4,262,BMM
8,2025-03,21,262,BMM
8,2025-04,8,201,BMM
8,2025-05,11,261,BMM
8,2025-06,21,201,BMM
8,2025-07,6,262,BMM
8,2025-09,7,262,BMM
8,2025-10,21,262,BMM
8,2025-11,18,262,BMM
8,2025-12,18,262,BMM
8,2026-02,19,262,BMM
8,2026-03,12,202,BMM
8,2026-04,20,201,BMM
8,2026-05,8,261,BMM
8,2026-06,17,201,BMM
8,2026-07,11,262,BMM
8,2026-08,4,201,BMM
9,2024-09,10,202,Gamsberg
9,2024-10,10,262,Gamsberg
9,2024-11,10,261,Gamsberg
9,2024-12,8,262,Gamsberg
9,2025-01,10,201,Gamsberg
9,2025-02,10,261,Gamsberg
9,2025-03,9,261,Gamsberg
9,2025-04,8,262,Gamsberg
9,2025-05,10,201,Gamsberg
9,2025-07,9,261,Gamsberg
9,2025-08,10,262,Gamsberg
9,2025-09,10,261,Gamsberg
9,2025-10,8,261,Gamsberg
9,2025-12,10,261,Gamsberg
9,2026-01,8,261,Gamsberg
9,2026-02,8,262,Gamsberg
9,2026-03,8,201,Gamsberg
9,2026-04,9,201,Gamsberg
9,2026-05,8,262,Gamsberg
9,2026-06,9,261,Gamsberg
9,2026-07,8,262,Gamsberg
9,2026-08,8,202,Gamsberg
10,2025-07,3,202,BMM
10,2025-08,12,262,BMM
10,2025-09,13,201,BMM
10,2025-11,4,261,BMM
10,2026-03,11,202,BMM
10,2026-04,14,262,BMM
10,2026-06,14,261,BMM
10,2026-07,8,261,BMM
10,2026-08,6,262,BMM
11,2024-09,1,261,Gamsberg
11,2024-10,4,261,Gamsberg
11,2024-11,5,261,Gamsberg
11,2024-12,3,201,Gamsberg
11,2025-01,5,262,Gamsberg
11,2025-02,3,261,Gamsberg
11,2025-03,5,261,Gamsberg
11,2025-04,4,202,Gamsberg
11,2025-06,1,262,Gamsberg
11,2025-07,2,262,Gamsberg
11,2025-08,3,201,Gamsberg
11,2025-09,5,201,Gamsberg
11,2025-11,4,262,Gamsberg
11,2025-12,3,262,Gamsberg
11,2026-01,2,202,Gamsberg
11,2026-02,3,261,Gamsberg
11,2026-03,4,261,Gamsberg
11,2026-04,3,202,Gamsberg
11,2026-05,3,261,Gamsberg
11,2026-07,3,261,Gamsberg
11,2026-08,4,201,Gamsberg
12,2024-09,13,262,BMM
12,2024-10,11,201,BMM
12,2024-11,14,202,BMM
12,2024-12,12,262,BMM
12,2025-01,13,262,BMM
12,2025-02,13,262,BMM
12,2025-03,13,262,BMM
12,2025-04,11,202,BMM
12,2025-05,10,262,BMM
12,2025-06,13,262,BMM
12,2025-07,12,262,BMM
12,2025-08,13,261,BMM
12,2025-09,11,261,BMM
12,2025-10,12,261,BMM
12,2025-11,12,261,BMM
12,2025-12,13,262,BMM
12,2026-01,12,201,BMM
12,2026-02,11,261,BMM
12,2026-03,12,262,BMM
12,2026-04,14,262,BMM
12,2026-05,10,261,BMM
12,2026-06,11,202,BMM
12,2026-07,12,201,BMM
12,2026-08,13,261,BMM
13,2024-09,10,262,Gamsberg
13,2024-10,10,202,Gamsberg
13,2024-11,9,201,Gamsberg
13,2024-12,10,261,Gamsberg
13,2025-01,11,262,Gamsberg
13,2025-02,11,262,Gamsberg
13,2025-03,9,261,Gamsberg
13,2025-04,10,261,Gamsberg
13,2025-05,10,262,Gamsberg
13,2025-06,9,262,Gamsberg
13,2025-07,10,262,Gamsberg
13,2025-08,11,262,Gamsberg
13,2025-09,10,262,Gamsberg
13,2025-10,9,262,Gamsberg
13,2025-11,10,261,Gamsberg
13,2025-12,9,262,Gamsberg
13,2026-01,11,262,Gamsberg
13,2026-03,10,262,Gamsberg
13,2026-04,10,261,Gamsberg
13,2026-05,10,202,Gamsberg
13,2026-06,10,261,Gamsberg
13,2026-07,11,261,Gamsberg
13,2026-08,9,202,Gamsberg
14,2024-09,5,261,BMM
14,2024-11,6,261,BMM
14,2024-12,5,262,BMM
14,2025-01,5,262,BMM
14,2025-02,5,261,BMM
14,2025-03,5,262,BMM
14,2025-04,4,261,BMM
14,2025-05,5,261,BMM
14,2025-06,5,261,BMM
14,2025-07,5,202,BMM
14,2025-08,5,201,BMM
14,2025-09,5,202,BMM
14,2025-10,6,262,BMM
14,2025-11,6,201,BMM
14,2025-12,5,261,BMM
14,2026-01,5,201,BMM
14,2026-02,5,261,BMM
14,2026-03,4,262,BMM
14,2026-04,5,261,BMM
14,2026-05,5,202,BMM
14,2026-06,5,262,BMM
14,2026-07,6,262,BMM
14,2026-08,5,262,BMM
15,2024-10,3,262,Gamsberg
15,2024-11,5,201,Gamsberg
15,2024-12,1,261,Gamsberg
15,2025-05,4,262,Gamsberg
15,2025-09,1,262,Gamsberg
15,2025-10,5,262,Gamsberg
15,2025-11,4,201,Gamsberg
15,2026-03,5,262,Gamsberg
15,2026-05,4,261,Gamsberg
16,2024-09,7,262,BMM
16,2024-10,8,201,BMM
16,2024-11,8,261,BMM
16,2024-12,7,262,BMM
16,2025-01,7,201,BMM
16,2025-02,7,202,BMM
16,2025-03,9,261,BMM
16,2025-04,7,202,BMM
16,2025-05,9,202,BMM
16,2025-06,9,261,BMM
16,2025-07,8,261,BMM
16,2025-08,9,202,BMM
16,2025-09,8,261,BMM
16,2025-10,8,261,BMM
16,2025-11,8,262,BMM
16,2025-12,8,262,BMM
16,2026-01,9,261,BMM
16,2026-02,7,202,BMM
16,2026-03,8,201,BMM
16,2026-04,8,262,BMM
16,2026-05,8,261,BMM
16,2026-06,9,261,BMM
16,2026-07,8,202,BMM
16,2026-08,8,261,BMM
17,2024-11,19,262,Gamsberg
17,2025-02,9,201,Gamsberg
17,2025-07,14,262,Gamsberg
17,2025-09,19,262,Gamsberg
17,2025-10,22,262,Gamsberg
17,2025-12,18,262,Gamsberg
17,2026-02,9,262,Gamsberg
17,2026-04,20,261,Gamsberg
17,2026-06,11,262,Gamsberg
17,2026-07,14,262,Gamsberg
18,2024-09,10,261,BMM
18,2024-10,9,261,BMM
18,2024-11,10,261,BMM
18,2024-12,10,201,BMM
18,2025-01,9,262,BMM
18,2025-03,10,262,BMM
18,2025-04,9,262,BMM
18,2025-05,9,202,BMM
18,2025-06,10,201,BMM
18,2025-07,10,261,BMM
18,2025-08,11,261,BMM
18,2025-09,9,261,BMM
18,2025-10,10,262,BMM
18,2025-11,11,261,BMM
18,2025-12,9,262,BMM
18,2026-02,10,201,BMM
18,2026-04,11,261,BMM
18,2026-05,10,261,BMM
18,2026-06,9,202,BMM
18,2026-08,11,261,BMM
19,2024-09,14,202,Gamsberg
19,2024-10,14,261,Gamsberg
19,2024-11,15,201,Gamsberg
19,2024-12,13,202,Gamsberg
19,2025-01,16,261,Gamsberg
19,2025-02,14,261,Gamsberg
19,2025-03,14,261,Gamsberg
19,2025-04,17,262,Gamsberg
19,2025-05,15,202,Gamsberg
19,2025-06,13,262,Gamsberg
19,2025-07,13,202,Gamsberg
19,2025-08,15,261,Gamsberg
19,2025-09,15,201,Gamsberg
19,2025-10,14,262,Gamsberg
19,2025-11,17,201,Gamsberg
19,2026-01,14,262,Gamsberg
19,2026-02,13,261,Gamsberg
19,2026-03,14,201,Gamsberg
19,2026-04,16,201,Gamsberg
19,2026-05,16,262,Gamsberg
19,2026-06,14,261,Gamsberg
19,2026-07,13,202,Gamsberg
19,2026-08,16,261,Gamsberg
20,2024-09,21,202,BMM
20,2024-10,18,262,BMM
20,2025-01,18,261,BMM
20,2025-02,23,262,BMM
20,2025-04,22,261,BMM
20,2025-05,12,262,BMM
20,2025-06,19,262,BMM
20,2025-07,14,261,BMM
20,2025-10,18,261,BMM
20,2025-11,15,261,BMM
20,2025-12,21,262,BMM
20,2026-02,17,261,BMM
20,2026-03,24,262,BMM
20,2026-04,19,262,BMM
20,2026-05,12,262,BMM
20,2026-06,20,262,BMM
20,2026-07,13,202,BMM
20,2026-08,24,261,BMM
21,2025-02,29,261,Gamsberg
21,2025-11,33,202,Gamsberg
21,2025-12,22,202,Gamsberg
21,2026-04,30,262,Gamsberg
22,2024-09,2,201,BMM
22,2024-10,2,262,BMM
22,2024-11,3,262,BMM
22,2025-02,2,202,BMM
22,2025-03,3,202,BMM
22,2025-04,3,201,BMM
22,2025-05,2,201,BMM
22,2025-08,3,202,BMM
22,2025-12,2,262,BMM
22,2026-01,3,261,BMM
22,2026-05,2,261,BMM
22,2026-07,3,261,BMM
23,2024-10,2,201,Gamsberg
23,2024-12,3,262,Gamsberg
23,2025-04,2,261,Gamsberg
23,2025-07,2,261,Gamsberg
23,2025-08,3,261,Gamsberg
23,2025-11,2,262,Gamsberg
23,2025-12,3,261,Gamsberg
23,2026-01,2,201,Gamsberg
23,2026-02,2,261,Gamsberg
23,2026-03,3,261,Gamsberg
23,2026-04,3,261,Gamsberg
23,2026-05,2,262,Gamsberg
23,2026-06,3,261,Gamsberg
24,2024-09,8,261,BMM
24,2024-10,8,261,BMM
24,2024-11,8,261,BMM
24,2024-12,7,262,BMM
24,2025-01,8,261,BMM
24,2025-02,7,261,BMM
24,2025-03,9,262,BMM
24,2025-04,7,201,BMM
24,2025-05,9,262,BMM
24,2025-06,9,201,BMM
24,2025-07,8,261,BMM
24,2025-08,7,261,BMM
24,2025-09,7,261,BMM
24,2025-10,7,262,BMM
24,2025-11,9,202,BMM
24,2025-12,9,202,BMM
24,2026-01,7,261,BMM
24,2026-02,9,261,BMM
24,2026-03,8,262,BMM
24,2026-05,8,262,BMM
24,2026-06,7,261,BMM
24,2026-07,8,262,BMM
24,2026-08,8,261,BMM
25,2024-11,23,262,Gamsberg
25,2025-01,16,202,Gamsberg
25,2025-10,29,202,Gamsberg
25,2026-01,26,261,Gamsberg
25,2026-02,28,261,Gamsberg
25,2026-03,22,201,Gamsberg
25,2026-04,15,201,Gamsberg
25,2026-05,39,202,Gamsberg
25,2026-07,14,262,Gamsberg
25,2026-08,17,262,Gamsberg
26,2024-09,9,262,BMM
26,2024-10,9,202,BMM
26,2024-11,8,202,BMM
26,2024-12,7,261,BMM
26,2025-01,8,202,BMM
26,2025-02,8,201,BMM
26,2025-03,8,262,BMM
26,2025-04,8,202,BMM
26,2025-05,7,262,BMM
26,2025-06,9,261,BMM
26,2025-07,9,261,BMM
26,2025-08,7,262,BMM
26,2025-09,9,261,BMM
26,2025-10,8,262,BMM
26,2025-11,9,261,BMM
26,2025-12,7,202,BMM
26,2026-01,8,262,BMM
26,2026-02,7,261,BMM
26,2026-03,8,261,BMM
26,2026-04,9,262,BMM
26,2026-05,8,202,BMM
26,2026-06,8,202,BMM
26,2026-07,9,261,BMM
26,2026-08,7,201,BMM
27,2024-10,13,202,Gamsberg
27,2024-12,12,262,Gamsberg
27,2025-01,14,262,Gamsberg
27,2025-02,13,261,Gamsberg
27,2025-03,13,261,Gamsberg
27,2025-05,8,261,Gamsberg
27,2025-06,7,202,Gamsberg
27,2025-07,10,202,Gamsberg
27,2026-01,6,261,Gamsberg
27,2026-02,13,261,Gamsberg
27,2026-03,12,261,Gamsberg
27,2026-05,13,261,Gamsberg
27,2026-06,14,262,Gamsberg
27,2026-08,10,262,Gamsberg
28,2024-09,21,262,BMM
28,2024-10,10,202,BMM
28,2024-12,14,261,BMM
28,2025-04,18,261,BMM
28,2025-05,13,262,BMM
28,2025-06,15,262,BMM
28,2025-07,9,261,BMM
28,2025-08,23,261,BMM
28,2025-09,10,262,BMM
28,2025-11,17,261,BMM
28,2025-12,16,262,BMM
28,2026-02,15,202,BMM
28,2026-03,11,261,BMM
28,2026-04,24,202,BMM
28,2026-05,14,261,BMM
28,2026-06,18,202,BMM
28,2026-07,13,202,BMM
28,2026-08,10,202,BMM
29,2024-09,9,201,Gamsberg
29,2024-10,8,262,Gamsberg
29,2024-11,9,202,Gamsberg
29,2024-12,7,261,Gamsberg
29,2025-01,8,202,Gamsberg
29,2025-02,7,262,Gamsberg
29,2025-03,9,262,Gamsberg
29,2025-04,7,202,Gamsberg
29,2025-06,8,262,Gamsberg
29,2025-08,8,261,Gamsberg
29,2025-09,8,262,Gamsberg
29,2025-10,8,262,Gamsberg
29,2025-11,7,262,Gamsberg
29,2025-12,7,261,Gamsberg
29,2026-01,9,262,Gamsberg
29,2026-02,8,262,Gamsberg
29,2026-03,7,201,Gamsberg
29,2026-04,8,201,Gamsberg
29,2026-05,9,262,Gamsberg
29,2026-06,9,261,Gamsberg
29,2026-07,8,201,Gamsberg
29,2026-08,8,201,Gamsberg
30,2024-09,9,261,BMM
30,2024-10,10,262,BMM
30,2024-12,7,261,BMM
30,2025-01,10,261,BMM
30,2025-02,9,262,BMM
30,2025-04,7,262,BMM
30,2025-08,7,202,BMM
30,2025-09,7,201,BMM
30,2025-10,11,261,BMM
30,2026-02,8,261,BMM
30,2026-05,11,201,BMM
30,2026-06,10,261,BMM
30,2026-07,9,201,BMM
31,2024-09,4,262,Gamsberg
31,2024-10,4,261,Gamsberg
31,2024-11,3,262,Gamsberg
31,2024-12,4,261,Gamsberg
31,2025-01,4,262,Gamsberg
31,2025-02,4,262,Gamsberg
31,2025-03,4,261,Gamsberg
31,2025-04,4,202,Gamsberg
31,2025-05,4,262,Gamsberg
31,2025-06,4,201,Gamsberg
31,2025-07,3,261,Gamsberg
31,2025-08,4,262,Gamsberg
31,2025-09,4,261,Gamsberg
31,2025-10,4,262,Gamsberg
31,2025-11,4,262,Gamsberg
31,2025-12,3,261,Gamsberg
31,2026-01,4,201,Gamsberg
31,2026-02,4,261,Gamsberg
31,2026-03,4,262,Gamsberg
31,2026-04,4,201,Gamsberg
31,2026-06,4,262,Gamsberg
31,2026-07,4,261,Gamsberg
31,2026-08,4,262,Gamsberg
32,2024-09,24,262,BMM
32,2024-10,17,262,BMM
32,2024-11,26,262,BMM
32,2024-12,26,261,BMM
32,2025-01,10,261,BMM
32,2025-02,14,202,BMM
32,2025-03,7,262,BMM
32,2025-04,23,201,BMM
32,2025-05,13,262,BMM
32,2025-06,26,261,BMM
32,2025-07,16,262,BMM
32,2025-08,8,202,BMM
32,2025-10,12,262,BMM
32,2025-11,10,262,BMM
32,2025-12,26,262,BMM
32,2026-01,9,262,BMM
32,2026-02,19,262,BMM
32,2026-04,6,261,BMM
32,2026-05,9,202,BMM
32,2026-06,17,202,BMM
32,2026-07,17,202,BMM
32,2026-08,21,262,BMM
33,2024-09,6,201,Gamsberg
33,2024-10,10,261,Gamsberg
33,2024-12,11,262,Gamsberg
33,2025-01,8,262,Gamsberg
33,2025-05,11,202,Gamsberg
33,2025-06,7,261,Gamsberg
33,2025-08,7,262,Gamsberg
33,2025-09,7,262,Gamsberg
33,2026-01,11,201,Gamsberg
33,2026-02,11,261,Gamsberg
33,2026-03,9,262,Gamsberg
33,2026-04,12,201,Gamsberg
33,2026-06,8,201,Gamsberg
33,2026-08,7,202,Gamsberg
34,2024-09,12,262,BMM
34,2024-10,13,262,BMM
34,2024-12,7,202,BMM
34,2025-03,5,261,BMM
34,2025-04,12,261,BMM
34,2025-05,11,262,BMM
34,2025-08,8,261,BMM
34,2025-09,10,261,BMM
34,2025-10,5,201,BMM
34,2025-11,7,261,BMM
34,2026-03,11,262,BMM
34,2026-04,12,201,BMM
34,2026-05,9,261,BMM
34,2026-06,11,201,BMM
34,2026-07,8,261,BMM
34,2026-08,8,261,BMM
35,2024-09,25,262,Gamsberg
35,2024-10,28,201,Gamsberg
35,2024-11,19,261,Gamsberg
35,2024-12,25,262,Gamsberg
35,2025-01,30,261,Gamsberg
35,2025-03,29,202,Gamsberg
35,2025-04,27,261,Gamsberg
35,2025-05,5,202,Gamsberg
35,2025-06,28,262,Gamsberg
35,2025-07,8,261,Gamsberg
35,2025-08,30,261,Gamsberg
35,2025-09,24,202,Gamsberg
35,2025-10,21,202,Gamsberg
35,2025-11,32,261,Gamsberg
35,2025-12,32,201,Gamsberg
35,2026-01,7,202,Gamsberg
35,2026-02,6,261,Gamsberg
35,2026-03,8,202,Gamsberg
35,2026-04,35,202,Gamsberg
35,2026-05,26,262,Gamsberg
35,2026-06,5,261,Gamsberg
35,2026-08,12,261,Gamsberg
37,2024-09,15,262,Gamsberg
37,2024-10,15,202,Gamsberg
37,2024-11,14,201,Gamsberg
37,2024-12,13,202,Gamsberg
37,2025-01,13,202,Gamsberg
37,2025-02,14,261,Gamsberg
37,2025-03,17,262,Gamsberg
37,2025-05,14,261,Gamsberg
37,2025-06,17,261,Gamsberg
37,2025-07,15,261,Gamsberg
37,2025-08,16,261,Gamsberg
37,2025-10,15,201,Gamsberg
37,2025-11,17,262,Gamsberg
37,2025-12,15,201,Gamsberg
37,2026-01,17,262,Gamsberg
37,2026-02,13,202,Gamsberg
37,2026-03,16,261,Gamsberg
37,2026-04,14,261,Gamsberg
37,2026-05,13,202,Gamsberg
37,2026-06,17,202,Gamsberg
37,2026-07,13,261,Gamsberg
37,2026-08,13,262,Gamsberg
39,2024-09,9,261,Gamsberg
39,2024-10,9,262,Gamsberg
39,2024-11,10,261,Gamsberg
39,2024-12,10,261,Gamsberg
39,2025-01,9,261,Gamsberg
39,2025-02,9,262,Gamsberg
39,2025-03,9,261,Gamsberg
39,2025-04,8,262,Gamsberg
39,2025-05,8,262,Gamsberg
39,2025-06,9,261,Gamsberg
39,2025-07,8,261,Gamsberg
39,2025-08,10,261,Gamsberg
39,2025-09,8,262,Gamsberg
39,2025-10,9,261,Gamsberg
39,2025-11,10,201,Gamsberg
39,2025-12,9,202,Gamsberg
39,2026-01,10,261,Gamsberg
39,2026-02,8,261,Gamsberg
39,2026-03,8,201,Gamsberg
39,2026-04,10,261,Gamsberg
39,2026-05,8,262,Gamsberg
39,2026-06,10,261,Gamsberg
39,2026-07,10,261,Gamsberg
39,2026-08,8,202,Gamsberg
40,2024-12,1,261,BMM
40,2025-02,2,262,BMM
40,2025-04,5,262,BMM
40,2025-09,2,262,BMM
40,2025-12,6,262,BMM
40,2026-04,2,201,BMM
41,2024-09,6,262,Gamsberg
41,2024-10,7,202,Gamsberg
41,2024-11,6,202,Gamsberg
41,2024-12,6,261,Gamsberg
41,2025-01,7,261,Gamsberg
41,2025-02,7,262,Gamsberg
41,2025-03,6,262,Gamsberg
41,2025-04,5,201,Gamsberg
41,2025-05,5,261,Gamsberg
41,2025-06,7,202,Gamsberg
41,2025-07,6,202,Gamsberg
41,2025-08,7,201,Gamsberg
41,2025-09,6,202,Gamsberg
41,2025-10,5,261,Gamsberg
41,2025-11,6,261,Gamsberg
41,2025-12,5,201,Gamsberg
41,2026-01,6,261,Gamsberg
41,2026-02,7,202,Gamsberg
41,2026-03,6,262,Gamsberg
41,2026-04,5,261,Gamsberg
41,2026-05,6,262,Gamsberg
41,2026-06,5,262,Gamsberg
41,2026-07,5,262,Gamsberg
41,2026-08,6,261,Gamsberg
42,2024-09,2,261,BMM
42,2024-10,1,202,BMM
42,2024-11,4,262,BMM
42,2025-01,3,202,BMM
42,2025-02,1,201,BMM
42,2025-03,1,201,BMM
42,2025-04,1,262,BMM
42,2025-05,1,202,BMM
42,2025-06,4,262,BMM
42,2025-07,3,261,BMM
42,2025-08,1,262,BMM
42,2025-09,3,262,BMM
42,2025-12,5,201,BMM
42,2026-01,5,201,BMM
42,2026-02,5,262,BMM
42,2026-03,5,262,BMM
42,2026-04,3,202,BMM
42,2026-06,3,201,BMM
42,2026-07,3,262,BMM
42,2026-08,3,202,BMM
43,2024-09,1,262,Gamsberg
43,2024-10,2,261,Gamsberg
43,2024-11,5,262,Gamsberg
43,2024-12,3,261,Gamsberg
43,2025-01,5,261,Gamsberg
43,2025-02,4,202,Gamsberg
43,2025-03,4,202,Gamsberg
43,2025-04,2,262,Gamsberg
43,2025-05,3,202,Gamsberg
43,2025-07,3,261,Gamsberg
43,2025-08,7,262,Gamsberg
43,2025-09,2,261,Gamsberg
43,2025-10,7,262,Gamsberg
43,2025-11,6,261,Gamsberg
43,2025-12,4,262,Gamsberg
43,2026-01,5,201,Gamsberg
43,2026-02,7,202,Gamsberg
43,2026-03,2,202,Gamsberg
43,2026-04,3,202,Gamsberg
43,2026-05,4,262,Gamsberg
43,2026-06,4,261,Gamsberg
43,2026-08,3,201,Gamsberg
44,2024-09,9,261,BMM
44,2024-10,14,262,BMM
44,2024-12,10,262,BMM
44,2025-01,10,261,BMM
44,2025-02,7,262,BMM
44,2025-03,17,261,BMM
44,2025-05,9,201,BMM
44,2025-06,14,262,BMM
44,2025-08,7,261,BMM
44,2025-09,10,201,BMM
44,2025-12,12,202,BMM
44,2026-02,17,261,BMM
44,2026-05,11,261,BMM
44,2026-06,10,202,BMM
45,2024-11,10,261,Gamsberg
45,2025-01,15,262,Gamsberg
45,2025-03,18,262,Gamsberg
45,2025-05,10,201,Gamsberg
45,2025-09,24,202,Gamsberg
45,2025-10,17,262,Gamsberg
45,2025-12,22,202,Gamsberg
45,2026-02,24,261,Gamsberg
45,2026-03,20,262,Gamsberg
45,2026-08,18,262,Gamsberg
46,2024-09,10,262,BMM
46,2024-10,2,262,BMM
46,2024-11,4,262,BMM
46,2024-12,12,262,BMM
46,2025-01,4,261,BMM
46,2025-02,9,202,BMM
46,2025-03,3,262,BMM
46,2025-04,6,261,BMM
46,2025-05,9,201,BMM
46,2025-06,10,261,BMM
46,2025-07,11,261,BMM
46,2025-08,8,261,BMM
46,2025-10,8,261,BMM
46,2025-11,5,262,BMM
46,2025-12,2,262,BMM
46,2026-01,10,261,BMM
46,2026-02,3,201,BMM
46,2026-03,10,261,BMM
46,2026-04,12,202,BMM
46,2026-05,6,262,BMM
46,2026-06,9,201,BMM
46,2026-07,7,261,BMM
46,2026-08,12,262,BMM
47,2024-11,15,261,Gamsberg
47,2025-01,11,262,Gamsberg
47,2025-05,13,261,Gamsberg
47,2025-06,8,201,Gamsberg
47,2025-11,13,262,Gamsberg
47,2026-03,8,261,Gamsberg
47,2026-04,11,262,Gamsberg
47,2026-05,15,261,Gamsberg
47,2026-07,9,262,Gamsberg
47,2026-08,17,202,Gamsberg
48,2024-09,8,261,BMM
48,2024-10,6,261,BMM
48,2024-11,8,201,BMM
48,2024-12,7,202,BMM
48,2025-01,7,262,BMM
48,2025-02,6,261,BMM
48,2025-03,8,262,BMM
48,2025-04,7,201,BMM
48,2025-05,7,202,BMM
48,2025-07,7,262,BMM
48,2025-08,7,201,BMM
48,2025-09,6,261,BMM
48,2025-10,7,261,BMM
48,2025-11,8,262,BMM
48,2025-12,7,261,BMM
48,2026-01,7,201,BMM
48,2026-02,7,262,BMM
48,2026-03,8,261,BMM
48,2026-04,6,261,BMM
48,2026-05,7,261,BMM
48,2026-06,8,261,BMM
48,2026-07,8,261,BMM
49,2024-11,3,262,Gamsberg
49,2024-12,2,262,Gamsberg
49,2025-01,5,261,Gamsberg
49,2025-02,5,262,Gamsberg
49,2025-04,2,262,Gamsberg
49,2025-06,3,261,Gamsberg
49,2025-09,4,201,Gamsberg
49,2025-10,4,261,Gamsberg
49,2025-12,2,202,Gamsberg
49,2026-01,4,261,Gamsberg
49,2026-02,4,262,Gamsberg
49,2026-03,4,261,Gamsberg
49,2026-04,3,201,Gamsberg
50,2024-09,14,262,BMM
50,2024-10,17,261,BMM
50,2024-11,14,261,BMM
50,2024-12,17,262,BMM
50,2025-02,16,261,BMM
50,2025-03,14,202,BMM
50,2025-04,16,262,BMM
50,2025-05,15,201,BMM
50,2025-06,16,201,BMM
50,2025-09,17,202,BMM
50,2025-10,13,261,BMM
50,2025-11,15,261,BMM
50,2025-12,13,262,BMM
50,2026-01,15,202,BMM
50,2026-02,17,261,BMM
50,2026-03,16,202,BMM
50,2026-04,14,261,BMM
