po_number,material_id,vendor,po_creation_date,expected_delivery_date,goods_receipt_date,ordered_qty,received_qty,po_status
GR-PO-000031,6,Bushveld Pump Solutions (Pty) Ltd,2025-06-21,2025-10-21,2025-11-17,14,14,DELIVERED
GR-PO-000032,6,Orange River Electromechanical Ltd (Pty) Ltd,2025-09-09,2026-01-09,2026-02-09,18,18,DELIVERED
GR-PO-000033,7,Escarpment Mining Equipment Traders (Pty) Ltd,2025-04-19,2025-08-25,2025-09-07,7,7,DELIVERED
GR-PO-000034,7,Orange River Engineering Supplies (Pty) Ltd,2025-01-19,2025-05-27,2025-06-05,12,12,DELIVERED
GR-PO-000035,7,Vaal Mining Equipment Traders (Pty) Ltd,2026-04-14,2026-08-20,2026-07-26,2,2,DELIVERED
GR-PO-000036,7,Northern Cape Engineering Supplies (Pty) Ltd,2025-11-23,2026-03-31,2026-03-17,6,6,DELIVERED
GR-PO-000037,7,Upington Mining Equipment Traders (Pty) Ltd,2025-08-12,2025-12-18,2025-11-18,17,17,DELIVERED
GR-PO-000038,7,Orange River Industrial Supplies (Pty) Ltd,2024-12-21,2025-04-28,2025-05-19,3,3,DELIVERED
GR-PO-000039,7,Orange River Bearing & Drive Co (Pty) Ltd,2025-06-22,2025-10-28,2025-08-20,7,7,DELIVERED
GR-PO-000040,8,Aggeneys Pump Solutions (Pty) Ltd,2026-01-19,2026-05-01,2026-04-09,7,7,DELIVERED
GR-PO-000041,8,Orange River Industrial Distributors (Pty) Ltd,2026-01-16,2026-04-28,2026-05-17,17,17,DELIVERED
GR-PO-000042,8,Bushveld Spares & Components (Pty) Ltd,2025-04-19,2025-07-30,2025-07-29,3,3,DELIVERED
GR-PO-000043,8,Postmasburg Valve & Fittings (Pty) Ltd,2026-06-04,2026-09-14,2026-09-15,14,14,DELIVERED
GR-PO-000044,8,Highveld Mining Equipment Traders (Pty) Ltd,2025-03-28,2025-07-08,2025-07-17,2,2,DELIVERED
GR-PO-000045,9,Orange River Industrial Supplies (Pty) Ltd,2024-09-30,2024-12-10,2024-12-01,12,12,DELIVERED
GR-PO-000046,9,Drakensberg Spares & Components (Pty) Ltd,2025-04-25,2025-07-05,2025-06-24,7,7,DELIVERED
GR-PO-000047,9,Kalahari Bearing & Drive Co (Pty) Ltd,2025-08-13,2025-10-23,2025-10-20,6,6,DELIVERED
GR-PO-000048,9,Springbok Valve & Fittings (Pty) Ltd,2026-04-25,2026-07-05,2026-07-01,11,11,DELIVERED
GR-PO-000049,9,Bushveld Spares & Components (Pty) Ltd,2025-05-24,2025-08-03,2025-08-05,20,20,DELIVERED
GR-PO-000050,9,Bushveld Electromechanical Ltd (Pty) Ltd,2025-11-08,2026-01-18,2025-12-29,3,3,DELIVERED
GR-PO-000051,9,Vaal Mining Equipment Traders (Pty) Ltd,2025-07-05,2025-09-14,2025-09-06,17,17,DELIVERED
GR-PO-000052,10,Orange River Electromechanical Ltd (Pty) Ltd,2025-11-12,2026-01-25,2026-02-01,4,4,DELIVERED
GR-PO-000053,10,Northern Cape Industrial Distributors (Pty) Ltd,2025-10-29,2026-01-11,2026-01-10,13,13,DELIVERED
GR-PO-000054,10,Kalahari Bearing & Drive Co (Pty) Ltd,2024-09-13,2024-11-26,2024-11-18,2,2,DELIVERED
GR-PO-000055,10,Orange River Bearing & Drive Co (Pty) Ltd,2025-03-29,2025-06-11,2025-06-07,18,18,DELIVERED
GR-PO-000056,10,Springbok Bearing & Drive Co (Pty) Ltd,2024-11-23,2025-02-05,2025-01-31,5,5,DELIVERED
GR-PO-000057,10,Copperton Engineering Supplies (Pty) Ltd,2024-10-22,2025-01-04,2024-12-29,11,11,DELIVERED
GR-PO-000058,10,Vaal Valve & Fittings (Pty) Ltd,2026-02-09,2026-04-24,2026-04-22,10,10,DELIVERED
GR-PO-000059,11,Escarpment Seals & Sealing Systems (Pty) Ltd,2024-09-19,2024-12-08,2024-12-28,4,4,DELIVERED
GR-PO-000060,11,Kuruman Industrial Supplies (Pty) Ltd,2025-01-13,2025-04-03,2025-04-06,5,5,DELIVERED
GR-PO-000061,11,Lowveld Electromechanical Ltd (Pty) Ltd,2024-10-13,2025-01-01,2024-12-24,5,5,DELIVERED
GR-PO-000062,11,Orange River Industrial Supplies (Pty) Ltd,2025-09-12,2025-12-01,2025-12-13,11,11,DELIVERED
GR-PO-000063,12,Vaal Valve & Fittings (Pty) Ltd,2024-09-25,2024-12-28,2025-01-11,16,16,DELIVERED
GR-PO-000064,12,Bushveld Pump Solutions (Pty) Ltd,2024-11-03,2025-02-05,2025-01-04,18,18,DELIVERED
GR-PO-000065,12,Lowveld Valve & Fittings (Pty) Ltd,2025-07-04,2025-10-06,2025-09-04,9,9,DELIVERED
GR-PO-000066,12,Vaal Valve & Fittings (Pty) Ltd,2025-01-26,2025-04-30,2025-04-25,10,10,DELIVERED
GR-PO-000067,12,Orange River Industrial Distributors (Pty) Ltd,2025-08-06,2025-11-08,2025-11-04,6,6,DELIVERED
GR-PO-000068,12,Highveld Mining Equipment Traders (Pty) Ltd,2026-02-07,2026-05-12,2026-06-03,12,12,DELIVERED
GR-PO-000069,13,Upington Valve & Fittings (Pty) Ltd,2025-04-29,2025-09-21,2025-10-29,4,4,DELIVERED
GR-PO-000070,13,Springbok Seals & Sealing Systems (Pty) Ltd,2026-04-03,2026-08-26,2026-08-03,16,16,DELIVERED
GR-PO-000071,13,Waterberg Bearing & Drive Co (Pty) Ltd,2025-10-05,2026-02-27,2026-03-03,6,6,DELIVERED
GR-PO-000072,13,Springbok Valve & Fittings (Pty) Ltd,2025-12-06,2026-04-30,2026-05-09,10,10,DELIVERED
GR-PO-000073,13,Escarpment Electromechanical Ltd (Pty) Ltd,2025-04-26,2025-09-18,2025-10-20,5,5,DELIVERED
GR-PO-000074,14,Bushveld Engineering Supplies (Pty) Ltd,2026-05-11,2026-07-10,2026-07-18,18,18,DELIVERED
GR-PO-000075,14,Orange River Bearing & Drive Co (Pty) Ltd,2025-10-07,2025-12-06,2025-12-09,5,5,DELIVERED
GR-PO-000076,14,Vaal Mining Equipment Traders (Pty) Ltd,2025-03-16,2025-05-15,2025-05-08,8,8,DELIVERED
GR-PO-000077,14,Lowveld Valve & Fittings (Pty) Ltd,2025-02-25,2025-04-26,2025-05-14,11,11,DELIVERED
GR-PO-000078,14,Waterberg Bearing & Drive Co (Pty) Ltd,2024-11-23,2025-01-22,2025-01-08,4,4,DELIVERED
GR-PO-000079,15,Kimberley Pump Solutions (Pty) Ltd,2024-09-07,2024-11-09,2024-11-09,4,4,DELIVERED
GR-PO-000080,15,Drakensberg Spares & Components (Pty) Ltd,2025-07-30,2025-10-01,2025-10-15,16,16,DELIVERED
GR-PO-000081,15,Orange River Industrial Supplies (Pty) Ltd,2025-11-12,2026-01-14,2026-02-02,11,11,DELIVERED
GR-PO-000082,15,Orange River Industrial Distributors (Pty) Ltd,2026-02-07,2026-04-11,2026-04-08,14,14,DELIVERED
GR-PO-000083,15,Kuruman Industrial Supplies (Pty) Ltd,2025-03-10,2025-05-12,2025-05-13,8,8,DELIVERED
GR-PO-000084,15,Escarpment Mining Equipment Traders (Pty) Ltd,2024-11-28,2025-01-30,2025-02-03,16,16,DELIVERED
GR-PO-000085,15,Orange River Electromechanical Ltd (Pty) Ltd,2025-12-05,2026-02-06,2026-02-01,13,13,DELIVERED
GR-PO-000086,16,Bushveld Pump Solutions (Pty) Ltd,2026-04-30,2026-06-14,2026-06-13,6,6,DELIVERED
GR-PO-000087,16,Springbok Valve & Fittings (Pty) Ltd,2025-09-28,2025-11-12,2025-11-13,4,4,DELIVERED
GR-PO-000088,16,Namaqua Seals & Sealing Systems (Pty) Ltd,2024-10-24,2024-12-08,2024-12-11,1,1,DELIVERED
GR-PO-000089,16,Northern Cape Industrial Distributors (Pty) Ltd,2025-04-17,2025-06-01,2025-05-26,9,9,DELIVERED
GR-PO-000090,16,Northern Cape Engineering Supplies (Pty) Ltd,2025-10-06,2025-11-20,2025-11-23,4,4,DELIVERED
GR-PO-000091,16,Orange River Industrial Supplies (Pty) Ltd,2025-08-17,2025-10-01,2025-10-08,7,7,DELIVERED
GR-PO-000092,16,Lowveld Mining Equipment Traders (Pty) Ltd,2025-06-17,2025-08-01,2025-07-17,20,20,DELIVERED
GR-PO-000093,17,Drakensberg Spares & Components (Pty) Ltd,2025-01-05,2025-04-21,2025-04-08,19,19,DELIVERED
GR-PO-000094,17,Kuruman Pump Solutions (Pty) Ltd,2026-05-12,2026-08-26,2026-08-22,1,1,DELIVERED
GR-PO-000095,17,Kimberley Pump Solutions (Pty) Ltd,2024-09-30,2025-01-14,2025-01-07,15,15,DELIVERED
GR-PO-000096,17,Copperton Engineering Supplies (Pty) Ltd,2025-05-13,2025-08-27,2025-07-17,14,14,DELIVERED
GR-PO-000097,17,Vaal Valve & Fittings (Pty) Ltd,2024-09-17,2025-01-01,2024-12-14,4,4,DELIVERED
GR-PO-000098,17,Kuruman Spares & Components (Pty) Ltd,2024-09-27,2025-01-11,2025-01-07,7,7,DELIVERED
GR-PO-000099,17,Vaal Valve & Fittings (Pty) Ltd,2026-04-18,2026-08-02,2026-07-25,12,12,DELIVERED
GR-PO-000100,17,Orange River Industrial Distributors (Pty) Ltd,2025-12-17,2026-04-02,2026-03-02,6,6,DELIVERED
GR-PO-000101,18,Northern Cape Engineering Supplies (Pty) Ltd,2026-06-07,2026-08-04,2026-08-10,3,3,DELIVERED
GR-PO-000102,18,Kuruman Industrial Supplies (Pty) Ltd,2025-10-18,2025-12-15,2025-12-09,10,10,DELIVERED
GR-PO-000103,18,Lowveld Mining Equipment Traders (Pty) Ltd,2025-12-28,2026-02-24,2026-02-21,17,17,DELIVERED
GR-PO-000104,18,Highveld Industrial Supplies (Pty) Ltd,2025-04-03,2025-05-31,2025-06-09,18,18,DELIVERED
GR-PO-000105,18,Waterberg Bearing & Drive Co (Pty) Ltd,2025-03-05,2025-05-02,2025-05-12,10,10,DELIVERED
GR-PO-000106,18,Springbok Bearing & Drive Co (Pty) Ltd,2025-09-02,2025-10-30,2025-10-27,14,14,DELIVERED
GR-PO-000107,19,Drakensberg Spares & Components (Pty) Ltd,2025-10-28,2026-02-17,2026-01-25,6,6,DELIVERED
GR-PO-000108,19,Kuruman Industrial Supplies (Pty) Ltd,2025-10-27,2026-02-16,2026-02-04,14,14,DELIVERED
GR-PO-000109,19,Postmasburg Valve & Fittings (Pty) Ltd,2025-04-04,2025-07-25,2025-07-26,16,16,DELIVERED
GR-PO-000110,19,Upington Valve & Fittings (Pty) Ltd,2025-10-31,2026-02-20,2026-02-14,5,5,DELIVERED
GR-PO-000111,19,Highveld Mining Equipment Traders (Pty) Ltd,2026-05-16,2026-09-05,2026-09-22,5,5,DELIVERED
GR-PO-000112,19,Springbok Bearing & Drive Co (Pty) Ltd,2025-04-28,2025-08-18,2025-08-28,10,10,DELIVERED
GR-PO-000113,19,Highveld Industrial Supplies (Pty) Ltd,2025-08-11,2025-12-01,2025-12-01,7,7,DELIVERED
GR-PO-000114,20,Drakensberg Spares & Components (Pty) Ltd,2026-06-18,2026-09-07,2026-09-25,20,20,DELIVERED
GR-PO-000115,20,Bushveld Engineering Supplies (Pty) Ltd,2026-01-23,2026-04-14,2026-04-12,11,11,DELIVERED
GR-PO-000116,20,Orange River Bearing & Drive Co (Pty) Ltd,2025-07-24,2025-10-13,2025-10-16,12,12,DELIVERED
GR-PO-000117,20,Northern Cape Industrial Distributors (Pty) Ltd,2026-05-03,2026-07-23,2026-08-03,8,8,DELIVERED
GR-PO-000118,20,Bushveld Engineering Supplies (Pty) Ltd,2025-06-04,2025-08-24,2025-08-30,12,12,DELIVERED
GR-PO-000119,20,Vaal Valve & Fittings (Pty) Ltd,2024-09-08,2024-11-28,2024-12-16,17,17,DELIVERED
GR-PO-000120,21,Springbok Valve & Fittings (Pty) Ltd,2025-05-06,2025-08-27,2025-08-09,8,8,DELIVERED
GR-PO-000121,21,Namaqua Seals & Sealing Systems (Pty) Ltd,2024-09-29,2025-01-20,2025-01-12,5,5,DELIVERED
GR-PO-000122,21,Copperton Engineering Supplies (Pty) Ltd,2026-03-03,2026-06-24,2026-06-27,8,8,DELIVERED
GR-PO-000123,21,Northern Cape Engineering Supplies (Pty) Ltd,2025-12-13,2026-04-05,2026-04-01,18,18,DELIVERED
GR-PO-000124,22,Lowveld Valve & Fittings (Pty) Ltd,2025-12-20,2026-05-03,2026-05-16,20,20,DELIVERED
GR-PO-000125,22,Springbok Seals & Sealing Systems (Pty) Ltd,2024-12-23,2025-05-06,2025-04-24,4,4,DELIVERED
GR-PO-000126,22,Orange River Industrial Distributors (Pty) Ltd,2025-12-08,2026-04-21,2026-04-26,13,13,DELIVERED
GR-PO-000127,22,Escarpment Mining Equipment Traders (Pty) Ltd,2025-10-10,2026-02-21,2026-02-17,7,7,DELIVERED
GR-PO-000128,22,Copperton Engineering Supplies (Pty) Ltd,2025-08-05,2025-12-17,2025-12-22,16,16,DELIVERED
GR-PO-000129,23,Lowveld Valve & Fittings (Pty) Ltd,2025-11-16,2026-01-26,2025-12-30,20,20,DELIVERED
GR-PO-000130,23,Bushveld Pump Solutions (Pty) Ltd,2025-09-13,2025-11-23,2025-12-22,9,9,DELIVERED
GR-PO-000131,23,Orange River Electromechanical Ltd (Pty) Ltd,2025-08-18,2025-10-28,2025-10-13,7,7,DELIVERED
GR-PO-000132,23,Aggeneys Pump Solutions (Pty) Ltd,2025-11-28,2026-02-07,2026-02-08,16,16,DELIVERED
GR-PO-000133,23,Bushveld Electromechanical Ltd (Pty) Ltd,2025-09-23,2025-12-03,2025-12-17,3,3,DELIVERED
GR-PO-000134,23,Orange River Electromechanical Ltd (Pty) Ltd,2026-03-06,2026-05-16,2026-05-14,1,1,DELIVERED
GR-PO-000135,23,Namaqua Seals & Sealing Systems (Pty) Ltd,2025-04-07,2025-06-17,2025-06-25,18,18,DELIVERED
GR-PO-000136,24,Bushveld Electromechanical Ltd (Pty) Ltd,2025-10-08,2026-02-21,2026-03-13,6,6,DELIVERED
GR-PO-000137,24,Kuruman Pump Solutions (Pty) Ltd,2025-08-29,2026-01-12,2026-02-08,3,3,DELIVERED
GR-PO-000138,24,Upington Valve & Fittings (Pty) Ltd,2024-10-18,2025-03-03,2025-03-19,18,18,DELIVERED
GR-PO-000139,24,Kuruman Pump Solutions (Pty) Ltd,2025-01-22,2025-06-07,2025-06-08,20,20,DELIVERED
GR-PO-000140,24,Aggeneys Pump Solutions (Pty) Ltd,2024-12-08,2025-04-23,2025-04-04,5,5,DELIVERED
GR-PO-000141,24,Orange River Industrial Supplies (Pty) Ltd,2026-07-02,2026-11-15,2026-11-24,5,5,DELIVERED
GR-PO-000142,24,Orange River Bearing & Drive Co (Pty) Ltd,2025-01-31,2025-06-16,2025-05-20,14,14,DELIVERED
GR-PO-000143,24,Karoo Industrial Distributors (Pty) Ltd,2025-06-12,2025-10-26,2025-10-20,11,11,DELIVERED
GR-PO-000144,25,Upington Mining Equipment Traders (Pty) Ltd,2025-06-08,2025-08-12,2025-08-18,18,18,DELIVERED
GR-PO-000145,25,Kimberley Pump Solutions (Pty) Ltd,2024-10-23,2024-12-27,2024-12-18,5,5,DELIVERED
GR-PO-000146,25,Postmasburg Valve & Fittings (Pty) Ltd,2025-04-12,2025-06-16,2025-06-04,6,6,DELIVERED
GR-PO-000147,25,Postmasburg Valve & Fittings (Pty) Ltd,2025-07-12,2025-09-15,2025-09-14,3,3,DELIVERED
GR-PO-000148,25,Bushveld Pump Solutions (Pty) Ltd,2024-09-03,2024-11-07,2024-11-06,1,1,DELIVERED
GR-PO-000149,26,Escarpment Valve & Fittings (Pty) Ltd,2026-06-22,2026-10-22,2026-10-31,19,19,DELIVERED
GR-PO-000150,26,Springbok Industrial Supplies (Pty) Ltd,2024-10-01,2025-01-31,2025-01-10,3,3,DELIVERED
GR-PO-000151,26,Upington Valve & Fittings (Pty) Ltd,2025-10-03,2026-02-02,2026-02-10,11,11,DELIVERED
GR-PO-000152,26,Escarpment Mining Equipment Traders (Pty) Ltd,2025-09-06,2026-01-06,2026-01-15,17,17,DELIVERED
GR-PO-000153,27,Kuruman Spares & Components (Pty) Ltd,2025-12-15,2026-02-22,2026-02-25,1,1,DELIVERED
GR-PO-000154,27,Bushveld Pump Solutions (Pty) Ltd,2025-01-03,2025-03-13,2025-03-08,13,13,DELIVERED
GR-PO-000155,27,Escarpment Electromechanical Ltd (Pty) Ltd,2026-01-25,2026-04-04,2026-04-10,9,9,DELIVERED
GR-PO-000156,27,Springbok Seals & Sealing Systems (Pty) Ltd,2024-08-26,2024-11-03,2024-10-30,11,11,DELIVERED
GR-PO-000157,27,Orange River Bearing & Drive Co (Pty) Ltd,2025-06-08,2025-08-16,2025-08-17,3,3,DELIVERED
GR-PO-000158,27,Drakensberg Spares & Components (Pty) Ltd,2026-05-27,2026-08-04,2026-08-13,7,7,DELIVERED
GR-PO-000159,27,Copperton Engineering Supplies (Pty) Ltd,2024-11-08,2025-01-16,2025-01-22,16,16,DELIVERED
GR-PO-000160,28,Bushveld Electromechanical Ltd (Pty) Ltd,2025-12-22,2026-03-24,2026-03-08,10,10,DELIVERED
GR-PO-000161,28,Vaal Mining Equipment Traders (Pty) Ltd,2025-11-03,2026-02-03,2026-02-17,3,3,DELIVERED
GR-PO-000162,28,Orange River Electromechanical Ltd (Pty) Ltd,2024-11-13,2025-02-13,2025-02-07,19,19,DELIVERED
GR-PO-000163,28,Kuruman Spares & Components (Pty) Ltd,2025-12-28,2026-03-30,2026-04-04,2,2,DELIVERED
GR-PO-000164,28,Kimberley Pump Solutions (Pty) Ltd,2024-10-23,2025-01-23,2025-01-30,18,18,DELIVERED
GR-PO-000165,28,Orange River Industrial Distributors (Pty) Ltd,2026-04-23,2026-07-24,2026-07-21,3,3,DELIVERED
GR-PO-000166,29,Highveld Mining Equipment Traders (Pty) Ltd,2026-06-16,2026-08-22,2026-08-16,14,14,DELIVERED
GR-PO-000167,29,Orange River Industrial Supplies (Pty) Ltd,2025-12-23,2026-02-28,2026-03-04,3,3,DELIVERED
GR-PO-000168,29,Bushveld Pump Solutions (Pty) Ltd,2026-04-30,2026-07-06,2026-07-10,5,5,DELIVERED
GR-PO-000169,29,Bushveld Electromechanical Ltd (Pty) Ltd,2024-11-15,2025-01-21,2025-01-21,8,8,DELIVERED
GR-PO-000170,29,Namaqua Seals & Sealing Systems (Pty) Ltd,2026-05-23,2026-07-29,2026-07-27,16,16,DELIVERED
GR-PO-000171,29,Bushveld Pump Solutions (Pty) Ltd,2026-01-17,2026-03-25,2026-04-03,5,5,DELIVERED
GR-PO-000172,29,Postmasburg Valve & Fittings (Pty) Ltd,2025-12-11,2026-02-16,2026-02-18,20,20,DELIVERED
GR-PO-000173,30,Bushveld Engineering Supplies (Pty) Ltd,2025-01-02,2025-05-08,2025-05-15,14,14,DELIVERED
GR-PO-000174,30,Orange River Bearing & Drive Co (Pty) Ltd,2025-11-21,2026-03-27,2026-04-16,4,4,DELIVERED
GR-PO-000175,30,Kuruman Pump Solutions (Pty) Ltd,2026-02-21,2026-06-27,2026-06-19,2,2,DELIVERED
GR-PO-000176,30,Drakensberg Spares & Components (Pty) Ltd,2026-05-15,2026-09-18,2026-09-26,9,9,DELIVERED
GR-PO-000177,31,Copperton Engineering Supplies (Pty) Ltd,2024-10-01,2024-11-15,2024-11-20,4,4,DELIVERED
GR-PO-000178,31,Kuruman Industrial Supplies (Pty) Ltd,2025-10-15,2025-11-29,2025-12-01,2,2,DELIVERED
GR-PO-000179,31,Escarpment Mining Equipment Traders (Pty) Ltd,2025-11-11,2025-12-26,2025-12-28,8,8,DELIVERED
GR-PO-000180,31,Bushveld Pump Solutions (Pty) Ltd,2025-08-22,2025-10-06,2025-10-05,7,7,DELIVERED
GR-PO-000181,31,Northern Cape Industrial Distributors (Pty) Ltd,2024-09-01,2024-10-16,2024-10-14,9,9,DELIVERED
GR-PO-000182,31,Lowveld Mining Equipment Traders (Pty) Ltd,2025-02-01,2025-03-18,2025-03-23,5,5,DELIVERED
GR-PO-000183,32,Kimberley Pump Solutions (Pty) Ltd,2025-02-25,2025-05-25,2025-06-05,2,2,DELIVERED
GR-PO-000184,32,Springbok Seals & Sealing Systems (Pty) Ltd,2024-09-18,2024-12-16,2024-12-12,19,19,DELIVERED
GR-PO-000185,32,Kuruman Spares & Components (Pty) Ltd,2024-12-07,2025-03-06,2025-03-06,20,20,DELIVERED
GR-PO-000186,32,Upington Valve & Fittings (Pty) Ltd,2026-01-19,2026-04-18,2026-04-30,3,3,DELIVERED
GR-PO-000187,32,Bushveld Spares & Components (Pty) Ltd,2026-02-25,2026-05-25,2026-05-21,3,3,DELIVERED
GR-PO-000188,32,Highveld Industrial Supplies (Pty) Ltd,2025-10-11,2026-01-08,2026-01-13,12,12,DELIVERED
GR-PO-000189,32,Escarpment Valve & Fittings (Pty) Ltd,2025-08-04,2025-11-01,2025-11-02,7,7,DELIVERED
GR-PO-000190,33,Springbok Bearing & Drive Co (Pty) Ltd,2026-02-20,2026-04-15,2026-04-09,14,14,DELIVERED
GR-PO-000191,33,Bushveld Electromechanical Ltd (Pty) Ltd,2026-01-12,2026-03-07,2026-03-06,19,19,DELIVERED
GR-PO-000192,33,Springbok Valve & Fittings (Pty) Ltd,2025-02-01,2025-03-27,2025-03-23,2,2,DELIVERED
GR-PO-000193,33,Escarpment Mining Equipment Traders (Pty) Ltd,2025-08-06,2025-09-29,2025-10-04,18,18,DELIVERED
GR-PO-000194,33,Karoo Industrial Distributors (Pty) Ltd,2025-01-12,2025-03-07,2025-03-13,13,13,DELIVERED
GR-PO-000195,33,Upington Valve & Fittings (Pty) Ltd,2025-06-27,2025-08-20,2025-08-31,14,14,DELIVERED
GR-PO-000196,33,Orange River Engineering Supplies (Pty) Ltd,2026-03-24,2026-05-17,2026-05-19,17,17,DELIVERED
GR-PO-000197,33,Orange River Engineering Supplies (Pty) Ltd,2026-03-30,2026-05-23,2026-06-06,9,9,DELIVERED
GR-PO-000198,34,Kuruman Pump Solutions (Pty) Ltd,2026-05-27,2026-08-11,2026-08-08,6,6,DELIVERED
GR-PO-000199,34,Springbok Bearing & Drive Co (Pty) Ltd,2025-01-05,2025-03-22,2025-03-24,8,8,DELIVERED
GR-PO-000200,34,Springbok Industrial Supplies (Pty) Ltd,2025-10-26,2026-01-10,2025-12-28,20,20,DELIVERED
GR-PO-000201,34,Kuruman Spares & Components (Pty) Ltd,2025-02-13,2025-04-30,2025-04-26,8,8,DELIVERED
GR-PO-000202,35,Kimberley Pump Solutions (Pty) Ltd,2026-07-14,2026-09-27,2026-10-02,9,9,DELIVERED
GR-PO-000203,35,Vaal Valve & Fittings (Pty) Ltd,2026-05-19,2026-08-02,2026-07-11,8,8,DELIVERED
GR-PO-000204,35,Kuruman Pump Solutions (Pty) Ltd,2024-09-06,2024-11-20,2024-11-17,13,13,DELIVERED
GR-PO-000205,35,Springbok Industrial Supplies (Pty) Ltd,2025-08-27,2025-11-10,2025-11-16,14,14,DELIVERED
GR-PO-000206,35,Highveld Industrial Supplies (Pty) Ltd,2026-02-10,2026-04-26,2026-04-17,5,5,DELIVERED
GR-PO-000207,37,Escarpment Valve & Fittings (Pty) Ltd,2025-03-05,2025-06-19,2025-05-19,1,1,DELIVERED
GR-PO-000208,37,Escarpment Valve & Fittings (Pty) Ltd,2026-06-14,2026-09-28,2026-10-09,8,8,DELIVERED
GR-PO-000209,37,Orange River Industrial Supplies (Pty) Ltd,2026-01-12,2026-04-28,2026-05-10,12,12,DELIVERED
GR-PO-000210,37,Bushveld Electromechanical Ltd (Pty) Ltd,2025-10-06,2026-01-20,2026-02-20,4,4,DELIVERED
