material_id,plant,unrestricted_stock,blocked_stock,reserved_stock,open_po_qty
160,BMM,19,0,0,10
161,Gamsberg,9,0,0,10
162,BMM,1,0,0,28
163,Gamsberg,3,0,0,19
164,BMM,383,2,0,0
165,Gamsberg,1,0,0,31
166,BMM,28,0,4,9
167,Gamsberg,30,1,0,5
168,BMM,34,0,0,10
169,Gamsberg,3,2,0,1
170,BMM,16,0,0,19
171,Gamsberg,10,0,0,0
172,BMM,20,0,0,0
173,Gamsberg,32,1,0,7
174,BMM,40,0,4,16
175,Gamsberg,4,0,0,15
176,BMM,256,3,4,2
177,Gamsberg,25,3,0,24
178,BMM,22,0,0,19
179,Gamsberg,16,2,0,28
180,BMM,37,1,0,5
181,Gamsberg,10,0,0,14
182,BMM,9,0,0,19
183,Gamsberg,23,0,0,0
184,BMM,2,0,3,10
185,Gamsberg,140,0,0,12
186,BMM,19,0,1,0
187,Gamsberg,129,1,0,2
188,BMM,9,0,0,0
189,Gamsberg,3,0,0,9
190,BMM,37,0,4,23
191,Gamsberg,32,0,0,35
192,BMM,36,0,0,5
193,Gamsberg,7,0,0,14
194,BMM,3,0,3,0
195,Gamsberg,32,0,0,15
196,BMM,26,0,0,67
197,Gamsberg,36,0,4,12
198,BMM,1,0,0,10
199,Gamsberg,36,0,0,7
200,BMM,18,0,0,18
201,Gamsberg,6,0,0,0
202,BMM,16,3,0,37
203,Gamsberg,25,0,0,12
204,BMM,22,1,0,10
205,Gamsberg,18,0,0,0
