Infnr,Matnr,Lifnr,Loekz
5300000276,000000000010000599,0001000013,false
5300000277,000000000080000134,0001000020,false
5300000278,000000000010000600,0001000054,false
5300000279,000000000010000601,0001000025,false
5300000280,000000000010000602,0001000019,false
5300000281,000000000010000606,0001000002,false
5300000282,000000000010000607,0001000007,false
5300000283,000000000010000609,0001000039,false
5300000284,000000000010000612,0001000003,false
5300000285,000000000010000613,0001000046,false
5300000286,000000000080000139,0001000040,false
5300000287,000000000010000621,0001000039,false
5300000288,000000000080000140,0001000052,false
5300000289,000000000010000623,0001000017,false
5300000290,000000000010000631,0001000022,false
5300000291,000000000010000633,0001000019,false
5300000292,000000000010000637,0001000043,false
5300000293,000000000080000144,0001000036,false
5300000294,000000000030000143,0001000041,false
5300000295,000000000010000641,0001000015,false
5300000296,000000000010000642,0001000003,false
5300000297,000000000010000646,0001000011,false
5300000298,000000000010000650,0001000035,false
5300000299,000000000010000652,0001000057,false
5300000300,000000000010000653,0001000019,false
5300000301,000000000030000145,0001000025,false
5300000302,000000000010000655,0001000014,false
5300000303,000000000030000146,0001000014,false
5300000304,000000000010000658,0001000002,false
5300000305,000000000010000659,0001000057,false
5300000306,000000000010000661,0001000017,false
5300000307,000000000080000147,0001000052,false
5300000308,000000000010000669,0001000058,false
5300000309,000000000010000671,0001000022,false
5300000310,000000000010000673,0001000035,false
5300000311,000000000010000674,0001000047,false
5300000312,000000000010000676,0001000053,false
5300000313,000000000030000153,0001000003,false
5300000314,000000000010000678,0001000025,false
5300000315,000000000010000680,0001000017,false
5300000316,000000000010000681,0001000041,false
5300000317,000000000030000156,0001000050,false
5300000318,000000000010000682,0001000041,false
5300000319,000000000010000685,0001000037,false
5300000320,000000000010000687,0001000050,false
5300000321,000000000010000688,0001000051,false
5300000322,000000000030000157,0001000043,false
5300000323,000000000080000155,0001000040,false
5300000324,000000000010000690,0001000051,false
5300000325,000000000010000691,0001000059,false
5300000326,000000000010000693,0001000002,false
5300000327,000000000010000694,0001000021,false
5300000328,000000000010000696,0001000059,false
5300000329,000000000030000158,0001000002,false
5300000330,000000000010000699,0001000005,false
5300000331,000000000010000702,0001000037,false
5300000332,000000000010000707,0001000018,false
5300000333,000000000080000158,0001000008,false
5300000334,000000000080000159,0001000032,false
5300000335,000000000010000712,0001000053,false
5300000336,000000000010000715,0001000022,false
5300000337,000000000030000165,0001000055,false
5300000338,000000000080000161,0001000028,false
5300000339,000000000010000721,0001000018,false
5300000340,000000000010000723,0001000013,false
5300000341,000000000010000730,0001000015,false
5300000342,000000000030000168,0001000053,false
5300000343,000000000090000040,0001000046,false
5300000344,000000000010000737,0001000003,false
5300000345,000000000010000742,0001000018,false
5300000346,000000000010000743,0001000029,false
5300000347,000000000010000745,0001000010,false
5300000348,000000000030000173,0001000043,false
5300000349,000000000010000748,0001000046,false
5300000350,000000000080000168,0001000056,false
5300000351,000000000010000756,0001000006,false
5300000352,000000000010000759,0001000049,false
5300000353,000000000080000173,0001000048,false
5300000354,000000000010000760,0001000003,false
5300000355,000000000010000769,0001000007,false
5300000356,000000000080000176,0001000048,false
5300000357,000000000010000770,0001000029,false
5300000358,000000000010000772,0001000054,false
5300000359,000000000030000178,0001000038,false
5300000360,000000000010000781,0001000003,false
5300000361,000000000010000784,0001000049,false
5300000362,000000000030000180,0001000013,false
5300000363,000000000010000786,0001000047,false
5300000364,000000000010000789,0001000049,false
5300000365,000000000010000791,0001000055,false
5300000366,000000000010000792,0001000042,false
5300000367,000000000010000794,0001000022,false
5300000368,000000000010000799,0001000006,false
5300000369,000000000010000800,0001000035,false
5300000370,000000000080000184,0001000016,false
5300000371,000000000010000802,0001000037,false
5300000372,000000000010000805,0001000026,false
5300000373,000000000010000809,0001000001,false
5300000374,000000000010000812,0001000027,false
5300000375,000000000010000814,0001000058,false
5300000376,000000000010000815,0001000001,false
5300000377,000000000030000190,0001000038,false
5300000378,000000000010000819,0001000005,false
5300000379,000000000080000187,0001000004,false
5300000380,000000000030000191,0001000030,false
5300000381,000000000010000825,0001000057,false
5300000382,000000000010000826,0001000043,false
5300000383,000000000010000828,0001000039,false
5300000384,000000000010000831,0001000038,false
5300000385,000000000010000833,0001000047,false
5300000386,000000000030000193,0001000054,false
5300000387,000000000010000837,0001000009,false
5300000388,000000000080000190,0001000056,false
5300000389,000000000030000197,0001000031,false
5300000390,000000000080000191,0001000020,false
5300000391,000000000010000845,0001000001,false
5300000392,000000000030000201,0001000055,false
5300000393,000000000010000847,0001000045,false
5300000394,000000000010000853,0001000013,false
5300000395,000000000010000855,0001000011,false
5300000396,000000000010000857,0001000055,false
5300000397,000000000010000860,0001000057,false
5300000398,000000000010000861,0001000014,false
5300000399,000000000030000206,0001000057,false
5300000400,000000000080000195,0001000020,false
5300000401,000000000080000197,0001000000,false
5300000402,000000000080000198,0001000036,false
5300000403,000000000010000871,0001000011,false
5300000404,000000000030000212,0001000001,false
5300000405,000000000080000199,0001000056,false
5300000406,000000000010000874,0001000027,false
5300000407,000000000010000877,0001000022,false
5300000408,000000000010000879,0001000021,false
5300000409,000000000010000883,0001000030,false
5300000410,000000000030000216,0001000003,false
5300000411,000000000010000892,0001000050,false
5300000412,000000000010000893,0001000029,false
5300000413,000000000010000894,0001000017,false
5300000414,000000000030000220,0001000031,false
5300000415,000000000010000899,0001000054,false
5300000416,000000000010000900,0001000049,false
5300000417,000000000080000202,0001000008,false
5300000418,000000000080000203,0001000016,false
5300000419,000000000010000902,0001000027,false
5300000420,000000000010000904,0001000058,false
5300000421,000000000080000204,0001000004,false
5300000422,000000000010000907,0001000043,false
5300000423,000000000010000908,0001000041,false
5300000424,000000000010000910,0001000035,false
5300000425,000000000010000911,0001000030,false
5300000426,000000000080000206,0001000016,false
5300000427,000000000010000917,0001000026,false
5300000428,000000000080000209,0001000040,false
5300000429,000000000080000210,0001000048,false
5300000430,000000000010000921,0001000057,false
5300000431,000000000010000924,0001000023,false
5300000432,000000000030000231,0001000051,false
5300000433,000000000030000232,0001000011,false
5300000434,000000000080000214,0001000024,false
5300000435,000000000010000932,0001000029,false
5300000436,000000000010000933,0001000007,false
5300000437,000000000080000215,0001000020,false
5300000438,000000000080000219,0001000040,false
5300000439,000000000010000936,0001000047,false
5300000440,000000000030000235,0001000018,false
5300000441,000000000010000939,0001000042,false
5300000442,000000000010000941,0001000050,false
5300000443,000000000080000222,0001000020,false
5300000444,000000000010000947,0001000043,false
5300000445,000000000030000238,0001000043,false
5300000446,000000000030000239,0001000054,false
5300000447,000000000030000240,0001000031,false
5300000448,000000000030000241,0001000013,false
5300000449,000000000080000226,0001000024,false
5300000450,000000000030000243,0001000001,false
5300000451,000000000010000950,0001000029,false
5300000452,000000000030000244,0001000018,false
5300000453,000000000090000050,0001000023,false
5300000454,000000000010000952,0001000022,false
5300000455,000000000010000957,0001000051,false
5300000456,000000000010000960,0001000045,false
5300000457,000000000080000232,0001000004,false
5300000458,000000000010000962,0001000001,false
5300000459,000000000010000965,0001000026,false
5300000460,000000000010000973,0001000023,false
5300000461,000000000010000974,0001000055,false
5300000462,000000000010000977,0001000034,false
5300000463,000000000010000978,0001000046,false
5300000464,000000000010000980,0001000006,false
5300000465,000000000080000237,0001000020,false
5300000466,000000000010000984,0001000018,false
5300000467,000000000090000052,0001000030,false
5300000468,000000000010000996,0001000058,false
5300000469,000000000010001001,0001000047,false
5300000470,000000000030000253,0001000009,false
5300000471,000000000010001005,0001000023,false
5300000472,000000000030000256,0001000025,false
5300000473,000000000010001011,0001000042,false
5300000474,000000000010001012,0001000041,false
5300000475,000000000080000249,0001000000,false
5300000476,000000000010001015,0001000050,false
5300000477,000000000030000257,0001000050,false
5300000478,000000000010001017,0001000039,false
5300000479,000000000010001019,0001000019,false
5300000480,000000000030000260,0001000053,false
5300000481,000000000010001027,0001000049,false
5300000482,000000000030000261,0001000022,false
5300000483,000000000010001030,0001000027,false
5300000484,000000000010001036,0001000018,false
5300000485,000000000030000263,0001000023,false
5300000486,000000000010001038,0001000057,false
5300000487,000000000080000258,0001000008,false
5300000488,000000000010001043,0001000047,false
5300000489,000000000010001049,0001000003,false
5300000490,000000000030000264,0001000045,false
5300000491,000000000010001052,0001000050,false
5300000492,000000000010001055,0001000006,false
5300000493,000000000010001057,0001000005,false
5300000494,000000000010001062,0001000038,false
5300000495,000000000010001064,0001000010,false
5300000496,000000000010001069,0001000047,false
5300000497,000000000090000054,0001000055,false
5300000498,000000000010001072,0001000005,false
5300000499,000000000010001074,0001000035,false
5300000500,000000000010001075,0001000050,false
5300000501,000000000010001076,0001000057,false
5300000502,000000000010001086,0001000001,false
5300000503,000000000010001091,0001000033,false
5300000504,000000000010001092,0001000006,false
5300000505,000000000010001099,0001000037,false
5300000506,000000000030000275,0001000009,false
5300000507,000000000090000057,0001000046,false
5300000508,000000000030000276,0001000033,false
5300000509,000000000010001106,0001000039,false
5300000510,000000000010001108,0001000001,false
5300000511,000000000010001113,0001000041,false
5300000512,000000000080000271,0001000000,false
5300000513,000000000030000282,0001000017,false
5300000514,000000000030000283,0001000021,false
5300000515,000000000010001119,0001000035,false
5300000516,000000000080000272,0001000032,false
5300000517,000000000080000273,0001000040,false
5300000518,000000000030000284,0001000034,false
5300000519,000000000080000274,0001000008,false
5300000520,000000000090000061,0001000045,false
5300000521,000000000010001127,0001000031,false
5300000522,000000000010001132,0001000058,false
5300000523,000000000010001133,0001000010,false
5300000524,000000000010001135,0001000035,false
5300000525,000000000010001140,0001000010,false
5300000526,000000000080000277,0001000004,false
5300000527,000000000080000278,0001000052,false
5300000528,000000000010001156,0001000051,false
5300000529,000000000010001160,0001000051,false
5300000530,000000000010001162,0001000022,false
5300000531,000000000010001163,0001000035,false
5300000532,000000000010001168,0001000027,false
5300000533,000000000010001170,0001000050,false
5300000534,000000000090000065,0001000059,false
5300000535,000000000030000289,0001000014,false
5300000536,000000000010001174,0001000057,false
5300000537,000000000010001176,0001000033,false
5300000538,000000000010001179,0001000038,false
5300000539,000000000010001180,0001000049,false
5300000540,000000000010001181,0001000043,false
5300000541,000000000010001182,0001000053,false
5300000542,000000000030000290,0001000051,false
5300000543,000000000010001183,0001000015,false
5300000544,000000000010001185,0001000019,false
5300000545,000000000010001186,0001000041,false
5300000546,000000000030000292,0001000011,false
5300000547,000000000010001187,0001000015,false
5300000548,000000000030000293,0001000045,false
5300000549,000000000080000286,0001000012,false
5300000550,000000000010001192,0001000001,false
5300000551,000000000010001193,0001000031,false
5300000552,000000000010001194,0001000055,false
5300000553,000000000010001196,0001000009,false
5300000554,000000000010001199,0001000005,false
5300000555,000000000030000294,0001000026,false
5300000556,000000000090000067,0001000023,false
5300000557,000000000010001211,0001000055,false
5300000558,000000000010001214,0001000029,false
5300000559,000000000030000299,0001000025,false
5300000560,000000000080000288,0001000044,false
5300000561,000000000080000290,0001000012,false
5300000562,000000000010001217,0001000009,false
5300000563,000000000010001222,0001000017,false
5300000564,000000000010001223,0001000054,false
5300000565,000000000010001224,0001000050,false
5300000566,000000000080000292,0001000004,false
5300000567,000000000090000068,0001000027,false
5300000568,000000000010001230,0001000046,false
5300000569,000000000030000303,0001000059,false
5300000570,000000000010001236,0001000010,false
5300000571,000000000090000069,0001000010,false
5300000572,000000000010001238,0001000057,false
5300000573,000000000010001239,0001000026,false
5300000574,000000000030000306,0001000051,false
5300000575,000000000030000307,0001000007,false
5300000576,000000000010001251,0001000054,false
5300000577,000000000030000311,0001000047,false
5300000578,000000000010001260,0001000038,false
5300000579,000000000010001261,0001000050,false
5300000580,000000000010001262,0001000041,false
5300000581,000000000010001264,0001000030,false
5300000582,000000000030000313,0001000051,false
5300000583,000000000030000314,0001000035,false
5300000584,000000000010001267,0001000042,false
5300000585,000000000010001270,0001000033,false
5300000586,000000000010001271,0001000015,false
5300000587,000000000010001272,0001000039,false
5300000588,000000000010001273,0001000037,false
5300000589,000000000010001276,0001000058,false
5300000590,000000000010001277,0001000041,false
5300000591,000000000010001279,0001000043,false
5300000592,000000000080000298,0001000028,false
5300000593,000000000010001288,0001000045,false
5300000594,000000000010001290,0001000037,false
5300000595,000000000010001292,0001000054,false
5300000596,000000000010001293,0001000023,false
5300000597,000000000080000299,0001000048,false
5300000598,000000000080000300,0001000004,false
