Matnr,Bwkey,Lbkum,Salk3,Vprsv,Verpr,Stprs,Peinh,Bklas
000000000010000076,1000,6.000,654990.18,V,109165.03,0.00,1.000,3200
000000000010000077,2000,2.000,42049.38,V,21024.69,0.00,1.000,3200
000000000010000078,1000,0.000,0.00,V,5469.21,0.00,1.000,3200
000000000010000079,3000,0.000,0.00,V,111174.38,0.00,1.000,3200
000000000010000080,1000,0.000,0.00,V,140481.96,0.00,1.000,3200
000000000010000081,4000,2.000,311055.28,V,155527.64,0.00,1.000,3200
000000000010000082,1000,4.000,120485.16,V,30121.29,0.00,1.000,3200
000000000080000022,3000,20.000,6430846.00,V,321542.30,0.00,1.000,3200
000000000080000022,1000,7.000,2250796.10,V,321542.30,0.00,1.000,3200
000000000010000083,4000,155.000,1042767.15,V,6727.53,0.00,1.000,3200
000000000010000084,1000,3.000,881059.80,V,293686.60,0.00,1.000,3200
000000000010000085,4000,0.000,0.00,V,557330.02,0.00,1.000,3200
000000000010000086,1000,6.000,92774.16,V,15462.36,0.00,1.000,3200
000000000010000087,1000,2.000,171321.64,V,85660.82,0.00,1.000,3200
000000000010000087,4000,3.000,256982.46,V,85660.82,0.00,1.000,3200
000000000080000023,3000,13.000,615890.60,V,47376.20,0.00,1.000,3200
000000000090000003,2000,10.000,526863.60,V,52686.36,0.00,1.000,3200
000000000030000014,3000,3.000,241500.90,V,80500.30,0.00,1.000,3200
000000000030000014,2000,0.000,0.00,V,80500.30,0.00,1.000,3200
000000000010000088,2000,0.000,0.00,V,235725.00,0.00,1.000,3200
000000000010000089,4000,0.000,0.00,V,346086.86,0.00,1.000,3200
000000000030000015,1000,4.000,2965092.08,V,741273.02,0.00,1.000,3200
000000000080000024,1000,6.000,1563130.26,V,260521.71,0.00,1.000,3200
000000000080000025,2000,3.000,684581.25,V,228193.75,0.00,1.000,3200
000000000080000025,4000,8.000,1825550.00,V,228193.75,0.00,1.000,3200
000000000030000016,1000,4.000,1109535.60,V,277383.90,0.00,1.000,3200
000000000010000090,4000,7.000,462159.04,V,66022.72,0.00,1.000,3200
000000000090000004,1000,7.000,169855.98,V,24265.14,0.00,1.000,3200
000000000090000004,3000,13.000,315446.82,V,24265.14,0.00,1.000,3200
000000000080000026,2000,2.000,322246.56,V,161123.28,0.00,1.000,3200
000000000010000091,4000,7.000,289169.86,V,41309.98,0.00,1.000,3200
000000000030000017,1000,4.000,445844.00,V,111461.00,0.00,1.000,3200
000000000080000027,4000,9.000,505188.90,V,56132.10,0.00,1.000,3200
000000000010000092,4000,2.000,33657.68,V,16828.84,0.00,1.000,3200
000000000010000092,3000,3.000,50486.52,V,16828.84,0.00,1.000,3200
000000000010000093,4000,12.000,972757.08,V,81063.09,0.00,1.000,3200
000000000090000005,1000,21.000,425934.18,V,20282.58,0.00,1.000,3200
000000000080000028,2000,7.000,2900582.30,V,414368.90,0.00,1.000,3200
000000000010000094,4000,0.000,0.00,V,92981.27,0.00,1.000,3200
000000000010000095,3000,0.000,0.00,V,161575.13,0.00,1.000,3200
000000000010000095,2000,0.000,0.00,V,161575.13,0.00,1.000,3200
000000000010000096,1000,2.000,112888.46,V,56444.23,0.00,1.000,3200
000000000010000097,4000,0.000,0.00,V,149610.30,0.00,1.000,3200
000000000080000029,3000,8.000,493235.04,V,61654.38,0.00,1.000,3200
000000000080000029,1000,7.000,431580.66,V,61654.38,0.00,1.000,3200
000000000030000018,3000,4.000,1915677.88,V,478919.47,0.00,1.000,3200
000000000010000098,1000,0.000,0.00,V,22150.66,0.00,1.000,3200
000000000080000030,3000,12.000,3664912.68,V,305409.39,0.00,1.000,3200
000000000080000030,1000,6.000,1832456.34,V,305409.39,0.00,1.000,3200
000000000010000099,2000,5.000,2621250.70,V,524250.14,0.00,1.000,3200
000000000010000100,1000,64.000,345208.32,V,5393.88,0.00,1.000,3200
000000000010000100,3000,85.000,458479.80,V,5393.88,0.00,1.000,3200
000000000030000019,3000,4.000,705352.44,V,176338.11,0.00,1.000,3200
000000000030000019,4000,0.000,0.00,V,176338.11,0.00,1.000,3200
000000000080000031,2000,6.000,2685092.64,V,447515.44,0.00,1.000,3200
000000000010000101,4000,219.000,907551.33,V,4144.07,0.00,1.000,3200
000000000030000020,1000,1.000,123672.12,V,123672.12,0.00,1.000,3200
000000000010000102,1000,5.000,1566341.95,V,313268.39,0.00,1.000,3200
000000000010000102,3000,25.000,7831709.75,V,313268.39,0.00,1.000,3200
000000000030000021,3000,3.000,522416.01,V,174138.67,0.00,1.000,3200
000000000010000103,3000,15.000,2623971.60,V,174931.44,0.00,1.000,3200
000000000010000104,1000,18.000,6001314.30,V,333406.35,0.00,1.000,3200
000000000010000104,2000,16.000,5334501.60,V,333406.35,0.00,1.000,3200
000000000030000022,4000,4.000,521039.24,V,130259.81,0.00,1.000,3200
000000000030000022,3000,1.000,130259.81,V,130259.81,0.00,1.000,3200
000000000010000105,4000,1.000,7233.26,V,7233.26,0.00,1.000,3200
000000000010000106,1000,49.000,737383.36,V,15048.64,0.00,1.000,3200
000000000010000106,3000,63.000,948064.32,V,15048.64,0.00,1.000,3200
000000000010000107,4000,9.000,2835237.24,V,315026.36,0.00,1.000,3200
000000000010000108,2000,0.000,0.00,V,126858.91,0.00,1.000,3200
000000000030000023,4000,3.000,370606.05,V,123535.35,0.00,1.000,3200
000000000030000023,1000,2.000,247070.70,V,123535.35,0.00,1.000,3200
000000000010000109,1000,115.000,1724290.45,V,14993.83,0.00,1.000,3200
000000000080000032,4000,3.000,1221241.56,V,407080.52,0.00,1.000,3200
000000000010000110,2000,0.000,0.00,V,140735.17,0.00,1.000,3200
000000000010000110,3000,6.000,844411.02,V,140735.17,0.00,1.000,3200
000000000010000111,1000,0.000,0.00,V,490151.93,0.00,1.000,3200
000000000010000112,2000,3.000,180609.57,V,60203.19,0.00,1.000,3200
000000000010000113,1000,0.000,0.00,V,54772.22,0.00,1.000,3200
000000000010000114,2000,9.000,82701.90,V,9189.10,0.00,1.000,3200
000000000080000033,1000,8.000,1536704.88,V,192088.11,0.00,1.000,3200
000000000080000033,3000,6.000,1152528.66,V,192088.11,0.00,1.000,3200
000000000030000024,4000,4.000,513052.20,V,128263.05,0.00,1.000,3200
000000000010000115,3000,1.000,167011.10,V,167011.10,0.00,1.000,3200
000000000080000034,1000,2.000,793301.86,V,396650.93,0.00,1.000,3200
000000000010000116,2000,0.000,0.00,V,23177.52,0.00,1.000,3200
000000000030000025,4000,0.000,0.00,V,109276.63,0.00,1.000,3200
000000000090000006,2000,28.000,1830022.88,V,65357.96,0.00,1.000,3200
000000000010000117,3000,14.000,1534998.64,V,109642.76,0.00,1.000,3200
000000000010000117,4000,0.000,0.00,V,109642.76,0.00,1.000,3200
000000000010000118,1000,0.000,0.00,V,126006.95,0.00,1.000,3200
000000000030000026,4000,4.000,275340.64,V,68835.16,0.00,1.000,3200
000000000030000026,1000,3.000,206505.48,V,68835.16,0.00,1.000,3200
000000000010000119,1000,90.000,1701626.40,V,18906.96,0.00,1.000,3200
000000000080000035,1000,5.000,1102844.95,V,220568.99,0.00,1.000,3200
000000000080000035,2000,10.000,2205689.90,V,220568.99,0.00,1.000,3200
000000000080000036,3000,2.000,310742.08,V,155371.04,0.00,1.000,3200
000000000010000120,1000,0.000,0.00,V,161690.60,0.00,1.000,3200
000000000030000027,3000,5.000,1637027.15,V,327405.43,0.00,1.000,3200
000000000030000027,1000,0.000,0.00,V,327405.43,0.00,1.000,3200
000000000010000121,4000,6.000,636973.74,V,106162.29,0.00,1.000,3200
000000000030000028,3000,1.000,145142.75,V,145142.75,0.00,1.000,3200
000000000030000028,4000,2.000,290285.50,V,145142.75,0.00,1.000,3200
000000000010000122,2000,0.000,0.00,V,19292.74,0.00,1.000,3200
000000000080000037,4000,12.000,2819047.80,V,234920.65,0.00,1.000,3200
000000000010000123,2000,9.000,164266.56,V,18251.84,0.00,1.000,3200
000000000010000123,4000,7.000,127762.88,V,18251.84,0.00,1.000,3200
000000000010000124,3000,0.000,0.00,V,164120.77,0.00,1.000,3200
000000000010000124,4000,0.000,0.00,V,164120.77,0.00,1.000,3200
000000000030000029,2000,2.000,102589.94,V,51294.97,0.00,1.000,3200
000000000010000125,1000,9.000,4823198.91,V,535910.99,0.00,1.000,3200
000000000030000030,1000,2.000,144369.82,V,72184.91,0.00,1.000,3200
000000000010000126,4000,42.000,364887.18,V,8687.79,0.00,1.000,3200
000000000010000127,4000,35.000,16514.05,V,471.83,0.00,1.000,3200
000000000010000128,3000,180.000,95104954.80,V,528360.86,0.00,1.000,3200
000000000010000129,3000,7.000,896406.14,V,128058.02,0.00,1.000,3200
000000000010000130,4000,0.000,0.00,V,21662.86,0.00,1.000,3200
000000000010000131,4000,10.000,1031211.50,V,103121.15,0.00,1.000,3200
000000000080000038,4000,4.000,1415746.04,V,353936.51,0.00,1.000,3200
000000000010000132,3000,0.000,0.00,V,54136.01,0.00,1.000,3200
000000000010000133,2000,0.000,0.00,V,173155.63,0.00,1.000,3200
000000000010000134,1000,5.000,177087.65,V,35417.53,0.00,1.000,3200
000000000010000135,2000,1.000,137238.15,V,137238.15,0.00,1.000,3200
000000000010000136,3000,1.000,169287.73,V,169287.73,0.00,1.000,3200
000000000010000137,2000,11.000,1746048.48,V,158731.68,0.00,1.000,3200
000000000010000138,4000,3.000,2342011.95,V,780670.65,0.00,1.000,3200
000000000030000031,2000,0.000,0.00,V,118982.82,0.00,1.000,3200
000000000010000139,3000,0.000,0.00,V,16574.59,0.00,1.000,3200
000000000010000140,2000,11.000,1314279.67,V,119479.97,0.00,1.000,3200
000000000010000140,3000,24.000,2867519.28,V,119479.97,0.00,1.000,3200
000000000010000141,3000,32.000,696873.28,V,21777.29,0.00,1.000,3200
000000000010000142,3000,0.000,0.00,V,132414.10,0.00,1.000,3200
000000000080000039,4000,1.000,432394.41,V,432394.41,0.00,1.000,3200
000000000010000143,3000,0.000,0.00,V,176250.24,0.00,1.000,3200
000000000010000144,1000,0.000,0.00,V,166655.89,0.00,1.000,3200
000000000030000032,1000,0.000,0.00,V,111527.89,0.00,1.000,3200
000000000010000145,2000,0.000,0.00,V,29169.61,0.00,1.000,3200
000000000010000145,4000,0.000,0.00,V,29169.61,0.00,1.000,3200
000000000030000033,2000,11.000,645123.82,V,58647.62,0.00,1.000,3200
000000000010000146,3000,6.000,755707.62,V,125951.27,0.00,1.000,3200
000000000010000146,1000,1.000,125951.27,V,125951.27,0.00,1.000,3200
000000000080000040,1000,7.000,256710.58,V,36672.94,0.00,1.000,3200
000000000010000147,3000,17.000,97824.80,V,5754.40,0.00,1.000,3200
000000000090000007,3000,12.000,351999.96,V,29333.33,0.00,1.000,3200
000000000080000041,2000,3.000,834167.22,V,278055.74,0.00,1.000,3200
000000000080000042,4000,7.000,309848.77,V,44264.11,0.00,1.000,3200
000000000010000148,2000,7.000,935137.00,V,133591.00,0.00,1.000,3200
000000000010000149,2000,5.000,602791.75,V,120558.35,0.00,1.000,3200
000000000090000008,2000,21.000,3331048.98,V,158621.38,0.00,1.000,3200
000000000080000043,4000,4.000,596179.80,V,149044.95,0.00,1.000,3200
000000000010000150,2000,2.000,322807.44,V,161403.72,0.00,1.000,3200
000000000010000150,4000,4.000,645614.88,V,161403.72,0.00,1.000,3200
000000000010000151,1000,14.000,2276830.92,V,162630.78,0.00,1.000,3200
000000000010000151,2000,4.000,650523.12,V,162630.78,0.00,1.000,3200
000000000010000152,3000,0.000,0.00,V,45430.61,0.00,1.000,3200
000000000030000034,2000,1.000,85350.83,V,85350.83,0.00,1.000,3200
000000000010000153,4000,2.000,12026.28,V,6013.14,0.00,1.000,3200
000000000010000154,1000,144.000,1324775.52,V,9199.83,0.00,1.000,3200
000000000010000155,2000,5.000,319323.00,V,63864.60,0.00,1.000,3200
000000000010000156,3000,13.000,779136.02,V,59933.54,0.00,1.000,3200
000000000010000157,1000,3.000,217382.10,V,72460.70,0.00,1.000,3200
000000000010000158,3000,0.000,0.00,V,166562.35,0.00,1.000,3200
000000000080000044,3000,19.000,4824453.40,V,253918.60,0.00,1.000,3200
000000000010000159,1000,0.000,0.00,V,111242.37,0.00,1.000,3200
000000000080000045,3000,0.000,0.00,V,409526.43,0.00,1.000,3200
000000000010000160,4000,0.000,0.00,V,30851.34,0.00,1.000,3200
000000000010000161,2000,1.000,86244.58,V,86244.58,0.00,1.000,3200
000000000010000161,3000,7.000,603712.06,V,86244.58,0.00,1.000,3200
000000000090000009,3000,12.000,1298403.00,V,108200.25,0.00,1.000,3200
000000000030000035,3000,7.000,757865.01,V,108266.43,0.00,1.000,3200
000000000080000046,3000,9.000,611242.02,V,67915.78,0.00,1.000,3200
000000000080000046,4000,3.000,203747.34,V,67915.78,0.00,1.000,3200
000000000010000162,3000,14.000,140898.38,V,10064.17,0.00,1.000,3200
000000000010000163,1000,12.000,1695523.32,V,141293.61,0.00,1.000,3200
000000000010000163,4000,4.000,565174.44,V,141293.61,0.00,1.000,3200
000000000010000164,2000,0.000,0.00,V,93243.94,0.00,1.000,3200
000000000010000165,2000,64.000,498040.32,V,7781.88,0.00,1.000,3200
000000000030000036,4000,0.000,0.00,V,50085.65,0.00,1.000,3200
000000000080000047,4000,4.000,1108529.32,V,277132.33,0.00,1.000,3200
000000000080000047,2000,2.000,554264.66,V,277132.33,0.00,1.000,3200
000000000010000166,3000,18.000,2637622.98,V,146534.61,0.00,1.000,3200
000000000010000167,2000,0.000,0.00,V,74209.53,0.00,1.000,3200
000000000010000168,3000,5.000,584807.35,V,116961.47,0.00,1.000,3200
000000000010000168,4000,0.000,0.00,V,116961.47,0.00,1.000,3200
000000000030000037,4000,0.000,0.00,V,151979.50,0.00,1.000,3200
000000000010000169,3000,12.000,8333273.28,V,694439.44,0.00,1.000,3200
000000000010000170,1000,2.000,51627.16,V,25813.58,0.00,1.000,3200
000000000080000048,3000,11.000,3356556.39,V,305141.49,0.00,1.000,3200
000000000010000171,1000,6.000,3061173.54,V,510195.59,0.00,1.000,3200
000000000010000172,2000,4.000,560832.40,V,140208.10,0.00,1.000,3200
000000000010000172,3000,10.000,1402081.00,V,140208.10,0.00,1.000,3200
000000000010000173,4000,3.000,119175.78,V,39725.26,0.00,1.000,3200
000000000080000049,3000,1.000,83563.55,V,83563.55,0.00,1.000,3200
000000000010000174,3000,6.000,56280.84,V,9380.14,0.00,1.000,3200
000000000010000175,1000,13.000,2179652.93,V,167665.61,0.00,1.000,3200
000000000010000176,2000,0.000,0.00,V,737205.84,0.00,1.000,3200
000000000010000176,4000,0.000,0.00,V,737205.84,0.00,1.000,3200
000000000010000177,1000,21.000,414505.56,V,19738.36,0.00,1.000,3200
000000000030000038,3000,2.000,119680.30,V,59840.15,0.00,1.000,3200
000000000010000178,1000,14.000,11549.72,V,824.98,0.00,1.000,3200
000000000010000179,2000,14.000,780711.54,V,55765.11,0.00,1.000,3200
000000000080000050,3000,12.000,3001965.36,V,250163.78,0.00,1.000,3200
000000000080000051,2000,5.000,1317475.85,V,263495.17,0.00,1.000,3200
000000000010000180,3000,17.000,162642.91,V,9567.23,0.00,1.000,3200
000000000090000010,2000,38.000,2751742.64,V,72414.28,0.00,1.000,3200
000000000090000010,1000,12.000,868971.36,V,72414.28,0.00,1.000,3200
000000000010000181,3000,0.000,0.00,V,30663.83,0.00,1.000,3200
000000000080000052,4000,18.000,4164793.02,V,231377.39,0.00,1.000,3200
000000000010000182,4000,0.000,0.00,V,151561.50,0.00,1.000,3200
000000000010000182,3000,0.000,0.00,V,151561.50,0.00,1.000,3200
000000000010000183,1000,0.000,0.00,V,106927.94,0.00,1.000,3200
000000000030000039,1000,0.000,0.00,V,174478.21,0.00,1.000,3200
000000000010000184,3000,0.000,0.00,V,561172.05,0.00,1.000,3200
000000000030000040,2000,0.000,0.00,V,162108.37,0.00,1.000,3200
000000000010000185,3000,124.000,115788.72,V,933.78,0.00,1.000,3200
000000000010000185,2000,1.000,933.78,V,933.78,0.00,1.000,3200
000000000010000186,3000,0.000,0.00,V,172064.97,0.00,1.000,3200
000000000030000041,4000,1.000,183331.33,V,183331.33,0.00,1.000,3200
000000000030000042,1000,0.000,0.00,V,152504.44,0.00,1.000,3200
000000000010000187,4000,0.000,0.00,V,131725.79,0.00,1.000,3200
000000000010000188,2000,0.000,0.00,V,129215.12,0.00,1.000,3200
000000000010000188,4000,0.000,0.00,V,129215.12,0.00,1.000,3200
000000000080000053,1000,6.000,1651191.18,V,275198.53,0.00,1.000,3200
000000000010000189,4000,2.000,309964.26,V,154982.13,0.00,1.000,3200
000000000010000190,2000,2.000,192277.84,V,96138.92,0.00,1.000,3200
000000000010000191,1000,95.000,11901874.55,V,125282.89,0.00,1.000,3200
000000000010000192,2000,1.000,101684.53,V,101684.53,0.00,1.000,3200
000000000080000054,3000,3.000,921345.48,V,307115.16,0.00,1.000,3200
000000000010000193,1000,7.000,654706.29,V,93529.47,0.00,1.000,3200
000000000010000193,4000,7.000,654706.29,V,93529.47,0.00,1.000,3200
000000000010000194,4000,6.000,538454.70,V,89742.45,0.00,1.000,3200
000000000010000195,1000,131.000,65690847.35,V,501456.85,0.00,1.000,3200
000000000010000195,4000,116.000,58168994.60,V,501456.85,0.00,1.000,3200
000000000010000196,4000,3.000,1642127.88,V,547375.96,0.00,1.000,3200
000000000010000197,3000,8.000,868077.20,V,108509.65,0.00,1.000,3200
