Mblnr,Mjahr,Budat,Cpudt,Xblnr
4900000042,2025,2025-10-13T00:00:00,2025-10-13T00:00:00,
4900000043,2025,2025-11-22T00:00:00,2025-11-22T00:00:00,
4900000044,2025,2025-12-05T00:00:00,2025-12-05T00:00:00,
4900000045,2026,2026-01-04T00:00:00,2026-01-04T00:00:00,
4900000046,2026,2026-02-03T00:00:00,2026-02-03T00:00:00,4500000007
4900000047,2026,2026-02-06T00:00:00,2026-02-06T00:00:00,
4900000048,2026,2026-03-13T00:00:00,2026-03-13T00:00:00,4500000008
4900000049,2026,2026-03-18T00:00:00,2026-03-18T00:00:00,
4900000050,2026,2026-04-16T00:00:00,2026-04-16T00:00:00,
4900000051,2026,2026-05-06T00:00:00,2026-05-06T00:00:00,
4900000052,2026,2026-06-07T00:00:00,2026-06-07T00:00:00,
4900000053,2026,2026-07-06T00:00:00,2026-07-06T00:00:00,
4900000054,2026,2026-09-04T00:00:00,2026-09-04T00:00:00,
4900000055,2024,2024-09-25T00:00:00,2024-09-25T00:00:00,
4900000056,2024,2024-10-28T00:00:00,2024-10-28T00:00:00,
4900000057,2024,2024-11-09T00:00:00,2024-11-09T00:00:00,
4900000058,2024,2024-11-29T00:00:00,2024-11-29T00:00:00,4500000010
4900000059,2024,2024-12-02T00:00:00,2024-12-02T00:00:00,
4900000060,2025,2025-01-02T00:00:00,2025-01-02T00:00:00,
4900000061,2025,2025-02-12T00:00:00,2025-02-12T00:00:00,
4900000062,2025,2025-03-09T00:00:00,2025-03-09T00:00:00,
4900000063,2025,2025-04-05T00:00:00,2025-04-05T00:00:00,
4900000064,2025,2025-04-23T00:00:00,2025-04-23T00:00:00,4500000012
4900000065,2025,2025-05-12T00:00:00,2025-05-12T00:00:00,
4900000066,2025,2025-06-23T00:00:00,2025-06-23T00:00:00,
4900000067,2025,2025-07-14T00:00:00,2025-07-14T00:00:00,
4900000068,2025,2025-08-03T00:00:00,2025-08-03T00:00:00,
4900000069,2025,2025-09-24T00:00:00,2025-09-24T00:00:00,4500000013
4900000070,2025,2025-09-30T00:00:00,2025-09-30T00:00:00,
4900000071,2025,2025-10-21T00:00:00,2025-10-21T00:00:00,
4900000072,2025,2025-11-01T00:00:00,2025-11-01T00:00:00,
4900000073,2025,2025-12-13T00:00:00,2025-12-13T00:00:00,
4900000074,2026,2026-01-06T00:00:00,2026-01-06T00:00:00,
4900000075,2026,2026-02-14T00:00:00,2026-02-14T00:00:00,4500000015
4900000076,2026,2026-02-24T00:00:00,2026-02-24T00:00:00,
4900000077,2026,2026-03-17T00:00:00,2026-03-17T00:00:00,
4900000078,2026,2026-04-29T00:00:00,2026-04-29T00:00:00,
4900000079,2026,2026-05-26T00:00:00,2026-05-26T00:00:00,
4900000080,2026,2026-06-21T00:00:00,2026-06-21T00:00:00,
4900000081,2026,2026-07-09T00:00:00,2026-07-09T00:00:00,
4900000082,2026,2026-07-13T00:00:00,2026-07-13T00:00:00,4500000016
4900000083,2026,2026-09-04T00:00:00,2026-09-04T00:00:00,
4900000084,2024,2024-09-01T00:00:00,2024-09-01T00:00:00,
4900000085,2024,2024-11-02T00:00:00,2024-11-02T00:00:00,4500000018
4900000086,2024,2024-11-09T00:00:00,2024-11-09T00:00:00,
4900000087,2024,2024-12-28T00:00:00,2024-12-28T00:00:00,
4900000088,2025,2025-01-16T00:00:00,2025-01-16T00:00:00,
4900000089,2025,2025-03-08T00:00:00,2025-03-08T00:00:00,4500000019
4900000090,2025,2025-04-26T00:00:00,2025-04-26T00:00:00,
4900000091,2025,2025-05-11T00:00:00,2025-05-11T00:00:00,
4900000092,2025,2025-07-09T00:00:00,2025-07-09T00:00:00,4500000021
4900000093,2025,2025-08-12T00:00:00,2025-08-12T00:00:00,
4900000094,2025,2025-09-10T00:00:00,2025-09-10T00:00:00,
4900000095,2025,2025-10-16T00:00:00,2025-10-16T00:00:00,4500000022
4900000096,2025,2025-10-30T00:00:00,2025-10-30T00:00:00,
4900000097,2025,2025-12-20T00:00:00,2025-12-20T00:00:00,4500000023
4900000098,2026,2026-01-18T00:00:00,2026-01-18T00:00:00,
4900000099,2026,2026-03-06T00:00:00,2026-03-06T00:00:00,
4900000100,2026,2026-04-19T00:00:00,2026-04-19T00:00:00,
4900000101,2026,2026-05-06T00:00:00,2026-05-06T00:00:00,4500000024
4900000102,2026,2026-05-25T00:00:00,2026-05-25T00:00:00,
4900000103,2026,2026-07-29T00:00:00,2026-07-29T00:00:00,4500000025
4900000104,2025,2025-04-18T00:00:00,2025-04-18T00:00:00,
4900000105,2025,2025-04-29T00:00:00,2025-04-29T00:00:00,4500000026
4900000106,2025,2025-09-06T00:00:00,2025-09-06T00:00:00,
4900000107,2025,2025-10-19T00:00:00,2025-10-19T00:00:00,
4900000108,2025,2025-11-09T00:00:00,2025-11-09T00:00:00,4500000027
4900000109,2025,2025-11-24T00:00:00,2025-11-24T00:00:00,
4900000110,2025,2025-12-23T00:00:00,2025-12-23T00:00:00,
4900000111,2025,2025-12-31T00:00:00,2025-12-31T00:00:00,4500000028
4900000112,2026,2026-03-09T00:00:00,2026-03-09T00:00:00,
4900000113,2026,2026-06-10T00:00:00,2026-06-10T00:00:00,
4900000114,2026,2026-08-03T00:00:00,2026-08-03T00:00:00,4500000029
4900000115,2024,2024-11-11T00:00:00,2024-11-11T00:00:00,
4900000116,2025,2025-01-11T00:00:00,2025-01-11T00:00:00,4500000031
4900000117,2025,2025-02-20T00:00:00,2025-02-20T00:00:00,
4900000118,2025,2025-03-02T00:00:00,2025-03-02T00:00:00,4500000032
4900000119,2025,2025-04-01T00:00:00,2025-04-01T00:00:00,
4900000120,2025,2025-05-16T00:00:00,2025-05-16T00:00:00,
4900000121,2025,2025-06-06T00:00:00,2025-06-06T00:00:00,4500000033
4900000122,2025,2025-06-22T00:00:00,2025-06-22T00:00:00,
4900000123,2025,2025-07-09T00:00:00,2025-07-09T00:00:00,4500000034
4900000124,2025,2025-08-13T00:00:00,2025-08-13T00:00:00,
4900000125,2025,2025-09-03T00:00:00,2025-09-03T00:00:00,4500000035
4900000126,2026,2026-03-08T00:00:00,2026-03-08T00:00:00,
4900000127,2026,2026-03-27T00:00:00,2026-03-27T00:00:00,4500000036
4900000128,2026,2026-08-26T00:00:00,2026-08-26T00:00:00,
4900000129,2024,2024-09-08T00:00:00,2024-09-08T00:00:00,
4900000130,2024,2024-10-06T00:00:00,2024-10-06T00:00:00,
4900000131,2024,2024-11-27T00:00:00,2024-11-27T00:00:00,
4900000132,2024,2024-12-05T00:00:00,2024-12-05T00:00:00,
4900000133,2024,2024-12-13T00:00:00,2024-12-13T00:00:00,4500000038
4900000134,2025,2025-01-12T00:00:00,2025-01-12T00:00:00,
4900000135,2025,2025-02-19T00:00:00,2025-02-19T00:00:00,
4900000136,2025,2025-03-04T00:00:00,2025-03-04T00:00:00,
4900000137,2025,2025-04-05T00:00:00,2025-04-05T00:00:00,
4900000138,2025,2025-04-12T00:00:00,2025-04-12T00:00:00,4500000039
4900000139,2025,2025-05-08T00:00:00,2025-05-08T00:00:00,
4900000140,2025,2025-06-30T00:00:00,2025-06-30T00:00:00,
4900000141,2025,2025-07-21T00:00:00,2025-07-21T00:00:00,
4900000142,2025,2025-08-11T00:00:00,2025-08-11T00:00:00,
4900000143,2025,2025-08-25T00:00:00,2025-08-25T00:00:00,4500000040
4900000144,2025,2025-09-08T00:00:00,2025-09-08T00:00:00,
4900000145,2025,2025-10-22T00:00:00,2025-10-22T00:00:00,
4900000146,2025,2025-10-30T00:00:00,2025-10-30T00:00:00,4500000041
4900000147,2025,2025-11-15T00:00:00,2025-11-15T00:00:00,
4900000148,2025,2025-12-08T00:00:00,2025-12-08T00:00:00,
4900000149,2026,2026-01-23T00:00:00,2026-01-23T00:00:00,
4900000150,2026,2026-02-10T00:00:00,2026-02-10T00:00:00,
4900000151,2026,2026-02-24T00:00:00,2026-02-24T00:00:00,4500000042
4900000152,2026,2026-03-02T00:00:00,2026-03-02T00:00:00,
4900000153,2026,2026-04-20T00:00:00,2026-04-20T00:00:00,
4900000154,2026,2026-05-15T00:00:00,2026-05-15T00:00:00,
4900000155,2026,2026-06-08T00:00:00,2026-06-08T00:00:00,4500000043
4900000156,2026,2026-06-17T00:00:00,2026-06-17T00:00:00,
4900000157,2026,2026-07-12T00:00:00,2026-07-12T00:00:00,
4900000158,2026,2026-08-06T00:00:00,2026-08-06T00:00:00,4500000045
4900000159,2026,2026-08-13T00:00:00,2026-08-13T00:00:00,
4900000160,2024,2024-09-25T00:00:00,2024-09-25T00:00:00,
4900000161,2024,2024-11-29T00:00:00,2024-11-29T00:00:00,4500000046
4900000162,2024,2024-12-23T00:00:00,2024-12-23T00:00:00,
4900000163,2025,2025-02-26T00:00:00,2025-02-26T00:00:00,4500000047
4900000164,2025,2025-05-05T00:00:00,2025-05-05T00:00:00,
4900000165,2025,2025-07-09T00:00:00,2025-07-09T00:00:00,4500000048
4900000166,2025,2025-09-07T00:00:00,2025-09-07T00:00:00,
4900000167,2025,2025-11-16T00:00:00,2025-11-16T00:00:00,
4900000168,2025,2025-12-04T00:00:00,2025-12-04T00:00:00,
4900000169,2026,2026-01-14T00:00:00,2026-01-14T00:00:00,4500000049
4900000170,2026,2026-03-07T00:00:00,2026-03-07T00:00:00,
4900000171,2026,2026-05-12T00:00:00,2026-05-12T00:00:00,4500000050
4900000172,2024,2024-11-12T00:00:00,2024-11-12T00:00:00,
4900000173,2024,2024-12-14T00:00:00,2024-12-14T00:00:00,4500000052
4900000174,2024,2024-12-18T00:00:00,2024-12-18T00:00:00,
4900000175,2025,2025-02-21T00:00:00,2025-02-21T00:00:00,
4900000176,2025,2025-02-22T00:00:00,2025-02-22T00:00:00,4500000054
4900000177,2025,2025-08-22T00:00:00,2025-08-22T00:00:00,
4900000178,2025,2025-10-12T00:00:00,2025-10-12T00:00:00,
4900000179,2025,2025-10-20T00:00:00,2025-10-20T00:00:00,4500000055
4900000180,2025,2025-11-18T00:00:00,2025-11-18T00:00:00,
4900000181,2026,2026-01-25T00:00:00,2026-01-25T00:00:00,4500000056
4900000182,2026,2026-05-22T00:00:00,2026-05-22T00:00:00,
4900000183,2024,2024-11-03T00:00:00,2024-11-03T00:00:00,
4900000184,2024,2024-12-02T00:00:00,2024-12-02T00:00:00,4500000057
4900000185,2025,2025-02-10T00:00:00,2025-02-10T00:00:00,
4900000186,2025,2025-05-16T00:00:00,2025-05-16T00:00:00,4500000060
4900000187,2025,2025-06-20T00:00:00,2025-06-20T00:00:00,
4900000188,2025,2025-07-13T00:00:00,2025-07-13T00:00:00,4500000061
4900000189,2025,2025-08-15T00:00:00,2025-08-15T00:00:00,
4900000190,2025,2025-09-04T00:00:00,2025-09-04T00:00:00,
4900000191,2025,2025-10-15T00:00:00,2025-10-15T00:00:00,4500000062
4900000192,2026,2026-01-16T00:00:00,2026-01-16T00:00:00,
4900000193,2026,2026-02-08T00:00:00,2026-02-08T00:00:00,4500000063
4900000194,2026,2026-06-09T00:00:00,2026-06-09T00:00:00,
4900000195,2024,2024-09-12T00:00:00,2024-09-12T00:00:00,
4900000196,2024,2024-10-08T00:00:00,2024-10-08T00:00:00,4500000064
4900000197,2024,2024-12-17T00:00:00,2024-12-17T00:00:00,
4900000198,2025,2025-01-15T00:00:00,2025-01-15T00:00:00,
4900000199,2025,2025-02-09T00:00:00,2025-02-09T00:00:00,4500000065
4900000200,2025,2025-04-03T00:00:00,2025-04-03T00:00:00,
4900000201,2025,2025-08-20T00:00:00,2025-08-20T00:00:00,
4900000202,2025,2025-09-09T00:00:00,2025-09-09T00:00:00,4500000066
4900000203,2026,2026-06-09T00:00:00,2026-06-09T00:00:00,
4900000204,2026,2026-09-02T00:00:00,2026-09-02T00:00:00,
4900000205,2024,2024-10-30T00:00:00,2024-10-30T00:00:00,
4900000206,2024,2024-11-23T00:00:00,2024-11-23T00:00:00,4500000068
4900000207,2024,2024-12-14T00:00:00,2024-12-14T00:00:00,
4900000208,2025,2025-02-23T00:00:00,2025-02-23T00:00:00,
4900000209,2025,2025-05-08T00:00:00,2025-05-08T00:00:00,
4900000210,2025,2025-10-19T00:00:00,2025-10-19T00:00:00,
4900000211,2026,2026-01-04T00:00:00,2026-01-04T00:00:00,4500000071
4900000212,2026,2026-01-28T00:00:00,2026-01-28T00:00:00,
4900000213,2026,2026-04-29T00:00:00,2026-04-29T00:00:00,
4900000214,2026,2026-06-21T00:00:00,2026-06-21T00:00:00,
4900000215,2026,2026-07-24T00:00:00,2026-07-24T00:00:00,
4900000216,2026,2026-08-19T00:00:00,2026-08-19T00:00:00,4500000073
4900000217,2024,2024-11-27T00:00:00,2024-11-27T00:00:00,
4900000218,2024,2024-12-14T00:00:00,2024-12-14T00:00:00,
4900000219,2024,2024-12-20T00:00:00,2024-12-20T00:00:00,4500000074
4900000220,2025,2025-01-19T00:00:00,2025-01-19T00:00:00,
4900000221,2025,2025-04-15T00:00:00,2025-04-15T00:00:00,
4900000222,2025,2025-06-16T00:00:00,2025-06-16T00:00:00,
4900000223,2025,2025-07-09T00:00:00,2025-07-09T00:00:00,
4900000224,2025,2025-08-04T00:00:00,2025-08-04T00:00:00,4500000075
4900000225,2025,2025-08-09T00:00:00,2025-08-09T00:00:00,
4900000226,2025,2025-09-03T00:00:00,2025-09-03T00:00:00,
4900000227,2025,2025-10-21T00:00:00,2025-10-21T00:00:00,
4900000228,2025,2025-12-27T00:00:00,2025-12-27T00:00:00,
4900000229,2026,2026-01-10T00:00:00,2026-01-10T00:00:00,4500000077
4900000230,2026,2026-01-17T00:00:00,2026-01-17T00:00:00,
4900000231,2026,2026-05-27T00:00:00,2026-05-27T00:00:00,
4900000232,2026,2026-09-01T00:00:00,2026-09-01T00:00:00,
4900000233,2024,2024-09-05T00:00:00,2024-09-05T00:00:00,
4900000234,2024,2024-10-02T00:00:00,2024-10-02T00:00:00,
4900000235,2024,2024-11-17T00:00:00,2024-11-17T00:00:00,
4900000236,2024,2024-12-27T00:00:00,2024-12-27T00:00:00,
4900000237,2025,2025-01-02T00:00:00,2025-01-02T00:00:00,4500000079
4900000238,2025,2025-01-09T00:00:00,2025-01-09T00:00:00,
4900000239,2025,2025-02-14T00:00:00,2025-02-14T00:00:00,
4900000240,2025,2025-03-17T00:00:00,2025-03-17T00:00:00,
4900000241,2025,2025-04-12T00:00:00,2025-04-12T00:00:00,
4900000242,2025,2025-05-25T00:00:00,2025-05-25T00:00:00,
4900000243,2025,2025-06-08T00:00:00,2025-06-08T00:00:00,
4900000244,2025,2025-07-15T00:00:00,2025-07-15T00:00:00,4500000080
4900000245,2025,2025-07-23T00:00:00,2025-07-23T00:00:00,
4900000246,2025,2025-08-18T00:00:00,2025-08-18T00:00:00,
4900000247,2025,2025-09-23T00:00:00,2025-09-23T00:00:00,
4900000248,2025,2025-10-11T00:00:00,2025-10-11T00:00:00,
4900000249,2025,2025-11-23T00:00:00,2025-11-23T00:00:00,
4900000250,2025,2025-12-13T00:00:00,2025-12-13T00:00:00,
4900000251,2026,2026-01-09T00:00:00,2026-01-09T00:00:00,4500000081
4900000252,2026,2026-01-09T00:00:00,2026-01-09T00:00:00,
4900000253,2026,2026-02-16T00:00:00,2026-02-16T00:00:00,
4900000254,2026,2026-03-06T00:00:00,2026-03-06T00:00:00,
4900000255,2026,2026-04-11T00:00:00,2026-04-11T00:00:00,
4900000256,2026,2026-05-10T00:00:00,2026-05-10T00:00:00,
4900000257,2026,2026-08-06T00:00:00,2026-08-06T00:00:00,4500000083
4900000258,2026,2026-08-27T00:00:00,2026-08-27T00:00:00,
4900000259,2024,2024-09-18T00:00:00,2024-09-18T00:00:00,
4900000260,2024,2024-10-22T00:00:00,2024-10-22T00:00:00,
4900000261,2024,2024-11-03T00:00:00,2024-11-03T00:00:00,4500000084
4900000262,2024,2024-11-28T00:00:00,2024-11-28T00:00:00,
4900000263,2024,2024-12-14T00:00:00,2024-12-14T00:00:00,
4900000264,2025,2025-01-18T00:00:00,2025-01-18T00:00:00,4500000085
4900000265,2025,2025-01-25T00:00:00,2025-01-25T00:00:00,
4900000266,2025,2025-02-07T00:00:00,2025-02-07T00:00:00,
4900000267,2025,2025-03-02T00:00:00,2025-03-02T00:00:00,
4900000268,2025,2025-03-18T00:00:00,2025-03-18T00:00:00,4500000086
4900000269,2025,2025-04-21T00:00:00,2025-04-21T00:00:00,4500000087
4900000270,2025,2025-04-30T00:00:00,2025-04-30T00:00:00,
4900000271,2025,2025-05-28T00:00:00,2025-05-28T00:00:00,
4900000272,2025,2025-06-10T00:00:00,2025-06-10T00:00:00,
4900000273,2025,2025-07-31T00:00:00,2025-07-31T00:00:00,
4900000274,2025,2025-08-31T00:00:00,2025-08-31T00:00:00,
4900000275,2025,2025-09-10T00:00:00,2025-09-10T00:00:00,4500000088
4900000276,2025,2025-09-11T00:00:00,2025-09-11T00:00:00,
4900000277,2025,2025-10-03T00:00:00,2025-10-03T00:00:00,
4900000278,2025,2025-11-15T00:00:00,2025-11-15T00:00:00,
4900000279,2025,2025-11-18T00:00:00,2025-11-18T00:00:00,4500000089
4900000280,2025,2025-12-04T00:00:00,2025-12-04T00:00:00,
4900000281,2026,2026-01-03T00:00:00,2026-01-03T00:00:00,4500000091
4900000282,2026,2026-01-10T00:00:00,2026-01-10T00:00:00,
4900000283,2026,2026-02-17T00:00:00,2026-02-17T00:00:00,
4900000284,2026,2026-03-07T00:00:00,2026-03-07T00:00:00,
4900000285,2026,2026-04-08T00:00:00,2026-04-08T00:00:00,
4900000286,2026,2026-04-17T00:00:00,2026-04-17T00:00:00,4500000092
4900000287,2026,2026-05-09T00:00:00,2026-05-09T00:00:00,
4900000288,2026,2026-06-28T00:00:00,2026-06-28T00:00:00,
4900000289,2026,2026-07-05T00:00:00,2026-07-05T00:00:00,4500000093
4900000290,2026,2026-07-09T00:00:00,2026-07-09T00:00:00,
4900000291,2026,2026-08-03T00:00:00,2026-08-03T00:00:00,
4900000292,2026,2026-08-22T00:00:00,2026-08-22T00:00:00,4500000094
4900000293,2024,2024-09-22T00:00:00,2024-09-22T00:00:00,
4900000294,2024,2024-10-05T00:00:00,2024-10-05T00:00:00,
4900000295,2024,2024-10-21T00:00:00,2024-10-21T00:00:00,4500000095
4900000296,2024,2024-11-24T00:00:00,2024-11-24T00:00:00,
4900000297,2024,2024-12-28T00:00:00,2024-12-28T00:00:00,
4900000298,2025,2025-01-25T00:00:00,2025-01-25T00:00:00,4500000097
4900000299,2025,2025-02-22T00:00:00,2025-02-22T00:00:00,
4900000300,2025,2025-03-06T00:00:00,2025-03-06T00:00:00,
4900000301,2025,2025-04-14T00:00:00,2025-04-14T00:00:00,
4900000302,2025,2025-05-08T00:00:00,2025-05-08T00:00:00,
4900000303,2025,2025-06-03T00:00:00,2025-06-03T00:00:00,
4900000304,2025,2025-07-01T00:00:00,2025-07-01T00:00:00,4500000098
4900000305,2025,2025-07-18T00:00:00,2025-07-18T00:00:00,
4900000306,2025,2025-08-03T00:00:00,2025-08-03T00:00:00,
4900000307,2025,2025-09-23T00:00:00,2025-09-23T00:00:00,
4900000308,2025,2025-10-26T00:00:00,2025-10-26T00:00:00,
4900000309,2025,2025-11-11T00:00:00,2025-11-11T00:00:00,
4900000310,2025,2025-12-13T00:00:00,2025-12-13T00:00:00,
4900000311,2025,2025-12-21T00:00:00,2025-12-21T00:00:00,4500000099
4900000312,2026,2026-01-06T00:00:00,2026-01-06T00:00:00,
4900000313,2026,2026-02-16T00:00:00,2026-02-16T00:00:00,
4900000314,2026,2026-03-25T00:00:00,2026-03-25T00:00:00,
4900000315,2026,2026-04-02T00:00:00,2026-04-02T00:00:00,
4900000316,2026,2026-04-16T00:00:00,2026-04-16T00:00:00,4500000100
4900000317,2026,2026-05-26T00:00:00,2026-05-26T00:00:00,
4900000318,2026,2026-06-26T00:00:00,2026-06-26T00:00:00,
4900000319,2026,2026-07-07T00:00:00,2026-07-07T00:00:00,
4900000320,2026,2026-07-25T00:00:00,2026-07-25T00:00:00,4500000101
4900000321,2026,2026-08-26T00:00:00,2026-08-26T00:00:00,
4900000322,2024,2024-10-14T00:00:00,2024-10-14T00:00:00,
4900000323,2024,2024-11-12T00:00:00,2024-11-12T00:00:00,
4900000324,2025,2025-06-13T00:00:00,2025-06-13T00:00:00,
4900000325,2026,2026-07-01T00:00:00,2026-07-01T00:00:00,
4900000326,2024,2024-09-26T00:00:00,2024-09-26T00:00:00,
4900000327,2024,2024-10-15T00:00:00,2024-10-15T00:00:00,
4900000328,2024,2024-11-13T00:00:00,2024-11-13T00:00:00,
4900000329,2025,2025-06-07T00:00:00,2025-06-07T00:00:00,4500000102
4900000330,2025,2025-06-16T00:00:00,2025-06-16T00:00:00,
4900000331,2025,2025-09-22T00:00:00,2025-09-22T00:00:00,
4900000332,2025,2025-11-06T00:00:00,2025-11-06T00:00:00,
4900000333,2025,2025-12-29T00:00:00,2025-12-29T00:00:00,
4900000334,2026,2026-01-03T00:00:00,2026-01-03T00:00:00,
4900000335,2026,2026-03-27T00:00:00,2026-03-27T00:00:00,
4900000336,2026,2026-04-13T00:00:00,2026-04-13T00:00:00,
4900000337,2026,2026-05-17T00:00:00,2026-05-17T00:00:00,
4900000338,2026,2026-08-31T00:00:00,2026-08-31T00:00:00,4500000103
4900000339,2024,2024-09-21T00:00:00,2024-09-21T00:00:00,
4900000340,2024,2024-10-01T00:00:00,2024-10-01T00:00:00,
4900000341,2024,2024-11-15T00:00:00,2024-11-15T00:00:00,
4900000342,2024,2024-12-22T00:00:00,2024-12-22T00:00:00,
4900000343,2025,2025-01-13T00:00:00,2025-01-13T00:00:00,
4900000344,2025,2025-03-02T00:00:00,2025-03-02T00:00:00,
4900000345,2025,2025-05-27T00:00:00,2025-05-27T00:00:00,4500000104
4900000346,2025,2025-06-30T00:00:00,2025-06-30T00:00:00,
4900000347,2025,2025-07-16T00:00:00,2025-07-16T00:00:00,
4900000348,2025,2025-09-06T00:00:00,2025-09-06T00:00:00,
4900000349,2025,2025-10-28T00:00:00,2025-10-28T00:00:00,
4900000350,2025,2025-11-23T00:00:00,2025-11-23T00:00:00,
4900000351,2025,2025-12-21T00:00:00,2025-12-21T00:00:00,
4900000352,2026,2026-01-01T00:00:00,2026-01-01T00:00:00,
4900000353,2026,2026-02-13T00:00:00,2026-02-13T00:00:00,
4900000354,2026,2026-03-08T00:00:00,2026-03-08T00:00:00,4500000105
4900000355,2026,2026-04-05T00:00:00,2026-04-05T00:00:00,
4900000356,2026,2026-05-22T00:00:00,2026-05-22T00:00:00,
4900000357,2026,2026-07-23T00:00:00,2026-07-23T00:00:00,
4900000358,2024,2024-11-18T00:00:00,2024-11-18T00:00:00,
4900000359,2024,2024-12-02T00:00:00,2024-12-02T00:00:00,
4900000360,2024,2024-09-05T00:00:00,2024-09-05T00:00:00,
4900000361,2025,2025-02-15T00:00:00,2025-02-15T00:00:00,
4900000362,2025,2025-10-18T00:00:00,2025-10-18T00:00:00,
4900000363,2025,2025-11-11T00:00:00,2025-11-11T00:00:00,
4900000364,2026,2026-08-09T00:00:00,2026-08-09T00:00:00,
4900000365,2024,2024-10-11T00:00:00,2024-10-11T00:00:00,
4900000366,2024,2024-11-12T00:00:00,2024-11-12T00:00:00,4500000107
4900000367,2024,2024-11-29T00:00:00,2024-11-29T00:00:00,
4900000368,2024,2024-12-17T00:00:00,2024-12-17T00:00:00,
4900000369,2025,2025-02-02T00:00:00,2025-02-02T00:00:00,4500000109
4900000370,2025,2025-03-24T00:00:00,2025-03-24T00:00:00,
4900000371,2025,2025-05-03T00:00:00,2025-05-03T00:00:00,
4900000372,2025,2025-06-30T00:00:00,2025-06-30T00:00:00,
4900000373,2025,2025-08-17T00:00:00,2025-08-17T00:00:00,4500000112
4900000374,2025,2025-09-23T00:00:00,2025-09-23T00:00:00,
4900000375,2025,2025-09-30T00:00:00,2025-09-30T00:00:00,4500000113
4900000376,2025,2025-12-24T00:00:00,2025-12-24T00:00:00,
4900000377,2026,2026-01-10T00:00:00,2026-01-10T00:00:00,
4900000378,2026,2026-04-23T00:00:00,2026-04-23T00:00:00,
4900000379,2026,2026-05-11T00:00:00,2026-05-11T00:00:00,4500000115
4900000380,2026,2026-07-13T00:00:00,2026-07-13T00:00:00,4500000117
4900000381,2026,2026-07-17T00:00:00,2026-07-17T00:00:00,
4900000382,2024,2024-09-02T00:00:00,2024-09-02T00:00:00,
4900000383,2024,2024-10-29T00:00:00,2024-10-29T00:00:00,
4900000384,2024,2024-11-25T00:00:00,2024-11-25T00:00:00,
4900000385,2025,2025-01-13T00:00:00,2025-01-13T00:00:00,4500000120
4900000386,2025,2025-01-25T00:00:00,2025-01-25T00:00:00,
4900000387,2025,2025-06-17T00:00:00,2025-06-17T00:00:00,
