Ebeln,Bsart,Aedat,Lifnr,Ekorg,Ekgrp,Waers
4500000118,AN,2026-07-22T00:00:00,0001000031,Z100,Z01,ZAR
4500000119,WK,2026-08-13T00:00:00,0001000031,Z100,Z02,ZAR
4500000120,ZDOM,2024-09-14T00:00:00,0001000048,Z100,Z01,ZAR
4500000121,ZDOM,2025-09-27T00:00:00,0001000048,Z100,Z03,ZAR
4500000122,WK,2024-09-24T00:00:00,0001000045,Z100,Z01,ZAR
4500000123,WK,2025-02-24T00:00:00,0001000045,Z100,Z02,ZAR
4500000124,WK,2025-09-24T00:00:00,0001000045,Z100,Z01,ZAR
4500000125,ZDOM,2026-02-19T00:00:00,0001000045,Z100,Z01,ZAR
4500000126,ZDOM,2024-10-04T00:00:00,0001000008,Z100,Z02,ZAR
4500000127,ZDOM,2025-04-07T00:00:00,0001000008,Z100,Z03,ZAR
4500000128,WK,2025-04-15T00:00:00,0001000008,Z100,Z01,ZAR
4500000129,WK,2025-08-15T00:00:00,0001000008,Z100,Z02,ZAR
4500000130,AN,2026-01-03T00:00:00,0001000008,Z100,Z01,ZAR
4500000131,AN,2026-07-24T00:00:00,0001000008,Z100,Z02,ZAR
4500000132,ZDOM,2024-09-12T00:00:00,0001000028,Z100,Z02,ZAR
4500000133,WK,2025-03-23T00:00:00,0001000028,Z100,Z02,ZAR
4500000134,ZDOM,2025-11-07T00:00:00,0001000028,Z100,Z01,ZAR
4500000135,WK,2025-11-13T00:00:00,0001000028,Z100,Z03,ZAR
4500000136,WK,2026-04-04T00:00:00,0001000028,Z100,Z02,ZAR
4500000137,WK,2026-07-12T00:00:00,0001000028,Z100,Z02,ZAR
4500000138,WK,2024-10-30T00:00:00,0001000049,Z100,Z03,ZAR
4500000139,ZDOM,2025-06-05T00:00:00,0001000049,Z100,Z01,ZAR
4500000140,ZDOM,2025-11-02T00:00:00,0001000049,Z100,Z01,ZAR
4500000141,ZDOM,2025-12-20T00:00:00,0001000049,Z100,Z01,ZAR
4500000142,ZDOM,2026-03-24T00:00:00,0001000049,Z100,Z02,ZAR
4500000143,ZDOM,2026-07-15T00:00:00,0001000049,Z100,Z02,ZAR
4500000144,AN,2024-10-31T00:00:00,0001000041,Z100,Z02,ZAR
4500000145,WK,2025-05-29T00:00:00,0001000041,Z100,Z03,ZAR
4500000146,WK,2025-07-21T00:00:00,0001000041,Z100,Z03,ZAR
4500000147,ZDOM,2025-08-08T00:00:00,0001000041,Z100,Z01,ZAR
4500000148,ZDOM,2024-11-03T00:00:00,0001000035,Z100,Z03,ZAR
4500000149,WK,2025-02-15T00:00:00,0001000035,Z100,Z02,ZAR
4500000150,WK,2025-03-24T00:00:00,0001000035,Z100,Z02,ZAR
4500000151,AN,2025-09-08T00:00:00,0001000035,Z100,Z02,ZAR
4500000152,ZDOM,2026-02-03T00:00:00,0001000035,Z100,Z03,ZAR
4500000153,AN,2026-05-14T00:00:00,0001000035,Z100,Z03,ZAR
4500000154,WK,2024-09-12T00:00:00,0001000028,Z100,Z02,ZAR
4500000155,AN,2024-11-26T00:00:00,0001000028,Z100,Z03,ZAR
4500000156,ZDOM,2025-05-04T00:00:00,0001000028,Z100,Z02,ZAR
4500000157,AN,2025-11-13T00:00:00,0001000028,Z100,Z01,ZAR
4500000158,ZDOM,2025-12-10T00:00:00,0001000028,Z100,Z01,ZAR
4500000159,ZDOM,2026-02-19T00:00:00,0001000028,Z100,Z02,ZAR
4500000160,AN,2026-07-27T00:00:00,0001000028,Z100,Z03,ZAR
4500000161,AN,2026-08-19T00:00:00,0001000028,Z100,Z03,ZAR
4500000162,ZDOM,2024-11-29T00:00:00,0001000028,Z100,Z01,ZAR
4500000163,AN,2025-06-09T00:00:00,0001000028,Z100,Z01,ZAR
4500000164,AN,2025-10-17T00:00:00,0001000028,Z100,Z02,ZAR
4500000165,AN,2026-03-16T00:00:00,0001000028,Z100,Z02,ZAR
4500000166,WK,2026-04-29T00:00:00,0001000028,Z100,Z01,ZAR
4500000167,WK,2024-09-15T00:00:00,0001000026,Z100,Z02,ZAR
4500000168,ZDOM,2025-01-22T00:00:00,0001000026,Z100,Z01,ZAR
4500000169,AN,2025-02-11T00:00:00,0001000026,Z100,Z03,ZAR
4500000170,ZDOM,2025-07-19T00:00:00,0001000026,Z100,Z02,ZAR
4500000171,WK,2025-12-10T00:00:00,0001000026,Z100,Z01,ZAR
4500000172,AN,2026-06-12T00:00:00,0001000026,Z100,Z02,ZAR
4500000173,AN,2026-09-07T00:00:00,0001000026,Z100,Z01,ZAR
4500000174,ZDOM,2024-09-30T00:00:00,0001000008,Z100,Z01,ZAR
4500000175,AN,2024-11-21T00:00:00,0001000008,Z100,Z03,ZAR
4500000176,ZDOM,2025-05-14T00:00:00,0001000008,Z100,Z01,ZAR
4500000177,ZDOM,2025-06-15T00:00:00,0001000008,Z100,Z03,ZAR
4500000178,AN,2025-09-24T00:00:00,0001000008,Z100,Z03,ZAR
4500000179,WK,2026-04-21T00:00:00,0001000008,Z100,Z03,ZAR
4500000180,WK,2026-06-18T00:00:00,0001000008,Z100,Z01,ZAR
4500000181,WK,2026-07-16T00:00:00,0001000008,Z100,Z01,ZAR
4500000182,AN,2024-09-10T00:00:00,0001000036,Z100,Z01,ZAR
4500000183,WK,2025-01-03T00:00:00,0001000036,Z100,Z03,ZAR
4500000184,AN,2026-01-12T00:00:00,0001000036,Z100,Z03,ZAR
4500000185,AN,2026-05-27T00:00:00,0001000036,Z100,Z02,ZAR
4500000186,WK,2025-02-16T00:00:00,0001000036,Z100,Z02,ZAR
4500000187,ZDOM,2025-11-29T00:00:00,0001000036,Z100,Z01,ZAR
4500000188,WK,2024-09-21T00:00:00,0001000006,Z100,Z02,ZAR
4500000189,ZDOM,2026-02-05T00:00:00,0001000006,Z100,Z02,ZAR
4500000190,WK,2024-09-15T00:00:00,0001000042,Z100,Z02,ZAR
4500000191,ZDOM,2025-01-01T00:00:00,0001000042,Z100,Z03,ZAR
4500000192,AN,2025-03-09T00:00:00,0001000042,Z100,Z03,ZAR
4500000193,ZDOM,2025-04-28T00:00:00,0001000042,Z100,Z03,ZAR
4500000194,WK,2025-10-29T00:00:00,0001000042,Z100,Z01,ZAR
4500000195,AN,2026-04-27T00:00:00,0001000042,Z100,Z02,ZAR
4500000196,WK,2026-05-26T00:00:00,0001000042,Z100,Z01,ZAR
4500000197,ZDOM,2026-07-16T00:00:00,0001000042,Z100,Z03,ZAR
4500000198,ZDOM,2024-09-14T00:00:00,0001000032,Z100,Z01,ZAR
4500000199,WK,2024-10-12T00:00:00,0001000032,Z100,Z01,ZAR
4500000200,ZDOM,2025-05-11T00:00:00,0001000032,Z100,Z02,ZAR
4500000201,ZDOM,2025-06-22T00:00:00,0001000032,Z100,Z02,ZAR
4500000202,ZDOM,2026-05-12T00:00:00,0001000032,Z100,Z03,ZAR
4500000203,AN,2024-11-07T00:00:00,0001000011,Z100,Z01,ZAR
4500000204,ZDOM,2025-11-22T00:00:00,0001000011,Z100,Z03,ZAR
4500000205,AN,2025-12-16T00:00:00,0001000011,Z100,Z01,ZAR
4500000206,WK,2026-01-20T00:00:00,0001000011,Z100,Z01,ZAR
4500000207,ZDOM,2024-09-25T00:00:00,0001000045,Z100,Z02,ZAR
4500000208,AN,2024-11-16T00:00:00,0001000045,Z100,Z03,ZAR
4500000209,ZDOM,2025-02-12T00:00:00,0001000045,Z100,Z01,ZAR
4500000210,ZDOM,2025-05-05T00:00:00,0001000045,Z100,Z01,ZAR
4500000211,AN,2025-08-08T00:00:00,0001000045,Z100,Z03,ZAR
4500000212,AN,2025-09-07T00:00:00,0001000045,Z100,Z02,ZAR
4500000213,AN,2025-12-19T00:00:00,0001000045,Z100,Z02,ZAR
4500000214,WK,2026-01-21T00:00:00,0001000045,Z100,Z01,ZAR
4500000215,ZDOM,2026-04-21T00:00:00,0001000045,Z100,Z03,ZAR
4500000216,WK,2026-07-15T00:00:00,0001000045,Z100,Z02,ZAR
4500000217,WK,2024-09-26T00:00:00,0001000049,Z100,Z03,ZAR
4500000218,WK,2024-10-25T00:00:00,0001000049,Z100,Z01,ZAR
4500000219,AN,2024-11-25T00:00:00,0001000049,Z100,Z03,ZAR
4500000220,WK,2025-09-08T00:00:00,0001000049,Z100,Z02,ZAR
4500000221,ZDOM,2025-11-20T00:00:00,0001000049,Z100,Z02,ZAR
4500000222,WK,2025-12-16T00:00:00,0001000049,Z100,Z01,ZAR
4500000223,ZDOM,2026-05-19T00:00:00,0001000049,Z100,Z02,ZAR
4500000224,AN,2025-12-11T00:00:00,0001000010,Z100,Z01,ZAR
4500000225,WK,2026-05-31T00:00:00,0001000010,Z100,Z03,ZAR
4500000226,ZDOM,2024-09-14T00:00:00,0001000003,Z100,Z02,ZAR
4500000227,AN,2025-09-27T00:00:00,0001000003,Z100,Z03,ZAR
4500000228,AN,2026-03-24T00:00:00,0001000003,Z100,Z01,ZAR
4500000229,AN,2026-03-07T00:00:00,0001000057,Z100,Z02,ZAR
4500000230,AN,2024-09-19T00:00:00,0001000009,Z100,Z03,ZAR
4500000231,ZDOM,2024-10-11T00:00:00,0001000009,Z100,Z03,ZAR
4500000232,WK,2025-06-02T00:00:00,0001000009,Z100,Z02,ZAR
4500000233,ZDOM,2025-11-21T00:00:00,0001000009,Z100,Z01,ZAR
4500000234,WK,2026-05-03T00:00:00,0001000009,Z100,Z02,ZAR
4500000235,ZDOM,2026-05-17T00:00:00,0001000009,Z100,Z02,ZAR
4500000236,WK,2024-09-30T00:00:00,0001000009,Z100,Z02,ZAR
4500000237,ZDOM,2025-05-22T00:00:00,0001000009,Z100,Z01,ZAR
4500000238,WK,2026-02-01T00:00:00,0001000009,Z100,Z03,ZAR
4500000239,WK,2026-05-05T00:00:00,0001000009,Z100,Z01,ZAR
4500000240,ZDOM,2024-11-24T00:00:00,0001000000,Z100,Z01,ZAR
4500000241,ZDOM,2025-08-08T00:00:00,0001000000,Z100,Z03,ZAR
4500000242,WK,2026-01-16T00:00:00,0001000000,Z100,Z03,ZAR
4500000243,AN,2026-09-04T00:00:00,0001000000,Z100,Z03,ZAR
4500000244,WK,2024-09-26T00:00:00,0001000020,Z100,Z03,ZAR
4500000245,AN,2025-02-08T00:00:00,0001000020,Z100,Z02,ZAR
4500000246,AN,2025-04-01T00:00:00,0001000020,Z100,Z03,ZAR
4500000247,AN,2025-05-01T00:00:00,0001000020,Z100,Z01,ZAR
4500000248,WK,2025-05-29T00:00:00,0001000020,Z100,Z02,ZAR
4500000249,WK,2025-06-13T00:00:00,0001000020,Z100,Z01,ZAR
4500000250,WK,2026-01-31T00:00:00,0001000020,Z100,Z02,ZAR
4500000251,AN,2024-10-04T00:00:00,0001000038,Z100,Z02,ZAR
4500000252,AN,2024-11-02T00:00:00,0001000038,Z100,Z02,ZAR
4500000253,ZDOM,2025-01-26T00:00:00,0001000038,Z100,Z03,ZAR
4500000254,WK,2025-04-07T00:00:00,0001000038,Z100,Z02,ZAR
4500000255,WK,2025-10-24T00:00:00,0001000038,Z100,Z02,ZAR
4500000256,ZDOM,2026-02-16T00:00:00,0001000038,Z100,Z02,ZAR
4500000257,ZDOM,2026-03-30T00:00:00,0001000038,Z100,Z01,ZAR
4500000258,WK,2026-07-21T00:00:00,0001000038,Z100,Z03,ZAR
4500000259,AN,2024-09-21T00:00:00,0001000006,Z100,Z02,ZAR
4500000260,AN,2025-01-12T00:00:00,0001000006,Z100,Z03,ZAR
4500000261,AN,2025-04-17T00:00:00,0001000006,Z100,Z02,ZAR
4500000262,WK,2025-09-07T00:00:00,0001000006,Z100,Z02,ZAR
4500000263,WK,2025-11-25T00:00:00,0001000006,Z100,Z01,ZAR
4500000264,AN,2026-03-25T00:00:00,0001000006,Z100,Z02,ZAR
4500000265,WK,2026-07-12T00:00:00,0001000006,Z100,Z03,ZAR
4500000266,WK,2024-12-09T00:00:00,0001000052,Z100,Z03,ZAR
4500000267,WK,2025-08-26T00:00:00,0001000052,Z100,Z01,ZAR
4500000268,WK,2026-04-16T00:00:00,0001000052,Z100,Z01,ZAR
4500000269,AN,2024-09-21T00:00:00,0001000042,Z100,Z01,ZAR
4500000270,WK,2024-12-02T00:00:00,0001000042,Z100,Z03,ZAR
4500000271,WK,2025-12-04T00:00:00,0001000042,Z100,Z01,ZAR
4500000272,ZDOM,2026-03-17T00:00:00,0001000042,Z100,Z03,ZAR
4500000273,AN,2026-05-22T00:00:00,0001000042,Z100,Z02,ZAR
4500000274,ZDOM,2024-10-01T00:00:00,0001000013,Z100,Z01,ZAR
4500000275,AN,2024-12-30T00:00:00,0001000013,Z100,Z03,ZAR
4500000276,WK,2025-04-02T00:00:00,0001000013,Z100,Z03,ZAR
4500000277,AN,2025-11-05T00:00:00,0001000013,Z100,Z02,ZAR
4500000278,AN,2026-02-16T00:00:00,0001000013,Z100,Z03,ZAR
4500000279,WK,2024-10-03T00:00:00,0001000058,Z100,Z03,ZAR
4500000280,AN,2025-05-31T00:00:00,0001000058,Z100,Z01,ZAR
4500000281,WK,2025-10-15T00:00:00,0001000058,Z100,Z02,ZAR
4500000282,WK,2026-04-12T00:00:00,0001000058,Z100,Z03,ZAR
4500000283,WK,2026-05-12T00:00:00,0001000058,Z100,Z01,ZAR
4500000284,AN,2026-06-03T00:00:00,0001000058,Z100,Z03,ZAR
4500000285,WK,2026-07-08T00:00:00,0001000058,Z100,Z02,ZAR
4500000286,ZDOM,2024-09-09T00:00:00,0001000000,Z100,Z03,ZAR
4500000287,AN,2024-10-10T00:00:00,0001000000,Z100,Z02,ZAR
4500000288,ZDOM,2025-10-23T00:00:00,0001000000,Z100,Z01,ZAR
4500000289,WK,2024-09-23T00:00:00,0001000037,Z100,Z02,ZAR
4500000290,ZDOM,2024-10-26T00:00:00,0001000037,Z100,Z03,ZAR
4500000291,ZDOM,2025-01-21T00:00:00,0001000037,Z100,Z01,ZAR
4500000292,WK,2025-09-24T00:00:00,0001000037,Z100,Z02,ZAR
4500000293,AN,2025-12-11T00:00:00,0001000037,Z100,Z01,ZAR
4500000294,WK,2026-07-12T00:00:00,0001000037,Z100,Z01,ZAR
4500000295,ZDOM,2025-06-19T00:00:00,0001000022,Z100,Z03,ZAR
4500000296,WK,2026-01-03T00:00:00,0001000022,Z100,Z02,ZAR
4500000297,WK,2024-11-12T00:00:00,0001000032,Z100,Z02,ZAR
4500000298,ZDOM,2025-01-22T00:00:00,0001000032,Z100,Z02,ZAR
4500000299,WK,2025-10-30T00:00:00,0001000032,Z100,Z02,ZAR
4500000300,AN,2025-12-04T00:00:00,0001000032,Z100,Z01,ZAR
4500000301,WK,2025-12-15T00:00:00,0001000032,Z100,Z03,ZAR
4500000302,ZDOM,2026-02-24T00:00:00,0001000032,Z100,Z01,ZAR
4500000303,ZDOM,2026-05-07T00:00:00,0001000032,Z100,Z01,ZAR
4500000304,AN,2026-06-11T00:00:00,0001000032,Z100,Z03,ZAR
4500000305,AN,2026-08-22T00:00:00,0001000032,Z100,Z01,ZAR
4500000306,AN,2024-10-05T00:00:00,0001000032,Z100,Z02,ZAR
4500000307,ZDOM,2025-02-19T00:00:00,0001000032,Z100,Z03,ZAR
4500000308,AN,2025-06-21T00:00:00,0001000032,Z100,Z03,ZAR
4500000309,AN,2025-09-08T00:00:00,0001000032,Z100,Z02,ZAR
4500000310,WK,2025-10-01T00:00:00,0001000032,Z100,Z01,ZAR
4500000311,ZDOM,2024-10-26T00:00:00,0001000052,Z100,Z02,ZAR
4500000312,ZDOM,2025-03-08T00:00:00,0001000052,Z100,Z02,ZAR
4500000313,WK,2025-10-25T00:00:00,0001000052,Z100,Z01,ZAR
4500000314,WK,2024-12-25T00:00:00,0001000010,Z100,Z01,ZAR
4500000315,ZDOM,2025-12-30T00:00:00,0001000010,Z100,Z01,ZAR
4500000316,ZDOM,2026-01-12T00:00:00,0001000010,Z100,Z01,ZAR
4500000317,AN,2024-09-16T00:00:00,0001000018,Z100,Z02,ZAR
4500000318,WK,2024-12-10T00:00:00,0001000018,Z100,Z01,ZAR
4500000319,WK,2025-01-16T00:00:00,0001000018,Z100,Z03,ZAR
4500000320,AN,2025-02-12T00:00:00,0001000018,Z100,Z03,ZAR
4500000321,AN,2025-05-08T00:00:00,0001000018,Z100,Z03,ZAR
4500000322,WK,2025-05-26T00:00:00,0001000018,Z100,Z01,ZAR
4500000323,ZDOM,2026-01-15T00:00:00,0001000018,Z100,Z01,ZAR
4500000324,AN,2026-07-04T00:00:00,0001000018,Z100,Z02,ZAR
4500000325,ZDOM,2026-07-24T00:00:00,0001000018,Z100,Z02,ZAR
4500000326,AN,2024-11-25T00:00:00,0001000040,Z100,Z03,ZAR
4500000327,ZDOM,2024-12-09T00:00:00,0001000040,Z100,Z01,ZAR
4500000328,WK,2025-01-26T00:00:00,0001000040,Z100,Z01,ZAR
4500000329,WK,2025-05-02T00:00:00,0001000040,Z100,Z02,ZAR
4500000330,AN,2025-06-25T00:00:00,0001000040,Z100,Z02,ZAR
4500000331,ZDOM,2025-07-15T00:00:00,0001000040,Z100,Z02,ZAR
4500000332,ZDOM,2025-09-13T00:00:00,0001000040,Z100,Z01,ZAR
4500000333,AN,2025-10-25T00:00:00,0001000040,Z100,Z01,ZAR
4500000334,ZDOM,2025-11-28T00:00:00,0001000040,Z100,Z03,ZAR
4500000335,AN,2026-03-12T00:00:00,0001000040,Z100,Z03,ZAR
4500000336,AN,2026-04-07T00:00:00,0001000040,Z100,Z01,ZAR
4500000337,WK,2024-10-04T00:00:00,0001000000,Z100,Z03,ZAR
4500000338,ZDOM,2024-10-18T00:00:00,0001000000,Z100,Z03,ZAR
4500000339,ZDOM,2024-11-08T00:00:00,0001000000,Z100,Z03,ZAR
4500000340,WK,2024-12-21T00:00:00,0001000000,Z100,Z02,ZAR
4500000341,AN,2025-01-08T00:00:00,0001000000,Z100,Z03,ZAR
4500000342,AN,2025-11-06T00:00:00,0001000000,Z100,Z03,ZAR
4500000343,WK,2025-11-26T00:00:00,0001000000,Z100,Z01,ZAR
4500000344,ZDOM,2026-07-20T00:00:00,0001000000,Z100,Z02,ZAR
4500000345,ZDOM,2026-08-12T00:00:00,0001000000,Z100,Z01,ZAR
4500000346,WK,2025-08-18T00:00:00,0001000032,Z100,Z03,ZAR
4500000347,AN,2024-11-18T00:00:00,0001000022,Z100,Z03,ZAR
