Rsnum,Rspos,Xloek,Kzear,Matnr,Werks,Lgort,Bdter,Bdmng,Meins,Enmng,Enwrt,Banfn,Bnfpo,Aufnr,Bwart,Umwrk,Umlgo,Wempf,Zzaisession
1000000014,0001,false,false,000000000030000006,3000,SP03,2025-12-22T00:00:00,3.000,EA,0.000,0.00,2000007907,00010,436720284,261,,,VZIREQ04,SESS-000015
1000000015,0001,false,false,000000000030000006,3000,SP03,2026-03-14T00:00:00,3.000,EA,0.000,0.00,2000007908,00010,432441844,261,,,VZIREQ03,SESS-000016
1000000016,0001,false,true,000000000030000007,2000,SP02,2025-12-29T00:00:00,2.000,EA,2.000,173936.82,2000007909,00010,422844910,261,,,VZIREQ05,SESS-000017
1000000017,0001,false,true,000000000030000008,1000,SP01,2025-11-17T00:00:00,3.000,EA,3.000,423855.00,2000007910,00010,411309793,261,,,VZIREQ03,SESS-000018
1000000018,0001,false,true,000000000030000009,2000,SP02,2025-11-26T00:00:00,3.000,EA,3.000,211539.06,2000007911,00010,427340967,261,,,VZIREQ05,SESS-000019
1000000019,0001,false,false,000000000030000009,2000,SP02,2026-01-26T00:00:00,4.000,EA,2.000,141026.04,2000007912,00010,429424486,261,,,VZIREQ02,SESS-000020
1000000020,0001,false,false,000000000030000009,2000,SP02,2025-09-08T00:00:00,3.000,EA,0.000,0.00,2000007913,00010,429860884,261,,,VZIREQ05,SESS-000021
1000000021,0001,false,false,000000000030000010,1000,SP01,2025-07-24T00:00:00,4.000,EA,0.000,0.00,2000007914,00010,412571207,261,,,VZIREQ03,SESS-000022
1000000022,0001,false,false,000000000030000010,1000,SP01,2025-10-05T00:00:00,1.000,EA,0.000,0.00,2000007915,00010,411383823,261,,,VZIREQ05,SESS-000023
1000000023,0001,false,false,000000000030000010,1000,SP01,2026-03-15T00:00:00,2.000,EA,1.000,111645.10,2000007916,00010,412742095,261,,,VZIREQ01,SESS-000024
1000000024,0001,false,true,000000000030000011,4000,SP04,2025-12-27T00:00:00,2.000,EA,1.000,95282.33,2000007917,00010,442055304,261,,,VZIREQ04,SESS-000025
1000000025,0001,false,true,000000000030000011,4000,SP04,2026-05-27T00:00:00,3.000,EA,3.000,285846.99,2000007918,00010,444790779,261,,,VZIREQ04,SESS-000026
1000000026,0001,false,true,000000000030000012,2000,SP02,2026-01-11T00:00:00,2.000,EA,2.000,43300.68,2000007919,00010,421294259,261,,,VZIREQ01,SESS-000027
1000000027,0001,false,false,000000000030000013,3000,SP03,2026-06-06T00:00:00,2.000,EA,0.000,0.00,2000007920,00010,437597005,261,,,VZIREQ04,SESS-000028
1000000028,0001,false,false,000000000030000013,3000,SP03,2026-03-31T00:00:00,1.000,EA,1.000,479645.00,2000007921,00010,431352335,261,,,VZIREQ05,SESS-000029
1000000029,0001,false,false,000000000030000013,3000,SP03,2026-06-11T00:00:00,2.000,EA,0.000,0.00,2000007922,00010,432698121,261,,,VZIREQ03,SESS-000030
1000000030,0001,false,false,000000000030000014,3000,SP03,2026-08-25T00:00:00,2.000,EA,0.000,0.00,2000007923,00010,437276110,261,,,VZIREQ04,SESS-000031
1000000031,0001,false,false,000000000030000014,3000,SP03,2026-05-03T00:00:00,3.000,EA,2.000,161000.60,2000007924,00010,436344511,261,,,VZIREQ05,SESS-000032
1000000032,0001,false,true,000000000030000014,3000,SP03,2026-07-28T00:00:00,2.000,EA,2.000,161000.60,2000007925,00010,437127205,261,,,VZIREQ04,SESS-000033
1000000033,0001,false,true,000000000030000014,2000,SP02,2026-02-10T00:00:00,4.000,EA,4.000,322001.20,2000007926,00010,426857528,261,,,VZIREQ01,SESS-000034
1000000034,0001,false,false,000000000030000015,1000,SP01,2025-10-12T00:00:00,4.000,EA,0.000,0.00,2000007927,00010,419109469,261,,,VZIREQ03,SESS-000035
1000000035,0001,false,true,000000000030000015,1000,SP01,2025-09-12T00:00:00,4.000,EA,2.000,1482546.04,2000007928,00010,418366409,261,,,VZIREQ04,SESS-000036
1000000036,0001,false,false,000000000030000016,1000,SP01,2026-05-05T00:00:00,4.000,EA,0.000,0.00,2000007929,00010,411500481,261,,,VZIREQ04,SESS-000037
1000000037,0001,false,false,000000000030000016,1000,SP01,2026-02-25T00:00:00,4.000,EA,0.000,0.00,2000007930,00010,414860409,261,,,VZIREQ04,SESS-000038
1000000038,0001,false,false,000000000030000017,1000,SP01,2026-03-07T00:00:00,3.000,EA,0.000,0.00,2000007931,00010,416835242,261,,,VZIREQ01,SESS-000039
1000000039,0001,false,false,000000000030000017,1000,SP01,2026-02-10T00:00:00,1.000,EA,0.000,0.00,2000007932,00010,413874078,261,,,VZIREQ01,SESS-000040
1000000040,0001,false,true,000000000030000017,1000,SP01,2026-05-05T00:00:00,3.000,EA,2.000,222922.00,2000007933,00010,412904328,261,,,VZIREQ04,SESS-000041
1000000041,0001,false,false,000000000030000018,3000,SP03,2025-08-30T00:00:00,3.000,EA,0.000,0.00,2000007934,00010,439335188,261,,,VZIREQ02,SESS-000042
1000000042,0001,false,false,000000000030000018,3000,SP03,2026-02-05T00:00:00,3.000,EA,2.000,957838.94,2000007935,00010,434759846,261,,,VZIREQ02,SESS-000043
1000000043,0001,false,false,000000000030000019,3000,SP03,2026-03-12T00:00:00,1.000,EA,1.000,176338.11,2000007936,00010,439911689,261,,,VZIREQ05,SESS-000044
1000000044,0001,false,true,000000000030000019,3000,SP03,2026-01-12T00:00:00,3.000,EA,3.000,529014.33,2000007937,00010,432531037,261,,,VZIREQ03,
1000000045,0001,false,false,000000000030000019,3000,SP03,2026-04-23T00:00:00,4.000,EA,0.000,0.00,2000007938,00010,439581162,261,,,VZIREQ04,SESS-000045
1000000046,0001,false,true,000000000030000019,4000,SP04,2026-03-19T00:00:00,1.000,EA,1.000,176338.11,2000007939,00010,442965853,261,,,VZIREQ03,SESS-000046
1000000047,0001,false,true,000000000030000019,4000,SP04,2026-04-02T00:00:00,3.000,EA,2.000,352676.22,2000007940,00010,446244134,261,,,VZIREQ03,SESS-000047
1000000048,0001,false,true,000000000030000019,4000,SP04,2025-10-18T00:00:00,2.000,EA,2.000,352676.22,2000007941,00010,442619654,261,,,VZIREQ05,SESS-000048
1000000049,0001,false,true,000000000030000020,1000,SP01,2026-05-18T00:00:00,2.000,EA,1.000,123672.12,2000007942,00010,414294134,261,,,VZIREQ04,SESS-000049
1000000050,0001,false,false,000000000030000020,1000,SP01,2026-01-15T00:00:00,2.000,EA,1.000,123672.12,2000007943,00010,412774911,261,,,VZIREQ05,SESS-000050
1000000051,0001,false,false,000000000030000021,3000,SP03,2026-04-16T00:00:00,3.000,EA,0.000,0.00,2000007944,00010,433097608,261,,,VZIREQ05,SESS-000051
1000000052,0001,false,false,000000000030000022,4000,SP04,2025-10-05T00:00:00,4.000,EA,0.000,0.00,2000007945,00010,446708947,261,,,VZIREQ02,SESS-000052
1000000053,0001,false,false,000000000030000022,3000,SP03,2026-02-08T00:00:00,2.000,EA,0.000,0.00,2000007946,00010,433883063,261,,,VZIREQ02,SESS-000053
1000000054,0001,false,false,000000000030000022,3000,SP03,2025-11-25T00:00:00,1.000,EA,0.000,0.00,2000007947,00010,436881919,261,,,VZIREQ04,SESS-000054
1000000055,0001,false,false,000000000030000023,4000,SP04,2026-03-18T00:00:00,3.000,EA,0.000,0.00,2000007948,00010,444661184,261,,,VZIREQ01,SESS-000055
1000000056,0001,false,false,000000000030000023,1000,SP01,2025-11-12T00:00:00,3.000,EA,2.000,247070.70,2000007949,00010,415576301,261,,,VZIREQ04,SESS-000056
1000000057,0001,false,false,000000000030000023,1000,SP01,2026-03-01T00:00:00,1.000,EA,0.000,0.00,2000007950,00010,416193051,261,,,VZIREQ03,SESS-000057
1000000058,0001,false,true,000000000030000024,4000,SP04,2025-11-12T00:00:00,2.000,EA,1.000,128263.05,2000007951,00010,448944420,261,,,VZIREQ01,SESS-000058
1000000059,0001,false,false,000000000030000024,4000,SP04,2025-11-12T00:00:00,1.000,EA,0.000,0.00,2000007952,00010,441448552,261,,,VZIREQ01,SESS-000059
1000000060,0001,false,false,000000000030000024,4000,SP04,2026-05-02T00:00:00,4.000,EA,0.000,0.00,2000007953,00010,441438426,261,,,VZIREQ02,SESS-000060
1000000061,0001,false,false,000000000030000025,4000,SP04,2025-10-26T00:00:00,1.000,EA,1.000,109276.63,2000007954,00010,446409758,261,,,VZIREQ04,SESS-000061
1000000062,0001,false,false,000000000030000025,4000,SP04,2026-04-29T00:00:00,1.000,EA,0.000,0.00,2000007955,00010,443824384,261,,,VZIREQ05,SESS-000062
1000000063,0001,false,true,000000000030000025,4000,SP04,2026-03-06T00:00:00,2.000,EA,2.000,218553.26,2000007956,00010,448422649,261,,,VZIREQ05,SESS-000063
1000000064,0001,false,true,000000000030000026,4000,SP04,2026-04-09T00:00:00,1.000,EA,1.000,68835.16,2000007957,00010,445763150,261,,,VZIREQ02,SESS-000064
1000000065,0001,false,false,000000000030000026,4000,SP04,2025-11-27T00:00:00,4.000,EA,0.000,0.00,2000007958,00010,445766617,261,,,VZIREQ03,SESS-000065
1000000066,0001,false,false,000000000030000026,1000,SP01,2025-09-13T00:00:00,1.000,EA,0.000,0.00,2000007959,00010,415581823,261,,,VZIREQ04,SESS-000066
1000000067,0001,false,false,000000000030000026,1000,SP01,2026-04-07T00:00:00,1.000,EA,0.000,0.00,2000007960,00010,411309843,261,,,VZIREQ01,SESS-000067
1000000068,0001,false,false,000000000030000026,1000,SP01,2026-04-25T00:00:00,2.000,EA,0.000,0.00,2000007961,00010,413116691,261,,,VZIREQ01,SESS-000068
1000000069,0001,false,false,000000000030000027,3000,SP03,2026-03-16T00:00:00,2.000,EA,0.000,0.00,2000007962,00010,434338265,261,,,VZIREQ01,SESS-000069
1000000070,0001,false,false,000000000030000027,3000,SP03,2025-12-14T00:00:00,3.000,EA,0.000,0.00,2000007963,00010,433115429,261,,,VZIREQ01,SESS-000070
1000000071,0001,false,true,000000000030000027,1000,SP01,2025-12-20T00:00:00,3.000,EA,3.000,982216.29,2000007964,00010,419978129,261,,,VZIREQ04,SESS-000071
1000000072,0001,false,false,000000000030000028,3000,SP03,2025-10-09T00:00:00,3.000,EA,2.000,290285.50,2000007965,00010,439323321,261,,,VZIREQ02,SESS-000072
1000000073,0001,false,true,000000000030000028,3000,SP03,2026-03-16T00:00:00,4.000,EA,4.000,580571.00,2000007966,00010,434433314,261,,,VZIREQ02,SESS-000073
1000000074,0001,false,true,000000000030000028,4000,SP04,2025-10-27T00:00:00,1.000,EA,1.000,145142.75,2000007967,00010,441571955,261,,,VZIREQ04,SESS-000074
1000000075,0001,false,true,000000000030000028,4000,SP04,2025-08-19T00:00:00,4.000,EA,4.000,580571.00,2000007968,00010,444888291,261,,,VZIREQ02,SESS-000075
1000000076,0001,false,false,000000000030000028,4000,SP04,2026-02-12T00:00:00,2.000,EA,0.000,0.00,2000007969,00010,441494140,261,,,VZIREQ03,SESS-000076
1000000077,0001,false,false,000000000030000029,2000,SP02,2026-04-11T00:00:00,4.000,EA,2.000,102589.94,2000007970,00010,424245907,261,,,VZIREQ04,SESS-000077
1000000078,0001,false,false,000000000030000030,1000,SP01,2026-04-13T00:00:00,2.000,EA,0.000,0.00,2000007971,00010,413883460,261,,,VZIREQ03,SESS-000078
1000000079,0001,false,true,000000000030000031,2000,SP02,2026-07-18T00:00:00,2.000,EA,2.000,237965.64,2000007972,00010,426974645,261,,,VZIREQ03,SESS-000079
1000000080,0001,false,true,000000000030000031,2000,SP02,2026-07-30T00:00:00,4.000,EA,4.000,475931.28,2000007973,00010,424906996,261,,,VZIREQ04,SESS-000080
1000000081,0001,false,true,000000000030000032,1000,SP01,2026-03-25T00:00:00,2.000,EA,2.000,223055.78,2000007974,00010,411155054,261,,,VZIREQ01,
1000000082,0001,false,false,000000000030000032,1000,SP01,2025-11-23T00:00:00,3.000,EA,0.000,0.00,2000007975,00010,415636255,261,,,VZIREQ03,SESS-000081
1000000083,0001,false,true,000000000030000032,1000,SP01,2026-06-01T00:00:00,2.000,EA,1.000,111527.89,2000007976,00010,419152078,261,,,VZIREQ05,SESS-000082
1000000084,0001,false,false,000000000030000033,2000,SP02,2026-02-11T00:00:00,4.000,EA,0.000,0.00,2000007977,00010,424574679,261,,,VZIREQ01,SESS-000083
1000000085,0001,false,false,000000000030000033,2000,SP02,2026-06-23T00:00:00,3.000,EA,0.000,0.00,2000007978,00010,427241789,261,,,VZIREQ02,SESS-000084
1000000086,0001,false,false,000000000030000033,2000,SP02,2026-04-27T00:00:00,4.000,EA,0.000,0.00,2000007979,00010,422087942,261,,,VZIREQ05,SESS-000085
1000000087,0001,false,false,000000000030000034,2000,SP02,2025-10-13T00:00:00,3.000,EA,2.000,170701.66,2000007980,00010,428386163,261,,,VZIREQ02,SESS-000086
1000000088,0001,false,true,000000000030000034,2000,SP02,2025-10-17T00:00:00,1.000,EA,1.000,85350.83,2000007981,00010,424005679,261,,,VZIREQ01,SESS-000087
1000000089,0001,false,true,000000000030000034,2000,SP02,2026-05-04T00:00:00,1.000,EA,1.000,85350.83,2000007982,00010,423106904,261,,,VZIREQ04,SESS-000088
1000000090,0001,false,false,000000000030000035,3000,SP03,2026-04-13T00:00:00,4.000,EA,0.000,0.00,2000007983,00010,433753794,261,,,VZIREQ02,SESS-000089
1000000091,0001,false,false,000000000030000035,3000,SP03,2026-01-27T00:00:00,3.000,EA,0.000,0.00,2000007984,00010,435452219,261,,,VZIREQ05,SESS-000090
1000000092,0001,false,true,000000000030000035,3000,SP03,2026-06-16T00:00:00,4.000,EA,3.000,324799.29,2000007985,00010,439031242,261,,,VZIREQ01,SESS-000091
1000000093,0001,false,true,000000000030000036,4000,SP04,2025-08-12T00:00:00,3.000,EA,3.000,150256.95,2000007986,00010,444825306,261,,,VZIREQ03,SESS-000092
1000000094,0001,false,true,000000000030000036,4000,SP04,2025-08-20T00:00:00,4.000,EA,4.000,200342.60,2000007987,00010,445891639,261,,,VZIREQ02,SESS-000093
1000000095,0001,false,false,000000000030000036,4000,SP04,2025-11-17T00:00:00,2.000,EA,0.000,0.00,2000007988,00010,449474238,261,,,VZIREQ01,SESS-000094
1000000096,0001,false,true,000000000030000037,4000,SP04,2026-06-13T00:00:00,2.000,EA,2.000,303959.00,2000007989,00010,441342066,261,,,VZIREQ04,SESS-000095
1000000097,0001,false,true,000000000030000037,4000,SP04,2026-01-21T00:00:00,2.000,EA,1.000,151979.50,2000007990,00010,446188809,261,,,VZIREQ04,SESS-000096
1000000098,0001,false,false,000000000030000038,3000,SP03,2025-11-07T00:00:00,2.000,EA,0.000,0.00,2000007991,00010,436395020,261,,,VZIREQ01,SESS-000097
1000000099,0001,false,false,000000000030000038,3000,SP03,2025-09-24T00:00:00,1.000,EA,1.000,59840.15,2000007992,00010,434977428,261,,,VZIREQ02,SESS-000098
1000000100,0001,false,false,000000000030000038,3000,SP03,2025-06-28T00:00:00,1.000,EA,0.000,0.00,2000007993,00010,437358854,261,,,VZIREQ05,SESS-000099
1000000101,0001,false,true,000000000030000039,1000,SP01,2026-05-01T00:00:00,3.000,EA,3.000,523434.63,2000007994,00010,413234080,261,,,VZIREQ05,
1000000102,0001,false,true,000000000030000040,2000,SP02,2026-07-06T00:00:00,2.000,EA,1.000,162108.37,2000007995,00010,422218454,261,,,VZIREQ04,SESS-000100
1000000103,0001,false,false,000000000030000041,4000,SP04,2026-07-09T00:00:00,2.000,EA,1.000,183331.33,2000007996,00010,445083437,261,,,VZIREQ02,SESS-000101
1000000104,0001,false,true,000000000030000041,4000,SP04,2026-02-11T00:00:00,3.000,EA,3.000,549993.99,2000007997,00010,444275689,261,,,VZIREQ02,
1000000105,0001,false,true,000000000030000042,1000,SP01,2026-08-24T00:00:00,1.000,EA,1.000,152504.44,2000007998,00010,411741561,261,,,VZIREQ01,SESS-000102
1000000106,0001,false,true,000000000030000042,1000,SP01,2026-04-27T00:00:00,2.000,EA,1.000,152504.44,2000007999,00010,415204398,261,,,VZIREQ04,SESS-000103
1000000107,0001,false,false,000000000030000043,3000,SP03,2026-03-02T00:00:00,4.000,EA,0.000,0.00,2000008000,00010,434702891,261,,,VZIREQ04,SESS-000104
1000000108,0001,false,false,000000000030000043,3000,SP03,2026-03-04T00:00:00,2.000,EA,0.000,0.00,2000008001,00010,436046779,261,,,VZIREQ01,SESS-000105
1000000109,0001,false,false,000000000030000044,3000,SP03,2026-01-27T00:00:00,2.000,EA,0.000,0.00,2000008002,00010,439037265,261,,,VZIREQ03,SESS-000106
1000000110,0001,false,false,000000000030000045,1000,SP01,2026-01-31T00:00:00,1.000,EA,0.000,0.00,2000008003,00010,415772836,261,,,VZIREQ04,SESS-000107
1000000111,0001,false,true,000000000030000045,1000,SP01,2026-01-15T00:00:00,3.000,EA,3.000,556372.68,2000008004,00010,414824992,261,,,VZIREQ02,SESS-000108
1000000112,0001,false,false,000000000030000046,4000,SP04,2026-02-06T00:00:00,3.000,EA,0.000,0.00,2000008005,00010,448642037,261,,,VZIREQ01,SESS-000109
1000000113,0001,false,true,000000000030000047,4000,SP04,2026-04-06T00:00:00,4.000,EA,2.000,127865.96,2000008006,00010,444617181,261,,,VZIREQ05,SESS-000110
1000000114,0001,false,true,000000000030000047,4000,SP04,2025-11-17T00:00:00,2.000,EA,2.000,127865.96,2000008007,00010,445647001,261,,,VZIREQ04,SESS-000111
1000000115,0001,false,true,000000000030000047,4000,SP04,2026-04-01T00:00:00,2.000,EA,2.000,127865.96,2000008008,00010,444915510,261,,,VZIREQ02,SESS-000112
1000000116,0001,false,true,000000000030000048,1000,SP01,2026-07-14T00:00:00,2.000,EA,2.000,220560.72,2000008009,00010,411672355,261,,,VZIREQ01,SESS-000113
1000000117,0001,false,true,000000000030000048,1000,SP01,2025-11-06T00:00:00,4.000,EA,4.000,441121.44,2000008010,00010,412399433,261,,,VZIREQ02,SESS-000114
1000000118,0001,false,true,000000000030000049,2000,SP02,2026-01-03T00:00:00,3.000,EA,3.000,2359595.76,2000008011,00010,429604627,261,,,VZIREQ02,SESS-000115
1000000119,0001,false,false,000000000030000049,2000,SP02,2025-11-29T00:00:00,4.000,EA,0.000,0.00,2000008012,00010,426622860,261,,,VZIREQ01,SESS-000116
1000000120,0001,false,false,000000000030000049,2000,SP02,2025-10-13T00:00:00,3.000,EA,0.000,0.00,2000008013,00010,428594142,261,,,VZIREQ05,SESS-000117
1000000121,0001,false,false,000000000030000050,1000,SP01,2026-03-08T00:00:00,2.000,EA,0.000,0.00,2000008014,00010,416249702,261,,,VZIREQ04,SESS-000118
1000000122,0001,false,false,000000000030000051,4000,SP04,2025-12-12T00:00:00,3.000,EA,0.000,0.00,2000008015,00010,448261535,261,,,VZIREQ02,SESS-000119
1000000123,0001,false,false,000000000030000051,4000,SP04,2026-03-31T00:00:00,2.000,EA,0.000,0.00,2000008016,00010,442411151,261,,,VZIREQ03,SESS-000120
1000000124,0001,false,false,000000000030000052,1000,SP01,2026-03-28T00:00:00,3.000,EA,0.000,0.00,2000008017,00010,419922365,261,,,VZIREQ02,SESS-000121
1000000125,0001,false,true,000000000030000052,1000,SP01,2026-08-20T00:00:00,3.000,EA,3.000,9269.37,2000008018,00010,412001169,261,,,VZIREQ04,SESS-000122
1000000126,0001,false,true,000000000030000053,3000,SP03,2026-03-18T00:00:00,2.000,EA,2.000,994695.26,2000008019,00010,436834322,261,,,VZIREQ05,
1000000127,0001,false,true,000000000030000053,4000,SP04,2026-06-01T00:00:00,1.000,EA,1.000,497347.63,2000008020,00010,441192479,261,,,VZIREQ01,SESS-000123
1000000128,0001,false,false,000000000030000053,4000,SP04,2026-05-20T00:00:00,1.000,EA,0.000,0.00,2000008021,00010,449670551,261,,,VZIREQ01,SESS-000124
1000000129,0001,false,true,000000000030000053,4000,SP04,2026-05-07T00:00:00,2.000,EA,2.000,994695.26,2000008022,00010,445796527,261,,,VZIREQ03,SESS-000125
1000000130,0001,false,true,000000000030000054,1000,SP01,2026-05-15T00:00:00,3.000,EA,1.000,74073.15,2000008023,00010,415875393,261,,,VZIREQ05,SESS-000126
1000000131,0001,false,false,000000000030000054,1000,SP01,2025-12-11T00:00:00,3.000,EA,0.000,0.00,2000008024,00010,416772001,261,,,VZIREQ03,SESS-000127
1000000132,0001,false,true,000000000030000054,4000,SP04,2025-11-08T00:00:00,1.000,EA,1.000,74073.15,2000008025,00010,448678677,261,,,VZIREQ01,
1000000133,0001,false,true,000000000030000055,2000,SP02,2025-12-13T00:00:00,1.000,EA,1.000,133259.02,2000008026,00010,425325641,261,,,VZIREQ05,SESS-000128
1000000134,0001,false,true,000000000030000055,2000,SP02,2025-08-04T00:00:00,4.000,EA,4.000,533036.08,2000008027,00010,428135782,261,,,VZIREQ05,SESS-000129
1000000135,0001,false,false,000000000030000056,4000,SP04,2025-11-09T00:00:00,1.000,EA,0.000,0.00,2000008028,00010,447107404,261,,,VZIREQ04,SESS-000130
1000000136,0001,false,true,000000000030000056,4000,SP04,2026-03-20T00:00:00,2.000,EA,2.000,82300.04,2000008029,00010,449590779,261,,,VZIREQ03,SESS-000131
1000000137,0001,false,false,000000000030000056,4000,SP04,2025-11-28T00:00:00,2.000,EA,0.000,0.00,2000008030,00010,442547789,261,,,VZIREQ02,SESS-000132
1000000138,0001,false,false,000000000030000057,2000,SP02,2026-06-03T00:00:00,1.000,EA,0.000,0.00,2000008031,00010,429902113,261,,,VZIREQ03,SESS-000133
1000000139,0001,false,true,000000000030000057,2000,SP02,2025-11-15T00:00:00,2.000,EA,2.000,357949.70,2000008032,00010,427964196,261,,,VZIREQ03,SESS-000134
1000000140,0001,false,true,000000000030000058,2000,SP02,2026-07-08T00:00:00,3.000,EA,3.000,230956.86,2000008033,00010,424874495,261,,,VZIREQ01,SESS-000135
1000000141,0001,false,false,000000000030000058,2000,SP02,2025-12-13T00:00:00,1.000,EA,0.000,0.00,2000008034,00010,426584251,261,,,VZIREQ01,SESS-000136
1000000142,0001,false,true,000000000030000059,1000,SP01,2026-05-14T00:00:00,2.000,EA,1.000,68340.90,2000008035,00010,412646093,261,,,VZIREQ03,SESS-000137
1000000143,0001,false,true,000000000030000059,1000,SP01,2025-12-08T00:00:00,3.000,EA,3.000,205022.70,2000008036,00010,419725736,261,,,VZIREQ04,SESS-000138
1000000144,0001,false,true,000000000030000060,1000,SP01,2025-11-20T00:00:00,4.000,EA,4.000,329027.80,2000008037,00010,415794183,261,,,VZIREQ01,SESS-000139
1000000145,0001,false,true,000000000030000061,3000,SP03,2026-03-09T00:00:00,3.000,EA,2.000,80892.14,2000008038,00010,437870119,261,,,VZIREQ03,SESS-000140
1000000146,0001,false,false,000000000030000061,3000,SP03,2026-07-09T00:00:00,2.000,EA,0.000,0.00,2000008039,00010,433937548,261,,,VZIREQ03,SESS-000141
1000000147,0001,false,false,000000000030000062,2000,SP02,2026-07-24T00:00:00,4.000,EA,0.000,0.00,2000008040,00010,422946601,261,,,VZIREQ05,SESS-000142
1000000148,0001,false,false,000000000030000063,4000,SP04,2026-05-19T00:00:00,1.000,EA,1.000,96040.18,2000008041,00010,444867698,261,,,VZIREQ05,SESS-000143
1000000149,0001,false,true,000000000030000063,4000,SP04,2026-08-26T00:00:00,4.000,EA,4.000,384160.72,2000008042,00010,445459206,261,,,VZIREQ02,SESS-000144
1000000150,0001,false,false,000000000030000064,1000,SP01,2025-12-19T00:00:00,3.000,EA,0.000,0.00,2000008043,00010,417784060,261,,,VZIREQ01,SESS-000145
1000000151,0001,false,true,000000000030000065,1000,SP01,2025-10-25T00:00:00,1.000,EA,1.000,161220.51,2000008044,00010,416888526,261,,,VZIREQ03,SESS-000146
1000000152,0001,false,false,000000000030000066,4000,SP04,2025-11-22T00:00:00,3.000,EA,0.000,0.00,2000008045,00010,443358484,261,,,VZIREQ05,SESS-000147
1000000153,0001,false,true,000000000030000067,1000,SP01,2026-01-16T00:00:00,3.000,EA,3.000,528864.87,2000008046,00010,414231871,261,,,VZIREQ04,SESS-000148
1000000154,0001,false,true,000000000030000067,1000,SP01,2026-01-12T00:00:00,3.000,EA,3.000,528864.87,2000008047,00010,414694361,261,,,VZIREQ04,
1000000155,0001,false,true,000000000030000068,2000,SP02,2025-11-12T00:00:00,4.000,EA,4.000,480205.80,2000008048,00010,424949230,261,,,VZIREQ02,SESS-000149
1000000156,0001,false,false,000000000030000068,1000,SP01,2026-09-05T00:00:00,2.000,EA,1.000,120051.45,2000008049,00010,411704186,261,,,VZIREQ03,SESS-000150
1000000157,0001,false,false,000000000030000069,2000,SP02,2026-05-09T00:00:00,3.000,EA,0.000,0.00,2000008050,00010,424719842,261,,,VZIREQ03,SESS-000151
1000000158,0001,false,false,000000000030000069,2000,SP02,2026-05-28T00:00:00,2.000,EA,0.000,0.00,2000008051,00010,428891166,261,,,VZIREQ04,SESS-000152
1000000159,0001,false,false,000000000030000070,3000,SP03,2026-01-20T00:00:00,1.000,EA,0.000,0.00,2000008052,00010,438333463,261,,,VZIREQ05,SESS-000153
1000000160,0001,false,true,000000000030000071,3000,SP03,2025-11-05T00:00:00,2.000,EA,2.000,329936.86,2000008053,00010,431916925,261,,,VZIREQ05,SESS-000154
