Matnr,Werks,Lgort,Labst,Insme,Speme,Lgpbe
000000000010000020,4000,SP04,3.000,0.000,0.000,E-15-5
000000000010000021,2000,SP02,50.000,0.000,0.000,E-23-6
000000000090000001,1000,SP01,39.000,0.000,0.000,C-13-5
000000000010000022,4000,SP04,0.000,0.000,0.000,C-02-1
000000000010000023,3000,SP03,0.000,0.000,0.000,E-09-1
000000000010000024,4000,SP04,0.000,0.000,0.000,A-09-3
000000000010000024,1000,SP01,0.000,0.000,0.000,B-14-1
000000000080000007,3000,SP03,4.000,0.000,0.000,E-04-6
000000000080000008,3000,SP03,5.000,1.000,0.000,A-12-4
000000000080000008,2000,SP02,18.000,0.000,0.000,A-05-3
000000000010000025,4000,SP04,0.000,0.000,0.000,D-04-2
000000000010000026,2000,SP02,9.000,0.000,0.000,E-09-5
000000000010000027,4000,SP04,7.000,0.000,0.000,D-12-1
000000000080000009,3000,SP03,8.000,0.000,0.000,C-15-3
000000000010000028,1000,SP01,4.000,0.000,0.000,E-23-6
000000000010000029,2000,SP02,99.000,0.000,0.000,C-01-4
000000000010000030,1000,SP01,4.000,0.000,0.000,A-07-1
000000000010000031,4000,SP04,2.000,0.000,0.000,E-21-2
000000000010000032,3000,SP03,3.000,0.000,0.000,E-23-3
000000000010000033,3000,SP03,6.000,0.000,0.000,D-21-6
000000000010000034,1000,SP01,1.000,0.000,0.000,B-07-1
000000000010000034,4000,SP04,17.000,0.000,0.000,A-09-1
000000000080000010,3000,SP03,8.000,1.000,0.000,A-04-3
000000000080000011,3000,SP03,13.000,0.000,0.000,B-01-6
000000000010000035,1000,SP01,0.000,0.000,0.000,B-01-3
000000000010000035,2000,SP02,0.000,0.000,0.000,C-09-5
000000000010000036,1000,SP01,48.000,0.000,0.000,E-07-2
000000000010000037,3000,SP03,32.000,0.000,0.000,C-08-2
000000000080000012,3000,SP03,2.000,1.000,0.000,E-16-2
000000000030000003,2000,SP02,3.000,0.000,0.000,B-09-4
000000000010000038,4000,SP04,13.000,0.000,0.000,E-15-4
000000000010000039,4000,SP04,118.000,0.000,0.000,C-05-3
000000000010000040,4000,SP04,0.000,0.000,0.000,B-11-6
000000000010000041,1000,SP01,0.000,0.000,0.000,C-16-6
000000000010000041,4000,SP04,0.000,0.000,0.000,B-11-5
000000000080000013,4000,SP04,9.000,0.000,0.000,E-02-4
000000000010000042,4000,SP04,42.000,0.000,0.000,B-01-4
000000000030000004,4000,SP04,3.000,0.000,0.000,A-02-2
000000000010000043,4000,SP04,0.000,0.000,0.000,A-11-1
000000000030000005,2000,SP02,3.000,0.000,0.000,C-03-5
000000000030000006,3000,SP03,9.000,0.000,0.000,C-17-1
000000000010000044,3000,SP03,9.000,0.000,0.000,B-09-3
000000000010000044,4000,SP04,11.000,0.000,0.000,D-06-6
000000000080000014,3000,SP03,3.000,0.000,0.000,C-16-6
000000000080000014,1000,SP01,2.000,1.000,0.000,D-09-1
000000000080000015,1000,SP01,1.000,0.000,0.000,A-01-1
000000000030000007,2000,SP02,0.000,0.000,0.000,E-08-6
000000000010000045,1000,SP01,13.000,0.000,0.000,A-03-3
000000000010000046,4000,SP04,0.000,0.000,0.000,D-08-5
000000000030000008,1000,SP01,0.000,0.000,0.000,C-09-4
000000000010000047,2000,SP02,0.000,0.000,0.000,C-01-5
000000000010000047,4000,SP04,0.000,0.000,0.000,C-23-4
000000000030000009,2000,SP02,5.000,0.000,0.000,B-14-6
000000000010000048,4000,SP04,0.000,0.000,0.000,C-01-1
000000000010000048,2000,SP02,0.000,0.000,0.000,B-13-3
000000000010000049,4000,SP04,2.000,0.000,0.000,D-11-2
000000000090000002,2000,SP02,35.000,0.000,0.000,D-16-5
000000000080000016,3000,SP03,16.000,0.000,0.000,B-10-4
000000000010000050,1000,SP01,0.000,0.000,0.000,D-13-6
000000000010000050,4000,SP04,0.000,0.000,0.000,B-07-3
000000000080000017,2000,SP02,5.000,0.000,0.000,E-18-5
000000000010000051,4000,SP04,0.000,0.000,0.000,A-20-5
000000000080000018,2000,SP02,6.000,1.000,0.000,C-14-1
000000000010000052,1000,SP01,0.000,0.000,0.000,B-15-3
000000000010000053,2000,SP02,0.000,0.000,0.000,A-14-2
000000000010000054,1000,SP01,5.000,0.000,0.000,D-06-2
000000000010000055,2000,SP02,7.000,0.000,0.000,C-06-6
000000000010000055,1000,SP01,5.000,0.000,0.000,A-08-2
000000000010000056,3000,SP03,3.000,0.000,0.000,A-17-4
000000000030000010,1000,SP01,6.000,0.000,0.000,B-22-3
000000000010000057,2000,SP02,5.000,0.000,0.000,B-13-4
000000000010000058,1000,SP01,11.000,0.000,0.000,A-05-2
000000000030000011,4000,SP04,0.000,0.000,0.000,A-14-1
000000000010000059,3000,SP03,4.000,0.000,0.000,A-24-4
000000000010000059,2000,SP02,19.000,0.000,0.000,E-05-6
000000000010000060,4000,SP04,0.000,0.000,0.000,D-08-2
000000000030000012,2000,SP02,0.000,0.000,0.000,A-18-3
000000000010000061,4000,SP04,0.000,0.000,0.000,B-22-3
000000000080000019,3000,SP03,22.000,0.000,0.000,A-24-6
000000000080000019,1000,SP01,26.000,0.000,0.000,E-09-4
000000000030000013,3000,SP03,2.000,0.000,0.000,A-16-1
000000000010000062,2000,SP02,118.000,0.000,0.000,C-08-3
000000000010000063,2000,SP02,0.000,0.000,0.000,A-08-2
000000000080000020,1000,SP01,14.000,0.000,0.000,A-21-3
000000000010000064,2000,SP02,0.000,0.000,0.000,B-02-3
000000000010000065,4000,SP04,1.000,0.000,0.000,C-22-3
000000000010000066,2000,SP02,94.000,0.000,0.000,E-15-3
000000000010000067,2000,SP02,0.000,0.000,0.000,A-04-2
000000000010000068,3000,SP03,6.000,0.000,0.000,E-11-1
000000000010000068,2000,SP02,19.000,0.000,0.000,D-24-5
000000000010000069,4000,SP04,0.000,0.000,0.000,C-23-5
000000000010000070,3000,SP03,0.000,0.000,0.000,D-18-1
000000000010000071,2000,SP02,45.000,0.000,0.000,A-01-5
000000000010000072,1000,SP01,0.000,0.000,0.000,B-23-1
000000000010000073,4000,SP04,6.000,0.000,0.000,E-09-4
000000000080000021,4000,SP04,3.000,0.000,0.000,C-01-2
000000000080000021,2000,SP02,4.000,0.000,0.000,E-08-4
000000000010000074,3000,SP03,117.000,0.000,0.000,B-15-1
000000000010000074,1000,SP01,81.000,0.000,0.000,A-12-2
000000000010000075,3000,SP03,47.000,0.000,0.000,D-01-3
000000000010000076,1000,SP01,6.000,0.000,0.000,A-10-5
000000000010000077,2000,SP02,2.000,0.000,0.000,B-08-2
000000000010000078,1000,SP01,0.000,0.000,0.000,E-10-4
000000000010000079,3000,SP03,0.000,0.000,0.000,D-11-3
000000000010000080,1000,SP01,0.000,0.000,0.000,E-17-2
000000000010000081,4000,SP04,2.000,0.000,0.000,D-17-6
000000000010000082,1000,SP01,4.000,0.000,0.000,C-05-1
000000000080000022,3000,SP03,20.000,0.000,0.000,B-08-4
000000000080000022,1000,SP01,7.000,0.000,0.000,D-07-3
000000000010000083,4000,SP04,155.000,0.000,0.000,A-16-1
000000000010000084,1000,SP01,3.000,0.000,0.000,E-13-2
000000000010000085,4000,SP04,0.000,0.000,0.000,E-22-6
000000000010000086,1000,SP01,6.000,0.000,0.000,B-03-6
000000000010000087,1000,SP01,2.000,0.000,0.000,A-05-6
000000000010000087,4000,SP04,3.000,0.000,0.000,B-12-2
000000000080000023,3000,SP03,12.000,1.000,0.000,E-01-5
000000000090000003,2000,SP02,10.000,0.000,0.000,A-21-3
000000000030000014,3000,SP03,3.000,0.000,0.000,D-07-5
000000000030000014,2000,SP02,0.000,0.000,0.000,C-05-2
000000000010000088,2000,SP02,0.000,0.000,0.000,E-09-3
000000000010000089,4000,SP04,0.000,0.000,0.000,D-06-5
000000000030000015,1000,SP01,4.000,0.000,0.000,D-03-1
000000000080000024,1000,SP01,5.000,1.000,0.000,C-02-1
000000000080000025,2000,SP02,3.000,0.000,0.000,C-13-3
000000000080000025,4000,SP04,8.000,0.000,0.000,D-02-2
000000000030000016,1000,SP01,4.000,0.000,0.000,A-04-6
000000000010000090,4000,SP04,7.000,0.000,0.000,C-13-6
000000000090000004,1000,SP01,7.000,0.000,0.000,B-13-6
000000000090000004,3000,SP03,13.000,0.000,0.000,E-18-3
000000000080000026,2000,SP02,2.000,0.000,0.000,C-13-3
000000000010000091,4000,SP04,7.000,0.000,0.000,E-08-1
000000000030000017,1000,SP01,4.000,0.000,0.000,E-12-2
000000000080000027,4000,SP04,9.000,0.000,0.000,A-21-5
000000000010000092,4000,SP04,2.000,0.000,0.000,D-15-2
000000000010000092,3000,SP03,3.000,0.000,0.000,E-17-4
000000000010000093,4000,SP04,12.000,0.000,0.000,A-07-1
000000000090000005,1000,SP01,21.000,0.000,0.000,B-13-1
000000000080000028,2000,SP02,6.000,1.000,0.000,D-16-3
000000000010000094,4000,SP04,0.000,0.000,0.000,D-24-2
000000000010000095,3000,SP03,0.000,0.000,0.000,C-02-6
000000000010000095,2000,SP02,0.000,0.000,0.000,D-10-3
000000000010000096,1000,SP01,2.000,0.000,0.000,E-22-1
000000000010000097,4000,SP04,0.000,0.000,0.000,C-07-4
000000000080000029,3000,SP03,8.000,0.000,0.000,B-04-5
000000000080000029,1000,SP01,7.000,0.000,0.000,D-07-1
000000000030000018,3000,SP03,4.000,0.000,0.000,A-05-3
000000000010000098,1000,SP01,0.000,0.000,0.000,A-21-2
000000000080000030,3000,SP03,12.000,0.000,0.000,B-02-6
000000000080000030,1000,SP01,6.000,0.000,0.000,D-20-4
000000000010000099,2000,SP02,5.000,0.000,0.000,C-15-3
000000000010000100,1000,SP01,64.000,0.000,0.000,A-20-2
000000000010000100,3000,SP03,85.000,0.000,0.000,B-17-3
000000000030000019,3000,SP03,4.000,0.000,0.000,D-07-4
000000000030000019,4000,SP04,0.000,0.000,0.000,C-23-3
000000000080000031,2000,SP02,6.000,0.000,0.000,C-08-6
000000000010000101,4000,SP04,219.000,0.000,0.000,D-14-1
000000000030000020,1000,SP01,1.000,0.000,0.000,D-24-6
000000000010000102,1000,SP01,5.000,0.000,0.000,C-16-2
000000000010000102,3000,SP03,25.000,0.000,0.000,D-19-6
000000000030000021,3000,SP03,3.000,0.000,0.000,B-11-1
000000000010000103,3000,SP03,15.000,0.000,0.000,E-24-4
000000000010000104,1000,SP01,18.000,0.000,0.000,A-09-2
000000000010000104,2000,SP02,16.000,0.000,0.000,C-07-6
000000000030000022,4000,SP04,4.000,0.000,0.000,E-01-5
000000000030000022,3000,SP03,1.000,0.000,0.000,A-23-6
000000000010000105,4000,SP04,1.000,0.000,0.000,B-13-5
000000000010000106,1000,SP01,49.000,0.000,0.000,C-18-1
000000000010000106,3000,SP03,63.000,0.000,0.000,A-22-2
000000000010000107,4000,SP04,9.000,0.000,0.000,D-01-2
000000000010000108,2000,SP02,0.000,0.000,0.000,E-18-6
000000000030000023,4000,SP04,3.000,0.000,0.000,D-23-1
000000000030000023,1000,SP01,2.000,0.000,0.000,E-01-5
000000000010000109,1000,SP01,115.000,0.000,0.000,E-15-4
000000000080000032,4000,SP04,2.000,1.000,0.000,E-16-1
000000000010000110,2000,SP02,0.000,0.000,0.000,C-09-2
000000000010000110,3000,SP03,6.000,0.000,0.000,D-06-6
000000000010000111,1000,SP01,0.000,0.000,0.000,D-03-3
000000000010000112,2000,SP02,3.000,0.000,0.000,E-02-5
000000000010000113,1000,SP01,0.000,0.000,0.000,B-07-2
000000000010000114,2000,SP02,9.000,0.000,0.000,A-02-4
000000000080000033,1000,SP01,8.000,0.000,0.000,E-22-2
000000000080000033,3000,SP03,6.000,0.000,0.000,B-20-2
000000000030000024,4000,SP04,4.000,0.000,0.000,B-22-5
000000000010000115,3000,SP03,1.000,0.000,0.000,B-14-2
000000000080000034,1000,SP01,2.000,0.000,0.000,C-21-3
000000000010000116,2000,SP02,0.000,0.000,0.000,D-24-5
000000000030000025,4000,SP04,0.000,0.000,0.000,C-19-2
000000000090000006,2000,SP02,28.000,0.000,0.000,B-12-1
000000000010000117,3000,SP03,14.000,0.000,0.000,A-22-6
000000000010000117,4000,SP04,0.000,0.000,0.000,C-15-1
000000000010000118,1000,SP01,0.000,0.000,0.000,A-05-6
000000000030000026,4000,SP04,4.000,0.000,0.000,C-21-4
000000000030000026,1000,SP01,3.000,0.000,0.000,B-17-1
000000000010000119,1000,SP01,90.000,0.000,0.000,B-20-2
000000000080000035,1000,SP01,5.000,0.000,0.000,D-07-6
000000000080000035,2000,SP02,10.000,0.000,0.000,E-24-4
000000000080000036,3000,SP03,2.000,0.000,0.000,D-07-1
000000000010000120,1000,SP01,0.000,0.000,0.000,E-16-1
000000000030000027,3000,SP03,5.000,0.000,0.000,C-06-1
000000000030000027,1000,SP01,0.000,0.000,0.000,B-21-2
000000000010000121,4000,SP04,6.000,0.000,0.000,D-20-6
000000000030000028,3000,SP03,1.000,0.000,0.000,C-17-4
000000000030000028,4000,SP04,2.000,0.000,0.000,E-22-4
000000000010000122,2000,SP02,0.000,0.000,0.000,A-10-6
000000000080000037,4000,SP04,12.000,0.000,0.000,C-24-3
000000000010000123,2000,SP02,9.000,0.000,0.000,E-14-6
000000000010000123,4000,SP04,7.000,0.000,0.000,D-12-5
000000000010000124,3000,SP03,0.000,0.000,0.000,A-07-1
000000000010000124,4000,SP04,0.000,0.000,0.000,D-06-1
000000000030000029,2000,SP02,2.000,0.000,0.000,B-21-3
000000000010000125,1000,SP01,9.000,0.000,0.000,D-14-6
000000000030000030,1000,SP01,2.000,0.000,0.000,D-07-2
000000000010000126,4000,SP04,42.000,0.000,0.000,C-19-3
000000000010000127,4000,SP04,35.000,0.000,0.000,E-14-4
000000000010000128,3000,SP03,180.000,0.000,0.000,C-10-2
000000000010000129,3000,SP03,7.000,0.000,0.000,A-04-2
000000000010000130,4000,SP04,0.000,0.000,0.000,E-07-4
000000000010000131,4000,SP04,10.000,0.000,0.000,A-23-1
000000000080000038,4000,SP04,4.000,0.000,0.000,D-21-3
000000000010000132,3000,SP03,0.000,0.000,0.000,C-17-6
000000000010000133,2000,SP02,0.000,0.000,0.000,C-03-5
000000000010000134,1000,SP01,5.000,0.000,0.000,C-05-6
000000000010000135,2000,SP02,1.000,0.000,0.000,B-10-1
000000000010000136,3000,SP03,1.000,0.000,0.000,D-16-2
000000000010000137,2000,SP02,11.000,0.000,0.000,C-01-1
000000000010000138,4000,SP04,3.000,0.000,0.000,B-09-2
000000000030000031,2000,SP02,0.000,0.000,0.000,A-06-1
000000000010000139,3000,SP03,0.000,0.000,0.000,C-13-1
000000000010000140,2000,SP02,11.000,0.000,0.000,E-22-6
000000000010000140,3000,SP03,24.000,0.000,0.000,B-10-3
000000000010000141,3000,SP03,32.000,0.000,0.000,B-12-5
000000000010000142,3000,SP03,0.000,0.000,0.000,D-15-5
000000000080000039,4000,SP04,1.000,0.000,0.000,B-11-1
000000000010000143,3000,SP03,0.000,0.000,0.000,E-23-3
000000000010000144,1000,SP01,0.000,0.000,0.000,B-19-6
000000000030000032,1000,SP01,0.000,0.000,0.000,A-17-5
000000000010000145,2000,SP02,0.000,0.000,0.000,B-05-4
000000000010000145,4000,SP04,0.000,0.000,0.000,D-03-2
000000000030000033,2000,SP02,11.000,0.000,0.000,E-01-5
000000000010000146,3000,SP03,6.000,0.000,0.000,A-09-2
000000000010000146,1000,SP01,1.000,0.000,0.000,C-22-3
000000000080000040,1000,SP01,7.000,0.000,0.000,A-08-1
000000000010000147,3000,SP03,17.000,0.000,0.000,B-06-1
000000000090000007,3000,SP03,12.000,0.000,0.000,A-10-3
000000000080000041,2000,SP02,3.000,0.000,0.000,E-03-6
000000000080000042,4000,SP04,7.000,0.000,0.000,B-14-2
000000000010000148,2000,SP02,7.000,0.000,0.000,D-08-1
000000000010000149,2000,SP02,5.000,0.000,0.000,E-04-6
000000000090000008,2000,SP02,21.000,0.000,0.000,D-16-6
000000000080000043,4000,SP04,4.000,0.000,0.000,C-10-5
000000000010000150,2000,SP02,2.000,0.000,0.000,B-06-4
000000000010000150,4000,SP04,4.000,0.000,0.000,C-12-5
000000000010000151,1000,SP01,14.000,0.000,0.000,B-13-3
000000000010000151,2000,SP02,4.000,0.000,0.000,B-07-3
000000000010000152,3000,SP03,0.000,0.000,0.000,B-12-4
000000000030000034,2000,SP02,1.000,0.000,0.000,D-05-1
000000000010000153,4000,SP04,2.000,0.000,0.000,C-10-5
000000000010000154,1000,SP01,144.000,0.000,0.000,A-14-5
000000000010000155,2000,SP02,5.000,0.000,0.000,C-05-5
000000000010000156,3000,SP03,13.000,0.000,0.000,A-08-4
000000000010000157,1000,SP01,3.000,0.000,0.000,A-06-1
000000000010000158,3000,SP03,0.000,0.000,0.000,C-16-1
000000000080000044,3000,SP03,19.000,0.000,0.000,B-02-6
000000000010000159,1000,SP01,0.000,0.000,0.000,E-20-6
000000000080000045,3000,SP03,0.000,0.000,0.000,E-01-3
000000000010000160,4000,SP04,0.000,0.000,0.000,A-13-6
000000000010000161,2000,SP02,1.000,0.000,0.000,A-20-6
000000000010000161,3000,SP03,7.000,0.000,0.000,E-12-5
000000000090000009,3000,SP03,12.000,0.000,0.000,E-02-4
000000000030000035,3000,SP03,7.000,0.000,0.000,C-11-6
000000000080000046,3000,SP03,9.000,0.000,0.000,D-04-6
000000000080000046,4000,SP04,3.000,0.000,0.000,D-23-6
000000000010000162,3000,SP03,14.000,0.000,0.000,D-23-6
000000000010000163,1000,SP01,12.000,0.000,0.000,A-03-5
000000000010000163,4000,SP04,4.000,0.000,0.000,E-14-1
000000000010000164,2000,SP02,0.000,0.000,0.000,A-02-4
000000000010000165,2000,SP02,64.000,0.000,0.000,C-11-4
000000000030000036,4000,SP04,0.000,0.000,0.000,C-08-5
000000000080000047,4000,SP04,4.000,0.000,0.000,A-08-5
000000000080000047,2000,SP02,1.000,1.000,0.000,D-11-4
000000000010000166,3000,SP03,18.000,0.000,0.000,E-14-2
000000000010000167,2000,SP02,0.000,0.000,0.000,D-03-3
000000000010000168,3000,SP03,5.000,0.000,0.000,B-03-3
000000000010000168,4000,SP04,0.000,0.000,0.000,A-10-4
000000000030000037,4000,SP04,0.000,0.000,0.000,B-02-4
000000000010000169,3000,SP03,12.000,0.000,0.000,D-01-6
000000000010000170,1000,SP01,2.000,0.000,0.000,E-10-3
000000000080000048,3000,SP03,11.000,0.000,0.000,A-17-2
000000000010000171,1000,SP01,6.000,0.000,0.000,C-14-1
000000000010000172,2000,SP02,4.000,0.000,0.000,B-24-1
000000000010000172,3000,SP03,10.000,0.000,0.000,A-05-6
000000000010000173,4000,SP04,3.000,0.000,0.000,A-01-6
000000000080000049,3000,SP03,1.000,0.000,0.000,D-10-4
000000000010000174,3000,SP03,6.000,0.000,0.000,D-02-5
000000000010000175,1000,SP01,13.000,0.000,0.000,C-21-1
000000000010000176,2000,SP02,0.000,0.000,0.000,D-20-4
000000000010000176,4000,SP04,0.000,0.000,0.000,E-13-4
000000000010000177,1000,SP01,21.000,0.000,0.000,E-04-1
000000000030000038,3000,SP03,2.000,0.000,0.000,A-24-2
000000000010000178,1000,SP01,14.000,0.000,0.000,B-13-3
000000000010000179,2000,SP02,14.000,0.000,0.000,C-13-1
000000000080000050,3000,SP03,11.000,1.000,0.000,E-22-3
000000000080000051,2000,SP02,5.000,0.000,0.000,A-14-4
000000000010000180,3000,SP03,17.000,0.000,0.000,C-21-3
000000000090000010,2000,SP02,38.000,0.000,0.000,C-19-5
000000000090000010,1000,SP01,12.000,0.000,0.000,C-24-2
000000000010000181,3000,SP03,0.000,0.000,0.000,B-24-3
000000000080000052,4000,SP04,18.000,0.000,0.000,A-18-4
000000000010000182,4000,SP04,0.000,0.000,0.000,A-22-2
000000000010000182,3000,SP03,0.000,0.000,0.000,A-11-6
000000000010000183,1000,SP01,0.000,0.000,0.000,C-07-5
000000000030000039,1000,SP01,0.000,0.000,0.000,D-13-5
000000000010000184,3000,SP03,0.000,0.000,0.000,B-08-3
000000000030000040,2000,SP02,0.000,0.000,0.000,C-19-1
000000000010000185,3000,SP03,124.000,0.000,0.000,A-13-4
000000000010000185,2000,SP02,1.000,0.000,0.000,E-20-2
000000000010000186,3000,SP03,0.000,0.000,0.000,B-23-6
000000000030000041,4000,SP04,1.000,0.000,0.000,C-10-6
000000000030000042,1000,SP01,0.000,0.000,0.000,C-20-3
000000000010000187,4000,SP04,0.000,0.000,0.000,C-24-1
000000000010000188,2000,SP02,0.000,0.000,0.000,D-06-6
000000000010000188,4000,SP04,0.000,0.000,0.000,D-06-5
000000000080000053,1000,SP01,6.000,0.000,0.000,E-19-2
000000000010000189,4000,SP04,2.000,0.000,0.000,B-19-4
000000000010000190,2000,SP02,2.000,0.000,0.000,C-12-5
000000000010000191,1000,SP01,95.000,0.000,0.000,B-18-6
000000000010000192,2000,SP02,1.000,0.000,0.000,D-04-2
000000000080000054,3000,SP03,2.000,1.000,0.000,C-06-6
000000000010000193,1000,SP01,7.000,0.000,0.000,E-03-5
000000000010000193,4000,SP04,7.000,0.000,0.000,D-15-5
000000000010000194,4000,SP04,6.000,0.000,0.000,D-03-5
000000000010000195,1000,SP01,131.000,0.000,0.000,B-06-4
000000000010000195,4000,SP04,116.000,0.000,0.000,D-14-4
000000000010000196,4000,SP04,3.000,0.000,0.000,E-15-2
000000000010000197,3000,SP03,8.000,0.000,0.000,B-23-6
000000000010000198,4000,SP04,22.000,0.000,0.000,E-21-6
000000000010000198,2000,SP02,16.000,0.000,0.000,E-08-2
000000000010000199,3000,SP03,57.000,0.000,0.000,C-16-2
000000000030000043,3000,SP03,6.000,0.000,0.000,A-18-1
000000000030000044,3000,SP03,2.000,0.000,0.000,A-07-3
000000000090000011,2000,SP02,11.000,0.000,0.000,A-09-1
000000000010000200,1000,SP01,3.000,0.000,0.000,A-05-4
000000000010000201,2000,SP02,2.000,0.000,0.000,A-04-5
000000000030000045,1000,SP01,1.000,0.000,0.000,A-08-4
000000000010000202,3000,SP03,4.000,0.000,0.000,B-23-6
000000000010000203,1000,SP01,8.000,0.000,0.000,C-07-1
000000000010000204,1000,SP01,8.000,0.000,0.000,E-04-2
000000000010000204,4000,SP04,4.000,0.000,0.000,A-15-4
000000000010000205,3000,SP03,0.000,0.000,0.000,C-04-2
000000000010000205,4000,SP04,0.000,0.000,0.000,C-10-3
000000000010000206,3000,SP03,56.000,0.000,0.000,C-23-4
000000000010000207,1000,SP01,0.000,0.000,0.000,D-21-3
000000000010000208,3000,SP03,2.000,0.000,0.000,B-24-6
000000000080000055,2000,SP02,1.000,0.000,0.000,C-06-4
000000000080000055,3000,SP03,6.000,0.000,0.000,C-18-6
000000000010000209,1000,SP01,0.000,0.000,0.000,C-02-4
000000000010000210,4000,SP04,0.000,0.000,0.000,D-12-4
000000000010000211,1000,SP01,0.000,0.000,0.000,A-18-5
000000000010000212,4000,SP04,75.000,0.000,0.000,C-24-4
000000000010000213,2000,SP02,25.000,0.000,0.000,C-10-1
000000000010000213,4000,SP04,40.000,0.000,0.000,D-04-4
000000000030000046,4000,SP04,3.000,0.000,0.000,E-15-2
000000000010000214,4000,SP04,6.000,0.000,0.000,C-11-4
000000000010000214,1000,SP01,4.000,0.000,0.000,D-19-3
000000000010000215,1000,SP01,1.000,0.000,0.000,E-15-1
000000000010000215,3000,SP03,2.000,0.000,0.000,E-17-2
000000000010000216,2000,SP02,0.000,0.000,0.000,D-17-2
000000000010000216,3000,SP03,0.000,0.000,0.000,A-06-1
000000000010000217,1000,SP01,2.000,0.000,0.000,B-02-2
000000000010000217,4000,SP04,7.000,0.000,0.000,D-11-6
000000000010000218,2000,SP02,0.000,0.000,0.000,B-10-5
000000000010000219,1000,SP01,0.000,0.000,0.000,E-20-5
000000000030000047,4000,SP04,0.000,0.000,0.000,E-22-1
000000000080000056,2000,SP02,3.000,0.000,0.000,B-20-1
000000000010000220,4000,SP04,11.000,0.000,0.000,E-20-4
000000000010000221,3000,SP03,0.000,0.000,0.000,A-21-2
000000000010000222,3000,SP03,24.000,0.000,0.000,C-21-6
000000000010000223,2000,SP02,3.000,0.000,0.000,B-09-2
000000000010000224,4000,SP04,5.000,0.000,0.000,A-23-4
000000000010000225,3000,SP03,0.000,0.000,0.000,D-05-2
000000000010000226,1000,SP01,8.000,0.000,0.000,D-14-5
000000000010000227,3000,SP03,91.000,0.000,0.000,B-15-3
000000000010000228,1000,SP01,28.000,0.000,0.000,E-09-4
000000000030000048,1000,SP01,0.000,0.000,0.000,C-04-6
000000000010000229,1000,SP01,1.000,0.000,0.000,A-04-4
000000000010000229,3000,SP03,1.000,0.000,0.000,D-18-2
000000000080000057,3000,SP03,6.000,0.000,0.000,A-18-1
000000000010000230,3000,SP03,44.000,0.000,0.000,D-05-5
000000000010000230,4000,SP04,31.000,0.000,0.000,C-20-3
000000000010000231,2000,SP02,2.000,0.000,0.000,C-22-6
000000000010000231,3000,SP03,2.000,0.000,0.000,D-09-3
000000000010000232,1000,SP01,39.000,0.000,0.000,A-06-3
000000000010000233,4000,SP04,2.000,0.000,0.000,E-06-3
000000000010000234,4000,SP04,0.000,0.000,0.000,E-09-4
000000000030000049,2000,SP02,3.000,0.000,0.000,B-18-2
