Ebeln,Ebelp,Loekz,Txz01,Matnr,Werks,Lgort,Bednr,Menge,Meins,Netpr,Peinh,Netwr,Elikz,Pstyp,Knttp,Plifz,Banfn,Bnfpo
4500000028,00010,,SPARE FOR FL-310,000000000080000001,4000,SP04,,6.000,EA,259684.49,1.000,1558106.94,true,0,,10.000,2000000028,00010
4500000029,00010,,SPARE FOR FA-810,000000000080000001,4000,SP04,,6.000,EA,259684.49,1.000,1558106.94,true,0,,10.000,2000000029,00010
4500000030,00010,,SPARE FOR TH-401,000000000010000002,2000,SP02,,3.000,EA,104795.22,1.000,314385.66,false,0,,13.000,2000000030,00010
4500000031,00010,,SPARE FOR TH-401,000000000010000002,2000,SP02,,3.000,EA,104795.22,1.000,314385.66,true,0,,13.000,2000000031,00010
4500000032,00010,,SPARE FOR CR-101,000000000010000002,2000,SP02,,2.000,EA,104795.22,1.000,209590.44,true,0,,13.000,2000000032,00010
4500000033,00010,,SPARE FOR ML-201,000000000010000002,2000,SP02,,3.000,EA,104795.22,1.000,314385.66,true,0,,13.000,2000000033,00010
4500000034,00010,,SPARE FOR CR-101,000000000010000002,2000,SP02,,2.000,EA,104795.22,1.000,209590.44,true,0,,13.000,2000000034,00010
4500000035,00010,,SPARE FOR FA-810,000000000010000002,2000,SP02,,2.000,EA,104795.22,1.000,209590.44,true,0,,13.000,2000000035,00010
4500000036,00010,,SPARE FOR CR-101,000000000010000002,2000,SP02,,2.000,EA,104795.22,1.000,209590.44,true,0,,13.000,2000000036,00010
4500000037,00010,,SPARE FOR CR-102,000000000010000002,2000,SP02,,2.000,EA,104795.22,1.000,209590.44,false,0,,13.000,2000000037,00010
4500000038,00010,,SPARE FOR PU-610,000000000010000004,4000,SP04,,67.000,EA,14664.42,1.000,982516.14,true,0,,49.000,2000000038,00010
4500000039,00010,,SPARE FOR CR-102,000000000010000004,4000,SP04,,62.000,EA,14664.42,1.000,909194.04,true,0,,49.000,2000000039,00010
4500000040,00010,,SPARE FOR CR-101,000000000010000004,4000,SP04,,64.000,EA,14664.42,1.000,938522.88,true,0,,49.000,2000000040,00010
4500000041,00010,,SPARE FOR TH-401,000000000010000004,4000,SP04,,54.000,EA,14664.42,1.000,791878.68,true,0,,49.000,2000000041,00010
4500000042,00010,,SPARE FOR ML-201,000000000010000004,4000,SP04,,56.000,EA,14664.42,1.000,821207.52,true,0,,49.000,2000000042,00010
4500000043,00010,,SPARE FOR FL-310,000000000010000004,4000,SP04,,63.000,EA,14664.42,1.000,923858.46,false,0,,49.000,2000000043,00010
4500000044,00010,,SPARE FOR ML-201,000000000010000004,4000,SP04,,85.000,EA,14664.42,1.000,1246475.70,false,0,,49.000,2000000044,00010
4500000045,00010,,SPARE FOR CR-101,000000000010000004,4000,SP04,,73.000,EA,14664.42,1.000,1070502.66,true,0,,49.000,2000000045,00010
4500000046,00010,,SPARE FOR PU-611,000000000010000005,3000,SP03,,12.000,EA,13163.80,1.000,157965.60,true,0,,59.000,2000000046,00010
4500000047,00010,,SPARE FOR ML-202,000000000010000005,3000,SP03,,5.000,EA,13163.80,1.000,65819.00,false,0,,59.000,2000000047,00010
4500000048,00010,,SPARE FOR CV-502,000000000010000005,3000,SP03,,9.000,EA,13163.80,1.000,118474.20,true,0,,59.000,2000000048,00010
4500000049,00010,,SPARE FOR PU-611,000000000010000005,3000,SP03,,6.000,EA,13163.80,1.000,78982.80,true,0,,59.000,2000000049,00010
4500000050,00010,,SPARE FOR PU-611,000000000010000005,3000,SP03,,5.000,EA,13163.80,1.000,65819.00,true,0,,59.000,2000000050,00010
4500000051,00010,,SPARE FOR FA-810,000000000010000005,1000,SP01,,4.000,EA,13163.80,1.000,52655.20,false,0,,59.000,2000000051,00010
4500000052,00010,,SPARE FOR ML-202,000000000010000005,1000,SP01,,4.000,EA,13163.80,1.000,52655.20,false,0,,59.000,2000000052,00010
4500000053,00010,,SPARE FOR TH-401,000000000010000005,1000,SP01,,6.000,EA,13163.80,1.000,78982.80,false,0,,59.000,2000000053,00010
4500000054,00010,,SPARE FOR ML-201,000000000010000005,1000,SP01,,9.000,EA,13163.80,1.000,118474.20,true,0,,59.000,2000000054,00010
4500000055,00010,,SPARE FOR PU-610,000000000010000005,1000,SP01,,4.000,EA,13163.80,1.000,52655.20,true,0,,59.000,2000000055,00010
4500000056,00010,,SPARE FOR FL-310,000000000010000005,1000,SP01,,9.000,EA,13163.80,1.000,118474.20,true,0,,59.000,2000000056,00010
4500000057,00010,,SPARE FOR PU-611,000000000010000007,2000,SP02,,3.000,EA,49169.54,1.000,147508.62,false,0,,20.000,2000000057,00010
4500000058,00010,,SPARE FOR CR-101,000000000010000007,2000,SP02,,3.000,EA,49169.54,1.000,147508.62,false,0,,20.000,2000000058,00010
4500000059,00010,,SPARE FOR TH-401,000000000010000007,2000,SP02,,3.000,EA,49169.54,1.000,147508.62,false,0,,20.000,2000000059,00010
4500000060,00010,,SPARE FOR TH-401,000000000010000007,2000,SP02,,3.000,EA,49169.54,1.000,147508.62,true,0,,20.000,2000000060,00010
4500000061,00010,,SPARE FOR ML-202,000000000010000007,2000,SP02,,3.000,EA,49169.54,1.000,147508.62,true,0,,20.000,2000000061,00010
4500000062,00010,,SPARE FOR TH-401,000000000010000007,2000,SP02,,2.000,EA,49169.54,1.000,98339.08,true,0,,20.000,2000000062,00010
4500000063,00010,,SPARE FOR CV-502,000000000010000007,2000,SP02,,3.000,EA,49169.54,1.000,147508.62,true,0,,20.000,2000000063,00010
4500000064,00010,,SPARE FOR ML-202,000000000010000007,3000,SP03,,6.000,EA,49169.54,1.000,295017.24,true,0,,20.000,2000000064,00010
4500000065,00010,,SPARE FOR PU-611,000000000010000007,3000,SP03,,8.000,EA,49169.54,1.000,393356.32,true,0,,20.000,2000000065,00010
4500000066,00010,,SPARE FOR SC-701,000000000010000007,3000,SP03,,7.000,EA,49169.54,1.000,344186.78,true,0,,20.000,2000000066,00010
4500000067,00010,,SPARE FOR TH-401,000000000010000007,3000,SP03,,7.000,EA,49169.54,1.000,344186.78,false,0,,20.000,2000000067,00010
4500000068,00010,,SPARE FOR CR-102,000000000080000002,1000,SP01,,11.000,EA,341109.54,1.000,3752204.94,true,0,,21.000,2000000068,00010
4500000069,00010,,SPARE FOR FA-810,000000000080000002,1000,SP01,,11.000,EA,341109.54,1.000,3752204.94,false,0,,21.000,2000000069,00010
4500000070,00010,,SPARE FOR ML-202,000000000080000002,1000,SP01,,11.000,EA,341109.54,1.000,3752204.94,false,0,,21.000,2000000070,00010
4500000071,00010,,SPARE FOR ML-201,000000000080000002,1000,SP01,,11.000,EA,341109.54,1.000,3752204.94,true,0,,21.000,2000000071,00010
4500000072,00010,,SPARE FOR CV-501,000000000080000002,1000,SP01,,10.000,EA,341109.54,1.000,3411095.40,false,0,,21.000,2000000072,00010
4500000073,00010,,SPARE FOR CV-501,000000000080000002,1000,SP01,,11.000,EA,341109.54,1.000,3752204.94,true,0,,21.000,2000000073,00010
4500000074,00010,,SPARE FOR ML-202,000000000080000002,2000,SP02,,18.000,EA,341109.54,1.000,6139971.72,true,0,,21.000,2000000074,00010
4500000075,00010,,SPARE FOR FA-810,000000000080000002,2000,SP02,,19.000,EA,341109.54,1.000,6481081.26,true,0,,21.000,2000000075,00010
4500000076,00010,,SPARE FOR CV-501,000000000080000002,2000,SP02,,17.000,EA,341109.54,1.000,5798862.18,false,0,,21.000,2000000076,00010
4500000077,00010,,SPARE FOR ML-202,000000000080000002,2000,SP02,,17.000,EA,341109.54,1.000,5798862.18,true,0,,21.000,2000000077,00010
4500000078,00010,,SPARE FOR CV-501,000000000080000002,2000,SP02,,17.000,EA,341109.54,1.000,5798862.18,false,0,,21.000,2000000078,00010
4500000079,00010,,SPARE FOR PU-610,000000000010000008,3000,SP03,,83.000,EA,9711.33,1.000,806040.39,true,0,,44.000,2000000079,00010
4500000080,00010,,SPARE FOR CV-501,000000000010000008,3000,SP03,,75.000,EA,9711.33,1.000,728349.75,true,0,,44.000,2000000080,00010
4500000081,00010,,SPARE FOR TH-401,000000000010000008,3000,SP03,,82.000,EA,9711.33,1.000,796329.06,true,0,,44.000,2000000081,00010
4500000082,00010,,SPARE FOR SC-701,000000000010000008,3000,SP03,,84.000,EA,9711.33,1.000,815751.72,false,0,,44.000,2000000082,00010
4500000083,00010,,SPARE FOR PU-611,000000000010000008,3000,SP03,,84.000,EA,9711.33,1.000,815751.72,true,0,,44.000,2000000083,00010
4500000084,00010,,SPARE FOR SC-701,000000000010000008,4000,SP04,,70.000,EA,9711.33,1.000,679793.10,true,0,,44.000,2000000084,00010
4500000085,00010,,SPARE FOR TH-401,000000000010000008,4000,SP04,,47.000,EA,9711.33,1.000,456432.51,true,0,,44.000,2000000085,00010
4500000086,00010,,SPARE FOR CR-101,000000000010000008,4000,SP04,,62.000,EA,9711.33,1.000,602102.46,true,0,,44.000,2000000086,00010
4500000087,00010,,SPARE FOR ML-201,000000000010000008,4000,SP04,,112.000,EA,9711.33,1.000,1087668.96,true,0,,44.000,2000000087,00010
4500000088,00010,,SPARE FOR FA-810,000000000010000008,4000,SP04,,41.000,EA,9711.33,1.000,398164.53,true,0,,44.000,2000000088,00010
4500000089,00010,,SPARE FOR CR-102,000000000010000008,4000,SP04,,53.000,EA,9711.33,1.000,514700.49,false,0,,44.000,2000000089,00010
4500000090,00010,,SPARE FOR TH-401,000000000010000008,4000,SP04,,82.000,EA,9711.33,1.000,796329.06,false,0,,44.000,2000000090,00010
4500000091,00010,,SPARE FOR TH-401,000000000010000008,4000,SP04,,105.000,EA,9711.33,1.000,1019689.65,true,0,,44.000,2000000091,00010
4500000092,00010,,SPARE FOR CV-501,000000000010000008,4000,SP04,,63.000,EA,9711.33,1.000,611813.79,true,0,,44.000,2000000092,00010
4500000093,00010,,SPARE FOR CR-102,000000000010000008,4000,SP04,,62.000,EA,9711.33,1.000,602102.46,true,0,,44.000,2000000093,00010
4500000094,00010,,SPARE FOR PU-611,000000000010000008,4000,SP04,,55.000,EA,9711.33,1.000,534123.15,true,0,,44.000,2000000094,00010
4500000095,00010,,SPARE FOR CV-502,000000000010000009,3000,SP03,,99.000,EA,6854.58,1.000,678603.42,false,0,,18.000,2000000095,00010
4500000096,00010,,SPARE FOR CR-102,000000000010000009,3000,SP03,,92.000,EA,6854.58,1.000,630621.36,false,0,,18.000,2000000096,00010
4500000097,00010,,SPARE FOR SC-701,000000000010000009,3000,SP03,,111.000,EA,6854.58,1.000,760858.38,true,0,,18.000,2000000097,00010
4500000098,00010,,SPARE FOR TH-401,000000000010000009,3000,SP03,,105.000,EA,6854.58,1.000,719730.90,true,0,,18.000,2000000098,00010
4500000099,00010,,SPARE FOR PU-611,000000000010000009,3000,SP03,,109.000,EA,6854.58,1.000,747149.22,true,0,,18.000,2000000099,00010
4500000100,00010,,SPARE FOR FL-310,000000000010000009,3000,SP03,,91.000,EA,6854.58,1.000,623766.78,false,0,,18.000,2000000100,00010
4500000101,00010,,SPARE FOR PU-610,000000000010000009,3000,SP03,,99.000,EA,6854.58,1.000,678603.42,true,0,,18.000,2000000101,00010
4500000102,00010,,SPARE FOR CR-101,000000000010000011,1000,SP01,,15.000,EA,304868.49,1.000,4573027.35,true,0,,237.000,2000000102,00010
4500000103,00010,,SPARE FOR ML-202,000000000010000011,1000,SP01,,14.000,EA,304868.49,1.000,4268158.86,false,0,,237.000,2000000103,00010
4500000104,00010,,SPARE FOR SC-701,000000000010000011,4000,SP04,,14.000,EA,304868.49,1.000,4268158.86,true,0,,237.000,2000000104,00010
4500000105,00010,,SPARE FOR FL-310,000000000010000011,4000,SP04,,14.000,EA,304868.49,1.000,4268158.86,true,0,,237.000,2000000105,00010
4500000106,00010,,SPARE FOR CR-102,000000000010000011,4000,SP04,,14.000,EA,304868.49,1.000,4268158.86,false,0,,237.000,2000000106,00010
4500000107,00010,,SPARE FOR FA-810,000000000010000014,3000,SP03,,7.000,EA,534518.62,1.000,3741630.34,true,0,,41.000,2000000107,00010
4500000108,00010,,SPARE FOR FA-810,000000000010000014,3000,SP03,,10.000,EA,534518.62,1.000,5345186.20,false,0,,41.000,2000000108,00010
4500000109,00010,,SPARE FOR PU-610,000000000010000014,3000,SP03,,15.000,EA,534518.62,1.000,8017779.30,true,0,,41.000,2000000109,00010
4500000110,00010,,SPARE FOR CR-101,000000000010000014,3000,SP03,,8.000,EA,534518.62,1.000,4276148.96,false,0,,41.000,2000000110,00010
4500000111,00010,,SPARE FOR FL-310,000000000010000014,3000,SP03,,15.000,EA,534518.62,1.000,8017779.30,false,0,,41.000,2000000111,00010
4500000112,00010,,SPARE FOR CV-502,000000000010000014,3000,SP03,,15.000,EA,534518.62,1.000,8017779.30,false,0,,41.000,2000000112,00010
4500000113,00010,,SPARE FOR PU-610,000000000010000014,3000,SP03,,15.000,EA,534518.62,1.000,8017779.30,true,0,,41.000,2000000113,00010
4500000114,00010,,SPARE FOR ML-201,000000000010000014,3000,SP03,,7.000,EA,534518.62,1.000,3741630.34,false,0,,41.000,2000000114,00010
4500000115,00010,,SPARE FOR FA-810,000000000010000014,3000,SP03,,7.000,EA,534518.62,1.000,3741630.34,true,0,,41.000,2000000115,00010
4500000116,00010,,SPARE FOR PU-610,000000000010000014,3000,SP03,,14.000,EA,534518.62,1.000,7483260.68,false,0,,41.000,2000000116,00010
4500000117,00010,,SPARE FOR ML-201,000000000010000014,3000,SP03,,7.000,EA,534518.62,1.000,3741630.34,true,0,,41.000,2000000117,00010
4500000118,00010,,SPARE FOR CV-501,000000000010000014,3000,SP03,,7.000,EA,534518.62,1.000,3741630.34,false,0,,41.000,2000000118,00010
4500000119,00010,,SPARE FOR FL-310,000000000010000014,3000,SP03,,7.000,EA,534518.62,1.000,3741630.34,false,0,,41.000,2000000119,00010
4500000120,00010,,SPARE FOR FA-810,000000000080000003,1000,SP01,,36.000,EA,383733.68,1.000,13814412.48,false,0,,121.000,2000000120,00010
4500000121,00010,,SPARE FOR CR-101,000000000080000003,1000,SP01,,33.000,EA,383733.68,1.000,12663211.44,true,0,,121.000,2000000121,00010
4500000122,00010,,SPARE FOR ML-201,000000000010000015,1000,SP01,,3.000,EA,190485.43,1.000,571456.29,false,0,,83.000,2000000122,00010
4500000123,00010,,SPARE FOR FL-310,000000000010000015,1000,SP01,,5.000,EA,190485.43,1.000,952427.15,true,0,,83.000,2000000123,00010
4500000124,00010,,SPARE FOR TH-401,000000000010000015,1000,SP01,,5.000,EA,190485.43,1.000,952427.15,true,0,,83.000,2000000124,00010
4500000125,00010,,SPARE FOR CV-502,000000000010000015,1000,SP01,,4.000,EA,190485.43,1.000,761941.72,true,0,,83.000,2000000125,00010
4500000126,00010,,SPARE FOR CV-501,000000000080000004,3000,SP03,,10.000,EA,339622.31,1.000,3396223.10,true,0,,32.000,2000000126,00010
4500000127,00010,,SPARE FOR CV-501,000000000080000004,3000,SP03,,12.000,EA,339622.31,1.000,4075467.72,false,0,,32.000,2000000127,00010
4500000128,00010,,SPARE FOR PU-611,000000000080000004,3000,SP03,,12.000,EA,339622.31,1.000,4075467.72,false,0,,32.000,2000000128,00010
4500000129,00010,,SPARE FOR TH-401,000000000080000004,3000,SP03,,14.000,EA,339622.31,1.000,4754712.34,true,0,,32.000,2000000129,00010
4500000130,00010,,SPARE FOR CV-502,000000000080000004,3000,SP03,,13.000,EA,339622.31,1.000,4415090.03,true,0,,32.000,2000000130,00010
4500000131,00010,,SPARE FOR CR-101,000000000080000004,3000,SP03,,11.000,EA,339622.31,1.000,3735845.41,true,0,,32.000,2000000131,00010
4500000132,00010,,SPARE FOR CV-502,000000000080000005,2000,SP02,,7.000,EA,443607.00,1.000,3105249.00,false,0,,14.000,2000000132,00010
4500000133,00010,,SPARE FOR FL-310,000000000080000005,2000,SP02,,8.000,EA,443607.00,1.000,3548856.00,true,0,,14.000,2000000133,00010
4500000134,00010,,SPARE FOR TH-401,000000000080000005,2000,SP02,,8.000,EA,443607.00,1.000,3548856.00,false,0,,14.000,2000000134,00010
4500000135,00010,,SPARE FOR ML-201,000000000080000005,2000,SP02,,8.000,EA,443607.00,1.000,3548856.00,true,0,,14.000,2000000135,00010
4500000136,00010,,SPARE FOR PU-611,000000000080000005,2000,SP02,,8.000,EA,443607.00,1.000,3548856.00,true,0,,14.000,2000000136,00010
4500000137,00010,,SPARE FOR TH-401,000000000080000005,2000,SP02,,8.000,EA,443607.00,1.000,3548856.00,true,0,,14.000,2000000137,00010
4500000138,00010,,SPARE FOR ML-201,000000000010000017,1000,SP01,,9.000,EA,9614.93,1.000,86534.37,true,0,,12.000,2000000138,00010
4500000139,00010,,SPARE FOR CR-101,000000000010000017,1000,SP01,,9.000,EA,9614.93,1.000,86534.37,true,0,,12.000,2000000139,00010
4500000140,00010,,SPARE FOR ML-202,000000000010000017,1000,SP01,,7.000,EA,9614.93,1.000,67304.51,false,0,,12.000,2000000140,00010
4500000141,00010,,SPARE FOR ML-201,000000000010000017,1000,SP01,,7.000,EA,9614.93,1.000,67304.51,true,0,,12.000,2000000141,00010
4500000142,00010,,SPARE FOR CV-501,000000000010000017,1000,SP01,,8.000,EA,9614.93,1.000,76919.44,true,0,,12.000,2000000142,00010
4500000143,00010,,SPARE FOR ML-202,000000000010000017,1000,SP01,,9.000,EA,9614.93,1.000,86534.37,true,0,,12.000,2000000143,00010
4500000144,00010,,SPARE FOR CR-101,000000000010000018,3000,SP03,,21.000,EA,158997.60,1.000,3338949.60,true,0,,106.000,2000000144,00010
4500000145,00010,,SPARE FOR PU-611,000000000010000018,3000,SP03,,20.000,EA,158997.60,1.000,3179952.00,false,0,,106.000,2000000145,00010
4500000146,00010,,SPARE FOR CV-502,000000000010000018,3000,SP03,,31.000,EA,158997.60,1.000,4928925.60,false,0,,106.000,2000000146,00010
4500000147,00010,,SPARE FOR FL-310,000000000010000018,3000,SP03,,31.000,EA,158997.60,1.000,4928925.60,true,0,,106.000,2000000147,00010
4500000148,00010,,SPARE FOR PU-611,000000000010000019,1000,SP01,,129.000,EA,4040.35,1.000,521205.15,true,0,,33.000,2000000148,00010
4500000149,00010,,SPARE FOR FA-810,000000000010000019,1000,SP01,,130.000,EA,4040.35,1.000,525245.50,false,0,,33.000,2000000149,00010
4500000150,00010,,SPARE FOR TH-401,000000000010000019,1000,SP01,,151.000,EA,4040.35,1.000,610092.85,true,0,,33.000,2000000150,00010
4500000151,00010,,SPARE FOR FL-310,000000000010000019,1000,SP01,,129.000,EA,4040.35,1.000,521205.15,true,0,,33.000,2000000151,00010
4500000152,00010,,SPARE FOR FL-310,000000000010000019,1000,SP01,,130.000,EA,4040.35,1.000,525245.50,true,0,,33.000,2000000152,00010
4500000153,00010,,SPARE FOR PU-610,000000000010000019,1000,SP01,,143.000,EA,4040.35,1.000,577770.05,true,0,,33.000,2000000153,00010
4500000154,00010,,SPARE FOR SC-701,000000000080000006,3000,SP03,,6.000,EA,143681.05,1.000,862086.30,true,0,,9.000,2000000154,00010
4500000155,00010,,SPARE FOR ML-201,000000000080000006,3000,SP03,,5.000,EA,143681.05,1.000,718405.25,true,0,,9.000,2000000155,00010
4500000156,00010,,SPARE FOR FA-810,000000000080000006,3000,SP03,,8.000,EA,143681.05,1.000,1149448.40,true,0,,9.000,2000000156,00010
4500000157,00010,,SPARE FOR PU-610,000000000080000006,3000,SP03,,10.000,EA,143681.05,1.000,1436810.50,false,0,,9.000,2000000157,00010
4500000158,00010,,SPARE FOR TH-401,000000000080000006,3000,SP03,,10.000,EA,143681.05,1.000,1436810.50,false,0,,9.000,2000000158,00010
4500000159,00010,,SPARE FOR PU-611,000000000080000006,3000,SP03,,6.000,EA,143681.05,1.000,862086.30,true,0,,9.000,2000000159,00010
4500000160,00010,,SPARE FOR PU-610,000000000080000006,3000,SP03,,6.000,EA,143681.05,1.000,862086.30,false,0,,9.000,2000000160,00010
4500000161,00010,,SPARE FOR PU-611,000000000080000006,3000,SP03,,10.000,EA,143681.05,1.000,1436810.50,false,0,,9.000,2000000161,00010
4500000162,00010,,SPARE FOR CR-102,000000000080000006,4000,SP04,,6.000,EA,143681.05,1.000,862086.30,true,0,,9.000,2000000162,00010
4500000163,00010,,SPARE FOR ML-202,000000000080000006,4000,SP04,,7.000,EA,143681.05,1.000,1005767.35,true,0,,9.000,2000000163,00010
4500000164,00010,,SPARE FOR TH-401,000000000080000006,4000,SP04,,7.000,EA,143681.05,1.000,1005767.35,true,0,,9.000,2000000164,00010
4500000165,00010,,SPARE FOR FA-810,000000000080000006,4000,SP04,,6.000,EA,143681.05,1.000,862086.30,false,0,,9.000,2000000165,00010
4500000166,00010,,SPARE FOR CV-501,000000000080000006,4000,SP04,,6.000,EA,143681.05,1.000,862086.30,true,0,,9.000,2000000166,00010
4500000167,00010,,SPARE FOR PU-611,000000000010000021,2000,SP02,,87.000,EA,385.79,1.000,33563.73,true,0,,60.000,2000000167,00010
4500000168,00010,,SPARE FOR CR-101,000000000010000021,2000,SP02,,75.000,EA,385.79,1.000,28934.25,false,0,,60.000,2000000168,00010
4500000169,00010,,SPARE FOR FL-310,000000000010000021,2000,SP02,,96.000,EA,385.79,1.000,37035.84,true,0,,60.000,2000000169,00010
4500000170,00010,,SPARE FOR CR-101,000000000010000021,2000,SP02,,76.000,EA,385.79,1.000,29320.04,true,0,,60.000,2000000170,00010
4500000171,00010,,SPARE FOR FL-310,000000000010000021,2000,SP02,,87.000,EA,385.79,1.000,33563.73,true,0,,60.000,2000000171,00010
4500000172,00010,,SPARE FOR CV-501,000000000010000021,2000,SP02,,80.000,EA,385.79,1.000,30863.20,false,0,,60.000,2000000172,00010
4500000173,00010,,SPARE FOR ML-202,000000000010000021,2000,SP02,,80.000,EA,385.79,1.000,30863.20,false,0,,60.000,2000000173,00010
4500000174,00010,,SPARE FOR ML-202,000000000080000007,3000,SP03,,2.000,EA,405506.08,1.000,811012.16,true,0,,50.000,2000000174,00010
4500000175,00010,,SPARE FOR CV-501,000000000080000007,3000,SP03,,4.000,EA,405506.08,1.000,1622024.32,true,0,,50.000,2000000175,00010
4500000176,00010,,SPARE FOR ML-202,000000000080000007,3000,SP03,,3.000,EA,405506.08,1.000,1216518.24,false,0,,50.000,2000000176,00010
4500000177,00010,,SPARE FOR PU-610,000000000080000007,3000,SP03,,3.000,EA,405506.08,1.000,1216518.24,true,0,,50.000,2000000177,00010
4500000178,00010,,SPARE FOR CR-102,000000000080000007,3000,SP03,,2.000,EA,405506.08,1.000,811012.16,true,0,,50.000,2000000178,00010
4500000179,00010,,SPARE FOR SC-701,000000000080000007,3000,SP03,,2.000,EA,405506.08,1.000,811012.16,true,0,,50.000,2000000179,00010
4500000180,00010,,SPARE FOR PU-610,000000000080000007,3000,SP03,,2.000,EA,405506.08,1.000,811012.16,false,0,,50.000,2000000180,00010
4500000181,00010,,SPARE FOR TH-401,000000000080000007,3000,SP03,,3.000,EA,405506.08,1.000,1216518.24,true,0,,50.000,2000000181,00010
4500000182,00010,,SPARE FOR CR-102,000000000080000008,3000,SP03,,5.000,EA,407488.50,1.000,2037442.50,true,0,,122.000,2000000182,00010
4500000183,00010,,SPARE FOR CR-102,000000000080000008,3000,SP03,,10.000,EA,407488.50,1.000,4074885.00,true,0,,122.000,2000000183,00010
4500000184,00010,,SPARE FOR CV-501,000000000080000008,3000,SP03,,5.000,EA,407488.50,1.000,2037442.50,true,0,,122.000,2000000184,00010
