Ebeln,Ebelp,Zekkn,Vgabe,Gjahr,Belnr,Buzei,Bewtp,Bwart,Budat,Menge,Dmbtr,Shkzg,Cpudt,Matnr,Werks
4500000016,00010,01,1,2026,4900000082,0001,E,101,2026-07-13T00:00:00,119.000,57618525.51,S,2026-07-13T00:00:00,000000000010000001,2000
4500000016,00010,01,2,2026,5100000011,0001,Q,,2026-08-06T00:00:00,119.000,57618525.51,S,2026-08-05T00:00:00,000000000010000001,2000
4500000018,00010,01,1,2024,4900000085,0001,E,101,2024-11-02T00:00:00,13.000,4004780.91,S,2024-11-02T00:00:00,000000000080000000,1000
4500000018,00010,01,2,2024,5100000012,0001,Q,,2024-11-22T00:00:00,13.000,4004780.91,S,2024-11-15T00:00:00,000000000080000000,1000
4500000019,00010,01,1,2025,4900000089,0001,E,101,2025-03-08T00:00:00,8.000,2464480.56,S,2025-03-08T00:00:00,000000000080000000,1000
4500000019,00010,01,2,2025,5100000013,0001,Q,,2025-03-31T00:00:00,8.000,2464480.56,S,2025-03-23T00:00:00,000000000080000000,1000
4500000021,00010,01,1,2025,4900000092,0001,E,101,2025-07-09T00:00:00,16.000,4928961.12,S,2025-07-09T00:00:00,000000000080000000,1000
4500000021,00010,01,2,2025,5100000014,0001,Q,,2025-07-16T00:00:00,16.000,4928961.12,S,2025-07-13T00:00:00,000000000080000000,1000
4500000022,00010,01,1,2025,4900000095,0001,E,101,2025-10-16T00:00:00,5.000,1540300.35,S,2025-10-16T00:00:00,000000000080000000,1000
4500000022,00010,01,2,2025,5100000015,0001,Q,,2025-11-02T00:00:00,5.000,1540300.35,S,2025-11-05T00:00:00,000000000080000000,1000
4500000023,00010,01,1,2025,4900000097,0001,E,101,2025-12-20T00:00:00,14.000,4312840.98,S,2025-12-20T00:00:00,000000000080000000,1000
4500000024,00010,01,1,2026,4900000101,0001,E,101,2026-05-06T00:00:00,7.000,2156420.49,S,2026-05-06T00:00:00,000000000080000000,1000
4500000024,00010,01,2,2026,5100000016,0001,Q,,2026-05-31T00:00:00,7.000,2156420.49,S,2026-05-17T00:00:00,000000000080000000,1000
4500000025,00010,01,1,2026,4900000103,0001,E,101,2026-07-29T00:00:00,13.000,4004780.91,S,2026-07-29T00:00:00,000000000080000000,1000
4500000025,00010,01,2,2026,5100000017,0001,Q,,2026-08-01T00:00:00,13.000,4004780.91,S,2026-08-09T00:00:00,000000000080000000,1000
4500000026,00010,01,1,2025,4900000105,0001,E,101,2025-04-29T00:00:00,6.000,1558106.94,S,2025-04-29T00:00:00,000000000080000001,4000
4500000027,00010,01,1,2025,4900000108,0001,E,101,2025-11-09T00:00:00,5.000,1298422.45,S,2025-11-09T00:00:00,000000000080000001,4000
4500000027,00010,01,2,2025,5100000018,0001,Q,,2025-12-09T00:00:00,5.000,1298422.45,S,2025-11-24T00:00:00,000000000080000001,4000
4500000028,00010,01,1,2025,4900000111,0001,E,101,2025-12-31T00:00:00,6.000,1558106.94,S,2025-12-31T00:00:00,000000000080000001,4000
4500000028,00010,01,2,2025,5100000019,0001,Q,,2026-01-20T00:00:00,6.000,1558106.94,S,2026-01-28T00:00:00,000000000080000001,4000
4500000029,00010,01,1,2026,4900000114,0001,E,101,2026-08-03T00:00:00,6.000,1558106.94,S,2026-08-03T00:00:00,000000000080000001,4000
4500000031,00010,01,1,2025,4900000116,0001,E,101,2025-01-11T00:00:00,3.000,314385.66,S,2025-01-11T00:00:00,000000000010000002,2000
4500000032,00010,01,1,2025,4900000118,0001,E,101,2025-03-02T00:00:00,2.000,209590.44,S,2025-03-02T00:00:00,000000000010000002,2000
4500000032,00010,01,2,2025,5100000020,0001,Q,,2025-04-01T00:00:00,2.000,209590.44,S,2025-03-18T00:00:00,000000000010000002,2000
4500000033,00010,01,1,2025,4900000121,0001,E,101,2025-06-06T00:00:00,3.000,314385.66,S,2025-06-06T00:00:00,000000000010000002,2000
4500000033,00010,01,2,2025,5100000021,0001,Q,,2025-06-26T00:00:00,3.000,314385.66,S,2025-07-05T00:00:00,000000000010000002,2000
4500000034,00010,01,1,2025,4900000123,0001,E,101,2025-07-09T00:00:00,2.000,209590.44,S,2025-07-09T00:00:00,000000000010000002,2000
4500000035,00010,01,1,2025,4900000125,0001,E,101,2025-09-03T00:00:00,2.000,209590.44,S,2025-09-03T00:00:00,000000000010000002,2000
4500000036,00010,01,1,2026,4900000127,0001,E,101,2026-03-27T00:00:00,2.000,209590.44,S,2026-03-27T00:00:00,000000000010000002,2000
4500000036,00010,01,2,2026,5100000022,0001,Q,,2026-04-22T00:00:00,2.000,209590.44,S,2026-04-14T00:00:00,000000000010000002,2000
4500000038,00010,01,1,2024,4900000133,0001,E,101,2024-12-13T00:00:00,67.000,982516.14,S,2024-12-13T00:00:00,000000000010000004,4000
4500000039,00010,01,1,2025,4900000138,0001,E,101,2025-04-12T00:00:00,62.000,909194.04,S,2025-04-12T00:00:00,000000000010000004,4000
4500000039,00010,01,2,2025,5100000023,0001,Q,,2025-04-19T00:00:00,62.000,909194.04,S,2025-05-05T00:00:00,000000000010000004,4000
4500000040,00010,01,1,2025,4900000143,0001,E,101,2025-08-25T00:00:00,64.000,938522.88,S,2025-08-25T00:00:00,000000000010000004,4000
4500000040,00010,01,2,2025,5100000024,0001,Q,,2025-09-04T00:00:00,64.000,938522.88,S,2025-09-16T00:00:00,000000000010000004,4000
4500000041,00010,01,1,2025,4900000146,0001,E,101,2025-10-30T00:00:00,54.000,791878.68,S,2025-10-30T00:00:00,000000000010000004,4000
4500000041,00010,01,2,2025,5100000025,0001,Q,,2025-11-22T00:00:00,54.000,791878.68,S,2025-11-28T00:00:00,000000000010000004,4000
4500000042,00010,01,1,2026,4900000151,0001,E,101,2026-02-24T00:00:00,56.000,821207.52,S,2026-02-24T00:00:00,000000000010000004,4000
4500000042,00010,01,2,2026,5100000026,0001,Q,,2026-03-15T00:00:00,56.000,821207.52,S,2026-03-09T00:00:00,000000000010000004,4000
4500000043,00010,01,1,2026,4900000155,0001,E,101,2026-06-08T00:00:00,28.000,410603.76,S,2026-06-08T00:00:00,000000000010000004,4000
4500000043,00010,01,2,2026,5100000027,0001,Q,,2026-06-12T00:00:00,28.000,410603.76,S,2026-07-06T00:00:00,000000000010000004,4000
4500000045,00010,01,1,2026,4900000158,0001,E,101,2026-08-06T00:00:00,73.000,1070502.66,S,2026-08-06T00:00:00,000000000010000004,4000
4500000046,00010,01,1,2024,4900000161,0001,E,101,2024-11-29T00:00:00,12.000,157965.60,S,2024-11-29T00:00:00,000000000010000005,3000
4500000047,00010,01,1,2025,4900000163,0001,E,101,2025-02-26T00:00:00,2.000,26327.60,S,2025-02-26T00:00:00,000000000010000005,3000
4500000048,00010,01,1,2025,4900000165,0001,E,101,2025-07-09T00:00:00,9.000,118474.20,S,2025-07-09T00:00:00,000000000010000005,3000
4500000049,00010,01,1,2026,4900000169,0001,E,101,2026-01-14T00:00:00,6.000,78982.80,S,2026-01-14T00:00:00,000000000010000005,3000
4500000050,00010,01,1,2026,4900000171,0001,E,101,2026-05-12T00:00:00,5.000,65819.00,S,2026-05-12T00:00:00,000000000010000005,3000
4500000050,00010,01,2,2026,5100000028,0001,Q,,2026-06-07T00:00:00,5.000,65819.00,S,2026-06-07T00:00:00,000000000010000005,3000
4500000052,00010,01,1,2024,4900000173,0001,E,101,2024-12-14T00:00:00,2.000,26327.60,S,2024-12-14T00:00:00,000000000010000005,1000
4500000054,00010,01,1,2025,4900000176,0001,E,101,2025-02-22T00:00:00,9.000,118474.20,S,2025-02-22T00:00:00,000000000010000005,1000
4500000055,00010,01,1,2025,4900000179,0001,E,101,2025-10-20T00:00:00,4.000,52655.20,S,2025-10-20T00:00:00,000000000010000005,1000
4500000055,00010,01,2,2025,5100000029,0001,Q,,2025-11-12T00:00:00,4.000,52655.20,S,2025-11-01T00:00:00,000000000010000005,1000
4500000056,00010,01,1,2026,4900000181,0001,E,101,2026-01-25T00:00:00,9.000,118474.20,S,2026-01-25T00:00:00,000000000010000005,1000
4500000056,00010,01,2,2026,5100000030,0001,Q,,2026-02-01T00:00:00,9.000,118474.20,S,2026-02-04T00:00:00,000000000010000005,1000
4500000057,00010,01,1,2024,4900000184,0001,E,101,2024-12-02T00:00:00,2.000,98339.08,S,2024-12-02T00:00:00,000000000010000007,2000
4500000057,00010,01,2,2024,5100000031,0001,Q,,2024-12-24T00:00:00,2.000,98339.08,S,2024-12-28T00:00:00,000000000010000007,2000
4500000060,00010,01,1,2025,4900000186,0001,E,101,2025-05-16T00:00:00,3.000,147508.62,S,2025-05-16T00:00:00,000000000010000007,2000
4500000060,00010,01,2,2025,5100000032,0001,Q,,2025-06-07T00:00:00,3.000,147508.62,S,2025-05-31T00:00:00,000000000010000007,2000
4500000061,00010,01,1,2025,4900000188,0001,E,101,2025-07-13T00:00:00,3.000,147508.62,S,2025-07-13T00:00:00,000000000010000007,2000
4500000062,00010,01,1,2025,4900000191,0001,E,101,2025-10-15T00:00:00,2.000,98339.08,S,2025-10-15T00:00:00,000000000010000007,2000
4500000063,00010,01,1,2026,4900000193,0001,E,101,2026-02-08T00:00:00,3.000,147508.62,S,2026-02-08T00:00:00,000000000010000007,2000
4500000063,00010,01,2,2026,5100000033,0001,Q,,2026-02-15T00:00:00,3.000,147508.62,S,2026-03-08T00:00:00,000000000010000007,2000
4500000064,00010,01,1,2024,4900000196,0001,E,101,2024-10-08T00:00:00,6.000,295017.24,S,2024-10-08T00:00:00,000000000010000007,3000
4500000064,00010,01,2,2024,5100000034,0001,Q,,2024-10-22T00:00:00,6.000,295017.24,S,2024-10-19T00:00:00,000000000010000007,3000
4500000065,00010,01,1,2025,4900000199,0001,E,101,2025-02-09T00:00:00,8.000,393356.32,S,2025-02-09T00:00:00,000000000010000007,3000
4500000065,00010,01,2,2025,5100000035,0001,Q,,2025-02-16T00:00:00,8.000,393356.32,S,2025-02-26T00:00:00,000000000010000007,3000
4500000066,00010,01,1,2025,4900000202,0001,E,101,2025-09-09T00:00:00,7.000,344186.78,S,2025-09-09T00:00:00,000000000010000007,3000
4500000068,00010,01,1,2024,4900000206,0001,E,101,2024-11-23T00:00:00,11.000,3752204.94,S,2024-11-23T00:00:00,000000000080000002,1000
4500000071,00010,01,1,2026,4900000211,0001,E,101,2026-01-04T00:00:00,11.000,3752204.94,S,2026-01-04T00:00:00,000000000080000002,1000
4500000071,00010,01,2,2026,5100000036,0001,Q,,2026-01-10T00:00:00,11.000,3752204.94,S,2026-01-17T00:00:00,000000000080000002,1000
4500000073,00010,01,1,2026,4900000216,0001,E,101,2026-08-19T00:00:00,11.000,3752204.94,S,2026-08-19T00:00:00,000000000080000002,1000
4500000074,00010,01,1,2024,4900000219,0001,E,101,2024-12-20T00:00:00,18.000,6139971.72,S,2024-12-20T00:00:00,000000000080000002,2000
4500000074,00010,01,2,2024,5100000037,0001,Q,,2025-01-05T00:00:00,18.000,6139971.72,S,2025-01-06T00:00:00,000000000080000002,2000
4500000075,00010,01,1,2025,4900000224,0001,E,101,2025-08-04T00:00:00,19.000,6481081.26,S,2025-08-04T00:00:00,000000000080000002,2000
4500000075,00010,01,2,2025,5100000038,0001,Q,,2025-08-14T00:00:00,19.000,6481081.26,S,2025-08-26T00:00:00,000000000080000002,2000
4500000077,00010,01,1,2026,4900000229,0001,E,101,2026-01-10T00:00:00,17.000,5798862.18,S,2026-01-10T00:00:00,000000000080000002,2000
4500000077,00010,01,2,2026,5100000039,0001,Q,,2026-02-08T00:00:00,17.000,5798862.18,S,2026-01-14T00:00:00,000000000080000002,2000
4500000079,00010,01,1,2025,4900000237,0001,E,101,2025-01-02T00:00:00,83.000,806040.39,S,2025-01-02T00:00:00,000000000010000008,3000
4500000079,00010,01,2,2025,5100000040,0001,Q,,2025-01-08T00:00:00,83.000,806040.39,S,2025-01-23T00:00:00,000000000010000008,3000
4500000080,00010,01,1,2025,4900000244,0001,E,101,2025-07-15T00:00:00,75.000,728349.75,S,2025-07-15T00:00:00,000000000010000008,3000
4500000080,00010,01,2,2025,5100000041,0001,Q,,2025-07-26T00:00:00,75.000,728349.75,S,2025-07-24T00:00:00,000000000010000008,3000
4500000081,00010,01,1,2026,4900000251,0001,E,101,2026-01-09T00:00:00,82.000,796329.06,S,2026-01-09T00:00:00,000000000010000008,3000
4500000083,00010,01,1,2026,4900000257,0001,E,101,2026-08-06T00:00:00,84.000,815751.72,S,2026-08-06T00:00:00,000000000010000008,3000
4500000083,00010,01,2,2026,5100000042,0001,Q,,2026-08-15T00:00:00,84.000,815751.72,S,2026-09-02T00:00:00,000000000010000008,3000
4500000084,00010,01,1,2024,4900000261,0001,E,101,2024-11-03T00:00:00,70.000,679793.10,S,2024-11-03T00:00:00,000000000010000008,4000
4500000084,00010,01,2,2024,5100000043,0001,Q,,2024-11-11T00:00:00,70.000,679793.10,S,2024-11-07T00:00:00,000000000010000008,4000
4500000085,00010,01,1,2025,4900000264,0001,E,101,2025-01-18T00:00:00,47.000,456432.51,S,2025-01-18T00:00:00,000000000010000008,4000
4500000086,00010,01,1,2025,4900000268,0001,E,101,2025-03-18T00:00:00,62.000,602102.46,S,2025-03-18T00:00:00,000000000010000008,4000
4500000086,00010,01,2,2025,5100000044,0001,Q,,2025-04-10T00:00:00,62.000,602102.46,S,2025-04-12T00:00:00,000000000010000008,4000
4500000087,00010,01,1,2025,4900000269,0001,E,101,2025-04-21T00:00:00,112.000,1087668.96,S,2025-04-21T00:00:00,000000000010000008,4000
4500000087,00010,01,2,2025,5100000045,0001,Q,,2025-05-18T00:00:00,112.000,1087668.96,S,2025-04-28T00:00:00,000000000010000008,4000
4500000088,00010,01,1,2025,4900000275,0001,E,101,2025-09-10T00:00:00,41.000,398164.53,S,2025-09-10T00:00:00,000000000010000008,4000
4500000089,00010,01,1,2025,4900000279,0001,E,101,2025-11-18T00:00:00,36.000,349607.88,S,2025-11-18T00:00:00,000000000010000008,4000
4500000089,00010,01,2,2025,5100000046,0001,Q,,2025-12-01T00:00:00,36.000,349607.88,S,2025-11-26T00:00:00,000000000010000008,4000
4500000091,00010,01,1,2026,4900000281,0001,E,101,2026-01-03T00:00:00,105.000,1019689.65,S,2026-01-03T00:00:00,000000000010000008,4000
4500000091,00010,01,2,2026,5100000047,0001,Q,,2026-01-15T00:00:00,105.000,1019689.65,S,2026-01-11T00:00:00,000000000010000008,4000
4500000092,00010,01,1,2026,4900000286,0001,E,101,2026-04-17T00:00:00,63.000,611813.79,S,2026-04-17T00:00:00,000000000010000008,4000
4500000092,00010,01,2,2026,5100000048,0001,Q,,2026-05-03T00:00:00,63.000,611813.79,S,2026-05-13T00:00:00,000000000010000008,4000
4500000093,00010,01,1,2026,4900000289,0001,E,101,2026-07-05T00:00:00,62.000,602102.46,S,2026-07-05T00:00:00,000000000010000008,4000
4500000093,00010,01,2,2026,5100000049,0001,Q,,2026-07-31T00:00:00,62.000,602102.46,S,2026-07-22T00:00:00,000000000010000008,4000
4500000094,00010,01,1,2026,4900000292,0001,E,101,2026-08-22T00:00:00,55.000,534123.15,S,2026-08-22T00:00:00,000000000010000008,4000
4500000094,00010,01,2,2026,5100000050,0001,Q,,2026-09-07T00:00:00,55.000,534123.15,S,2026-09-07T00:00:00,000000000010000008,4000
4500000095,00010,01,1,2024,4900000295,0001,E,101,2024-10-21T00:00:00,45.000,308456.10,S,2024-10-21T00:00:00,000000000010000009,3000
4500000097,00010,01,1,2025,4900000298,0001,E,101,2025-01-25T00:00:00,111.000,760858.38,S,2025-01-25T00:00:00,000000000010000009,3000
4500000097,00010,01,2,2025,5100000051,0001,Q,,2025-01-30T00:00:00,111.000,760858.38,S,2025-02-20T00:00:00,000000000010000009,3000
4500000098,00010,01,1,2025,4900000304,0001,E,101,2025-07-01T00:00:00,105.000,719730.90,S,2025-07-01T00:00:00,000000000010000009,3000
4500000098,00010,01,2,2025,5100000052,0001,Q,,2025-07-18T00:00:00,105.000,719730.90,S,2025-07-29T00:00:00,000000000010000009,3000
4500000099,00010,01,1,2025,4900000311,0001,E,101,2025-12-21T00:00:00,109.000,747149.22,S,2025-12-21T00:00:00,000000000010000009,3000
4500000099,00010,01,2,2025,5100000053,0001,Q,,2026-01-19T00:00:00,109.000,747149.22,S,2026-01-14T00:00:00,000000000010000009,3000
4500000100,00010,01,1,2026,4900000316,0001,E,101,2026-04-16T00:00:00,65.000,445547.70,S,2026-04-16T00:00:00,000000000010000009,3000
4500000101,00010,01,1,2026,4900000320,0001,E,101,2026-07-25T00:00:00,99.000,678603.42,S,2026-07-25T00:00:00,000000000010000009,3000
4500000101,00010,01,2,2026,5100000054,0001,Q,,2026-07-31T00:00:00,99.000,678603.42,S,2026-08-14T00:00:00,000000000010000009,3000
4500000102,00010,01,1,2025,4900000329,0001,E,101,2025-06-07T00:00:00,15.000,4573027.35,S,2025-06-07T00:00:00,000000000010000011,1000
4500000103,00010,01,1,2026,4900000338,0001,E,101,2026-08-31T00:00:00,7.000,2134079.43,S,2026-08-31T00:00:00,000000000010000011,1000
4500000103,00010,01,2,2026,5100000055,0001,Q,,2026-09-07T00:00:00,7.000,2134079.43,S,2026-09-07T00:00:00,000000000010000011,1000
4500000104,00010,01,1,2025,4900000345,0001,E,101,2025-05-27T00:00:00,14.000,4268158.86,S,2025-05-27T00:00:00,000000000010000011,4000
4500000105,00010,01,1,2026,4900000354,0001,E,101,2026-03-08T00:00:00,14.000,4268158.86,S,2026-03-08T00:00:00,000000000010000011,4000
4500000107,00010,01,1,2024,4900000366,0001,E,101,2024-11-12T00:00:00,7.000,3741630.34,S,2024-11-12T00:00:00,000000000010000014,3000
4500000107,00010,01,2,2024,5100000056,0001,Q,,2024-12-09T00:00:00,7.000,3741630.34,S,2024-11-18T00:00:00,000000000010000014,3000
4500000109,00010,01,1,2025,4900000369,0001,E,101,2025-02-02T00:00:00,15.000,8017779.30,S,2025-02-02T00:00:00,000000000010000014,3000
4500000109,00010,01,2,2025,5100000057,0001,Q,,2025-02-06T00:00:00,15.000,8017779.30,S,2025-02-05T00:00:00,000000000010000014,3000
4500000112,00010,01,1,2025,4900000373,0001,E,101,2025-08-17T00:00:00,7.000,3741630.34,S,2025-08-17T00:00:00,000000000010000014,3000
4500000113,00010,01,1,2025,4900000375,0001,E,101,2025-09-30T00:00:00,15.000,8017779.30,S,2025-09-30T00:00:00,000000000010000014,3000
4500000115,00010,01,1,2026,4900000379,0001,E,101,2026-05-11T00:00:00,7.000,3741630.34,S,2026-05-11T00:00:00,000000000010000014,3000
4500000117,00010,01,1,2026,4900000380,0001,E,101,2026-07-13T00:00:00,7.000,3741630.34,S,2026-07-13T00:00:00,000000000010000014,3000
4500000117,00010,01,2,2026,5100000058,0001,Q,,2026-08-03T00:00:00,7.000,3741630.34,S,2026-08-09T00:00:00,000000000010000014,3000
4500000120,00010,01,1,2025,4900000385,0001,E,101,2025-01-13T00:00:00,20.000,7674673.60,S,2025-01-13T00:00:00,000000000080000003,1000
4500000121,00010,01,1,2026,4900000391,0001,E,101,2026-01-24T00:00:00,33.000,12663211.44,S,2026-01-24T00:00:00,000000000080000003,1000
4500000121,00010,01,2,2026,5100000059,0001,Q,,2026-02-11T00:00:00,33.000,12663211.44,S,2026-02-09T00:00:00,000000000080000003,1000
4500000122,00010,01,1,2025,4900000395,0001,E,101,2025-01-02T00:00:00,2.000,380970.86,S,2025-01-02T00:00:00,000000000010000015,1000
4500000122,00010,01,2,2025,5100000060,0001,Q,,2025-01-29T00:00:00,2.000,380970.86,S,2025-01-30T00:00:00,000000000010000015,1000
4500000123,00010,01,1,2025,4900000397,0001,E,101,2025-05-18T00:00:00,5.000,952427.15,S,2025-05-18T00:00:00,000000000010000015,1000
4500000124,00010,01,1,2025,4900000400,0001,E,101,2025-12-16T00:00:00,5.000,952427.15,S,2025-12-16T00:00:00,000000000010000015,1000
4500000124,00010,01,2,2025,5100000061,0001,Q,,2025-12-24T00:00:00,5.000,952427.15,S,2026-01-07T00:00:00,000000000010000015,1000
4500000125,00010,01,1,2026,4900000404,0001,E,101,2026-05-09T00:00:00,4.000,761941.72,S,2026-05-09T00:00:00,000000000010000015,1000
4500000125,00010,01,2,2026,5100000062,0001,Q,,2026-05-17T00:00:00,4.000,761941.72,S,2026-06-01T00:00:00,000000000010000015,1000
4500000126,00010,01,1,2024,4900000406,0001,E,101,2024-12-01T00:00:00,10.000,3396223.10,S,2024-12-01T00:00:00,000000000080000004,3000
4500000126,00010,01,2,2024,5100000063,0001,Q,,2024-12-07T00:00:00,10.000,3396223.10,S,2024-12-23T00:00:00,000000000080000004,3000
4500000128,00010,01,1,2025,4900000409,0001,E,101,2025-05-13T00:00:00,7.000,2377356.17,S,2025-05-13T00:00:00,000000000080000004,3000
4500000129,00010,01,1,2025,4900000413,0001,E,101,2025-09-12T00:00:00,14.000,4754712.34,S,2025-09-12T00:00:00,000000000080000004,3000
4500000130,00010,01,1,2026,4900000416,0001,E,101,2026-01-31T00:00:00,13.000,4415090.03,S,2026-01-31T00:00:00,000000000080000004,3000
4500000130,00010,01,2,2026,5100000064,0001,Q,,2026-02-12T00:00:00,13.000,4415090.03,S,2026-02-06T00:00:00,000000000080000004,3000
4500000131,00010,01,1,2026,4900000420,0001,E,101,2026-08-21T00:00:00,11.000,3735845.41,S,2026-08-21T00:00:00,000000000080000004,3000
4500000131,00010,01,2,2026,5100000065,0001,Q,,2026-09-07T00:00:00,11.000,3735845.41,S,2026-09-03T00:00:00,000000000080000004,3000
4500000132,00010,01,1,2024,4900000422,0001,E,101,2024-09-22T00:00:00,4.000,1774428.00,S,2024-09-22T00:00:00,000000000080000005,2000
4500000132,00010,01,2,2024,5100000066,0001,Q,,2024-10-17T00:00:00,4.000,1774428.00,S,2024-10-01T00:00:00,000000000080000005,2000
4500000133,00010,01,1,2025,4900000424,0001,E,101,2025-04-06T00:00:00,8.000,3548856.00,S,2025-04-06T00:00:00,000000000080000005,2000
4500000133,00010,01,2,2025,5100000067,0001,Q,,2025-04-23T00:00:00,8.000,3548856.00,S,2025-05-01T00:00:00,000000000080000005,2000
4500000135,00010,01,1,2025,4900000427,0001,E,101,2025-11-26T00:00:00,8.000,3548856.00,S,2025-11-26T00:00:00,000000000080000005,2000
4500000135,00010,01,2,2025,5100000068,0001,Q,,2025-12-08T00:00:00,8.000,3548856.00,S,2025-12-25T00:00:00,000000000080000005,2000
4500000136,00010,01,1,2026,4900000431,0001,E,101,2026-04-14T00:00:00,8.000,3548856.00,S,2026-04-14T00:00:00,000000000080000005,2000
4500000136,00010,01,2,2026,5100000069,0001,Q,,2026-04-28T00:00:00,8.000,3548856.00,S,2026-04-25T00:00:00,000000000080000005,2000
4500000137,00010,01,1,2026,4900000434,0001,E,101,2026-07-22T00:00:00,8.000,3548856.00,S,2026-07-22T00:00:00,000000000080000005,2000
4500000137,00010,01,2,2026,5100000070,0001,Q,,2026-07-30T00:00:00,8.000,3548856.00,S,2026-08-12T00:00:00,000000000080000005,2000
4500000138,00010,01,1,2024,4900000436,0001,E,101,2024-11-09T00:00:00,9.000,86534.37,S,2024-11-09T00:00:00,000000000010000017,1000
4500000138,00010,01,2,2024,5100000071,0001,Q,,2024-12-08T00:00:00,9.000,86534.37,S,2024-12-01T00:00:00,000000000010000017,1000
4500000139,00010,01,1,2025,4900000440,0001,E,101,2025-06-14T00:00:00,9.000,86534.37,S,2025-06-14T00:00:00,000000000010000017,1000
4500000140,00010,01,1,2025,4900000443,0001,E,101,2025-11-14T00:00:00,3.000,28844.79,S,2025-11-14T00:00:00,000000000010000017,1000
4500000140,00010,01,2,2025,5100000072,0001,Q,,2025-11-29T00:00:00,3.000,28844.79,S,2025-12-01T00:00:00,000000000010000017,1000
4500000141,00010,01,1,2025,4900000445,0001,E,101,2025-12-28T00:00:00,7.000,67304.51,S,2025-12-28T00:00:00,000000000010000017,1000
4500000141,00010,01,2,2025,5100000073,0001,Q,,2025-12-31T00:00:00,7.000,67304.51,S,2026-01-05T00:00:00,000000000010000017,1000
4500000142,00010,01,1,2026,4900000449,0001,E,101,2026-04-05T00:00:00,8.000,76919.44,S,2026-04-05T00:00:00,000000000010000017,1000
