Mblnr,Mjahr,Zeile,Bwart,Matnr,Werks,Lgort,Lifnr,Shkzg,Dmbtr,Menge,Meins,Ebeln,Ebelp,Sgtxt,Wempf,Kostl,Aufnr,Rsnum,Rspos,Umwrk,Umlgo,Grund,BudatMkpf,CpudtMkpf
4900000019,2026,0001,261,000000000010000000,2000,SP02,,H,1827973.29,33.000,EA,,,CHANGEOUT CR-102,VZIREQ01,,425970413,,,,,,2026-02-21T00:00:00,2026-02-21T00:00:00
4900000020,2026,0001,261,000000000010000000,2000,SP02,,H,1827973.29,33.000,EA,,,CHANGEOUT FL-310,VZIREQ04,,421138871,,,,,,2026-03-09T00:00:00,2026-03-09T00:00:00
4900000021,2026,0001,201,000000000010000000,2000,SP02,,H,1107862.60,20.000,EA,,,BREAKDOWN REPL TH-401,VZIREQ05,2000-MECH,,,,,,,2026-04-05T00:00:00,2026-04-05T00:00:00
4900000022,2026,0001,101,000000000010000000,2000,SP02,0001000005,S,13515923.72,244.000,EA,4500000002,00010,GR AGAINST PO,,,,,,,,,2026-05-12T00:00:00,2026-05-12T00:00:00
4900000023,2026,0001,261,000000000010000000,2000,SP02,,H,2049545.81,37.000,EA,,,BREAKDOWN REPL PU-611,VZIREQ05,,422308819,,,,,,2026-06-23T00:00:00,2026-06-23T00:00:00
4900000024,2026,0001,261,000000000010000000,2000,SP02,,H,1329435.12,24.000,EA,,,BREAKDOWN REPL FL-310,VZIREQ04,,429435607,,,,,,2026-07-08T00:00:00,2026-07-08T00:00:00
4900000025,2026,0001,261,000000000010000000,2000,SP02,,H,1772580.16,32.000,EA,,,ISSUED TO ML-202,VZIREQ05,,427406520,,,,,,2026-08-26T00:00:00,2026-08-26T00:00:00
4900000026,2024,0001,261,000000000010000000,4000,SP04,,H,3102015.28,56.000,EA,,,ISSUED TO ML-201,VZIREQ01,,446028710,,,,,,2024-09-12T00:00:00,2024-09-12T00:00:00
4900000027,2024,0001,261,000000000010000000,4000,SP04,,H,1717187.03,31.000,EA,,,BREAKDOWN REPL SC-701,VZIREQ05,,442224820,,,,,,2024-10-05T00:00:00,2024-10-05T00:00:00
4900000028,2024,0001,201,000000000010000000,4000,SP04,,H,1606400.77,29.000,EA,,,BREAKDOWN REPL PU-610,VZIREQ01,4000-MECH,,,,,,,2024-11-24T00:00:00,2024-11-24T00:00:00
4900000029,2024,0001,101,000000000010000000,4000,SP04,0001000005,S,13515923.72,244.000,EA,4500000004,00010,GR AGAINST PO,,,,,,,,,2024-12-07T00:00:00,2024-12-07T00:00:00
4900000030,2024,0001,261,000000000010000000,4000,SP04,,H,2714263.37,49.000,EA,,,ISSUED TO PU-611,VZIREQ04,,441880849,,,,,,2024-12-18T00:00:00,2024-12-18T00:00:00
4900000031,2025,0001,261,000000000010000000,4000,SP04,,H,2271118.33,41.000,EA,,,ISSUED TO CV-501,VZIREQ01,,446202176,,,,,,2025-01-20T00:00:00,2025-01-20T00:00:00
4900000032,2025,0001,261,000000000010000000,4000,SP04,,H,2714263.37,49.000,EA,,,ISSUED TO CR-102,VZIREQ02,,443639886,,,,,,2025-02-20T00:00:00,2025-02-20T00:00:00
4900000033,2025,0001,261,000000000010000000,4000,SP04,,H,2658870.24,48.000,EA,,,CHANGEOUT ML-202,VZIREQ05,,447900831,,,,,,2025-03-19T00:00:00,2025-03-19T00:00:00
4900000034,2025,0001,201,000000000010000000,4000,SP04,,H,2326511.46,42.000,EA,,,BREAKDOWN REPL PU-610,VZIREQ03,4000-MECH,,,,,,,2025-04-24T00:00:00,2025-04-24T00:00:00
4900000035,2025,0001,101,000000000010000000,4000,SP04,0001000005,S,9306045.84,168.000,EA,4500000005,00010,GR AGAINST PO,,,,,,,,,2025-04-25T00:00:00,2025-04-25T00:00:00
4900000036,2025,0001,261,000000000010000000,4000,SP04,,H,2603477.11,47.000,EA,,,ISSUED TO PU-610,VZIREQ04,,441939605,,,,,,2025-05-22T00:00:00,2025-05-22T00:00:00
4900000037,2025,0001,201,000000000010000000,4000,SP04,,H,2104938.94,38.000,EA,,,ISSUED TO CR-102,VZIREQ02,4000-MECH,,,,,,,2025-06-29T00:00:00,2025-06-29T00:00:00
4900000038,2025,0001,261,000000000010000000,4000,SP04,,H,2271118.33,41.000,EA,,,ISSUED TO CV-501,VZIREQ04,,448847711,,,,,,2025-07-30T00:00:00,2025-07-30T00:00:00
4900000039,2025,0001,201,000000000010000000,4000,SP04,,H,1606400.77,29.000,EA,,,CHANGEOUT FL-310,VZIREQ03,4000-MECH,,,,,,,2025-08-03T00:00:00,2025-08-03T00:00:00
4900000040,2025,0001,101,000000000010000000,4000,SP04,0001000005,S,9693797.75,175.000,EA,4500000006,00010,GR AGAINST PO,,,,,,,,,2025-09-20T00:00:00,2025-09-20T00:00:00
4900000041,2025,0001,201,000000000010000000,4000,SP04,,H,941683.21,17.000,EA,,,BREAKDOWN REPL CR-101,VZIREQ03,4000-MECH,,,,,,,2025-09-21T00:00:00,2025-09-21T00:00:00
4900000042,2025,0001,201,000000000010000000,4000,SP04,,H,2769656.50,50.000,EA,,,BREAKDOWN REPL CR-101,VZIREQ03,4000-MECH,,,,,,,2025-10-13T00:00:00,2025-10-13T00:00:00
4900000043,2025,0001,201,000000000010000000,4000,SP04,,H,2825049.63,51.000,EA,,,CHANGEOUT SC-701,VZIREQ04,4000-MECH,,,,,,,2025-11-22T00:00:00,2025-11-22T00:00:00
4900000044,2025,0001,261,000000000010000000,4000,SP04,,H,2160332.07,39.000,EA,,,BREAKDOWN REPL CV-501,VZIREQ01,,444291239,,,,,,2025-12-05T00:00:00,2025-12-05T00:00:00
4900000045,2026,0001,201,000000000010000000,4000,SP04,,H,2104938.94,38.000,EA,,,ISSUED TO PU-611,VZIREQ04,4000-MECH,,,,,,,2026-01-04T00:00:00,2026-01-04T00:00:00
4900000046,2026,0001,101,000000000010000000,4000,SP04,0001000005,S,5760885.52,104.000,EA,4500000007,00010,GR AGAINST PO,,,,,,,,,2026-02-03T00:00:00,2026-02-03T00:00:00
4900000047,2026,0001,261,000000000010000000,4000,SP04,,H,1827973.29,33.000,EA,,,CHANGEOUT PU-611,VZIREQ04,,448087122,,,,,,2026-02-06T00:00:00,2026-02-06T00:00:00
4900000048,2026,0001,101,000000000010000000,4000,SP04,0001000005,S,14679179.45,265.000,EA,4500000008,00010,GR AGAINST PO,,,,,,,,,2026-03-13T00:00:00,2026-03-13T00:00:00
4900000049,2026,0001,261,000000000010000000,4000,SP04,,H,1772580.16,32.000,EA,,,CHANGEOUT CR-102,VZIREQ04,,441917094,,,,,,2026-03-18T00:00:00,2026-03-18T00:00:00
4900000050,2026,0001,261,000000000010000000,4000,SP04,,H,3545160.32,64.000,EA,,,ISSUED TO ML-202,VZIREQ02,,446940316,,,,,,2026-04-16T00:00:00,2026-04-16T00:00:00
4900000051,2026,0001,261,000000000010000000,4000,SP04,,H,1551007.64,28.000,EA,,,ISSUED TO PU-611,VZIREQ03,,446471567,,,,,,2026-05-06T00:00:00,2026-05-06T00:00:00
4900000052,2026,0001,201,000000000010000000,4000,SP04,,H,1827973.29,33.000,EA,,,CHANGEOUT ML-201,VZIREQ01,4000-MECH,,,,,,,2026-06-07T00:00:00,2026-06-07T00:00:00
4900000053,2026,0001,261,000000000010000000,4000,SP04,,H,2160332.07,39.000,EA,,,CHANGEOUT PU-611,VZIREQ05,,442939811,,,,,,2026-07-06T00:00:00,2026-07-06T00:00:00
4900000054,2026,0001,261,000000000010000000,4000,SP04,,H,1994152.68,36.000,EA,,,CHANGEOUT TH-401,VZIREQ02,,445147574,,,,,,2026-09-04T00:00:00,2026-09-04T00:00:00
4900000055,2024,0001,201,000000000010000001,2000,SP02,,H,13073110.83,27.000,EA,,,BREAKDOWN REPL CV-502,VZIREQ01,2000-MECH,,,,,,,2024-09-25T00:00:00,2024-09-25T00:00:00
4900000056,2024,0001,261,000000000010000001,2000,SP02,,H,16946625.15,35.000,EA,,,ISSUED TO CR-102,VZIREQ01,,423378219,,,,,,2024-10-28T00:00:00,2024-10-28T00:00:00
4900000057,2024,0001,261,000000000010000001,2000,SP02,,H,17430814.44,36.000,EA,,,CHANGEOUT ML-201,VZIREQ01,,422907782,,,,,,2024-11-09T00:00:00,2024-11-09T00:00:00
4900000058,2024,0001,101,000000000010000001,2000,SP02,0001000007,S,69239068.47,143.000,EA,4500000010,00010,GR AGAINST PO,,,,,,,,,2024-11-29T00:00:00,2024-11-29T00:00:00
4900000059,2024,0001,261,000000000010000001,2000,SP02,,H,17915003.73,37.000,EA,,,CHANGEOUT TH-401,VZIREQ05,,424336552,,,,,,2024-12-02T00:00:00,2024-12-02T00:00:00
4900000060,2025,0001,201,000000000010000001,2000,SP02,,H,6294460.77,13.000,EA,,,BREAKDOWN REPL PU-611,VZIREQ01,2000-MECH,,,,,,,2025-01-02T00:00:00,2025-01-02T00:00:00
4900000061,2025,0001,261,000000000010000001,2000,SP02,,H,16462435.86,34.000,EA,,,CHANGEOUT PU-611,VZIREQ04,,421723124,,,,,,2025-02-12T00:00:00,2025-02-12T00:00:00
4900000062,2025,0001,201,000000000010000001,2000,SP02,,H,14525678.70,30.000,EA,,,ISSUED TO CV-501,VZIREQ02,2000-MECH,,,,,,,2025-03-09T00:00:00,2025-03-09T00:00:00
4900000063,2025,0001,261,000000000010000001,2000,SP02,,H,14041489.41,29.000,EA,,,BREAKDOWN REPL ML-202,VZIREQ04,,421957129,,,,,,2025-04-05T00:00:00,2025-04-05T00:00:00
4900000064,2025,0001,101,000000000010000001,2000,SP02,0001000007,S,75049339.95,155.000,EA,4500000012,00010,GR AGAINST PO,,,,,,,,,2025-04-23T00:00:00,2025-04-23T00:00:00
4900000065,2025,0001,261,000000000010000001,2000,SP02,,H,11136353.67,23.000,EA,,,ISSUED TO CR-102,VZIREQ03,,428667788,,,,,,2025-05-12T00:00:00,2025-05-12T00:00:00
4900000066,2025,0001,261,000000000010000001,2000,SP02,,H,11136353.67,23.000,EA,,,ISSUED TO FL-310,VZIREQ01,,425251233,,,,,,2025-06-23T00:00:00,2025-06-23T00:00:00
4900000067,2025,0001,261,000000000010000001,2000,SP02,,H,17915003.73,37.000,EA,,,CHANGEOUT TH-401,VZIREQ03,,422062813,,,,,,2025-07-14T00:00:00,2025-07-14T00:00:00
4900000068,2025,0001,261,000000000010000001,2000,SP02,,H,16946625.15,35.000,EA,,,BREAKDOWN REPL ML-201,VZIREQ02,,428057137,,,,,,2025-08-03T00:00:00,2025-08-03T00:00:00
4900000069,2025,0001,101,000000000010000001,2000,SP02,0001000007,S,68754879.18,142.000,EA,4500000013,00010,GR AGAINST PO,,,,,,,,,2025-09-24T00:00:00,2025-09-24T00:00:00
4900000070,2025,0001,261,000000000010000001,2000,SP02,,H,12588921.54,26.000,EA,,,BREAKDOWN REPL CV-501,VZIREQ02,,425938257,,,,,,2025-09-30T00:00:00,2025-09-30T00:00:00
4900000071,2025,0001,261,000000000010000001,2000,SP02,,H,14041489.41,29.000,EA,,,CHANGEOUT ML-202,VZIREQ03,,426262174,,,,,,2025-10-21T00:00:00,2025-10-21T00:00:00
4900000072,2025,0001,261,000000000010000001,2000,SP02,,H,13557300.12,28.000,EA,,,BREAKDOWN REPL CR-102,VZIREQ02,,427392303,,,,,,2025-11-01T00:00:00,2025-11-01T00:00:00
4900000073,2025,0001,261,000000000010000001,2000,SP02,,H,15494057.28,32.000,EA,,,BREAKDOWN REPL ML-201,VZIREQ05,,424567403,,,,,,2025-12-13T00:00:00,2025-12-13T00:00:00
4900000074,2026,0001,261,000000000010000001,2000,SP02,,H,14525678.70,30.000,EA,,,CHANGEOUT CV-501,VZIREQ01,,428243301,,,,,,2026-01-06T00:00:00,2026-01-06T00:00:00
4900000075,2026,0001,101,000000000010000001,2000,SP02,0001000007,S,72628393.50,150.000,EA,4500000015,00010,GR AGAINST PO,,,,,,,,,2026-02-14T00:00:00,2026-02-14T00:00:00
4900000076,2026,0001,201,000000000010000001,2000,SP02,,H,16946625.15,35.000,EA,,,CHANGEOUT CR-101,VZIREQ02,2000-MECH,,,,,,,2026-02-24T00:00:00,2026-02-24T00:00:00
4900000077,2026,0001,201,000000000010000001,2000,SP02,,H,10167975.09,21.000,EA,,,BREAKDOWN REPL CR-101,VZIREQ02,2000-MECH,,,,,,,2026-03-17T00:00:00,2026-03-17T00:00:00
4900000078,2026,0001,261,000000000010000001,2000,SP02,,H,15978246.57,33.000,EA,,,ISSUED TO CV-501,VZIREQ02,,429357601,,,,,,2026-04-29T00:00:00,2026-04-29T00:00:00
4900000079,2026,0001,261,000000000010000001,2000,SP02,,H,11136353.67,23.000,EA,,,ISSUED TO PU-611,VZIREQ03,,425367789,,,,,,2026-05-26T00:00:00,2026-05-26T00:00:00
4900000080,2026,0001,261,000000000010000001,2000,SP02,,H,23725275.21,49.000,EA,,,BREAKDOWN REPL SC-701,VZIREQ05,,425031371,,,,,,2026-06-21T00:00:00,2026-06-21T00:00:00
4900000081,2026,0001,261,000000000010000001,2000,SP02,,H,11136353.67,23.000,EA,,,ISSUED TO FL-310,VZIREQ02,,423900097,,,,,,2026-07-09T00:00:00,2026-07-09T00:00:00
4900000082,2026,0001,101,000000000010000001,2000,SP02,0001000007,S,57618525.51,119.000,EA,4500000016,00010,GR AGAINST PO,,,,,,,,,2026-07-13T00:00:00,2026-07-13T00:00:00
4900000083,2026,0001,261,000000000010000001,2000,SP02,,H,10167975.09,21.000,EA,,,CHANGEOUT CV-502,VZIREQ03,,421557127,,,,,,2026-09-04T00:00:00,2026-09-04T00:00:00
4900000084,2024,0001,201,000000000080000000,1000,SP01,,H,1848360.42,6.000,EA,,,ISSUED TO CV-501,VZIREQ04,1000-MECH,,,,,,,2024-09-01T00:00:00,2024-09-01T00:00:00
4900000085,2024,0001,101,000000000080000000,1000,SP01,0001000008,S,4004780.91,13.000,EA,4500000018,00010,GR AGAINST PO,,,,,,,,,2024-11-02T00:00:00,2024-11-02T00:00:00
4900000086,2024,0001,261,000000000080000000,1000,SP01,,H,1848360.42,6.000,EA,,,ISSUED TO PU-610,VZIREQ05,,416167610,,,,,,2024-11-09T00:00:00,2024-11-09T00:00:00
4900000087,2024,0001,261,000000000080000000,1000,SP01,,H,616120.14,2.000,EA,,,CHANGEOUT CV-502,VZIREQ01,,413027769,,,,,,2024-12-28T00:00:00,2024-12-28T00:00:00
4900000088,2025,0001,261,000000000080000000,1000,SP01,,H,1232240.28,4.000,EA,,,BREAKDOWN REPL ML-201,VZIREQ02,,413627753,,,,,,2025-01-16T00:00:00,2025-01-16T00:00:00
4900000089,2025,0001,101,000000000080000000,1000,SP01,0001000008,S,2464480.56,8.000,EA,4500000019,00010,GR AGAINST PO,,,,,,,,,2025-03-08T00:00:00,2025-03-08T00:00:00
4900000090,2025,0001,261,000000000080000000,1000,SP01,,H,1540300.35,5.000,EA,,,BREAKDOWN REPL TH-401,VZIREQ05,,411748286,,,,,,2025-04-26T00:00:00,2025-04-26T00:00:00
4900000091,2025,0001,261,000000000080000000,1000,SP01,,H,2156420.49,7.000,EA,,,CHANGEOUT CV-501,VZIREQ05,,415143010,,,,,,2025-05-11T00:00:00,2025-05-11T00:00:00
4900000092,2025,0001,101,000000000080000000,1000,SP01,0001000008,S,4928961.12,16.000,EA,4500000021,00010,GR AGAINST PO,,,,,,,,,2025-07-09T00:00:00,2025-07-09T00:00:00
4900000093,2025,0001,261,000000000080000000,1000,SP01,,H,2156420.49,7.000,EA,,,BREAKDOWN REPL CV-502,VZIREQ04,,418307567,,,,,,2025-08-12T00:00:00,2025-08-12T00:00:00
4900000094,2025,0001,261,000000000080000000,1000,SP01,,H,2156420.49,7.000,EA,,,ISSUED TO PU-610,VZIREQ03,,413009249,,,,,,2025-09-10T00:00:00,2025-09-10T00:00:00
4900000095,2025,0001,101,000000000080000000,1000,SP01,0001000008,S,1540300.35,5.000,EA,4500000022,00010,GR AGAINST PO,,,,,,,,,2025-10-16T00:00:00,2025-10-16T00:00:00
4900000096,2025,0001,201,000000000080000000,1000,SP01,,H,616120.14,2.000,EA,,,CHANGEOUT PU-611,VZIREQ05,1000-MECH,,,,,,,2025-10-30T00:00:00,2025-10-30T00:00:00
4900000097,2025,0001,101,000000000080000000,1000,SP01,0001000008,S,4312840.98,14.000,EA,4500000023,00010,GR AGAINST PO,,,,,,,,,2025-12-20T00:00:00,2025-12-20T00:00:00
4900000098,2026,0001,201,000000000080000000,1000,SP01,,H,1540300.35,5.000,EA,,,CHANGEOUT ML-202,VZIREQ04,1000-MECH,,,,,,,2026-01-18T00:00:00,2026-01-18T00:00:00
4900000099,2026,0001,201,000000000080000000,1000,SP01,,H,1540300.35,5.000,EA,,,BREAKDOWN REPL TH-401,VZIREQ01,1000-MECH,,,,,,,2026-03-06T00:00:00,2026-03-06T00:00:00
4900000100,2026,0001,201,000000000080000000,1000,SP01,,H,1848360.42,6.000,EA,,,ISSUED TO CV-502,VZIREQ01,1000-MECH,,,,,,,2026-04-19T00:00:00,2026-04-19T00:00:00
4900000101,2026,0001,101,000000000080000000,1000,SP01,0001000008,S,2156420.49,7.000,EA,4500000024,00010,GR AGAINST PO,,,,,,,,,2026-05-06T00:00:00,2026-05-06T00:00:00
4900000102,2026,0001,261,000000000080000000,1000,SP01,,H,2156420.49,7.000,EA,,,BREAKDOWN REPL FA-810,VZIREQ03,,417265262,,,,,,2026-05-25T00:00:00,2026-05-25T00:00:00
4900000103,2026,0001,101,000000000080000000,1000,SP01,0001000008,S,4004780.91,13.000,EA,4500000025,00010,GR AGAINST PO,,,,,,,,,2026-07-29T00:00:00,2026-07-29T00:00:00
4900000104,2025,0001,261,000000000080000001,4000,SP04,,H,519368.98,2.000,EA,,,CHANGEOUT ML-201,VZIREQ05,,442966201,,,,,,2025-04-18T00:00:00,2025-04-18T00:00:00
4900000105,2025,0001,101,000000000080000001,4000,SP04,0001000048,S,1558106.94,6.000,EA,4500000026,00010,GR AGAINST PO,,,,,,,,,2025-04-29T00:00:00,2025-04-29T00:00:00
4900000106,2025,0001,201,000000000080000001,4000,SP04,,H,519368.98,2.000,EA,,,CHANGEOUT CV-501,VZIREQ03,4000-MECH,,,,,,,2025-09-06T00:00:00,2025-09-06T00:00:00
4900000107,2025,0001,261,000000000080000001,4000,SP04,,H,779053.47,3.000,EA,,,CHANGEOUT ML-202,VZIREQ05,,447108079,,,,,,2025-10-19T00:00:00,2025-10-19T00:00:00
4900000108,2025,0001,101,000000000080000001,4000,SP04,0001000048,S,1298422.45,5.000,EA,4500000027,00010,GR AGAINST PO,,,,,,,,,2025-11-09T00:00:00,2025-11-09T00:00:00
4900000109,2025,0001,261,000000000080000001,4000,SP04,,H,1038737.96,4.000,EA,,,ISSUED TO FA-810,VZIREQ05,,448365030,,,,,,2025-11-24T00:00:00,2025-11-24T00:00:00
4900000110,2025,0001,261,000000000080000001,4000,SP04,,H,519368.98,2.000,EA,,,CHANGEOUT ML-201,VZIREQ05,,448209652,,,,,,2025-12-23T00:00:00,2025-12-23T00:00:00
4900000111,2025,0001,101,000000000080000001,4000,SP04,0001000048,S,1558106.94,6.000,EA,4500000028,00010,GR AGAINST PO,,,,,,,,,2025-12-31T00:00:00,2025-12-31T00:00:00
4900000112,2026,0001,201,000000000080000001,4000,SP04,,H,779053.47,3.000,EA,,,ISSUED TO ML-201,VZIREQ05,4000-MECH,,,,,,,2026-03-09T00:00:00,2026-03-09T00:00:00
4900000113,2026,0001,201,000000000080000001,4000,SP04,,H,779053.47,3.000,EA,,,CHANGEOUT TH-401,VZIREQ02,4000-MECH,,,,,,,2026-06-10T00:00:00,2026-06-10T00:00:00
4900000114,2026,0001,101,000000000080000001,4000,SP04,0001000048,S,1558106.94,6.000,EA,4500000029,00010,GR AGAINST PO,,,,,,,,,2026-08-03T00:00:00,2026-08-03T00:00:00
4900000115,2024,0001,261,000000000010000002,2000,SP02,,H,209590.44,2.000,EA,,,ISSUED TO CV-502,VZIREQ04,,425299786,,,,,,2024-11-11T00:00:00,2024-11-11T00:00:00
4900000116,2025,0001,101,000000000010000002,2000,SP02,0001000049,S,314385.66,3.000,EA,4500000031,00010,GR AGAINST PO,,,,,,,,,2025-01-11T00:00:00,2025-01-11T00:00:00
4900000117,2025,0001,201,000000000010000002,2000,SP02,,H,209590.44,2.000,EA,,,CHANGEOUT PU-611,VZIREQ03,2000-MECH,,,,,,,2025-02-20T00:00:00,2025-02-20T00:00:00
4900000118,2025,0001,101,000000000010000002,2000,SP02,0001000049,S,209590.44,2.000,EA,4500000032,00010,GR AGAINST PO,,,,,,,,,2025-03-02T00:00:00,2025-03-02T00:00:00
4900000119,2025,0001,201,000000000010000002,2000,SP02,,H,104795.22,1.000,EA,,,ISSUED TO PU-610,VZIREQ04,2000-MECH,,,,,,,2025-04-01T00:00:00,2025-04-01T00:00:00
4900000120,2025,0001,261,000000000010000002,2000,SP02,,H,209590.44,2.000,EA,,,CHANGEOUT FL-310,VZIREQ03,,427969096,,,,,,2025-05-16T00:00:00,2025-05-16T00:00:00
4900000121,2025,0001,101,000000000010000002,2000,SP02,0001000049,S,314385.66,3.000,EA,4500000033,00010,GR AGAINST PO,,,,,,,,,2025-06-06T00:00:00,2025-06-06T00:00:00
4900000122,2025,0001,261,000000000010000002,2000,SP02,,H,209590.44,2.000,EA,,,BREAKDOWN REPL ML-201,VZIREQ05,,427648257,,,,,,2025-06-22T00:00:00,2025-06-22T00:00:00
4900000123,2025,0001,101,000000000010000002,2000,SP02,0001000049,S,209590.44,2.000,EA,4500000034,00010,GR AGAINST PO,,,,,,,,,2025-07-09T00:00:00,2025-07-09T00:00:00
4900000124,2025,0001,261,000000000010000002,2000,SP02,,H,209590.44,2.000,EA,,,BREAKDOWN REPL PU-611,VZIREQ02,,424896073,,,,,,2025-08-13T00:00:00,2025-08-13T00:00:00
4900000125,2025,0001,101,000000000010000002,2000,SP02,0001000049,S,209590.44,2.000,EA,4500000035,00010,GR AGAINST PO,,,,,,,,,2025-09-03T00:00:00,2025-09-03T00:00:00
4900000126,2026,0001,201,000000000010000002,2000,SP02,,H,209590.44,2.000,EA,,,ISSUED TO CR-101,VZIREQ03,2000-MECH,,,,,,,2026-03-08T00:00:00,2026-03-08T00:00:00
4900000127,2026,0001,101,000000000010000002,2000,SP02,0001000049,S,209590.44,2.000,EA,4500000036,00010,GR AGAINST PO,,,,,,,,,2026-03-27T00:00:00,2026-03-27T00:00:00
4900000128,2026,0001,201,000000000010000002,2000,SP02,,H,209590.44,2.000,EA,,,BREAKDOWN REPL SC-701,VZIREQ01,2000-MECH,,,,,,,2026-08-26T00:00:00,2026-08-26T00:00:00
4900000129,2024,0001,201,000000000010000004,4000,SP04,,H,249295.14,17.000,EA,,,BREAKDOWN REPL TH-401,VZIREQ04,4000-MECH,,,,,,,2024-09-08T00:00:00,2024-09-08T00:00:00
4900000130,2024,0001,261,000000000010000004,4000,SP04,,H,278623.98,19.000,EA,,,ISSUED TO ML-201,VZIREQ03,,442450344,,,,,,2024-10-06T00:00:00,2024-10-06T00:00:00
4900000131,2024,0001,261,000000000010000004,4000,SP04,,H,249295.14,17.000,EA,,,BREAKDOWN REPL CV-502,VZIREQ03,,449795191,,,,,,2024-11-27T00:00:00,2024-11-27T00:00:00
4900000132,2024,0001,201,000000000010000004,4000,SP04,,H,14664.42,1.000,EA,,,BREAKDOWN REPL CR-102,VZIREQ05,4000-MECH,,,,,,,2024-12-05T00:00:00,2024-12-05T00:00:00
