Matnr,Werks,Lvorm,Dismm,Dispo,Plifz,Webaz,Minbe,Eisbe,Bstmi,Bstma,Mabst
000000000080000008,3000,false,PD,010,122.000,1.000,7.446,4.443,1.000,5.250,11.416
000000000080000008,2000,false,PD,006,122.000,0.000,15.944,11.192,1.000,5.500,15.944
000000000010000025,4000,false,PD,010,43.000,3.000,7.282,5.245,1.125,6.750,8.196
000000000010000026,2000,false,PD,003,155.000,3.000,6.196,3.114,1.000,5.500,16.979
000000000010000027,4000,false,PD,004,36.000,2.000,4.325,2.899,1.000,4.500,4.325
000000000080000009,3000,false,VB,006,57.000,3.000,7.893,5.001,1.083,6.500,13.215
000000000010000028,1000,false,PD,004,60.000,0.000,1.631,1.023,1.000,3.250,7.396
000000000010000029,2000,false,VB,004,48.000,0.000,69.536,12.394,25.042,150.250,126.273
000000000010000030,1000,false,PD,003,27.000,1.000,1.269,0.931,1.000,2.750,4.394
000000000010000031,4000,false,VB,007,54.000,2.000,1.582,0.961,1.000,1.250,2.374
000000000010000032,3000,false,VB,009,18.000,2.000,1.330,0.901,1.208,7.250,5.889
000000000010000033,3000,false,PD,007,39.000,2.000,3.939,3.085,1.000,2.500,3.939
000000000010000034,1000,false,PD,009,125.000,3.000,3.203,1.380,1.000,4.500,7.043
000000000010000034,4000,false,PD,010,125.000,1.000,27.061,12.116,2.167,13.000,27.061
000000000080000010,3000,false,VB,010,41.000,2.000,12.745,9.253,1.500,9.000,20.704
000000000080000011,3000,false,VB,006,149.000,1.000,12.114,6.749,1.000,5.000,16.022
000000000010000035,1000,false,PD,001,22.000,2.000,0.000,0.000,1.000,1.000,0.000
000000000010000035,2000,false,VB,008,22.000,2.000,0.000,0.000,1.000,1.000,0.000
000000000010000036,1000,false,PD,004,77.000,1.000,73.808,17.494,12.875,77.250,97.084
000000000010000037,3000,false,VB,004,63.000,3.000,78.030,14.313,22.750,136.500,143.783
000000000080000012,3000,false,VB,003,24.000,2.000,1.374,1.033,1.000,4.000,6.826
000000000030000003,2000,false,PD,005,17.000,2.000,0.000,0.000,1.042,6.250,0.000
000000000010000038,4000,false,PD,007,50.000,3.000,8.875,5.457,1.208,7.250,8.875
000000000010000039,4000,false,PD,002,102.000,2.000,112.826,22.561,18.875,113.250,128.753
000000000010000040,4000,false,VB,004,106.000,1.000,5.953,2.265,1.875,11.250,13.343
000000000010000041,1000,false,VB,002,93.000,0.000,0.000,0.000,1.000,1.000,0.000
000000000010000041,4000,false,VB,008,93.000,1.000,0.000,0.000,1.000,1.000,0.000
000000000080000013,4000,false,PD,002,54.000,2.000,5.037,3.128,1.000,6.000,9.500
000000000010000042,4000,false,VB,009,96.000,0.000,69.992,10.433,13.083,78.500,69.992
000000000030000004,4000,false,PD,001,73.000,0.000,0.000,0.000,1.750,10.500,0.000
000000000010000043,4000,false,PD,009,118.000,3.000,15.320,9.764,1.000,5.000,16.898
000000000030000005,2000,false,PD,009,10.000,1.000,0.000,0.000,1.833,11.000,0.000
000000000030000006,3000,false,PD,001,18.000,2.000,0.000,0.000,1.000,2.500,0.000
000000000010000044,3000,false,VB,005,147.000,1.000,7.310,4.372,1.000,3.500,9.327
000000000010000044,4000,false,PD,003,147.000,2.000,9.263,5.772,1.000,3.000,12.467
000000000080000014,3000,false,VB,007,14.000,2.000,1.889,1.468,1.000,5.500,3.273
000000000080000014,1000,false,VB,009,14.000,1.000,1.053,0.836,1.000,3.500,3.699
000000000080000015,1000,false,VB,006,35.000,0.000,1.673,1.089,1.000,6.000,8.862
000000000030000007,2000,false,PD,009,116.000,1.000,0.000,0.000,1.000,4.750,0.000
000000000010000045,1000,false,VB,004,232.000,2.000,28.808,13.033,1.375,8.250,31.076
000000000010000046,4000,false,VB,005,0.000,2.000,0.000,0.000,1.000,1.000,0.000
000000000030000008,1000,false,PD,007,35.000,3.000,0.000,0.000,1.000,3.750,0.000
000000000010000047,2000,false,VB,009,42.000,2.000,0.000,0.000,1.000,1.000,0.000
000000000010000047,4000,false,VB,008,42.000,3.000,0.000,0.000,1.000,1.000,0.000
000000000030000009,2000,false,PD,009,140.000,3.000,0.000,0.000,1.708,10.250,0.000
000000000010000048,4000,false,VB,008,53.000,3.000,0.000,0.000,1.000,1.000,0.000
000000000010000048,2000,false,PD,006,53.000,2.000,0.000,0.000,1.000,1.000,0.000
000000000010000049,4000,false,VB,010,73.000,1.000,3.226,1.706,1.000,5.000,4.866
000000000090000002,2000,false,ND,007,38.000,3.000,0.000,0.000,1.000,1.000,1.000
000000000080000016,3000,false,PD,010,27.000,3.000,6.948,4.574,2.292,13.750,10.883
000000000010000050,1000,false,VB,002,99.000,3.000,6.955,4.745,1.000,5.250,10.504
000000000010000050,4000,false,PD,004,99.000,2.000,3.781,2.145,1.125,6.750,14.283
000000000080000017,2000,false,VB,008,62.000,1.000,9.493,6.397,1.000,5.500,10.457
000000000010000051,4000,false,PD,001,147.000,3.000,4.888,2.520,1.000,4.250,11.396
000000000080000018,2000,false,VB,007,123.000,2.000,4.722,3.936,1.000,1.000,4.722
000000000010000052,1000,false,PD,009,25.000,1.000,0.000,0.000,1.000,1.000,0.000
000000000010000053,2000,false,VB,003,30.000,1.000,42.751,13.284,31.958,191.750,146.567
000000000010000054,1000,false,VB,002,94.000,0.000,4.119,2.248,1.000,5.000,11.872
000000000010000055,2000,false,PD,009,28.000,3.000,5.507,3.356,1.333,8.000,9.402
000000000010000055,1000,false,PD,003,28.000,1.000,3.986,2.323,1.125,6.750,6.088
000000000010000056,3000,false,PD,005,143.000,1.000,5.927,3.039,1.000,5.500,8.523
000000000030000010,1000,false,PD,008,140.000,0.000,0.000,0.000,1.000,6.000,0.000
000000000010000057,2000,false,VB,004,35.000,2.000,7.052,4.447,2.125,12.750,14.954
000000000010000058,1000,false,VB,009,0.000,3.000,6.040,2.934,1.000,3.250,8.268
000000000030000011,4000,false,PD,001,23.000,3.000,0.000,0.000,1.333,8.000,0.000
000000000010000059,3000,false,VB,009,60.000,2.000,5.301,2.213,1.000,5.250,5.301
000000000010000059,2000,false,VB,008,60.000,2.000,5.331,2.125,2.500,15.000,21.278
000000000010000060,4000,false,VB,006,46.000,2.000,0.000,0.000,1.000,1.000,0.000
000000000030000012,2000,false,PD,010,37.000,3.000,0.000,0.000,1.208,7.250,0.000
000000000010000061,4000,false,VB,010,145.000,2.000,0.000,0.000,1.000,1.000,0.000
000000000080000019,3000,false,VB,010,108.000,3.000,18.888,11.432,1.792,10.750,25.668
000000000080000019,1000,false,PD,005,108.000,2.000,23.544,14.259,1.833,11.000,25.583
000000000030000013,3000,false,PD,001,51.000,0.000,0.000,0.000,1.000,5.750,0.000
000000000010000062,2000,false,VB,001,125.000,0.000,168.294,30.736,24.833,149.000,357.204
000000000010000063,2000,false,PD,007,21.000,1.000,0.000,0.000,1.000,1.000,0.000
000000000080000020,1000,false,VB,008,111.000,2.000,12.605,6.766,1.042,6.250,12.605
000000000010000064,2000,false,PD,002,41.000,2.000,0.000,0.000,1.000,1.000,0.000
000000000010000065,4000,false,PD,002,8.000,0.000,0.762,0.626,1.000,2.000,1.204
000000000010000066,2000,false,VB,003,73.000,3.000,79.599,15.211,19.583,117.500,183.568
000000000010000067,2000,false,VB,004,108.000,1.000,0.000,0.000,1.000,1.000,0.000
000000000010000068,3000,false,VB,006,93.000,2.000,8.745,4.808,1.625,9.750,13.077
000000000010000068,2000,false,VB,007,93.000,1.000,12.357,7.883,1.417,8.500,15.633
000000000010000069,4000,false,PD,002,17.000,2.000,0.000,0.000,1.000,1.000,0.000
000000000010000070,3000,false,PD,002,119.000,3.000,27.567,14.445,2.208,13.250,43.085
000000000010000071,2000,false,VB,010,17.000,2.000,26.102,6.495,22.167,133.000,71.628
000000000010000072,1000,false,PD,006,9.000,0.000,0.819,0.645,1.042,6.250,3.329
000000000010000073,4000,false,VB,009,0.000,0.000,5.016,2.567,1.000,3.000,5.016
000000000080000021,4000,false,VB,003,47.000,0.000,6.895,3.941,1.208,7.250,7.015
000000000080000021,2000,false,VB,002,47.000,0.000,3.808,2.097,1.000,4.250,5.828
000000000010000074,3000,false,VB,001,51.000,2.000,81.244,13.843,32.375,194.250,218.801
000000000010000074,1000,false,VB,002,51.000,2.000,73.338,13.549,39.792,238.750,224.809
000000000010000075,3000,false,PD,004,42.000,3.000,38.435,12.056,28.167,169.000,129.879
000000000010000076,1000,false,VB,005,115.000,1.000,5.879,3.792,1.000,3.250,5.879
000000000010000077,2000,false,VB,006,127.000,3.000,1.127,0.785,1.000,1.000,2.892
000000000010000078,1000,false,PD,001,105.000,1.000,9.607,5.609,1.542,9.250,22.049
000000000010000079,3000,false,VB,006,133.000,0.000,11.132,6.088,1.375,8.250,17.869
000000000010000080,1000,false,PD,004,149.000,1.000,0.000,0.000,1.000,1.000,0.000
000000000010000081,4000,false,PD,005,62.000,3.000,7.624,4.830,1.625,9.750,22.160
000000000010000082,1000,false,VB,010,59.000,0.000,1.163,0.661,1.000,3.000,4.136
000000000080000022,3000,false,VB,001,23.000,1.000,8.512,5.839,2.542,15.250,20.745
000000000080000022,1000,false,PD,003,23.000,3.000,3.700,2.556,1.500,9.000,7.196
000000000010000083,4000,false,VB,001,37.000,3.000,30.323,4.144,23.333,140.000,177.121
000000000010000084,1000,false,VB,002,87.000,2.000,3.060,1.841,1.000,2.500,4.777
000000000010000085,4000,false,PD,008,179.000,3.000,1.734,0.712,1.000,2.250,5.636
000000000010000086,1000,false,PD,005,143.000,1.000,4.670,2.297,1.000,3.000,8.503
000000000010000087,1000,false,VB,004,92.000,3.000,0.757,0.645,1.000,1.000,1.438
000000000010000087,4000,false,VB,001,0.000,2.000,1.830,1.336,1.000,1.000,4.238
000000000080000023,3000,false,VB,002,133.000,3.000,12.232,8.695,1.000,3.000,12.232
000000000090000003,2000,false,ND,007,28.000,1.000,0.000,0.000,1.000,1.000,1.000
000000000030000014,3000,false,PD,007,8.000,2.000,0.000,0.000,1.125,6.750,0.000
000000000030000014,2000,false,PD,009,8.000,1.000,0.000,0.000,1.000,4.250,0.000
000000000010000088,2000,false,VB,008,124.000,0.000,0.000,0.000,1.000,1.000,0.000
000000000010000089,4000,false,VB,008,129.000,0.000,0.000,0.000,1.000,1.000,0.000
000000000030000015,1000,false,PD,008,77.000,0.000,0.000,0.000,1.583,9.500,0.000
000000000080000024,1000,false,PD,008,112.000,3.000,3.578,1.832,1.000,5.000,8.106
000000000080000025,2000,false,PD,004,11.000,2.000,2.163,1.598,1.000,6.000,6.565
000000000080000025,4000,false,VB,004,11.000,1.000,3.773,2.639,2.042,12.250,15.292
000000000030000016,1000,false,PD,001,110.000,2.000,0.000,0.000,1.000,3.500,0.000
000000000010000090,4000,false,PD,008,93.000,0.000,4.403,2.869,1.000,1.750,5.333
000000000090000004,1000,false,ND,007,57.000,3.000,0.000,0.000,1.000,1.000,1.000
000000000090000004,3000,false,ND,008,57.000,3.000,0.000,0.000,1.000,1.000,1.000
000000000080000026,2000,false,VB,010,40.000,2.000,5.257,2.814,1.500,9.000,9.303
000000000010000091,4000,false,VB,004,47.000,3.000,4.299,2.202,1.000,5.000,4.299
000000000030000017,1000,false,PD,007,55.000,1.000,0.000,0.000,1.000,5.250,0.000
000000000080000027,4000,false,PD,007,55.000,1.000,2.535,1.437,1.458,8.750,14.847
000000000010000092,4000,false,VB,008,57.000,3.000,0.929,0.710,1.000,1.000,2.388
000000000010000092,3000,false,PD,008,57.000,2.000,2.437,1.658,1.000,1.500,2.437
000000000010000093,4000,false,PD,004,138.000,3.000,6.617,3.562,1.000,5.000,18.246
000000000090000005,1000,false,ND,008,55.000,3.000,0.000,0.000,1.000,1.000,1.000
000000000080000028,2000,false,VB,004,120.000,0.000,9.160,5.474,1.375,8.250,12.628
000000000010000094,4000,false,PD,007,33.000,1.000,5.446,3.115,2.000,12.000,11.826
000000000010000095,3000,false,VB,010,127.000,1.000,11.177,6.699,1.000,5.000,11.177
000000000010000095,2000,false,VB,004,127.000,2.000,4.839,2.663,1.042,6.250,10.875
000000000010000096,1000,false,PD,002,92.000,3.000,1.566,1.253,1.000,1.000,2.638
000000000010000097,4000,false,PD,003,51.000,1.000,0.000,0.000,1.000,1.000,0.000
000000000080000029,3000,false,VB,006,7.000,2.000,2.328,1.691,1.625,9.750,7.617
000000000080000029,1000,false,VB,008,0.000,0.000,1.859,1.371,2.208,13.250,11.761
000000000030000018,3000,false,PD,010,142.000,2.000,0.000,0.000,1.250,7.500,0.000
000000000010000098,1000,false,VB,005,23.000,1.000,0.000,0.000,1.000,1.000,0.000
000000000080000030,3000,false,PD,007,40.000,2.000,7.297,4.805,1.625,9.750,11.919
000000000080000030,1000,false,VB,007,40.000,1.000,2.778,1.713,1.333,8.000,12.810
000000000010000099,2000,false,PD,002,155.000,1.000,5.031,2.155,1.000,2.250,5.031
000000000010000100,1000,false,VB,010,43.000,2.000,18.463,2.856,18.792,112.750,114.753
000000000010000100,3000,false,VB,002,43.000,2.000,31.097,6.651,15.125,90.750,105.379
000000000030000019,3000,false,PD,003,31.000,2.000,0.000,0.000,1.333,8.000,0.000
000000000030000019,4000,false,PD,002,31.000,1.000,0.000,0.000,1.000,4.750,0.000
000000000080000031,2000,false,VB,002,22.000,1.000,1.478,1.061,1.417,8.500,13.231
000000000010000101,4000,false,PD,007,30.000,0.000,32.509,11.297,37.208,223.250,256.142
000000000030000020,1000,false,PD,008,56.000,3.000,0.000,0.000,1.458,8.750,0.000
000000000010000102,1000,false,PD,004,240.000,3.000,7.291,2.061,1.167,7.000,21.961
000000000010000102,3000,false,VB,010,240.000,1.000,18.948,6.738,1.250,7.500,27.927
000000000030000021,3000,false,PD,005,39.000,0.000,0.000,0.000,1.000,5.250,0.000
000000000010000103,3000,false,VB,004,152.000,3.000,14.396,6.671,1.625,9.750,27.370
000000000010000104,1000,false,VB,003,42.000,2.000,13.957,2.910,13.375,80.250,108.066
000000000010000104,2000,false,PD,005,42.000,0.000,24.731,4.876,16.208,97.250,62.281
000000000030000022,4000,false,PD,001,87.000,2.000,0.000,0.000,1.000,4.750,0.000
000000000030000022,3000,false,PD,005,87.000,2.000,0.000,0.000,1.458,8.750,0.000
000000000010000105,4000,false,VB,010,48.000,2.000,0.990,0.646,1.000,1.000,1.150
000000000010000106,1000,false,VB,002,20.000,1.000,16.801,3.647,24.833,149.000,82.631
000000000010000106,3000,false,PD,002,20.000,3.000,46.102,10.867,35.125,210.750,116.171
000000000010000107,4000,false,PD,007,76.000,1.000,8.898,4.415,1.708,10.250,10.798
000000000010000108,2000,false,VB,001,57.000,2.000,0.000,0.000,1.000,1.000,0.000
000000000030000023,4000,false,PD,003,55.000,2.000,0.000,0.000,1.125,6.750,0.000
000000000030000023,1000,false,PD,009,55.000,2.000,0.000,0.000,1.000,3.750,0.000
000000000010000109,1000,false,VB,004,42.000,2.000,91.437,16.086,39.417,236.500,279.191
000000000080000032,4000,false,PD,008,7.000,2.000,0.595,0.507,1.000,4.500,3.828
000000000010000110,2000,false,VB,010,53.000,0.000,0.756,0.402,1.000,3.000,4.278
000000000010000110,3000,false,VB,007,53.000,2.000,4.180,2.298,1.000,5.250,6.003
000000000010000111,1000,false,PD,004,62.000,2.000,0.000,0.000,1.000,1.000,0.000
000000000010000112,2000,false,PD,005,52.000,2.000,2.399,1.266,1.333,8.000,7.100
000000000010000113,1000,false,VB,007,32.000,0.000,0.000,0.000,1.000,1.000,0.000
000000000010000114,2000,false,PD,003,57.000,0.000,12.571,7.242,2.542,15.250,19.697
000000000080000033,1000,false,VB,005,56.000,2.000,5.394,2.772,1.042,6.250,8.797
000000000080000033,3000,false,PD,006,0.000,2.000,3.004,1.944,1.083,6.500,9.214
000000000030000024,4000,false,PD,006,26.000,0.000,0.000,0.000,1.000,4.250,0.000
000000000010000115,3000,false,PD,007,38.000,0.000,1.406,0.874,1.000,1.500,1.533
000000000080000034,1000,false,PD,005,50.000,0.000,4.494,2.484,1.000,5.000,7.061
000000000010000116,2000,false,VB,005,10.000,0.000,0.000,0.000,1.000,1.000,0.000
000000000030000025,4000,false,PD,008,16.000,2.000,0.000,0.000,1.333,8.000,0.000
000000000090000006,2000,false,ND,010,17.000,1.000,0.000,0.000,1.000,1.000,1.000
000000000010000117,3000,false,VB,009,90.000,1.000,20.528,11.671,2.958,17.750,29.577
000000000010000117,4000,false,VB,003,90.000,0.000,4.272,2.584,1.000,4.250,11.963
000000000010000118,1000,false,PD,009,99.000,3.000,3.492,2.268,1.000,5.250,8.176
000000000030000026,4000,false,PD,006,128.000,2.000,0.000,0.000,2.125,12.750,0.000
000000000030000026,1000,false,PD,009,128.000,2.000,0.000,0.000,2.958,17.750,0.000
000000000010000119,1000,false,PD,001,58.000,2.000,64.357,13.696,34.250,205.500,181.122
000000000080000035,1000,false,VB,010,7.000,2.000,0.945,0.667,2.417,14.500,10.686
000000000080000035,2000,false,PD,006,7.000,2.000,2.753,2.085,1.917,11.500,10.347
000000000080000036,3000,false,VB,009,36.000,3.000,2.236,1.531,1.375,8.250,8.203
000000000010000120,1000,false,PD,007,28.000,3.000,0.000,0.000,1.000,1.000,0.000
000000000030000027,3000,false,PD,001,105.000,1.000,0.000,0.000,1.000,5.250,0.000
000000000030000027,1000,false,PD,007,105.000,2.000,0.000,0.000,1.000,2.750,0.000
000000000010000121,4000,false,VB,002,15.000,2.000,1.273,0.877,1.000,6.000,8.101
000000000030000028,3000,false,PD,003,137.000,3.000,0.000,0.000,1.000,5.500,0.000
000000000030000028,4000,false,PD,005,137.000,3.000,0.000,0.000,2.667,16.000,0.000
000000000010000122,2000,false,VB,006,55.000,3.000,6.627,4.587,1.500,9.000,13.870
000000000080000037,4000,false,VB,001,41.000,1.000,8.848,4.466,2.042,12.250,9.913
000000000010000123,2000,false,PD,009,51.000,3.000,9.967,4.863,1.875,11.250,12.415
000000000010000123,4000,false,VB,001,51.000,2.000,7.248,4.112,1.042,6.250,12.408
000000000010000124,3000,false,PD,003,42.000,2.000,2.271,1.663,1.042,6.250,13.763
000000000010000124,4000,false,VB,004,42.000,1.000,3.577,2.605,1.000,6.000,8.981
000000000030000029,2000,false,PD,001,18.000,0.000,0.000,0.000,1.125,6.750,0.000
000000000010000125,1000,false,PD,003,163.000,2.000,11.545,4.172,1.000,6.000,14.534
000000000030000030,1000,false,PD,007,36.000,1.000,0.000,0.000,1.125,6.750,0.000
000000000010000126,4000,false,VB,006,41.000,2.000,28.238,8.830,9.458,56.750,56.073
000000000010000127,4000,false,PD,004,16.000,3.000,11.544,2.642,16.875,101.250,62.263
000000000010000128,3000,false,VB,001,122.000,1.000,167.968,23.459,21.542,129.250,238.574
000000000010000129,3000,false,PD,009,8.000,0.000,0.976,0.749,1.083,6.500,6.793
000000000010000130,4000,false,VB,004,18.000,0.000,33.550,12.548,36.042,216.250,164.936
000000000010000131,4000,false,VB,007,141.000,3.000,9.159,4.712,1.000,5.500,20.219
000000000080000038,4000,false,PD,005,121.000,1.000,16.109,9.555,1.458,8.750,16.109
000000000010000132,3000,false,VB,004,116.000,0.000,25.067,13.496,1.917,11.500,33.686
000000000010000133,2000,false,VB,004,42.000,3.000,0.000,0.000,1.000,1.000,0.000
000000000010000134,1000,false,VB,002,54.000,1.000,2.985,1.428,1.000,6.000,9.255
000000000010000135,2000,false,VB,006,11.000,2.000,0.508,0.405,1.000,1.000,1.290
000000000010000136,3000,false,PD,002,55.000,2.000,0.753,0.509,1.000,1.000,1.080
000000000010000137,2000,false,PD,006,47.000,3.000,6.899,4.762,1.500,9.000,15.836
000000000010000138,4000,false,PD,003,41.000,0.000,7.415,4.516,1.333,8.000,7.458
000000000030000031,2000,false,PD,007,21.000,0.000,0.000,0.000,1.958,11.750,0.000
000000000010000139,3000,false,VB,010,51.000,1.000,0.000,0.000,1.000,1.000,0.000
000000000010000140,2000,false,PD,006,54.000,2.000,2.371,1.274,1.542,9.250,12.897
000000000010000140,3000,false,VB,004,54.000,2.000,11.070,5.705,2.000,12.000,23.679
000000000010000141,3000,false,VB,002,47.000,1.000,75.581,14.612,24.333,146.000,124.091
000000000010000142,3000,false,PD,002,19.000,1.000,0.000,0.000,1.000,1.000,0.000
000000000080000039,4000,false,VB,008,10.000,0.000,1.849,1.461,1.042,6.250,7.366
000000000010000143,3000,false,VB,005,142.000,3.000,6.311,4.232,1.000,1.750,6.311
000000000010000144,1000,false,VB,009,141.000,3.000,29.829,16.396,2.250,13.500,46.203
000000000030000032,1000,false,PD,005,29.000,0.000,0.000,0.000,1.750,10.500,0.000
000000000010000145,2000,false,VB,010,42.000,3.000,0.000,0.000,1.000,1.000,0.000
000000000010000145,4000,false,VB,010,42.000,3.000,0.000,0.000,1.000,1.000,0.000
000000000030000033,2000,false,PD,001,22.000,3.000,0.000,0.000,1.458,8.750,0.000
000000000010000146,3000,false,VB,007,41.000,3.000,4.058,2.812,1.000,3.500,4.058
000000000010000146,1000,false,PD,003,41.000,1.000,1.502,1.009,1.000,2.000,3.052
000000000080000040,1000,false,VB,006,109.000,1.000,11.120,6.679,1.083,6.500,14.697
000000000010000147,3000,false,PD,004,38.000,2.000,3.837,2.082,2.042,12.250,17.059
000000000090000007,3000,false,ND,007,9.000,3.000,0.000,0.000,1.000,1.000,1.000
000000000080000041,2000,false,PD,001,23.000,2.000,2.379,1.324,1.000,4.750,5.754
000000000080000042,4000,false,PD,003,48.000,2.000,1.968,1.180,1.000,4.000,8.222
000000000010000148,2000,false,VB,007,30.000,3.000,4.168,2.523,1.708,10.250,8.634
000000000010000149,2000,false,VB,005,102.000,1.000,9.984,6.010,1.000,4.250,9.984
000000000090000008,2000,false,ND,008,15.000,2.000,0.000,0.000,1.000,1.000,1.000
000000000080000043,4000,false,VB,006,46.000,1.000,3.908,2.502,1.000,3.500,6.563
000000000010000150,2000,false,PD,009,39.000,1.000,1.684,1.176,1.000,1.750,1.968
000000000010000150,4000,false,VB,004,39.000,2.000,2.392,1.839,1.000,2.000,2.674
000000000010000151,1000,false,PD,001,74.000,1.000,7.012,4.876,1.042,6.250,20.462
000000000010000151,2000,false,VB,006,74.000,1.000,4.920,3.381,1.000,3.000,7.395
000000000010000152,3000,false,VB,010,33.000,1.000,0.000,0.000,1.000,1.000,0.000
000000000030000034,2000,false,PD,005,102.000,3.000,0.000,0.000,1.458,8.750,0.000
000000000010000153,4000,false,PD,003,25.000,0.000,0.668,0.464,1.000,1.250,1.571
000000000010000154,1000,false,VB,007,55.000,0.000,24.036,3.559,26.542,159.250,209.602
000000000010000155,2000,false,PD,009,30.000,0.000,4.132,3.188,1.000,4.500,7.262
000000000010000156,3000,false,VB,004,122.000,2.000,16.441,9.897,1.000,6.000,22.551
000000000010000157,1000,false,VB,008,11.000,3.000,1.750,1.178,1.500,9.000,6.665
000000000010000158,3000,false,PD,010,28.000,1.000,0.000,0.000,1.000,1.000,0.000
000000000080000044,3000,false,VB,010,94.000,3.000,19.381,11.361,1.500,9.000,19.381
000000000010000159,1000,false,PD,007,111.000,2.000,0.000,0.000,1.000,1.000,0.000
000000000080000045,3000,false,PD,007,55.000,1.000,1.039,0.547,1.000,4.000,7.061
000000000010000160,4000,false,PD,001,13.000,1.000,1.018,0.670,1.000,3.250,1.897
000000000010000161,2000,false,VB,009,49.000,1.000,1.930,1.195,1.000,2.500,2.357
000000000010000161,3000,false,PD,004,49.000,2.000,4.911,3.092,1.000,5.500,6.403
