Matnr,Lvorm,Mtart,Matkl,Bismt,Meins,Mstae,Extwg,Sernp
000000000010000043,false,ERSA,HYDR-ASSY,ELL789461,EA,,400,
000000000030000005,false,ERSA,MILL-LINR,,EA,,100,
000000000030000006,false,ERSA,MECH-GBOX,,EA,,100,
000000000010000044,false,ERSA,INST-XMTR,,EA,,400,
000000000080000014,false,ERSA,MECH-BRG,,EA,,400,
000000000080000015,false,ERSA,INST-XMTR,,EA,,,
000000000030000007,false,ERSA,HYDR-ASSY,,EA,,100,
000000000010000045,false,ERSA,MECH-PUMP,ELL791423,EA,,300,
000000000010000046,false,ERSA,MECH-SEAL,,EA,,,
000000000030000008,false,HIBE,HYDR-ASSY,ELL520018,EA,,100,
000000000010000047,false,ERSA,MECH-GBOX,,EA,,400,
000000000030000009,false,ERSA,ELEC-CTRL,,EA,,100,
000000000010000048,false,HIBE,ELEC-CTRL,,EA,,300,
000000000010000049,false,ERSA,ELEC-MOTR,,EA,,400,
000000000090000002,false,ERSA,ELEC-MOTR,,EA,01,400,
000000000080000016,false,ERSA,MECH-SEAL,,EA,,,
000000000010000050,false,ERSA,MILL-LINR,,EA,,400,
000000000080000017,false,ERSA,MECH-PUMP,,EA,,300,
000000000010000051,false,ERSA,ELEC-CTRL,ELL410035,EA,,400,
000000000080000018,false,ERSA,MECH-BRG,ELL860397,EA,,300,
000000000010000052,false,ERSA,CONV-COMP,ELL332665,EA,,300,
000000000010000053,false,ERSA,CONV-COMP,,EA,,200,
000000000010000054,false,ERSA,HYDR-ASSY,ELL452497,EA,,200,
000000000010000055,false,ERSA,INST-XMTR,,EA,,400,
000000000010000056,false,HIBE,INST-XMTR,,EA,,,
000000000030000010,false,ERSA,MECH-GBOX,,EA,,100,
000000000010000057,false,ERSA,INST-XMTR,,EA,,200,
000000000010000058,false,ERSA,MILL-LINR,,EA,,400,
000000000030000011,false,HIBE,INST-XMTR,,EA,,100,
000000000010000059,false,ERSA,CONV-COMP,,EA,,200,
000000000010000060,false,ERSA,MECH-GBOX,,EA,,,
000000000030000012,false,ERSA,ELEC-CTRL,ELL465549,EA,,100,
000000000010000061,false,ERSA,MECH-BRG,,EA,,,
000000000080000019,false,ERSA,HYDR-ASSY,,EA,,200,0001
000000000030000013,false,ERSA,INST-XMTR,,EA,,100,
000000000010000062,false,HIBE,CONV-COMP,,EA,,,
000000000010000063,false,ERSA,MILL-LINR,ELL196407,EA,,200,
000000000080000020,false,HIBE,MECH-PUMP,,EA,,400,
000000000010000064,false,ERSA,ELEC-MOTR,,EA,,400,
000000000010000065,false,ERSA,CONV-COMP,,EA,,400,
000000000010000066,false,HIBE,INST-XMTR,,EA,,200,
000000000010000067,false,ERSA,MECH-PUMP,,EA,,200,
000000000010000068,false,ERSA,MECH-GBOX,ELL481884,EA,,400,
000000000010000069,false,HIBE,MECH-GBOX,ELL576935,EA,,,
000000000010000070,false,ERSA,ELEC-MOTR,,EA,,200,
000000000010000071,false,ERSA,HYDR-ASSY,ELL314178,EA,,200,
000000000010000072,false,ERSA,MECH-PUMP,ELL293458,EA,,300,
000000000010000073,false,ERSA,MECH-GBOX,,EA,,200,
000000000080000021,false,ERSA,INST-XMTR,,EA,,300,
000000000010000074,false,ERSA,MECH-PUMP,,EA,,400,
000000000010000075,false,ERSA,MECH-SEAL,ELL397388,EA,,,
000000000010000076,false,ERSA,INST-XMTR,,EA,,300,
000000000010000077,false,ERSA,MECH-PUMP,,EA,,,
000000000010000078,false,ERSA,HYDR-ASSY,,EA,,200,
000000000010000079,false,ERSA,MECH-GBOX,,EA,,200,
000000000010000080,false,ERSA,MECH-PUMP,,EA,,400,
000000000010000081,false,ERSA,MECH-PUMP,,EA,,200,
000000000010000082,false,ERSA,HYDR-ASSY,,EA,,400,
000000000080000022,false,ERSA,INST-XMTR,,EA,,300,
000000000010000083,false,ERSA,MECH-PUMP,ELL618951,EA,,200,
000000000010000084,false,ERSA,ELEC-MOTR,ELL151047,EA,,400,
000000000010000085,false,ERSA,HYDR-ASSY,,EA,,200,
000000000010000086,false,HIBE,ELEC-MOTR,,EA,,200,
000000000010000087,false,HIBE,MECH-BRG,ELL409153,EA,,,
000000000080000023,false,ERSA,ELEC-CTRL,,EA,,,
000000000090000003,false,ERSA,MECH-BRG,,EA,01,,
000000000030000014,false,ERSA,HYDR-ASSY,,EA,,100,
000000000010000088,false,ERSA,ELEC-MOTR,ELL916368,EA,,400,
000000000010000089,false,ERSA,MILL-LINR,,EA,,,
000000000030000015,false,ERSA,CONV-COMP,ELL487538,EA,,100,
000000000080000024,false,ERSA,MECH-BRG,,EA,,300,
000000000080000025,false,ERSA,ELEC-MOTR,ELL680990,EA,,200,
000000000030000016,false,ERSA,ELEC-MOTR,,EA,,100,
000000000010000090,false,ERSA,HYDR-ASSY,ELL540467,EA,,,
000000000090000004,false,HIBE,MECH-BRG,ELL740405,EA,01,,
000000000080000026,false,ERSA,INST-XMTR,,EA,,300,Z00R
000000000010000091,false,ERSA,CONV-COMP,ELL604098,EA,,400,
000000000030000017,false,ERSA,ELEC-CTRL,ELL255783,EA,,100,
000000000080000027,false,ERSA,ELEC-CTRL,ELL637145,EA,,400,
000000000010000092,false,ERSA,MILL-LINR,,EA,,,
000000000010000093,false,ERSA,MILL-LINR,,EA,,400,
000000000090000005,false,ERSA,MILL-LINR,,EA,01,300,
000000000080000028,false,ERSA,HYDR-ASSY,,EA,,200,
000000000010000094,false,ERSA,MECH-SEAL,,EA,,300,
000000000010000095,false,ERSA,MECH-BRG,,EA,,200,
000000000010000096,false,HIBE,HYDR-ASSY,,EA,,200,
000000000010000097,false,ERSA,INST-XMTR,,EA,,,
000000000080000029,false,ERSA,HYDR-ASSY,,EA,,,
000000000030000018,false,HIBE,ELEC-MOTR,ELL622112,EA,,100,
000000000010000098,false,ERSA,HYDR-ASSY,,EA,,300,
000000000080000030,false,ERSA,HYDR-ASSY,,EA,,400,Z00R
000000000010000099,false,ERSA,HYDR-ASSY,ELL186651,EA,,200,
000000000010000100,false,ERSA,CONV-COMP,ELL889649,EA,,200,
000000000030000019,false,ERSA,MECH-PUMP,,EA,,100,
000000000080000031,false,ERSA,MECH-BRG,,EA,,200,
000000000010000101,false,ERSA,MILL-LINR,,EA,,400,
000000000030000020,false,ERSA,MECH-PUMP,,EA,,100,
000000000010000102,false,ERSA,ELEC-MOTR,,EA,,300,
000000000030000021,false,ERSA,HYDR-ASSY,,EA,,100,
000000000010000103,false,ERSA,MECH-BRG,ELL881996,EA,,,
000000000010000104,false,ERSA,MILL-LINR,,EA,,200,
000000000030000022,false,ERSA,MECH-PUMP,,EA,,100,
000000000010000105,false,ERSA,MECH-BRG,ELL515645,EA,,,
000000000010000106,false,ERSA,ELEC-MOTR,ELL311524,EA,,200,
000000000010000107,false,ERSA,ELEC-MOTR,ELL596250,EA,,400,
000000000010000108,false,ERSA,MECH-SEAL,,EA,,300,
000000000030000023,false,ERSA,CONV-COMP,ELL248622,EA,,100,
000000000010000109,false,ERSA,MECH-PUMP,ELL791646,EA,,,
000000000080000032,false,ERSA,ELEC-MOTR,,EA,,400,Z00R
000000000010000110,false,ERSA,MECH-GBOX,,EA,,400,
000000000010000111,false,ERSA,MECH-SEAL,,EA,,400,
000000000010000112,false,ERSA,ELEC-CTRL,,EA,,200,
000000000010000113,false,HIBE,MILL-LINR,,EA,,200,
000000000010000114,false,ERSA,ELEC-CTRL,ELL445326,EA,,,
000000000080000033,false,ERSA,MECH-GBOX,,EA,,200,
000000000030000024,false,HIBE,ELEC-MOTR,,EA,,100,
000000000010000115,false,ERSA,CONV-COMP,ELL403858,EA,,300,
000000000080000034,false,ERSA,ELEC-MOTR,ELL681208,EA,,300,Z00R
000000000010000116,false,ERSA,MECH-SEAL,,EA,,200,
000000000030000025,false,ERSA,INST-XMTR,ELL208639,EA,,100,
000000000090000006,false,HIBE,CONV-COMP,ELL840530,EA,01,,
000000000010000117,false,ERSA,ELEC-MOTR,,EA,,400,
000000000010000118,false,ERSA,MECH-GBOX,,EA,,400,
000000000030000026,false,ERSA,MECH-BRG,,EA,,100,
000000000010000119,false,ERSA,ELEC-CTRL,,EA,,,
000000000080000035,false,HIBE,MECH-PUMP,,EA,,,
000000000080000036,false,HIBE,ELEC-CTRL,,EA,,,
000000000010000120,false,HIBE,HYDR-ASSY,,EA,,200,
000000000030000027,false,ERSA,MECH-PUMP,,EA,,100,
000000000010000121,false,HIBE,MILL-LINR,,EA,,400,
000000000030000028,false,ERSA,ELEC-CTRL,,EA,,100,
000000000010000122,false,HIBE,MECH-BRG,,EA,,400,
000000000080000037,false,HIBE,ELEC-MOTR,,EA,,200,
000000000010000123,false,ERSA,MECH-SEAL,ELL591461,EA,,300,
000000000010000124,false,HIBE,MECH-BRG,,EA,,400,
000000000030000029,false,ERSA,MECH-PUMP,ELL297389,EA,,100,
000000000010000125,false,ERSA,MECH-BRG,,EA,,,
000000000030000030,false,ERSA,MECH-BRG,ELL280426,EA,,100,
000000000010000126,false,ERSA,MECH-GBOX,ELL426203,EA,,,
000000000010000127,false,HIBE,MECH-PUMP,ELL639907,EA,,,
000000000010000128,false,HIBE,ELEC-CTRL,,EA,,200,
000000000010000129,false,ERSA,CONV-COMP,ELL846621,EA,,,
000000000010000130,false,ERSA,MECH-GBOX,,EA,,400,
000000000010000131,false,ERSA,HYDR-ASSY,,EA,,200,
000000000080000038,false,ERSA,MECH-SEAL,,EA,,200,
000000000010000132,false,ERSA,ELEC-MOTR,ELL736956,EA,,400,
000000000010000133,false,ERSA,MECH-SEAL,,EA,,200,
000000000010000134,false,ERSA,INST-XMTR,,EA,,300,
000000000010000135,false,ERSA,ELEC-CTRL,,EA,,,
000000000010000136,false,ERSA,HYDR-ASSY,,EA,,300,
000000000010000137,false,ERSA,ELEC-CTRL,,EA,,300,
000000000010000138,false,ERSA,ELEC-CTRL,ELL638444,EA,,200,
000000000030000031,false,ERSA,MILL-LINR,,EA,,100,
000000000010000139,false,ERSA,ELEC-MOTR,,EA,,200,
000000000010000140,false,ERSA,CONV-COMP,,EA,,,
000000000010000141,false,HIBE,CONV-COMP,,EA,,300,
000000000010000142,false,ERSA,MILL-LINR,,EA,,200,
000000000080000039,false,HIBE,MECH-PUMP,,EA,,,
000000000010000143,false,HIBE,INST-XMTR,,EA,,200,
000000000010000144,false,ERSA,INST-XMTR,ELL978922,EA,,200,
000000000030000032,false,ERSA,MECH-PUMP,,EA,,100,
000000000010000145,false,HIBE,MECH-GBOX,,EA,,300,
000000000030000033,false,ERSA,ELEC-CTRL,ELL967641,EA,,100,
000000000010000146,false,ERSA,MECH-PUMP,,EA,,,
000000000080000040,false,ERSA,MECH-PUMP,,EA,,400,
000000000010000147,false,ERSA,HYDR-ASSY,,EA,,,
000000000090000007,false,ERSA,HYDR-ASSY,,EA,01,,
000000000080000041,false,ERSA,HYDR-ASSY,,EA,,300,
000000000080000042,false,ERSA,ELEC-MOTR,ELL292899,EA,,300,
000000000010000148,false,ERSA,ELEC-MOTR,ELL582273,EA,,,
000000000010000149,false,ERSA,CONV-COMP,,EA,,300,
000000000090000008,false,ERSA,MECH-PUMP,ELL120923,EA,01,400,
000000000080000043,false,ERSA,MECH-SEAL,,EA,,200,Z00R
000000000010000150,false,ERSA,ELEC-MOTR,,EA,,200,
000000000010000151,false,ERSA,MECH-PUMP,ELL901566,EA,,,
000000000010000152,false,HIBE,CONV-COMP,ELL427718,EA,,,
000000000030000034,false,ERSA,INST-XMTR,,EA,,100,
000000000010000153,false,ERSA,MECH-BRG,ELL587524,EA,,300,
000000000010000154,false,ERSA,MECH-SEAL,,EA,,200,
000000000010000155,false,ERSA,MECH-BRG,,EA,,300,
000000000010000156,false,HIBE,MECH-PUMP,,EA,,,
000000000010000157,false,ERSA,INST-XMTR,,EA,,,
000000000010000158,false,ERSA,HYDR-ASSY,,EA,,300,
000000000080000044,false,ERSA,HYDR-ASSY,,EA,,300,
000000000010000159,false,ERSA,ELEC-MOTR,,EA,,,
000000000080000045,false,ERSA,CONV-COMP,ELL970978,EA,,200,
000000000010000160,false,ERSA,INST-XMTR,,EA,,,
000000000010000161,false,ERSA,MECH-GBOX,ELL679896,EA,,200,
000000000090000009,false,ERSA,MECH-GBOX,,EA,01,300,
000000000030000035,false,ERSA,INST-XMTR,ELL778929,EA,,100,
000000000080000046,false,HIBE,HYDR-ASSY,,EA,,300,
000000000010000162,false,ERSA,INST-XMTR,ELL829088,EA,,200,
000000000010000163,false,ERSA,MECH-PUMP,ELL215213,EA,,300,
000000000010000164,false,ERSA,MILL-LINR,,EA,,200,
000000000010000165,false,HIBE,HYDR-ASSY,,EA,,300,
000000000030000036,false,HIBE,MECH-GBOX,,EA,,100,
000000000080000047,false,ERSA,ELEC-MOTR,ELL934870,EA,,200,
000000000010000166,false,ERSA,MECH-SEAL,,EA,,400,
000000000010000167,false,ERSA,CONV-COMP,,EA,,,
000000000010000168,false,HIBE,MECH-GBOX,ELL885813,EA,,400,
000000000030000037,false,ERSA,MECH-BRG,,EA,,100,
000000000010000169,false,ERSA,ELEC-MOTR,,EA,,400,
000000000010000170,false,HIBE,INST-XMTR,,EA,,400,
000000000080000048,false,HIBE,ELEC-CTRL,ELL798201,EA,,300,0001
000000000010000171,false,ERSA,ELEC-MOTR,,EA,,,
000000000010000172,false,ERSA,MECH-SEAL,,EA,,300,
000000000010000173,false,ERSA,INST-XMTR,ELL409890,EA,,,
000000000080000049,false,ERSA,MECH-GBOX,,EA,,400,
000000000010000174,false,ERSA,CONV-COMP,ELL357543,EA,,,
000000000010000175,false,ERSA,ELEC-MOTR,,EA,,300,
000000000010000176,false,ERSA,ELEC-MOTR,,EA,,400,
000000000010000177,false,ERSA,MECH-SEAL,,EA,,,
000000000030000038,false,ERSA,MECH-SEAL,,EA,,100,
000000000010000178,false,ERSA,MILL-LINR,,EA,,,
000000000010000179,false,ERSA,MILL-LINR,,EA,,300,
000000000080000050,false,ERSA,ELEC-MOTR,ELL446401,EA,,200,
000000000080000051,false,ERSA,ELEC-CTRL,,EA,,400,Z00R
000000000010000180,false,ERSA,MECH-GBOX,ELL407269,EA,,200,
000000000090000010,false,ERSA,INST-XMTR,ELL304753,EA,01,300,
000000000010000181,false,ERSA,MECH-GBOX,,EA,,300,
000000000080000052,false,ERSA,MECH-SEAL,ELL302779,EA,,400,
000000000010000182,false,ERSA,MECH-BRG,,EA,,300,
000000000010000183,false,ERSA,HYDR-ASSY,ELL753721,EA,,400,
000000000030000039,false,ERSA,MILL-LINR,,EA,,100,
000000000010000184,false,ERSA,INST-XMTR,ELL755569,EA,,300,
000000000030000040,false,ERSA,INST-XMTR,,EA,,100,
000000000010000185,false,ERSA,MILL-LINR,ELL505042,EA,,400,
000000000010000186,false,HIBE,MECH-PUMP,,EA,,,
000000000030000041,false,ERSA,HYDR-ASSY,,EA,,100,
000000000030000042,false,HIBE,ELEC-MOTR,,EA,,100,
000000000010000187,false,ERSA,CONV-COMP,,EA,,,
000000000010000188,false,ERSA,ELEC-MOTR,,EA,,,
000000000080000053,false,ERSA,INST-XMTR,,EA,,300,
000000000010000189,false,ERSA,MILL-LINR,,EA,,300,
000000000010000190,false,ERSA,CONV-COMP,,EA,,200,
000000000010000191,false,ERSA,MECH-BRG,,EA,,,
000000000010000192,false,ERSA,HYDR-ASSY,,EA,,300,
000000000080000054,false,ERSA,INST-XMTR,ELL740216,EA,,200,
000000000010000193,false,ERSA,HYDR-ASSY,,EA,,200,
000000000010000194,false,ERSA,MECH-SEAL,ELL397918,EA,,300,
000000000010000195,false,ERSA,ELEC-MOTR,,EA,,200,
000000000010000196,false,ERSA,HYDR-ASSY,,EA,,,
000000000010000197,false,ERSA,MECH-PUMP,ELL722977,EA,,400,
000000000010000198,false,ERSA,INST-XMTR,ELL259546,EA,,400,
000000000010000199,false,HIBE,MILL-LINR,ELL808649,EA,,,
000000000030000043,false,ERSA,CONV-COMP,,EA,,100,
000000000030000044,false,ERSA,MILL-LINR,,EA,,100,
000000000090000011,false,HIBE,MILL-LINR,,EA,01,200,
000000000010000200,false,ERSA,MECH-PUMP,,EA,,,
000000000010000201,false,ERSA,HYDR-ASSY,ELL190745,EA,,200,
000000000030000045,false,ERSA,MECH-SEAL,,EA,,100,
000000000010000202,false,ERSA,INST-XMTR,,EA,,200,
000000000010000203,false,ERSA,MECH-PUMP,,EA,,200,
000000000010000204,false,HIBE,CONV-COMP,ELL425954,EA,,200,
000000000010000205,false,ERSA,INST-XMTR,,EA,,300,
000000000010000206,false,ERSA,ELEC-MOTR,,EA,,200,
000000000010000207,false,ERSA,MECH-GBOX,,EA,,,
000000000010000208,false,ERSA,MECH-BRG,,EA,,400,
000000000080000055,false,ERSA,MECH-BRG,ELL511652,EA,,,
000000000010000209,false,ERSA,HYDR-ASSY,,EA,,400,
000000000010000210,false,ERSA,MECH-PUMP,ELL451760,EA,,200,
000000000010000211,false,ERSA,INST-XMTR,ELL727273,EA,,200,
000000000010000212,false,ERSA,MECH-BRG,,EA,,300,
000000000010000213,false,ERSA,INST-XMTR,,EA,,200,
000000000030000046,false,HIBE,ELEC-CTRL,,EA,,100,
000000000010000214,false,ERSA,MECH-PUMP,,EA,,,
000000000010000215,false,ERSA,MECH-PUMP,,EA,,,
000000000010000216,false,ERSA,ELEC-MOTR,ELL327216,EA,,300,
000000000010000217,false,ERSA,MECH-BRG,,EA,,,
000000000010000218,false,ERSA,ELEC-MOTR,,EA,,200,
000000000010000219,false,ERSA,MECH-GBOX,,EA,,,
000000000030000047,false,ERSA,INST-XMTR,,EA,,100,
000000000080000056,false,ERSA,ELEC-MOTR,,EA,,,
000000000010000220,false,ERSA,CONV-COMP,,EA,,,
000000000010000221,false,ERSA,ELEC-MOTR,,EA,,,
000000000010000222,false,ERSA,ELEC-CTRL,,EA,,300,
000000000010000223,false,ERSA,CONV-COMP,,EA,,200,
000000000010000224,false,HIBE,ELEC-CTRL,,EA,,200,
000000000010000225,false,ERSA,INST-XMTR,,EA,,,
000000000010000226,false,ERSA,MECH-PUMP,,EA,,400,
000000000010000227,false,ERSA,HYDR-ASSY,,EA,,,
000000000010000228,false,ERSA,INST-XMTR,ELL329994,EA,,,
000000000030000048,false,ERSA,MECH-GBOX,ELL607146,EA,,100,
000000000010000229,false,HIBE,MECH-SEAL,,EA,,400,
000000000080000057,false,ERSA,MECH-GBOX,,EA,,200,
000000000010000230,false,ERSA,CONV-COMP,,EA,,,
000000000010000231,false,ERSA,CONV-COMP,,EA,,400,
000000000010000232,false,HIBE,INST-XMTR,ELL342606,EA,,,
000000000010000233,false,ERSA,MILL-LINR,ELL392779,EA,,,
000000000010000234,false,ERSA,HYDR-ASSY,,EA,,400,
000000000030000049,false,ERSA,MECH-GBOX,,EA,,100,
000000000030000050,false,ERSA,CONV-COMP,ELL352844,EA,,100,
000000000010000235,false,HIBE,MECH-GBOX,ELL763611,EA,,400,
000000000010000236,false,ERSA,ELEC-CTRL,ELL249642,EA,,,
000000000010000237,false,ERSA,MECH-GBOX,ELL545454,EA,,200,
000000000010000238,false,ERSA,HYDR-ASSY,ELL988544,EA,,300,
000000000030000051,false,ERSA,MECH-PUMP,ELL301765,EA,,100,
000000000010000239,false,ERSA,MILL-LINR,,EA,,400,
000000000010000240,false,ERSA,MECH-SEAL,,EA,,400,
000000000010000241,false,ERSA,MILL-LINR,ELL558419,EA,,400,
000000000030000052,false,ERSA,INST-XMTR,,EA,,100,
000000000010000242,false,ERSA,MECH-BRG,,EA,,,
000000000030000053,false,ERSA,MECH-PUMP,ELL510079,EA,,100,
000000000010000243,false,ERSA,MECH-BRG,,EA,,,
000000000080000058,false,ERSA,MECH-PUMP,,EA,,400,
000000000010000244,false,ERSA,CONV-COMP,,EA,,300,
000000000010000245,false,ERSA,CONV-COMP,,EA,,200,
000000000010000246,false,ERSA,MILL-LINR,,EA,,,
000000000030000054,false,ERSA,MECH-PUMP,,EA,,100,
000000000030000055,false,HIBE,MECH-BRG,,EA,,100,
000000000010000247,false,ERSA,ELEC-MOTR,,EA,,300,
000000000080000059,false,ERSA,HYDR-ASSY,,EA,,,
000000000010000248,false,ERSA,MECH-GBOX,,EA,,400,
000000000010000249,false,HIBE,MECH-SEAL,,EA,,200,
000000000010000250,false,ERSA,INST-XMTR,ELL191233,EA,,300,
000000000010000251,false,ERSA,MILL-LINR,ELL181531,EA,,400,
000000000010000252,false,ERSA,ELEC-MOTR,,EA,,300,
000000000010000253,false,ERSA,MECH-SEAL,ELL698822,EA,,300,
000000000090000012,false,ERSA,MECH-GBOX,,EA,01,300,
000000000010000254,false,ERSA,ELEC-CTRL,ELL926840,EA,,300,
000000000010000255,false,ERSA,ELEC-MOTR,,EA,,200,
000000000090000013,false,HIBE,ELEC-MOTR,ELL885242,EA,01,300,
000000000080000060,false,ERSA,MECH-BRG,,EA,,200,0001
000000000090000014,false,ERSA,MECH-BRG,,EA,01,400,
000000000030000056,false,ERSA,MECH-BRG,ELL322590,EA,,100,
000000000010000256,false,ERSA,MECH-GBOX,,EA,,,
000000000030000057,false,ERSA,INST-XMTR,,EA,,100,
000000000030000058,false,ERSA,MECH-GBOX,ELL524909,EA,,100,
000000000010000257,false,ERSA,MILL-LINR,,EA,,400,
000000000010000258,false,ERSA,MECH-PUMP,,EA,,200,
000000000010000259,false,ERSA,INST-XMTR,,EA,,400,
000000000010000260,false,ERSA,MECH-BRG,,EA,,300,
000000000080000061,false,ERSA,HYDR-ASSY,ELL737543,EA,,300,
000000000080000062,false,ERSA,MECH-BRG,,EA,,,
000000000080000063,false,ERSA,MECH-BRG,ELL821484,EA,,400,0001
000000000010000261,false,ERSA,MECH-BRG,,EA,,400,
000000000080000064,false,ERSA,MECH-GBOX,ELL385526,EA,,,
000000000010000262,false,HIBE,MECH-BRG,,EA,,400,
000000000010000263,false,ERSA,ELEC-MOTR,,EA,,200,
000000000030000059,false,ERSA,MECH-SEAL,ELL341591,EA,,100,
000000000010000264,false,ERSA,MECH-SEAL,,EA,,200,
000000000010000265,false,ERSA,MECH-GBOX,,EA,,300,
000000000010000266,false,ERSA,HYDR-ASSY,,EA,,200,
000000000010000267,false,ERSA,ELEC-MOTR,,EA,,,
000000000010000268,false,HIBE,CONV-COMP,,EA,,400,
000000000010000269,false,ERSA,MECH-SEAL,,EA,,400,
000000000010000270,false,ERSA,MECH-GBOX,,EA,,200,
000000000010000271,false,ERSA,MILL-LINR,,EA,,200,
000000000010000272,false,ERSA,INST-XMTR,,EA,,200,
000000000010000273,false,ERSA,CONV-COMP,ELL917192,EA,,300,
000000000010000274,false,ERSA,MECH-BRG,ELL601681,EA,,300,
000000000080000065,false,ERSA,MECH-BRG,,EA,,,
000000000010000275,false,ERSA,CONV-COMP,,EA,,200,
000000000030000060,false,ERSA,MECH-PUMP,,EA,,100,
000000000030000061,false,ERSA,MECH-SEAL,,EA,,100,
000000000080000066,false,ERSA,MECH-SEAL,,EA,,300,
000000000010000276,false,ERSA,MECH-PUMP,,EA,,200,
000000000010000277,false,ERSA,MILL-LINR,,EA,,300,
000000000010000278,false,ERSA,ELEC-CTRL,ELL764577,EA,,400,
000000000010000279,false,ERSA,ELEC-CTRL,ELL584342,EA,,200,
000000000030000062,false,ERSA,INST-XMTR,,EA,,100,
000000000010000280,false,ERSA,HYDR-ASSY,,EA,,400,
000000000030000063,false,ERSA,MECH-BRG,,EA,,100,
000000000030000064,false,ERSA,MECH-SEAL,ELL646050,EA,,100,
000000000010000281,false,ERSA,ELEC-CTRL,,EA,,200,
000000000010000282,false,ERSA,MECH-PUMP,,EA,,300,
