Objectclas,Objectid,Changenr,Tabname,Tabkey,Fname,Chngind,Value_new,Value_old
MATERIAL,000000000010000068,0001000031,MARC,0000000000100000682000,MINBE,U,11.900,12.357
MATERIAL,000000000010000068,0001000031,MARC,0000000000100000682000,MABST,U,16.100,15.633
MATERIAL,000000000010000070,0001000032,MARC,0000000000100000703000,MINBE,U,18.100,27.567
MATERIAL,000000000010000070,0001000032,MARC,0000000000100000703000,MABST,U,24.700,43.085
MATERIAL,000000000010000071,0001000033,MARC,0000000000100000712000,MINBE,U,16.500,26.102
MATERIAL,000000000010000071,0001000033,MARC,0000000000100000712000,MABST,U,83.000,71.628
MATERIAL,000000000010000072,0001000034,MARC,0000000000100000721000,MINBE,U,1.400,0.819
MATERIAL,000000000010000072,0001000034,MARC,0000000000100000721000,MABST,U,4.500,3.329
MATERIAL,000000000080000021,0001000035,MARC,0000000000800000212000,MINBE,U,2.400,3.808
MATERIAL,000000000080000021,0001000035,MARC,0000000000800000212000,MABST,U,4.500,5.828
MATERIAL,000000000010000076,0001000036,MARC,0000000000100000761000,MINBE,U,5.700,5.879
MATERIAL,000000000010000076,0001000036,MARC,0000000000100000761000,MABST,U,7.300,5.879
MATERIAL,000000000080000022,0001000037,MARC,0000000000800000223000,MINBE,U,6.100,8.512
MATERIAL,000000000080000022,0001000037,MARC,0000000000800000223000,MABST,U,13.700,20.745
MATERIAL,000000000080000022,0001000038,MARC,0000000000800000221000,MINBE,U,3.600,3.700
MATERIAL,000000000080000022,0001000038,MARC,0000000000800000221000,MABST,U,8.100,7.196
MATERIAL,000000000030000014,0001000039,MARC,0000000000300000142000,MINBE,U,1.000,0.000
MATERIAL,000000000030000014,0001000039,MARC,0000000000300000142000,MABST,U,3.100,0.000
MATERIAL,000000000010000090,0001000040,MARC,0000000000100000904000,MINBE,U,2.600,4.403
MATERIAL,000000000010000090,0001000040,MARC,0000000000100000904000,MABST,U,3.500,5.333
MATERIAL,000000000010000095,0001000041,MARC,0000000000100000953000,MINBE,U,8.700,11.177
MATERIAL,000000000010000095,0001000041,MARC,0000000000100000953000,MABST,U,11.200,11.177
MATERIAL,000000000010000095,0001000042,MARC,0000000000100000952000,MINBE,U,9.600,4.839
MATERIAL,000000000010000095,0001000042,MARC,0000000000100000952000,MABST,U,12.700,10.875
MATERIAL,000000000010000105,0001000043,MARC,0000000000100001054000,MINBE,U,0.800,0.990
MATERIAL,000000000010000105,0001000043,MARC,0000000000100001054000,MABST,U,1.300,1.150
MATERIAL,000000000010000107,0001000044,MARC,0000000000100001074000,MINBE,U,8.500,8.898
MATERIAL,000000000010000107,0001000044,MARC,0000000000100001074000,MABST,U,13.600,10.798
MATERIAL,000000000080000032,0001000045,MARC,0000000000800000324000,MINBE,U,1.200,0.595
MATERIAL,000000000080000032,0001000045,MARC,0000000000800000324000,MABST,U,3.500,3.828
MATERIAL,000000000010000110,0001000046,MARC,0000000000100001103000,MINBE,U,3.400,4.180
MATERIAL,000000000010000110,0001000046,MARC,0000000000100001103000,MABST,U,6.000,6.003
MATERIAL,000000000010000115,0001000047,MARC,0000000000100001153000,MINBE,U,0.800,1.406
MATERIAL,000000000010000115,0001000047,MARC,0000000000100001153000,MABST,U,1.600,1.533
MATERIAL,000000000030000026,0001000048,MARC,0000000000300000264000,MINBE,U,19.400,0.000
MATERIAL,000000000030000026,0001000048,MARC,0000000000300000264000,MABST,U,25.800,0.000
MATERIAL,000000000080000036,0001000049,MARC,0000000000800000363000,MINBE,U,5.100,2.236
MATERIAL,000000000080000036,0001000049,MARC,0000000000800000363000,MABST,U,9.200,8.203
MATERIAL,000000000010000121,0001000050,MARC,0000000000100001214000,MINBE,U,1.600,1.273
MATERIAL,000000000010000121,0001000050,MARC,0000000000100001214000,MABST,U,4.600,8.101
MATERIAL,000000000010000123,0001000051,MARC,0000000000100001234000,MINBE,U,4.000,7.248
MATERIAL,000000000010000123,0001000051,MARC,0000000000100001234000,MABST,U,7.100,12.408
MATERIAL,000000000010000129,0001000052,MARC,0000000000100001293000,MINBE,U,1.200,0.976
MATERIAL,000000000010000129,0001000052,MARC,0000000000100001293000,MABST,U,4.500,6.793
MATERIAL,000000000010000134,0001000053,MARC,0000000000100001341000,MINBE,U,3.400,2.985
MATERIAL,000000000010000134,0001000053,MARC,0000000000100001341000,MABST,U,6.400,9.255
MATERIAL,000000000010000135,0001000054,MARC,0000000000100001352000,MINBE,U,0.300,0.508
MATERIAL,000000000010000135,0001000054,MARC,0000000000100001352000,MABST,U,0.800,1.290
MATERIAL,000000000010000138,0001000055,MARC,0000000000100001384000,MINBE,U,4.600,7.415
MATERIAL,000000000010000138,0001000055,MARC,0000000000100001384000,MABST,U,8.600,7.458
MATERIAL,000000000030000032,0001000056,MARC,0000000000300000321000,MINBE,U,5.400,0.000
MATERIAL,000000000030000032,0001000056,MARC,0000000000300000321000,MABST,U,10.700,0.000
MATERIAL,000000000080000042,0001000057,MARC,0000000000800000424000,MINBE,U,2.700,1.968
MATERIAL,000000000080000042,0001000057,MARC,0000000000800000424000,MABST,U,4.700,8.222
MATERIAL,000000000080000043,0001000058,MARC,0000000000800000434000,MINBE,U,2.500,3.908
MATERIAL,000000000080000043,0001000058,MARC,0000000000800000434000,MABST,U,4.200,6.563
MATERIAL,000000000010000150,0001000059,MARC,0000000000100001504000,MINBE,U,1.800,2.392
MATERIAL,000000000010000150,0001000059,MARC,0000000000100001504000,MABST,U,2.800,2.674
MATERIAL,000000000010000151,0001000060,MARC,0000000000100001512000,MINBE,U,3.900,4.920
MATERIAL,000000000010000151,0001000060,MARC,0000000000100001512000,MABST,U,5.400,7.395
MATERIAL,000000000010000153,0001000061,MARC,0000000000100001534000,MINBE,U,0.600,0.668
MATERIAL,000000000010000153,0001000061,MARC,0000000000100001534000,MABST,U,1.200,1.571
MATERIAL,000000000010000155,0001000062,MARC,0000000000100001552000,MINBE,U,3.200,4.132
MATERIAL,000000000010000155,0001000062,MARC,0000000000100001552000,MABST,U,5.500,7.262
MATERIAL,000000000010000157,0001000063,MARC,0000000000100001571000,MINBE,U,1.600,1.750
MATERIAL,000000000010000157,0001000063,MARC,0000000000100001571000,MABST,U,6.100,6.665
MATERIAL,000000000080000044,0001000064,MARC,0000000000800000443000,MINBE,U,11.200,19.381
MATERIAL,000000000080000044,0001000064,MARC,0000000000800000443000,MABST,U,15.700,19.381
MATERIAL,000000000080000047,0001000065,MARC,0000000000800000472000,MINBE,U,1.200,1.427
MATERIAL,000000000080000047,0001000065,MARC,0000000000800000472000,MABST,U,2.700,4.618
MATERIAL,000000000010000168,0001000066,MARC,0000000000100001683000,MINBE,U,2.200,3.746
MATERIAL,000000000010000168,0001000066,MARC,0000000000100001683000,MABST,U,5.200,8.289
MATERIAL,000000000080000050,0001000067,MARC,0000000000800000503000,MINBE,U,3.100,4.032
MATERIAL,000000000080000050,0001000067,MARC,0000000000800000503000,MABST,U,7.100,11.950
MATERIAL,000000000030000039,0001000068,MARC,0000000000300000391000,MINBE,U,4.200,0.000
MATERIAL,000000000030000039,0001000068,MARC,0000000000300000391000,MABST,U,7.000,0.000
MATERIAL,000000000010000187,0001000069,MARC,0000000000100001874000,MINBE,U,5.700,6.034
MATERIAL,000000000010000187,0001000069,MARC,0000000000100001874000,MABST,U,9.100,13.861
MATERIAL,000000000010000188,0001000070,MARC,0000000000100001882000,MINBE,U,5.100,6.156
MATERIAL,000000000010000188,0001000070,MARC,0000000000100001882000,MABST,U,6.700,7.340
MATERIAL,000000000010000189,0001000071,MARC,0000000000100001894000,MINBE,U,1.400,0.615
MATERIAL,000000000010000189,0001000071,MARC,0000000000100001894000,MABST,U,3.100,5.656
MATERIAL,000000000010000194,0001000072,MARC,0000000000100001944000,MINBE,U,4.400,6.601
MATERIAL,000000000010000194,0001000072,MARC,0000000000100001944000,MABST,U,7.800,7.746
MATERIAL,000000000010000195,0001000073,MARC,0000000000100001954000,MINBE,U,62.800,49.007
MATERIAL,000000000010000195,0001000073,MARC,0000000000100001954000,MABST,U,119.300,141.651
MATERIAL,000000000010000203,0001000074,MARC,0000000000100002031000,MINBE,U,6.300,6.701
MATERIAL,000000000010000203,0001000074,MARC,0000000000100002031000,MABST,U,8.700,11.796
MATERIAL,000000000010000204,0001000075,MARC,0000000000100002041000,MINBE,U,5.900,5.010
MATERIAL,000000000010000204,0001000075,MARC,0000000000100002041000,MABST,U,8.000,7.655
MATERIAL,000000000010000206,0001000076,MARC,0000000000100002063000,MINBE,U,62.700,33.314
MATERIAL,000000000010000206,0001000076,MARC,0000000000100002063000,MABST,U,151.300,142.779
MATERIAL,000000000010000208,0001000077,MARC,0000000000100002083000,MINBE,U,2.400,1.717
MATERIAL,000000000010000208,0001000077,MARC,0000000000100002083000,MABST,U,3.600,3.904
MATERIAL,000000000010000212,0001000078,MARC,0000000000100002124000,MINBE,U,13.800,24.489
MATERIAL,000000000010000212,0001000078,MARC,0000000000100002124000,MABST,U,82.200,119.462
MATERIAL,000000000010000213,0001000079,MARC,0000000000100002134000,MINBE,U,22.200,30.284
MATERIAL,000000000010000213,0001000079,MARC,0000000000100002134000,MABST,U,117.700,169.763
MATERIAL,000000000010000214,0001000080,MARC,0000000000100002144000,MINBE,U,2.500,4.176
MATERIAL,000000000010000214,0001000080,MARC,0000000000100002144000,MABST,U,3.900,6.833
MATERIAL,000000000010000215,0001000081,MARC,0000000000100002151000,MINBE,U,0.600,0.848
MATERIAL,000000000010000215,0001000081,MARC,0000000000100002151000,MABST,U,1.100,1.008
MATERIAL,000000000010000216,0001000082,MARC,0000000000100002163000,MINBE,U,11.800,14.517
MATERIAL,000000000010000216,0001000082,MARC,0000000000100002163000,MABST,U,17.600,16.376
MATERIAL,000000000010000217,0001000083,MARC,0000000000100002174000,MINBE,U,1.800,1.869
MATERIAL,000000000010000217,0001000083,MARC,0000000000100002174000,MABST,U,3.800,6.511
MATERIAL,000000000010000228,0001000084,MARC,0000000000100002281000,MINBE,U,11.300,13.393
MATERIAL,000000000010000228,0001000084,MARC,0000000000100002281000,MABST,U,14.300,19.561
MATERIAL,000000000010000235,0001000085,MARC,0000000000100002352000,MINBE,U,2.600,4.519
MATERIAL,000000000010000235,0001000085,MARC,0000000000100002352000,MABST,U,4.700,4.981
MATERIAL,000000000010000244,0001000086,MARC,0000000000100002443000,MINBE,U,10.200,12.683
MATERIAL,000000000010000244,0001000086,MARC,0000000000100002443000,MABST,U,15.600,27.276
MATERIAL,000000000010000245,0001000087,MARC,0000000000100002451000,MINBE,U,18.900,23.367
MATERIAL,000000000010000245,0001000087,MARC,0000000000100002451000,MABST,U,24.300,23.367
MATERIAL,000000000080000059,0001000088,MARC,0000000000800000592000,MINBE,U,2.600,2.979
MATERIAL,000000000080000059,0001000088,MARC,0000000000800000592000,MABST,U,4.800,4.196
MATERIAL,000000000010000251,0001000089,MARC,0000000000100002513000,MINBE,U,17.900,16.962
MATERIAL,000000000010000251,0001000089,MARC,0000000000100002513000,MABST,U,25.300,22.162
MATERIAL,000000000010000254,0001000090,MARC,0000000000100002542000,MINBE,U,21.700,10.179
MATERIAL,000000000010000254,0001000090,MARC,0000000000100002542000,MABST,U,27.300,41.925
MATERIAL,000000000010000256,0001000091,MARC,0000000000100002562000,MINBE,U,16.000,24.406
MATERIAL,000000000010000256,0001000091,MARC,0000000000100002562000,MABST,U,57.000,42.778
MATERIAL,000000000010000263,0001000092,MARC,0000000000100002634000,MINBE,U,18.900,30.439
MATERIAL,000000000010000263,0001000092,MARC,0000000000100002634000,MABST,U,74.500,64.828
MATERIAL,000000000010000265,0001000093,MARC,0000000000100002653000,MINBE,U,15.200,14.607
MATERIAL,000000000010000265,0001000093,MARC,0000000000100002653000,MABST,U,20.800,21.395
MATERIAL,000000000010000268,0001000094,MARC,0000000000100002684000,MINBE,U,3.600,5.453
MATERIAL,000000000010000268,0001000094,MARC,0000000000100002684000,MABST,U,10.100,16.513
MATERIAL,000000000010000269,0001000095,MARC,0000000000100002691000,MINBE,U,5.000,7.247
MATERIAL,000000000010000269,0001000095,MARC,0000000000100002691000,MABST,U,12.000,12.717
MATERIAL,000000000080000065,0001000096,MARC,0000000000800000654000,MINBE,U,3.300,2.300
MATERIAL,000000000080000065,0001000096,MARC,0000000000800000654000,MABST,U,6.500,5.463
MATERIAL,000000000010000275,0001000097,MARC,0000000000100002753000,MINBE,U,1.000,1.684
MATERIAL,000000000010000275,0001000097,MARC,0000000000100002753000,MABST,U,2.500,3.445
MATERIAL,000000000030000060,0001000098,MARC,0000000000300000601000,MINBE,U,4.800,0.000
MATERIAL,000000000030000060,0001000098,MARC,0000000000300000601000,MABST,U,7.400,0.000
MATERIAL,000000000080000066,0001000099,MARC,0000000000800000664000,MINBE,U,7.500,8.948
MATERIAL,000000000080000066,0001000099,MARC,0000000000800000664000,MABST,U,15.400,11.086
MATERIAL,000000000010000276,0001000100,MARC,0000000000100002762000,MINBE,U,29.600,32.532
MATERIAL,000000000010000276,0001000100,MARC,0000000000100002762000,MABST,U,129.000,132.568
MATERIAL,000000000010000284,0001000101,MARC,0000000000100002842000,MINBE,U,7.500,4.894
MATERIAL,000000000010000284,0001000101,MARC,0000000000100002842000,MABST,U,9.600,15.980
MATERIAL,000000000080000069,0001000102,MARC,0000000000800000692000,MINBE,U,6.400,11.388
MATERIAL,000000000080000069,0001000102,MARC,0000000000800000692000,MABST,U,11.400,19.084
MATERIAL,000000000080000069,0001000103,MARC,0000000000800000694000,MINBE,U,4.000,3.769
MATERIAL,000000000080000069,0001000103,MARC,0000000000800000694000,MABST,U,7.400,8.834
MATERIAL,000000000010000287,0001000104,MARC,0000000000100002872000,MINBE,U,1.800,1.994
MATERIAL,000000000010000287,0001000104,MARC,0000000000100002872000,MABST,U,2.500,4.102
MATERIAL,000000000010000288,0001000105,MARC,0000000000100002883000,MINBE,U,4.800,4.124
MATERIAL,000000000010000288,0001000105,MARC,0000000000100002883000,MABST,U,12.700,15.149
MATERIAL,000000000010000288,0001000106,MARC,0000000000100002881000,MINBE,U,2.500,3.812
MATERIAL,000000000010000288,0001000106,MARC,0000000000100002881000,MABST,U,6.100,8.906
MATERIAL,000000000010000289,0001000107,MARC,0000000000100002894000,MINBE,U,51.000,42.476
MATERIAL,000000000010000289,0001000107,MARC,0000000000100002894000,MABST,U,158.900,255.134
MATERIAL,000000000010000290,0001000108,MARC,0000000000100002902000,MINBE,U,154.700,137.404
MATERIAL,000000000010000290,0001000108,MARC,0000000000100002902000,MABST,U,255.700,333.217
MATERIAL,000000000080000072,0001000109,MARC,0000000000800000721000,MINBE,U,5.200,3.210
MATERIAL,000000000080000072,0001000109,MARC,0000000000800000721000,MABST,U,12.400,14.354
MATERIAL,000000000010000295,0001000110,MARC,0000000000100002951000,MINBE,U,8.900,14.510
MATERIAL,000000000010000295,0001000110,MARC,0000000000100002951000,MABST,U,12.800,14.510
MATERIAL,000000000010000296,0001000111,MARC,0000000000100002964000,MINBE,U,13.200,23.452
MATERIAL,000000000010000296,0001000111,MARC,0000000000100002964000,MABST,U,17.600,26.465
MATERIAL,000000000010000296,0001000112,MARC,0000000000100002963000,MINBE,U,12.200,6.852
MATERIAL,000000000010000296,0001000112,MARC,0000000000100002963000,MABST,U,16.300,14.784
MATERIAL,000000000010000297,0001000113,MARC,0000000000100002971000,MINBE,U,7.000,12.336
MATERIAL,000000000010000297,0001000113,MARC,0000000000100002971000,MABST,U,9.000,13.424
MATERIAL,000000000010000298,0001000114,MARC,0000000000100002982000,MINBE,U,12.600,5.850
MATERIAL,000000000010000298,0001000114,MARC,0000000000100002982000,MABST,U,16.100,23.504
MATERIAL,000000000010000302,0001000115,MARC,0000000000100003023000,MINBE,U,15.000,8.836
MATERIAL,000000000010000302,0001000115,MARC,0000000000100003023000,MABST,U,19.100,31.081
MATERIAL,000000000080000074,0001000116,MARC,0000000000800000742000,MINBE,U,6.500,8.332
MATERIAL,000000000080000074,0001000116,MARC,0000000000800000742000,MABST,U,13.800,9.741
MATERIAL,000000000010000306,0001000117,MARC,0000000000100003062000,MINBE,U,12.800,10.671
MATERIAL,000000000010000306,0001000117,MARC,0000000000100003062000,MABST,U,17.600,18.152
MATERIAL,000000000010000309,0001000118,MARC,0000000000100003094000,MINBE,U,2.700,1.394
MATERIAL,000000000010000309,0001000118,MARC,0000000000100003094000,MABST,U,3.500,4.641
MATERIAL,000000000010000311,0001000119,MARC,0000000000100003111000,MINBE,U,6.400,8.898
MATERIAL,000000000010000311,0001000119,MARC,0000000000100003111000,MABST,U,41.500,66.536
MATERIAL,000000000010000313,0001000120,MARC,0000000000100003134000,MINBE,U,1.800,1.005
MATERIAL,000000000010000313,0001000120,MARC,0000000000100003134000,MABST,U,3.000,4.707
MATERIAL,000000000010000315,0001000121,MARC,0000000000100003153000,MINBE,U,4.500,5.019
MATERIAL,000000000010000315,0001000121,MARC,0000000000100003153000,MABST,U,5.600,5.107
MATERIAL,000000000010000316,0001000122,MARC,0000000000100003161000,MINBE,U,4.600,6.234
MATERIAL,000000000010000316,0001000122,MARC,0000000000100003161000,MABST,U,10.000,9.503
MATERIAL,000000000010000316,0001000123,MARC,0000000000100003162000,MINBE,U,3.300,1.362
MATERIAL,000000000010000316,0001000123,MARC,0000000000100003162000,MABST,U,6.400,5.787
MATERIAL,000000000010000318,0001000124,MARC,0000000000100003181000,MINBE,U,20.000,13.913
MATERIAL,000000000010000318,0001000124,MARC,0000000000100003181000,MABST,U,133.800,159.683
MATERIAL,000000000010000319,0001000125,MARC,0000000000100003192000,MINBE,U,0.900,1.402
MATERIAL,000000000010000319,0001000125,MARC,0000000000100003192000,MABST,U,1.400,1.796
MATERIAL,000000000010000320,0001000126,MARC,0000000000100003204000,MINBE,U,1.300,0.877
MATERIAL,000000000010000320,0001000126,MARC,0000000000100003204000,MABST,U,1.900,3.245
MATERIAL,000000000010000322,0001000127,MARC,0000000000100003223000,MINBE,U,8.500,11.714
MATERIAL,000000000010000322,0001000127,MARC,0000000000100003223000,MABST,U,11.600,11.714
MATERIAL,000000000010000325,0001000128,MARC,0000000000100003251000,MINBE,U,81.900,52.143
MATERIAL,000000000010000325,0001000128,MARC,0000000000100003251000,MABST,U,158.500,186.223
MATERIAL,000000000010000334,0001000129,MARC,0000000000100003344000,MINBE,U,20.300,35.781
MATERIAL,000000000010000334,0001000129,MARC,0000000000100003344000,MABST,U,84.400,128.600
MATERIAL,000000000010000336,0001000130,MARC,0000000000100003364000,MINBE,U,5.600,7.834
MATERIAL,000000000010000336,0001000130,MARC,0000000000100003364000,MABST,U,9.700,12.680
MATERIAL,000000000010000343,0001000131,MARC,0000000000100003433000,MINBE,U,0.800,1.013
MATERIAL,000000000010000343,0001000131,MARC,0000000000100003433000,MABST,U,1.300,1.987
MATERIAL,000000000010000344,0001000132,MARC,0000000000100003444000,MINBE,U,0.400,0.676
MATERIAL,000000000010000344,0001000132,MARC,0000000000100003444000,MABST,U,1.100,0.869
MATERIAL,000000000010000352,0001000133,MARC,0000000000100003523000,MINBE,U,2.800,3.884
MATERIAL,000000000010000352,0001000133,MARC,0000000000100003523000,MABST,U,4.500,7.114
MATERIAL,000000000010000354,0001000134,MARC,0000000000100003544000,MINBE,U,2.600,4.540
MATERIAL,000000000010000354,0001000134,MARC,0000000000100003544000,MABST,U,6.700,4.873
MATERIAL,000000000010000355,0001000135,MARC,0000000000100003553000,MINBE,U,7.900,13.831
MATERIAL,000000000010000355,0001000135,MARC,0000000000100003553000,MABST,U,14.800,26.246
MATERIAL,000000000080000084,0001000136,MARC,0000000000800000843000,MINBE,U,6.300,3.017
MATERIAL,000000000080000084,0001000136,MARC,0000000000800000843000,MABST,U,13.300,17.834
MATERIAL,000000000010000359,0001000137,MARC,0000000000100003594000,MINBE,U,3.800,6.577
MATERIAL,000000000010000359,0001000137,MARC,0000000000100003594000,MABST,U,7.400,9.839
MATERIAL,000000000010000362,0001000138,MARC,0000000000100003624000,MINBE,U,49.700,76.341
MATERIAL,000000000010000362,0001000138,MARC,0000000000100003624000,MABST,U,145.300,164.834
MATERIAL,000000000010000364,0001000139,MARC,0000000000100003641000,MINBE,U,3.200,4.369
MATERIAL,000000000010000364,0001000139,MARC,0000000000100003641000,MABST,U,5.300,8.876
MATERIAL,000000000080000085,0001000140,MARC,0000000000800000854000,MINBE,U,5.200,4.402
MATERIAL,000000000080000085,0001000140,MARC,0000000000800000854000,MABST,U,8.400,7.907
MATERIAL,000000000010000370,0001000141,MARC,0000000000100003703000,MINBE,U,4.900,7.886
MATERIAL,000000000010000370,0001000141,MARC,0000000000100003703000,MABST,U,6.500,9.524
MATERIAL,000000000010000371,0001000142,MARC,0000000000100003711000,MINBE,U,13.400,19.670
MATERIAL,000000000010000371,0001000142,MARC,0000000000100003711000,MABST,U,16.400,19.670
MATERIAL,000000000080000088,0001000143,MARC,0000000000800000881000,MINBE,U,2.200,1.474
MATERIAL,000000000080000088,0001000143,MARC,0000000000800000881000,MABST,U,5.200,7.579
MATERIAL,000000000010000374,0001000144,MARC,0000000000100003744000,MINBE,U,7.000,8.794
MATERIAL,000000000010000374,0001000144,MARC,0000000000100003744000,MABST,U,11.400,9.883
MATERIAL,000000000010000376,0001000145,MARC,0000000000100003763000,MINBE,U,3.600,4.641
MATERIAL,000000000010000376,0001000145,MARC,0000000000100003763000,MABST,U,6.300,6.354
MATERIAL,000000000010000378,0001000146,MARC,0000000000100003782000,MINBE,U,69.600,100.390
MATERIAL,000000000010000378,0001000146,MARC,0000000000100003782000,MABST,U,116.700,123.542
MATERIAL,000000000010000380,0001000147,MARC,0000000000100003801000,MINBE,U,18.800,25.534
MATERIAL,000000000010000380,0001000147,MARC,0000000000100003801000,MABST,U,24.400,37.859
MATERIAL,000000000010000381,0001000148,MARC,0000000000100003814000,MINBE,U,4.600,7.896
MATERIAL,000000000010000381,0001000148,MARC,0000000000100003814000,MABST,U,5.800,7.896
MATERIAL,000000000010000382,0001000149,MARC,0000000000100003822000,MINBE,U,1.700,1.167
