Banfn,Bnfpo,Bsart,Loekz,Statu,Frgkz,Frgzu,Ekgrp,Ernam,Afnam,Txz01,Matnr,Werks,Lgort,Bednr,Matkl,Reswk,Menge,Meins,Badat,Lfdat,Preis,Peinh,Flief,Ebeln,Ebelp,Bsmng,Ebakz,Rsnum
2000000013,00010,NB,,B,2,X,Z03,VZIREQ01,VZIREQ01,SPARE FOR ML-202,000000000010000001,2000,SP02,,MECH-SEAL,,142.000,EA,2025-07-14T00:00:00,2025-09-13T00:00:00,484189.29,1.000,,4500000013,00010,142.000,true,
2000000014,00010,NB,,B,2,X,Z01,VZIREQ02,VZIREQ04,SPARE FOR SC-701,000000000010000001,2000,SP02,,MECH-SEAL,,118.000,EA,2025-11-01T00:00:00,2026-01-01T00:00:00,484189.29,1.000,,4500000014,00010,118.000,true,
2000000015,00010,NB,,B,2,X,Z03,VZIREQ04,VZIREQ01,SPARE FOR ML-201,000000000010000001,2000,SP02,,MECH-SEAL,,150.000,EA,2025-12-13T00:00:00,2026-02-12T00:00:00,484189.29,1.000,,4500000015,00010,150.000,true,
2000000016,00010,NB,,B,2,X,Z02,VZIREQ02,VZIREQ03,SPARE FOR CV-501,000000000010000001,2000,SP02,,MECH-SEAL,,119.000,EA,2026-04-29T00:00:00,2026-06-29T00:00:00,484189.29,1.000,,4500000016,00010,119.000,true,
2000000017,00010,NB,,B,2,X,Z01,VZIREQ03,VZIREQ01,SPARE FOR SC-701,000000000010000001,2000,SP02,,MECH-SEAL,,116.000,EA,2026-09-04T00:00:00,2026-11-04T00:00:00,484189.29,1.000,,4500000017,00010,116.000,true,
2000000018,00010,NB,,B,2,X,Z02,VZIREQ02,VZIREQ05,SPARE FOR CV-501,000000000080000000,1000,SP01,,MECH-BRG,,13.000,EA,2024-09-01T00:00:00,2024-10-29T00:00:00,308060.07,1.000,,4500000018,00010,13.000,true,
2000000019,00010,NB,,B,2,X,Z01,VZIREQ02,VZIREQ05,SPARE FOR ML-201,000000000080000000,1000,SP01,,MECH-BRG,,8.000,EA,2024-12-28T00:00:00,2025-02-24T00:00:00,308060.07,1.000,,4500000019,00010,8.000,true,
2000000020,00010,NB,,B,2,X,Z03,VZIREQ02,VZIREQ05,SPARE FOR ML-202,000000000080000000,1000,SP01,,MECH-BRG,,9.000,EA,2025-04-26T00:00:00,2025-06-23T00:00:00,308060.07,1.000,,4500000020,00010,9.000,true,
2000000021,00010,NB,,B,2,X,Z01,VZIREQ04,VZIREQ04,SPARE FOR SC-701,000000000080000000,1000,SP01,,MECH-BRG,,16.000,EA,2025-05-11T00:00:00,2025-07-08T00:00:00,308060.07,1.000,,4500000021,00010,16.000,true,
2000000022,00010,NB,,B,2,X,Z02,VZIREQ01,VZIREQ02,SPARE FOR CR-102,000000000080000000,1000,SP01,,MECH-BRG,,7.000,EA,2025-08-12T00:00:00,2025-10-09T00:00:00,308060.07,1.000,,4500000022,00010,7.000,true,
2000000023,00010,NB,,B,2,X,Z02,VZIREQ05,VZIREQ02,SPARE FOR PU-610,000000000080000000,1000,SP01,,MECH-BRG,,14.000,EA,2025-09-10T00:00:00,2025-11-07T00:00:00,308060.07,1.000,,4500000023,00010,14.000,true,
2000000024,00010,NB,,B,2,X,Z02,VZIREQ03,VZIREQ05,SPARE FOR CV-502,000000000080000000,1000,SP01,,MECH-BRG,,7.000,EA,2026-03-06T00:00:00,2026-05-03T00:00:00,308060.07,1.000,,4500000024,00010,7.000,true,
2000000025,00010,NB,,B,2,X,Z02,VZIREQ01,VZIREQ03,SPARE FOR FA-810,000000000080000000,1000,SP01,,MECH-BRG,,13.000,EA,2026-05-25T00:00:00,2026-07-22T00:00:00,308060.07,1.000,,4500000025,00010,13.000,true,
2000000026,00010,NB,,B,2,X,Z02,VZIREQ02,VZIREQ01,SPARE FOR ML-201,000000000080000001,4000,SP04,,MECH-SEAL,,6.000,EA,2025-04-18T00:00:00,2025-04-28T00:00:00,259684.49,1.000,,4500000026,00010,6.000,true,
2000000027,00010,NB,,B,2,X,Z01,VZIREQ01,VZIREQ01,SPARE FOR PU-611,000000000080000001,4000,SP04,,MECH-SEAL,,5.000,EA,2025-10-19T00:00:00,2025-10-29T00:00:00,259684.49,1.000,,4500000027,00010,5.000,true,
2000000028,00010,NB,,B,2,X,Z01,VZIREQ05,VZIREQ02,SPARE FOR FL-310,000000000080000001,4000,SP04,,MECH-SEAL,,6.000,EA,2025-12-23T00:00:00,2026-01-02T00:00:00,259684.49,1.000,,4500000028,00010,6.000,true,
2000000029,00010,NB,,B,2,X,Z03,VZIREQ04,VZIREQ02,SPARE FOR FA-810,000000000080000001,4000,SP04,,MECH-SEAL,,6.000,EA,2026-06-10T00:00:00,2026-06-20T00:00:00,259684.49,1.000,,4500000029,00010,6.000,true,
2000000030,00010,NB,,B,2,X,Z03,VZIREQ03,VZIREQ03,SPARE FOR TH-401,000000000010000002,2000,SP02,,INST-XMTR,,3.000,EA,2024-11-11T00:00:00,2024-11-24T00:00:00,104795.22,1.000,,4500000030,00010,3.000,true,
2000000031,00010,NB,,B,2,X,Z03,VZIREQ03,VZIREQ03,SPARE FOR TH-401,000000000010000002,2000,SP02,,INST-XMTR,,3.000,EA,2024-12-19T00:00:00,2025-01-01T00:00:00,104795.22,1.000,,4500000031,00010,3.000,true,
2000000032,00010,NB,,B,2,X,Z01,VZIREQ04,VZIREQ01,SPARE FOR CR-101,000000000010000002,2000,SP02,,INST-XMTR,,2.000,EA,2025-02-20T00:00:00,2025-03-05T00:00:00,104795.22,1.000,,4500000032,00010,2.000,true,
2000000033,00010,NB,,B,2,X,Z03,VZIREQ04,VZIREQ04,SPARE FOR ML-201,000000000010000002,2000,SP02,,INST-XMTR,,3.000,EA,2025-05-16T00:00:00,2025-05-29T00:00:00,104795.22,1.000,,4500000033,00010,3.000,true,
2000000034,00010,NB,,B,2,X,Z02,VZIREQ04,VZIREQ02,SPARE FOR CR-101,000000000010000002,2000,SP02,,INST-XMTR,,2.000,EA,2025-06-22T00:00:00,2025-07-05T00:00:00,104795.22,1.000,,4500000034,00010,2.000,true,
2000000035,00010,NB,,B,2,X,Z03,VZIREQ05,VZIREQ03,SPARE FOR FA-810,000000000010000002,2000,SP02,,INST-XMTR,,2.000,EA,2025-08-13T00:00:00,2025-08-26T00:00:00,104795.22,1.000,,4500000035,00010,2.000,true,
2000000036,00010,NB,,B,2,X,Z02,VZIREQ05,VZIREQ02,SPARE FOR CR-101,000000000010000002,2000,SP02,,INST-XMTR,,2.000,EA,2026-03-08T00:00:00,2026-03-21T00:00:00,104795.22,1.000,,4500000036,00010,2.000,true,
2000000037,00010,NB,,B,2,X,Z03,VZIREQ04,VZIREQ02,SPARE FOR CR-102,000000000010000002,2000,SP02,,INST-XMTR,,2.000,EA,2026-08-26T00:00:00,2026-09-08T00:00:00,104795.22,1.000,,4500000037,00010,2.000,true,
2000000038,00010,NB,,B,2,X,Z02,VZIREQ01,VZIREQ02,SPARE FOR PU-610,000000000010000004,4000,SP04,,MECH-GBOX,,67.000,EA,2024-09-08T00:00:00,2024-10-27T00:00:00,14664.42,1.000,,4500000038,00010,67.000,true,
2000000039,00010,NB,,B,2,X,Z03,VZIREQ03,VZIREQ01,SPARE FOR CR-102,000000000010000004,4000,SP04,,MECH-GBOX,,62.000,EA,2025-02-19T00:00:00,2025-04-09T00:00:00,14664.42,1.000,,4500000039,00010,62.000,true,
2000000040,00010,NB,,B,2,X,Z02,VZIREQ05,VZIREQ01,SPARE FOR CR-101,000000000010000004,4000,SP04,,MECH-GBOX,,64.000,EA,2025-06-30T00:00:00,2025-08-18T00:00:00,14664.42,1.000,,4500000040,00010,64.000,true,
2000000041,00010,NB,,B,2,X,Z02,VZIREQ04,VZIREQ04,SPARE FOR TH-401,000000000010000004,4000,SP04,,MECH-GBOX,,54.000,EA,2025-09-08T00:00:00,2025-10-27T00:00:00,14664.42,1.000,,4500000041,00010,54.000,true,
2000000042,00010,NB,,B,2,X,Z01,VZIREQ02,VZIREQ05,SPARE FOR ML-201,000000000010000004,4000,SP04,,MECH-GBOX,,56.000,EA,2025-12-08T00:00:00,2026-01-26T00:00:00,14664.42,1.000,,4500000042,00010,56.000,true,
2000000043,00010,NB,,B,2,X,Z02,VZIREQ01,VZIREQ01,SPARE FOR FL-310,000000000010000004,4000,SP04,,MECH-GBOX,,63.000,EA,2026-04-20T00:00:00,2026-06-08T00:00:00,14664.42,1.000,,4500000043,00010,63.000,true,
2000000044,00010,NB,,B,2,X,Z01,VZIREQ04,VZIREQ02,SPARE FOR ML-201,000000000010000004,4000,SP04,,MECH-GBOX,,85.000,EA,2026-05-15T00:00:00,2026-07-03T00:00:00,14664.42,1.000,,4500000044,00010,85.000,true,
2000000045,00010,NB,,B,2,X,Z03,VZIREQ04,VZIREQ04,SPARE FOR CR-101,000000000010000004,4000,SP04,,MECH-GBOX,,73.000,EA,2026-06-17T00:00:00,2026-08-05T00:00:00,14664.42,1.000,,4500000045,00010,73.000,true,
2000000046,00010,NB,,B,2,X,Z02,VZIREQ02,VZIREQ04,SPARE FOR PU-611,000000000010000005,3000,SP03,,MECH-BRG,,12.000,EA,2024-09-25T00:00:00,2024-11-23T00:00:00,13163.80,1.000,,4500000046,00010,12.000,true,
2000000047,00010,NB,,B,2,X,Z02,VZIREQ02,VZIREQ02,SPARE FOR ML-202,000000000010000005,3000,SP03,,MECH-BRG,,5.000,EA,2024-12-23T00:00:00,2025-02-20T00:00:00,13163.80,1.000,,4500000047,00010,5.000,true,
2000000048,00010,NB,,B,2,X,Z03,VZIREQ04,VZIREQ02,SPARE FOR CV-502,000000000010000005,3000,SP03,,MECH-BRG,,9.000,EA,2025-05-05T00:00:00,2025-07-03T00:00:00,13163.80,1.000,,4500000048,00010,9.000,true,
2000000049,00010,NB,,B,2,X,Z03,VZIREQ01,VZIREQ02,SPARE FOR PU-611,000000000010000005,3000,SP03,,MECH-BRG,,6.000,EA,2025-11-16T00:00:00,2026-01-14T00:00:00,13163.80,1.000,,4500000049,00010,6.000,true,
2000000050,00010,NB,,B,2,X,Z03,VZIREQ05,VZIREQ02,SPARE FOR PU-611,000000000010000005,3000,SP03,,MECH-BRG,,5.000,EA,2026-03-07T00:00:00,2026-05-05T00:00:00,13163.80,1.000,,4500000050,00010,5.000,true,
2000000051,00010,NB,,B,2,X,Z03,VZIREQ04,VZIREQ04,SPARE FOR FA-810,000000000010000005,1000,SP01,,MECH-BRG,,4.000,EA,2024-09-11T00:00:00,2024-11-09T00:00:00,13163.80,1.000,,4500000051,00010,4.000,true,
2000000052,00010,NB,,B,2,X,Z03,VZIREQ03,VZIREQ04,SPARE FOR ML-202,000000000010000005,1000,SP01,,MECH-BRG,,4.000,EA,2024-10-07T00:00:00,2024-12-05T00:00:00,13163.80,1.000,,4500000052,00010,4.000,true,
2000000053,00010,NB,,B,2,X,Z01,VZIREQ05,VZIREQ02,SPARE FOR TH-401,000000000010000005,1000,SP01,,MECH-BRG,,6.000,EA,2024-11-12T00:00:00,2025-01-10T00:00:00,13163.80,1.000,,4500000053,00010,6.000,true,
2000000054,00010,NB,,B,2,X,Z01,VZIREQ05,VZIREQ03,SPARE FOR ML-201,000000000010000005,1000,SP01,,MECH-BRG,,9.000,EA,2024-12-18T00:00:00,2025-02-15T00:00:00,13163.80,1.000,,4500000054,00010,9.000,true,
2000000055,00010,NB,,B,2,X,Z02,VZIREQ05,VZIREQ01,SPARE FOR PU-610,000000000010000005,1000,SP01,,MECH-BRG,,4.000,EA,2025-08-22T00:00:00,2025-10-20T00:00:00,13163.80,1.000,,4500000055,00010,4.000,true,
2000000056,00010,NB,,B,2,X,Z01,VZIREQ01,VZIREQ05,SPARE FOR FL-310,000000000010000005,1000,SP01,,MECH-BRG,,9.000,EA,2025-11-18T00:00:00,2026-01-16T00:00:00,13163.80,1.000,,4500000056,00010,9.000,true,
2000000057,00010,NB,,B,2,X,Z02,VZIREQ03,VZIREQ02,SPARE FOR PU-611,000000000010000007,2000,SP02,,ELEC-CTRL,,3.000,EA,2024-11-03T00:00:00,2024-11-23T00:00:00,49169.54,1.000,,4500000057,00010,3.000,true,
2000000058,00010,NB,,B,2,X,Z01,VZIREQ01,VZIREQ02,SPARE FOR CR-101,000000000010000007,2000,SP02,,ELEC-CTRL,,3.000,EA,2025-02-10T00:00:00,2025-03-02T00:00:00,49169.54,1.000,,4500000058,00010,3.000,true,
2000000059,00010,NB,,B,2,X,Z03,VZIREQ04,VZIREQ03,SPARE FOR TH-401,000000000010000007,2000,SP02,,ELEC-CTRL,,3.000,EA,2025-03-21T00:00:00,2025-04-10T00:00:00,49169.54,1.000,,4500000059,00010,3.000,true,
2000000060,00010,NB,,B,2,X,Z03,VZIREQ04,VZIREQ05,SPARE FOR TH-401,000000000010000007,2000,SP02,,ELEC-CTRL,,3.000,EA,2025-04-25T00:00:00,2025-05-15T00:00:00,49169.54,1.000,,4500000060,00010,3.000,true,
2000000061,00010,NB,,B,2,X,Z03,VZIREQ02,VZIREQ05,SPARE FOR ML-202,000000000010000007,2000,SP02,,ELEC-CTRL,,3.000,EA,2025-06-20T00:00:00,2025-07-10T00:00:00,49169.54,1.000,,4500000061,00010,3.000,true,
2000000062,00010,NB,,B,2,X,Z01,VZIREQ03,VZIREQ01,SPARE FOR TH-401,000000000010000007,2000,SP02,,ELEC-CTRL,,2.000,EA,2025-08-15T00:00:00,2025-09-04T00:00:00,49169.54,1.000,,4500000062,00010,2.000,true,
2000000063,00010,NB,,B,2,X,Z01,VZIREQ04,VZIREQ03,SPARE FOR CV-502,000000000010000007,2000,SP02,,ELEC-CTRL,,3.000,EA,2026-01-16T00:00:00,2026-02-05T00:00:00,49169.54,1.000,,4500000063,00010,3.000,true,
2000000064,00010,NB,,B,2,X,Z01,VZIREQ03,VZIREQ04,SPARE FOR ML-202,000000000010000007,3000,SP03,,ELEC-CTRL,,6.000,EA,2024-09-12T00:00:00,2024-10-02T00:00:00,49169.54,1.000,,4500000064,00010,6.000,true,
2000000065,00010,NB,,B,2,X,Z01,VZIREQ04,VZIREQ04,SPARE FOR PU-611,000000000010000007,3000,SP03,,ELEC-CTRL,,8.000,EA,2025-01-15T00:00:00,2025-02-04T00:00:00,49169.54,1.000,,4500000065,00010,8.000,true,
2000000066,00010,NB,,B,2,X,Z03,VZIREQ01,VZIREQ02,SPARE FOR SC-701,000000000010000007,3000,SP03,,ELEC-CTRL,,7.000,EA,2025-08-20T00:00:00,2025-09-09T00:00:00,49169.54,1.000,,4500000066,00010,7.000,true,
2000000067,00010,NB,,B,2,X,Z01,VZIREQ05,VZIREQ04,SPARE FOR TH-401,000000000010000007,3000,SP03,,ELEC-CTRL,,7.000,EA,2026-09-02T00:00:00,2026-09-22T00:00:00,49169.54,1.000,,4500000067,00010,7.000,true,
2000000068,00010,NB,,B,2,X,Z02,VZIREQ04,VZIREQ01,SPARE FOR CR-102,000000000080000002,1000,SP01,,MECH-BRG,,11.000,EA,2024-10-30T00:00:00,2024-11-20T00:00:00,341109.54,1.000,,4500000068,00010,11.000,true,
2000000069,00010,NB,,B,2,X,Z02,VZIREQ02,VZIREQ04,SPARE FOR FA-810,000000000080000002,1000,SP01,,MECH-BRG,,11.000,EA,2025-10-19T00:00:00,2025-11-09T00:00:00,341109.54,1.000,,4500000069,00010,11.000,true,
2000000070,00010,NB,,B,2,X,Z03,VZIREQ01,VZIREQ02,SPARE FOR ML-202,000000000080000002,1000,SP01,,MECH-BRG,,11.000,EA,2025-11-26T00:00:00,2025-12-17T00:00:00,341109.54,1.000,,4500000070,00010,11.000,true,
2000000071,00010,NB,,B,2,X,Z01,VZIREQ05,VZIREQ01,SPARE FOR ML-201,000000000080000002,1000,SP01,,MECH-BRG,,11.000,EA,2025-12-03T00:00:00,2025-12-24T00:00:00,341109.54,1.000,,4500000071,00010,11.000,true,
2000000072,00010,NB,,B,2,X,Z03,VZIREQ02,VZIREQ04,SPARE FOR CV-501,000000000080000002,1000,SP01,,MECH-BRG,,10.000,EA,2026-06-21T00:00:00,2026-07-12T00:00:00,341109.54,1.000,,4500000072,00010,10.000,true,
2000000073,00010,NB,,B,2,X,Z01,VZIREQ02,VZIREQ02,SPARE FOR CV-501,000000000080000002,1000,SP01,,MECH-BRG,,11.000,EA,2026-07-24T00:00:00,2026-08-14T00:00:00,341109.54,1.000,,4500000073,00010,11.000,true,
2000000074,00010,NB,,B,2,X,Z01,VZIREQ05,VZIREQ02,SPARE FOR ML-202,000000000080000002,2000,SP02,,MECH-BRG,,18.000,EA,2024-11-27T00:00:00,2024-12-18T00:00:00,341109.54,1.000,,4500000074,00010,18.000,true,
2000000075,00010,NB,,B,2,X,Z01,VZIREQ04,VZIREQ02,SPARE FOR FA-810,000000000080000002,2000,SP02,,MECH-BRG,,19.000,EA,2025-07-09T00:00:00,2025-07-30T00:00:00,341109.54,1.000,,4500000075,00010,19.000,true,
2000000076,00010,NB,,B,2,X,Z02,VZIREQ05,VZIREQ01,SPARE FOR CV-501,000000000080000002,2000,SP02,,MECH-BRG,,17.000,EA,2025-10-21T00:00:00,2025-11-11T00:00:00,341109.54,1.000,,4500000076,00010,17.000,true,
2000000077,00010,NB,,B,2,X,Z03,VZIREQ05,VZIREQ02,SPARE FOR ML-202,000000000080000002,2000,SP02,,MECH-BRG,,17.000,EA,2025-11-07T00:00:00,2025-11-28T00:00:00,341109.54,1.000,,4500000077,00010,17.000,true,
2000000078,00010,NB,,B,2,X,Z01,VZIREQ05,VZIREQ04,SPARE FOR CV-501,000000000080000002,2000,SP02,,MECH-BRG,,17.000,EA,2026-09-01T00:00:00,2026-09-22T00:00:00,341109.54,1.000,,4500000078,00010,17.000,true,
2000000079,00010,NB,,B,2,X,Z01,VZIREQ03,VZIREQ04,SPARE FOR PU-610,000000000010000008,3000,SP03,,MILL-LINR,,83.000,EA,2024-11-17T00:00:00,2024-12-31T00:00:00,9711.33,1.000,,4500000079,00010,83.000,true,
2000000080,00010,NB,,B,2,X,Z02,VZIREQ03,VZIREQ05,SPARE FOR CV-501,000000000010000008,3000,SP03,,MILL-LINR,,75.000,EA,2025-05-25T00:00:00,2025-07-08T00:00:00,9711.33,1.000,,4500000080,00010,75.000,true,
2000000081,00010,NB,,B,2,X,Z03,VZIREQ01,VZIREQ02,SPARE FOR TH-401,000000000010000008,3000,SP03,,MILL-LINR,,82.000,EA,2025-11-23T00:00:00,2026-01-06T00:00:00,9711.33,1.000,,4500000081,00010,82.000,true,
2000000082,00010,NB,,B,2,X,Z03,VZIREQ03,VZIREQ05,SPARE FOR SC-701,000000000010000008,3000,SP03,,MILL-LINR,,84.000,EA,2026-05-10T00:00:00,2026-06-23T00:00:00,9711.33,1.000,,4500000082,00010,84.000,true,
2000000083,00010,NB,,B,2,X,Z01,VZIREQ02,VZIREQ04,SPARE FOR PU-611,000000000010000008,3000,SP03,,MILL-LINR,,84.000,EA,2026-06-24T00:00:00,2026-08-07T00:00:00,9711.33,1.000,,4500000083,00010,84.000,true,
2000000084,00010,NB,,B,2,X,Z01,VZIREQ02,VZIREQ04,SPARE FOR SC-701,000000000010000008,4000,SP04,,MILL-LINR,,70.000,EA,2024-09-18T00:00:00,2024-11-01T00:00:00,9711.33,1.000,,4500000084,00010,70.000,true,
2000000085,00010,NB,,B,2,X,Z02,VZIREQ05,VZIREQ03,SPARE FOR TH-401,000000000010000008,4000,SP04,,MILL-LINR,,47.000,EA,2024-11-28T00:00:00,2025-01-11T00:00:00,9711.33,1.000,,4500000085,00010,47.000,true,
2000000086,00010,NB,,B,2,X,Z01,VZIREQ01,VZIREQ01,SPARE FOR CR-101,000000000010000008,4000,SP04,,MILL-LINR,,62.000,EA,2025-01-25T00:00:00,2025-03-10T00:00:00,9711.33,1.000,,4500000086,00010,62.000,true,
2000000087,00010,NB,,B,2,X,Z02,VZIREQ04,VZIREQ05,SPARE FOR ML-201,000000000010000008,4000,SP04,,MILL-LINR,,112.000,EA,2025-03-02T00:00:00,2025-04-15T00:00:00,9711.33,1.000,,4500000087,00010,112.000,true,
2000000088,00010,NB,,B,2,X,Z02,VZIREQ01,VZIREQ02,SPARE FOR FA-810,000000000010000008,4000,SP04,,MILL-LINR,,41.000,EA,2025-07-31T00:00:00,2025-09-13T00:00:00,9711.33,1.000,,4500000088,00010,41.000,true,
2000000089,00010,NB,,B,2,X,Z02,VZIREQ03,VZIREQ01,SPARE FOR CR-102,000000000010000008,4000,SP04,,MILL-LINR,,53.000,EA,2025-09-11T00:00:00,2025-10-25T00:00:00,9711.33,1.000,,4500000089,00010,53.000,true,
2000000090,00010,NB,,B,2,X,Z03,VZIREQ04,VZIREQ01,SPARE FOR TH-401,000000000010000008,4000,SP04,,MILL-LINR,,82.000,EA,2025-10-03T00:00:00,2025-11-16T00:00:00,9711.33,1.000,,4500000090,00010,82.000,true,
2000000091,00010,NB,,B,2,X,Z01,VZIREQ04,VZIREQ01,SPARE FOR TH-401,000000000010000008,4000,SP04,,MILL-LINR,,105.000,EA,2025-11-15T00:00:00,2025-12-29T00:00:00,9711.33,1.000,,4500000091,00010,105.000,true,
2000000092,00010,NB,,B,2,X,Z02,VZIREQ04,VZIREQ01,SPARE FOR CV-501,000000000010000008,4000,SP04,,MILL-LINR,,63.000,EA,2026-03-07T00:00:00,2026-04-20T00:00:00,9711.33,1.000,,4500000092,00010,63.000,true,
2000000093,00010,NB,,B,2,X,Z02,VZIREQ04,VZIREQ02,SPARE FOR CR-102,000000000010000008,4000,SP04,,MILL-LINR,,62.000,EA,2026-05-09T00:00:00,2026-06-22T00:00:00,9711.33,1.000,,4500000093,00010,62.000,true,
2000000094,00010,NB,,B,2,X,Z03,VZIREQ05,VZIREQ04,SPARE FOR PU-611,000000000010000008,4000,SP04,,MILL-LINR,,55.000,EA,2026-07-09T00:00:00,2026-08-22T00:00:00,9711.33,1.000,,4500000094,00010,55.000,true,
2000000095,00010,NB,,B,2,X,Z01,VZIREQ02,VZIREQ04,SPARE FOR CV-502,000000000010000009,3000,SP03,,ELEC-CTRL,,99.000,EA,2024-09-22T00:00:00,2024-10-10T00:00:00,6854.58,1.000,,4500000095,00010,99.000,true,
2000000096,00010,NB,,B,2,X,Z03,VZIREQ04,VZIREQ02,SPARE FOR CR-102,000000000010000009,3000,SP03,,ELEC-CTRL,,92.000,EA,2024-11-24T00:00:00,2024-12-12T00:00:00,6854.58,1.000,,4500000096,00010,92.000,true,
2000000097,00010,NB,,B,2,X,Z02,VZIREQ03,VZIREQ02,SPARE FOR SC-701,000000000010000009,3000,SP03,,ELEC-CTRL,,111.000,EA,2024-12-28T00:00:00,2025-01-15T00:00:00,6854.58,1.000,,4500000097,00010,111.000,true,
2000000098,00010,NB,,B,2,X,Z03,VZIREQ01,VZIREQ02,SPARE FOR TH-401,000000000010000009,3000,SP03,,ELEC-CTRL,,105.000,EA,2025-06-03T00:00:00,2025-06-21T00:00:00,6854.58,1.000,,4500000098,00010,105.000,true,
2000000099,00010,NB,,B,2,X,Z01,VZIREQ01,VZIREQ01,SPARE FOR PU-611,000000000010000009,3000,SP03,,ELEC-CTRL,,109.000,EA,2025-11-11T00:00:00,2025-11-29T00:00:00,6854.58,1.000,,4500000099,00010,109.000,true,
2000000100,00010,NB,,B,2,X,Z03,VZIREQ05,VZIREQ01,SPARE FOR FL-310,000000000010000009,3000,SP03,,ELEC-CTRL,,91.000,EA,2026-03-25T00:00:00,2026-04-12T00:00:00,6854.58,1.000,,4500000100,00010,91.000,true,
2000000101,00010,NB,,B,2,X,Z03,VZIREQ04,VZIREQ05,SPARE FOR PU-610,000000000010000009,3000,SP03,,ELEC-CTRL,,99.000,EA,2026-07-07T00:00:00,2026-07-25T00:00:00,6854.58,1.000,,4500000101,00010,99.000,true,
2000000102,00010,NB,,B,2,X,Z01,VZIREQ02,VZIREQ03,SPARE FOR CR-101,000000000010000011,1000,SP01,,ELEC-MOTR,,15.000,EA,2024-09-26T00:00:00,2025-05-21T00:00:00,304868.49,1.000,,4500000102,00010,15.000,true,
