Objectclas,Objectid,Changenr,Username,Udate,Utime,Tcode
MATERIAL,000000000010000465,0001000180,VZIINV02,2026-07-03T00:00:00,08:24:00,MM02
MATERIAL,000000000010000466,0001000181,VZIINV01,2026-05-19T00:00:00,13:58:00,MM02
MATERIAL,000000000080000107,0001000182,VZIINV01,2026-07-06T00:00:00,12:16:00,MM02
MATERIAL,000000000010000470,0001000183,VZIINV01,2026-06-21T00:00:00,14:34:00,MM02
MATERIAL,000000000010000470,0001000184,VZIINV02,2026-05-26T00:00:00,15:16:00,MM02
MATERIAL,000000000010000471,0001000185,VZIINV01,2026-05-17T00:00:00,07:28:00,MM02
MATERIAL,000000000080000108,0001000186,VZIINV01,2026-06-21T00:00:00,13:52:00,MM02
MATERIAL,000000000080000110,0001000187,VZIINV02,2026-08-25T00:00:00,08:43:00,MM02
MATERIAL,000000000080000111,0001000188,VZIINV01,2026-09-07T00:00:00,11:32:00,MM02
MATERIAL,000000000010000477,0001000189,VZIINV01,2026-08-05T00:00:00,15:11:00,MM02
MATERIAL,000000000010000482,0001000190,VZIINV02,2026-07-24T00:00:00,11:35:00,MM02
MATERIAL,000000000010000491,0001000191,VZIINV01,2026-07-22T00:00:00,07:27:00,MM02
MATERIAL,000000000010000494,0001000192,VZIINV02,2026-07-30T00:00:00,17:38:00,MM02
MATERIAL,000000000010000495,0001000193,VZIINV02,2026-08-06T00:00:00,15:22:00,MM02
MATERIAL,000000000030000110,0001000194,VZIINV02,2026-08-01T00:00:00,12:55:00,MM02
MATERIAL,000000000010000496,0001000195,VZIINV01,2026-07-28T00:00:00,17:47:00,MM02
MATERIAL,000000000010000498,0001000196,VZIINV01,2026-08-05T00:00:00,13:19:00,MM02
MATERIAL,000000000010000499,0001000197,VZIINV01,2026-08-02T00:00:00,17:47:00,MM02
MATERIAL,000000000010000500,0001000198,VZIINV01,2026-05-29T00:00:00,16:14:00,MM02
MATERIAL,000000000010000506,0001000199,VZIINV02,2026-08-25T00:00:00,11:59:00,MM02
MATERIAL,000000000010000507,0001000200,VZIINV02,2026-05-28T00:00:00,07:51:00,MM02
MATERIAL,000000000010000509,0001000201,VZIINV02,2026-06-24T00:00:00,14:46:00,MM02
MATERIAL,000000000010000510,0001000202,VZIINV01,2026-06-02T00:00:00,09:43:00,MM02
MATERIAL,000000000010000511,0001000203,VZIINV02,2026-09-05T00:00:00,14:15:00,MM02
MATERIAL,000000000030000113,0001000204,VZIINV02,2026-08-03T00:00:00,14:03:00,MM02
MATERIAL,000000000010000513,0001000205,VZIINV02,2026-06-20T00:00:00,09:26:00,MM02
MATERIAL,000000000010000516,0001000206,VZIINV02,2026-07-01T00:00:00,10:46:00,MM02
MATERIAL,000000000010000518,0001000207,VZIINV02,2026-07-29T00:00:00,11:35:00,MM02
MATERIAL,000000000010000521,0001000208,VZIINV01,2026-08-18T00:00:00,08:28:00,MM02
MATERIAL,000000000010000524,0001000209,VZIINV01,2026-06-28T00:00:00,17:27:00,MM02
MATERIAL,000000000010000526,0001000210,VZIINV02,2026-07-31T00:00:00,13:58:00,MM02
MATERIAL,000000000010000528,0001000211,VZIINV02,2026-08-11T00:00:00,07:25:00,MM02
MATERIAL,000000000010000531,0001000212,VZIINV02,2026-08-24T00:00:00,17:54:00,MM02
MATERIAL,000000000010000531,0001000213,VZIINV02,2026-05-25T00:00:00,14:52:00,MM02
MATERIAL,000000000080000115,0001000214,VZIINV02,2026-05-21T00:00:00,14:48:00,MM02
MATERIAL,000000000030000116,0001000215,VZIINV02,2026-08-24T00:00:00,11:30:00,MM02
MATERIAL,000000000010000536,0001000216,VZIINV01,2026-09-06T00:00:00,16:39:00,MM02
MATERIAL,000000000010000538,0001000217,VZIINV02,2026-08-30T00:00:00,07:39:00,MM02
MATERIAL,000000000030000120,0001000218,VZIINV01,2026-06-04T00:00:00,10:24:00,MM02
MATERIAL,000000000080000119,0001000219,VZIINV02,2026-09-07T00:00:00,14:00:00,MM02
MATERIAL,000000000010000545,0001000220,VZIINV01,2026-07-25T00:00:00,16:06:00,MM02
MATERIAL,000000000010000552,0001000221,VZIINV02,2026-09-07T00:00:00,11:53:00,MM02
MATERIAL,000000000010000556,0001000222,VZIINV02,2026-07-17T00:00:00,13:28:00,MM02
MATERIAL,000000000010000559,0001000223,VZIINV02,2026-08-18T00:00:00,07:47:00,MM02
MATERIAL,000000000010000560,0001000224,VZIINV02,2026-09-05T00:00:00,07:20:00,MM02
MATERIAL,000000000010000564,0001000225,VZIINV01,2026-08-18T00:00:00,08:13:00,MM02
MATERIAL,000000000010000565,0001000226,VZIINV01,2026-05-27T00:00:00,17:11:00,MM02
MATERIAL,000000000010000570,0001000227,VZIINV01,2026-08-14T00:00:00,08:13:00,MM02
MATERIAL,000000000010000573,0001000228,VZIINV01,2026-07-29T00:00:00,12:51:00,MM02
MATERIAL,000000000010000574,0001000229,VZIINV01,2026-06-21T00:00:00,07:49:00,MM02
MATERIAL,000000000080000127,0001000230,VZIINV02,2026-06-18T00:00:00,08:07:00,MM02
MATERIAL,000000000010000576,0001000231,VZIINV01,2026-06-11T00:00:00,17:36:00,MM02
MATERIAL,000000000010000581,0001000232,VZIINV02,2026-05-25T00:00:00,14:16:00,MM02
MATERIAL,000000000010000586,0001000233,VZIINV02,2026-08-23T00:00:00,13:27:00,MM02
MATERIAL,000000000010000592,0001000234,VZIINV02,2026-09-07T00:00:00,14:44:00,MM02
MATERIAL,000000000010000593,0001000235,VZIINV02,2026-08-27T00:00:00,12:52:00,MM02
MATERIAL,000000000010000598,0001000236,VZIINV02,2026-06-03T00:00:00,14:12:00,MM02
MATERIAL,000000000080000134,0001000237,VZIINV01,2026-05-15T00:00:00,08:11:00,MM02
MATERIAL,000000000010000605,0001000238,VZIINV02,2026-08-23T00:00:00,16:53:00,MM02
MATERIAL,000000000010000611,0001000239,VZIINV02,2026-06-01T00:00:00,13:08:00,MM02
MATERIAL,000000000010000614,0001000240,VZIINV01,2026-08-23T00:00:00,09:13:00,MM02
MATERIAL,000000000010000617,0001000241,VZIINV01,2026-08-19T00:00:00,11:10:00,MM02
MATERIAL,000000000010000625,0001000242,VZIINV02,2026-07-12T00:00:00,13:15:00,MM02
MATERIAL,000000000010000632,0001000243,VZIINV01,2026-06-16T00:00:00,17:21:00,MM02
MATERIAL,000000000080000142,0001000244,VZIINV01,2026-07-06T00:00:00,11:33:00,MM02
MATERIAL,000000000010000634,0001000245,VZIINV02,2026-05-14T00:00:00,08:45:00,MM02
MATERIAL,000000000010000636,0001000246,VZIINV01,2026-09-03T00:00:00,09:13:00,MM02
MATERIAL,000000000030000142,0001000247,VZIINV02,2026-08-05T00:00:00,13:02:00,MM02
MATERIAL,000000000080000144,0001000248,VZIINV01,2026-06-16T00:00:00,17:17:00,MM02
MATERIAL,000000000010000639,0001000249,VZIINV02,2026-06-05T00:00:00,13:32:00,MM02
MATERIAL,000000000010000642,0001000250,VZIINV02,2026-06-14T00:00:00,12:15:00,MM02
MATERIAL,000000000030000144,0001000251,VZIINV01,2026-06-01T00:00:00,13:35:00,MM02
MATERIAL,000000000010000648,0001000252,VZIINV01,2026-07-08T00:00:00,14:09:00,MM02
MATERIAL,000000000010000649,0001000253,VZIINV02,2026-05-22T00:00:00,15:07:00,MM02
MATERIAL,000000000010000652,0001000254,VZIINV01,2026-06-29T00:00:00,15:02:00,MM02
MATERIAL,000000000010000653,0001000255,VZIINV02,2026-07-04T00:00:00,10:13:00,MM02
MATERIAL,000000000080000145,0001000256,VZIINV01,2026-05-26T00:00:00,15:13:00,MM02
MATERIAL,000000000080000145,0001000257,VZIINV01,2026-09-05T00:00:00,11:29:00,MM02
MATERIAL,000000000010000657,0001000258,VZIINV01,2026-06-30T00:00:00,17:33:00,MM02
MATERIAL,000000000010000659,0001000259,VZIINV01,2026-07-23T00:00:00,11:06:00,MM02
MATERIAL,000000000010000660,0001000260,VZIINV02,2026-07-02T00:00:00,12:00:00,MM02
MATERIAL,000000000010000661,0001000261,VZIINV01,2026-06-04T00:00:00,15:35:00,MM02
MATERIAL,000000000010000662,0001000262,VZIINV01,2026-08-14T00:00:00,16:11:00,MM02
MATERIAL,000000000010000664,0001000263,VZIINV02,2026-09-04T00:00:00,08:26:00,MM02
MATERIAL,000000000010000667,0001000264,VZIINV01,2026-09-07T00:00:00,13:15:00,MM02
MATERIAL,000000000010000669,0001000265,VZIINV01,2026-08-06T00:00:00,09:38:00,MM02
MATERIAL,000000000010000669,0001000266,VZIINV02,2026-06-28T00:00:00,08:10:00,MM02
MATERIAL,000000000010000672,0001000267,VZIINV01,2026-07-05T00:00:00,14:05:00,MM02
MATERIAL,000000000010000677,0001000268,VZIINV02,2026-09-07T00:00:00,13:50:00,MM02
MATERIAL,000000000030000154,0001000269,VZIINV02,2026-07-21T00:00:00,09:08:00,MM02
MATERIAL,000000000030000155,0001000270,VZIINV01,2026-06-16T00:00:00,10:00:00,MM02
MATERIAL,000000000010000681,0001000271,VZIINV01,2026-07-03T00:00:00,16:12:00,MM02
MATERIAL,000000000010000682,0001000272,VZIINV01,2026-06-07T00:00:00,16:40:00,MM02
MATERIAL,000000000080000153,0001000273,VZIINV01,2026-06-19T00:00:00,13:05:00,MM02
MATERIAL,000000000010000688,0001000274,VZIINV01,2026-06-05T00:00:00,10:02:00,MM02
MATERIAL,000000000010000689,0001000275,VZIINV02,2026-08-31T00:00:00,07:08:00,MM02
MATERIAL,000000000080000156,0001000276,VZIINV01,2026-05-26T00:00:00,17:05:00,MM02
MATERIAL,000000000080000157,0001000277,VZIINV01,2026-07-28T00:00:00,09:08:00,MM02
MATERIAL,000000000010000699,0001000278,VZIINV01,2026-09-07T00:00:00,15:24:00,MM02
MATERIAL,000000000080000160,0001000279,VZIINV02,2026-09-07T00:00:00,17:21:00,MM02
MATERIAL,000000000010000718,0001000280,VZIINV01,2026-07-15T00:00:00,17:31:00,MM02
MATERIAL,000000000010000719,0001000281,VZIINV02,2026-08-21T00:00:00,11:17:00,MM02
MATERIAL,000000000010000720,0001000282,VZIINV01,2026-06-21T00:00:00,14:06:00,MM02
MATERIAL,000000000010000721,0001000283,VZIINV02,2026-06-13T00:00:00,12:03:00,MM02
