id,rr_id,material_id,plant,origin,status,statement,declared_by,declared_at,chain_snapshot,created_at
24,103,50,BMM,MANUAL,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,23,2026-08-13T01:18:35.097269+00:00,"{""detected_at"": ""2026-08-13T01:18:35.097269+00:00"", ""plant"": ""BMM"", ""chain_count"": 1, ""materials"": [{""material_id"": 50, ""material_code"": ""80-10050"", ""material_description"": ""Butterfly Valve, 80mm (3\""), wafer type"", ""plant"": ""BMM"", ""is_repairable"": true, ""has_active_chain"": true, ""total_quantity_under_repair"": 3.0, ""earliest_expected_return"": ""2026-08-10"", ""chains"": [{""material_id"": 50, ""material_code"": ""80-10050"", ""material_description"": ""Butterfly Valve, 80mm (3\""), wafer type"", ""material_group"": ""Valves"", ""plant"": ""BMM"", ""repair_pr_number"": ""RPR-2033"", ""repair_pr_id"": 33, ""repair_po_number"": ""RPO-3029"", ""repair_po_id"": 29, ""supplier_id"": 11, ""vendor"": ""Waterberg Valve & Fittings (Pty) Ltd"", ""quantity_under_repair"": 3.0, ""repair_value"": 9260.37, ""opened_at"": ""2026-06-28"", ""expected_return"": ""2026-08-10"", ""days_open"": 59, ""days_overdue"": 16, ""overdue"": true, ""stage"": ""AT_VENDOR""}]}]}",2026-08-13T01:18:35.097269+00:00
25,106,157,Gamsberg,MANUAL,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,18,2026-04-06T14:18:35.097269+00:00,,2026-04-06T14:18:35.097269+00:00
26,111,154,BMM,MRP,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,5,2026-02-22T15:18:35.097269+00:00,,2026-02-21T15:18:35.097269+00:00
27,118,176,BMM,MANUAL,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,8,2026-08-02T03:18:35.097269+00:00,"{""detected_at"": ""2026-08-02T03:18:35.097269+00:00"", ""plant"": ""BMM"", ""chain_count"": 1, ""materials"": [{""material_id"": 176, ""material_code"": ""80-10176"", ""material_description"": ""Gland Packing Set, shaft 65mm, PTFE impregnated"", ""plant"": ""BMM"", ""is_repairable"": true, ""has_active_chain"": true, ""total_quantity_under_repair"": 3.0, ""earliest_expected_return"": ""2026-09-17"", ""chains"": [{""material_id"": 176, ""material_code"": ""80-10176"", ""material_description"": ""Gland Packing Set, shaft 65mm, PTFE impregnated"", ""material_group"": ""Mechanical Seals"", ""plant"": ""BMM"", ""repair_pr_number"": ""RPR-2012"", ""repair_pr_id"": 12, ""repair_po_number"": ""RPO-3011"", ""repair_po_id"": 11, ""supplier_id"": 12, ""vendor"": ""Kimberley Seals & Sealing Systems (Pty) Ltd"", ""quantity_under_repair"": 3.0, ""repair_value"": 1493.79, ""opened_at"": ""2026-07-17"", ""expected_return"": ""2026-09-17"", ""days_open"": 40, ""days_overdue"": 0, ""overdue"": false, ""stage"": ""AT_VENDOR""}]}]}",2026-08-02T03:18:35.097269+00:00
28,120,82,Gamsberg,MANUAL,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,4,2026-04-09T21:18:35.097269+00:00,,2026-04-09T21:18:35.097269+00:00
29,127,187,Gamsberg,MANUAL,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,9,2026-08-16T20:18:35.097269+00:00,"{""detected_at"": ""2026-08-16T20:18:35.097269+00:00"", ""plant"": ""Gamsberg"", ""chain_count"": 1, ""materials"": [{""material_id"": 187, ""material_code"": ""80-10187"", ""material_description"": ""Ball Mill Grinding Media, 40mm, forged steel balls"", ""plant"": ""Gamsberg"", ""is_repairable"": true, ""has_active_chain"": true, ""total_quantity_under_repair"": 1.0, ""earliest_expected_return"": ""2026-08-06"", ""chains"": [{""material_id"": 187, ""material_code"": ""80-10187"", ""material_description"": ""Ball Mill Grinding Media, 40mm, forged steel balls"", ""material_group"": ""Milling Components"", ""plant"": ""Gamsberg"", ""repair_pr_number"": ""RPR-2027"", ""repair_pr_id"": 27, ""repair_po_number"": ""RPO-3023"", ""repair_po_id"": 23, ""supplier_id"": 30, ""vendor"": ""Aggeneys Mining Equipment Traders (Pty) Ltd"", ""quantity_under_repair"": 1.0, ""repair_value"": 9141.37, ""opened_at"": ""2026-06-05"", ""expected_return"": ""2026-08-06"", ""days_open"": 82, ""days_overdue"": 20, ""overdue"": true, ""stage"": ""AT_VENDOR""}]}]}",2026-08-16T20:18:35.097269+00:00
30,132,186,BMM,MRP,PENDING,,,,"{""detected_at"": ""2026-08-16T11:18:35.097269+00:00"", ""plant"": ""BMM"", ""chain_count"": 1, ""materials"": [{""material_id"": 186, ""material_code"": ""80-10186"", ""material_description"": ""SAG Mill Liner Plate, lifter bar, chrome-moly steel"", ""plant"": ""BMM"", ""is_repairable"": true, ""has_active_chain"": true, ""total_quantity_under_repair"": 1.0, ""earliest_expected_return"": null, ""chains"": [{""material_id"": 186, ""material_code"": ""80-10186"", ""material_description"": ""SAG Mill Liner Plate, lifter bar, chrome-moly steel"", ""material_group"": ""Milling Components"", ""plant"": ""BMM"", ""repair_pr_number"": ""RPR-2040"", ""repair_pr_id"": 40, ""repair_po_number"": null, ""repair_po_id"": null, ""supplier_id"": null, ""vendor"": null, ""quantity_under_repair"": 1.0, ""repair_value"": 19965.1, ""opened_at"": ""2026-08-14"", ""expected_return"": null, ""days_open"": 12, ""days_overdue"": 0, ""overdue"": false, ""stage"": ""AWAITING_VENDOR_DISPATCH""}]}]}",2026-08-16T11:18:35.097269+00:00
31,138,171,BMM,MRP,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,13,2026-08-13T11:18:35.097269+00:00,,2026-08-11T11:18:35.097269+00:00
32,141,126,BMM,MANUAL,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,19,2026-07-06T16:18:35.097269+00:00,,2026-07-06T16:18:35.097269+00:00
33,143,179,Gamsberg,MRP,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,13,2026-08-02T03:18:35.097269+00:00,,2026-07-29T03:18:35.097269+00:00
34,147,82,BMM,MANUAL,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,8,2026-08-14T02:18:35.097269+00:00,"{""detected_at"": ""2026-08-14T02:18:35.097269+00:00"", ""plant"": ""BMM"", ""chain_count"": 1, ""materials"": [{""material_id"": 82, ""material_code"": ""80-10082"", ""material_description"": ""Knife Gate Valve, 100mm (4\""), rubber lined"", ""plant"": ""BMM"", ""is_repairable"": true, ""has_active_chain"": true, ""total_quantity_under_repair"": 2.0, ""earliest_expected_return"": ""2026-09-28"", ""chains"": [{""material_id"": 82, ""material_code"": ""80-10082"", ""material_description"": ""Knife Gate Valve, 100mm (4\""), rubber lined"", ""material_group"": ""Valves"", ""plant"": ""BMM"", ""repair_pr_number"": ""RPR-2026"", ""repair_pr_id"": 26, ""repair_po_number"": ""RPO-3022"", ""repair_po_id"": 22, ""supplier_id"": 35, ""vendor"": ""Lowveld Engineering Supplies (Pty) Ltd"", ""quantity_under_repair"": 2.0, ""repair_value"": 6972.8, ""opened_at"": ""2026-08-22"", ""expected_return"": ""2026-09-28"", ""days_open"": 4, ""days_overdue"": 0, ""overdue"": false, ""stage"": ""AT_VENDOR""}]}]}",2026-08-14T02:18:35.097269+00:00
35,148,30,Gamsberg,MANUAL,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,24,2026-04-04T05:18:35.097269+00:00,,2026-04-04T05:18:35.097269+00:00
36,153,76,Gamsberg,MRP,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,13,2026-08-09T16:18:35.097269+00:00,,2026-08-05T16:18:35.097269+00:00
37,154,102,BMM,MRP,PENDING,,,,"{""detected_at"": ""2026-08-05T22:18:35.097269+00:00"", ""plant"": ""BMM"", ""chain_count"": 1, ""materials"": [{""material_id"": 102, ""material_code"": ""80-10102"", ""material_description"": ""Centrifugal Slurry Pump Impeller, Light duty, hard metal"", ""plant"": ""BMM"", ""is_repairable"": true, ""has_active_chain"": true, ""total_quantity_under_repair"": 3.0, ""earliest_expected_return"": null, ""chains"": [{""material_id"": 102, ""material_code"": ""80-10102"", ""material_description"": ""Centrifugal Slurry Pump Impeller, Light duty, hard metal"", ""material_group"": ""Pumps"", ""plant"": ""BMM"", ""repair_pr_number"": ""RPR-2006"", ""repair_pr_id"": 6, ""repair_po_number"": null, ""repair_po_id"": null, ""supplier_id"": null, ""vendor"": null, ""quantity_under_repair"": 3.0, ""repair_value"": 68584.05, ""opened_at"": ""2026-07-31"", ""expected_return"": null, ""days_open"": 26, ""days_overdue"": 0, ""overdue"": false, ""stage"": ""AWAITING_VENDOR_DISPATCH""}]}]}",2026-08-05T22:18:35.097269+00:00
38,159,99,Gamsberg,MRP,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,5,2026-02-18T12:18:35.097269+00:00,,2026-02-17T12:18:35.097269+00:00
39,163,38,Gamsberg,MANUAL,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,12,2026-07-01T07:18:35.097269+00:00,,2026-07-01T07:18:35.097269+00:00
40,168,34,BMM,MRP,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,5,2026-05-03T04:18:35.097269+00:00,,2026-04-29T04:18:35.097269+00:00
41,169,58,BMM,MRP,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,24,2026-07-11T12:18:35.097269+00:00,,2026-07-07T12:18:35.097269+00:00
42,177,181,Gamsberg,MANUAL,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,16,2026-03-22T14:18:35.097269+00:00,,2026-03-22T14:18:35.097269+00:00
43,182,171,BMM,MANUAL,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,19,2026-08-05T23:18:35.097269+00:00,,2026-08-05T23:18:35.097269+00:00
44,188,157,Gamsberg,MANUAL,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,4,2026-07-12T12:18:35.097269+00:00,,2026-07-12T12:18:35.097269+00:00
45,190,184,BMM,MRP,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,13,2025-12-21T17:18:35.097269+00:00,,2025-12-20T17:18:35.097269+00:00
46,191,34,Gamsberg,MANUAL,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,4,2026-01-26T20:18:35.097269+00:00,,2026-01-26T20:18:35.097269+00:00
47,192,38,Gamsberg,MRP,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,12,2026-06-02T17:18:35.097269+00:00,,2026-05-29T17:18:35.097269+00:00
48,193,132,BMM,MANUAL,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,3,2026-04-13T10:18:35.097269+00:00,,2026-04-13T10:18:35.097269+00:00
49,195,131,Gamsberg,MRP,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,13,2026-04-02T17:18:35.097269+00:00,,2026-03-31T17:18:35.097269+00:00
50,198,176,BMM,MRP,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,5,2026-04-19T21:18:35.097269+00:00,,2026-04-16T21:18:35.097269+00:00
51,206,58,Gamsberg,MANUAL,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,11,2026-06-18T02:18:35.097269+00:00,,2026-06-18T02:18:35.097269+00:00
52,207,51,Gamsberg,MANUAL,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,11,2026-08-12T08:18:35.097269+00:00,"{""detected_at"": ""2026-08-12T08:18:35.097269+00:00"", ""plant"": ""Gamsberg"", ""chain_count"": 1, ""materials"": [{""material_id"": 51, ""material_code"": ""80-10051"", ""material_description"": ""Mill Trunnion Bearing Liner, discharge end"", ""plant"": ""Gamsberg"", ""is_repairable"": true, ""has_active_chain"": true, ""total_quantity_under_repair"": 3.0, ""earliest_expected_return"": ""2026-09-04"", ""chains"": [{""material_id"": 51, ""material_code"": ""80-10051"", ""material_description"": ""Mill Trunnion Bearing Liner, discharge end"", ""material_group"": ""Milling Components"", ""plant"": ""Gamsberg"", ""repair_pr_number"": ""RPR-2034"", ""repair_pr_id"": 34, ""repair_po_number"": ""RPO-3030"", ""repair_po_id"": 30, ""supplier_id"": 10, ""vendor"": ""Upington Industrial Supplies (Pty) Ltd"", ""quantity_under_repair"": 3.0, ""repair_value"": 190413.9, ""opened_at"": ""2026-08-02"", ""expected_return"": ""2026-09-04"", ""days_open"": 24, ""days_overdue"": 0, ""overdue"": false, ""stage"": ""AT_VENDOR""}]}]}",2026-08-12T08:18:35.097269+00:00
53,211,171,Gamsberg,MANUAL,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,4,2026-08-10T03:18:35.097269+00:00,"{""detected_at"": ""2026-08-10T03:18:35.097269+00:00"", ""plant"": ""Gamsberg"", ""chain_count"": 1, ""materials"": [{""material_id"": 171, ""material_code"": ""80-10171"", ""material_description"": ""Motor Drive Coupling, elastomeric, rated for 11kW"", ""plant"": ""Gamsberg"", ""is_repairable"": true, ""has_active_chain"": true, ""total_quantity_under_repair"": 1.0, ""earliest_expected_return"": ""2026-09-13"", ""chains"": [{""material_id"": 171, ""material_code"": ""80-10171"", ""material_description"": ""Motor Drive Coupling, elastomeric, rated for 11kW"", ""material_group"": ""Motors"", ""plant"": ""Gamsberg"", ""repair_pr_number"": ""RPR-2043"", ""repair_pr_id"": 43, ""repair_po_number"": ""RPO-3038"", ""repair_po_id"": 38, ""supplier_id"": 7, ""vendor"": ""Vaal Mining Equipment Traders (Pty) Ltd"", ""quantity_under_repair"": 1.0, ""repair_value"": 5077.14, ""opened_at"": ""2026-08-12"", ""expected_return"": ""2026-09-13"", ""days_open"": 14, ""days_overdue"": 0, ""overdue"": false, ""stage"": ""AT_VENDOR""}]}]}",2026-08-10T03:18:35.097269+00:00
54,213,188,BMM,MANUAL,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,10,2026-03-05T13:18:35.097269+00:00,,2026-03-05T13:18:35.097269+00:00
55,214,37,Gamsberg,MANUAL,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,13,2026-01-17T13:18:35.097269+00:00,,2026-01-17T13:18:35.097269+00:00
56,216,83,BMM,MRP,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,13,2026-08-17T16:18:35.097269+00:00,,2026-08-13T16:18:35.097269+00:00
57,217,51,BMM,MRP,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,24,2026-05-23T13:18:35.097269+00:00,,2026-05-22T13:18:35.097269+00:00
58,219,50,BMM,MANUAL,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,3,2026-03-20T20:18:35.097269+00:00,,2026-03-20T20:18:35.097269+00:00
59,220,38,BMM,MANUAL,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,19,2026-08-05T19:18:35.097269+00:00,"{""detected_at"": ""2026-08-05T19:18:35.097269+00:00"", ""plant"": ""BMM"", ""chain_count"": 1, ""materials"": [{""material_id"": 38, ""material_code"": ""80-10038"", ""material_description"": ""Mechanical Seal, shaft 50mm, tungsten carbide faces"", ""plant"": ""BMM"", ""is_repairable"": true, ""has_active_chain"": true, ""total_quantity_under_repair"": 2.0, ""earliest_expected_return"": null, ""chains"": [{""material_id"": 38, ""material_code"": ""80-10038"", ""material_description"": ""Mechanical Seal, shaft 50mm, tungsten carbide faces"", ""material_group"": ""Mechanical Seals"", ""plant"": ""BMM"", ""repair_pr_number"": ""RPR-2020"", ""repair_pr_id"": 20, ""repair_po_number"": null, ""repair_po_id"": null, ""supplier_id"": null, ""vendor"": null, ""quantity_under_repair"": 2.0, ""repair_value"": 43585.68, ""opened_at"": ""2026-08-05"", ""expected_return"": null, ""days_open"": 21, ""days_overdue"": 0, ""overdue"": false, ""stage"": ""AWAITING_VENDOR_DISPATCH""}]}]}",2026-08-05T19:18:35.097269+00:00
60,225,58,BMM,MANUAL,COMPLETE,I confirm the existing item has been assessed and cannot be repaired.,2,2026-08-21T04:18:35.097269+00:00,"{""detected_at"": ""2026-08-21T04:18:35.097269+00:00"", ""plant"": ""BMM"", ""chain_count"": 1, ""materials"": [{""material_id"": 58, ""material_code"": ""80-10058"", ""material_description"": ""Pinch Valve, 100mm (4\""), slurry service"", ""plant"": ""BMM"", ""is_repairable"": true, ""has_active_chain"": true, ""total_quantity_under_repair"": 1.0, ""earliest_expected_return"": ""2026-07-30"", ""chains"": [{""material_id"": 58, ""material_code"": ""80-10058"", ""material_description"": ""Pinch Valve, 100mm (4\""), slurry service"", ""material_group"": ""Valves"", ""plant"": ""BMM"", ""repair_pr_number"": ""RPR-2044"", ""repair_pr_id"": 44, ""repair_po_number"": ""RPO-3039"", ""repair_po_id"": 39, ""supplier_id"": 20, ""vendor"": ""Aggeneys Bearing & Drive Co (Pty) Ltd"", ""quantity_under_repair"": 1.0, ""repair_value"": 26217.84, ""opened_at"": ""2026-06-08"", ""expected_return"": ""2026-07-30"", ""days_open"": 79, ""days_overdue"": 27, ""overdue"": true, ""stage"": ""AT_VENDOR""}]}]}",2026-08-21T04:18:35.097269+00:00
