id,entity_type,entity_id,stage_code,stage_name,started_at,completed_at,status,owner_id,source_system
135,RR,25,DOA,DOA Approval,2026-06-02T12:09:36.211764+00:00,2026-06-04T12:09:36.211764+00:00,COMPLETED,2,synthetic
136,RR,25,MRP,MRP Processing,2026-06-04T12:09:36.211764+00:00,2026-06-05T12:09:36.211764+00:00,COMPLETED,,synthetic
137,PR,22,PR_CREATED,PR Created,2026-06-05T12:09:36.211764+00:00,2026-06-05T12:09:36.211764+00:00,COMPLETED,5,synthetic
138,RR,26,RR_CREATED,RR Created,2026-02-09T02:09:36.211764+00:00,2026-02-09T02:09:36.211764+00:00,COMPLETED,7,synthetic
139,RR,26,DOA,DOA Approval,2026-02-09T02:09:36.211764+00:00,2026-02-11T02:09:36.211764+00:00,COMPLETED,3,synthetic
140,RR,26,MRP,MRP Processing,2026-02-11T02:09:36.211764+00:00,2026-02-13T02:09:36.211764+00:00,COMPLETED,,synthetic
141,PR,23,PR_CREATED,PR Created,2026-02-13T02:09:36.211764+00:00,2026-02-13T02:09:36.211764+00:00,COMPLETED,13,synthetic
142,PR,23,RFQ,RFQ,2026-02-14T02:09:36.211764+00:00,2026-02-19T02:09:36.211764+00:00,COMPLETED,13,synthetic
143,PR,23,PO_CREATED,PO Created,2026-02-20T02:09:36.211764+00:00,2026-02-20T02:09:36.211764+00:00,COMPLETED,13,synthetic
144,RR,27,RR_CREATED,RR Created,2026-05-18T22:09:36.211764+00:00,2026-05-18T22:09:36.211764+00:00,COMPLETED,5,synthetic
145,RR,27,DOA,DOA Approval,2026-05-18T22:09:36.211764+00:00,2026-05-22T22:09:36.211764+00:00,COMPLETED,15,synthetic
146,RR,27,MRP,MRP Processing,2026-05-22T22:09:36.211764+00:00,2026-05-23T22:09:36.211764+00:00,COMPLETED,,synthetic
147,PR,24,PR_CREATED,PR Created,2026-05-23T22:09:36.211764+00:00,2026-05-23T22:09:36.211764+00:00,COMPLETED,13,synthetic
148,PR,24,RFQ,RFQ,2026-05-24T22:09:36.211764+00:00,2026-06-01T22:09:36.211764+00:00,COMPLETED,13,synthetic
149,PR,24,ARIBA,Ariba Event,2026-06-02T22:09:36.211764+00:00,2026-06-06T22:09:36.211764+00:00,COMPLETED,13,synthetic
150,PR,24,NFA,NFA Approval,2026-06-07T22:09:36.211764+00:00,2026-06-10T22:09:36.211764+00:00,COMPLETED,15,synthetic
151,PR,24,PO_CREATED,PO Created,2026-06-11T22:09:36.211764+00:00,2026-06-11T22:09:36.211764+00:00,COMPLETED,13,synthetic
152,RR,28,RR_CREATED,RR Created,2026-04-01T04:09:36.211764+00:00,2026-04-01T04:09:36.211764+00:00,COMPLETED,6,synthetic
153,RR,28,DOA,DOA Approval,2026-04-01T04:09:36.211764+00:00,2026-04-04T04:09:36.211764+00:00,COMPLETED,3,synthetic
154,RR,28,MRP,MRP Processing,2026-04-04T04:09:36.211764+00:00,2026-04-07T04:09:36.211764+00:00,COMPLETED,,synthetic
155,PR,25,PR_CREATED,PR Created,2026-04-07T04:09:36.211764+00:00,2026-04-07T04:09:36.211764+00:00,COMPLETED,13,synthetic
156,PR,25,RFQ,RFQ,2026-04-08T04:09:36.211764+00:00,2026-04-18T04:09:36.211764+00:00,COMPLETED,13,synthetic
157,PR,25,PO_CREATED,PO Created,2026-04-19T04:09:36.211764+00:00,2026-04-19T04:09:36.211764+00:00,COMPLETED,13,synthetic
158,RR,29,RR_CREATED,RR Created,2026-06-18T15:09:36.211764+00:00,2026-06-18T15:09:36.211764+00:00,COMPLETED,18,synthetic
159,RR,29,DOA,DOA Approval,2026-06-18T15:09:36.211764+00:00,2026-06-20T15:09:36.211764+00:00,COMPLETED,3,synthetic
160,RR,29,MRP,MRP Processing,2026-06-20T15:09:36.211764+00:00,2026-06-21T15:09:36.211764+00:00,COMPLETED,,synthetic
161,PR,26,PR_CREATED,PR Created,2026-06-21T15:09:36.211764+00:00,2026-06-21T15:09:36.211764+00:00,COMPLETED,13,synthetic
162,PR,26,RFQ,RFQ,2026-06-22T15:09:36.211764+00:00,2026-07-01T15:09:36.211764+00:00,COMPLETED,13,synthetic
163,PR,26,NFA,NFA Approval,2026-07-02T15:09:36.211764+00:00,2026-07-07T15:09:36.211764+00:00,COMPLETED,15,synthetic
164,PR,26,PO_CREATED,PO Created,2026-07-08T15:09:36.211764+00:00,2026-07-08T15:09:36.211764+00:00,COMPLETED,13,synthetic
165,RR,30,RR_CREATED,RR Created,2025-11-27T19:09:36.211764+00:00,2025-11-27T19:09:36.211764+00:00,COMPLETED,21,synthetic
166,RR,30,DOA,DOA Approval,2025-11-27T19:09:36.211764+00:00,2025-11-29T19:09:36.211764+00:00,COMPLETED,2,synthetic
167,RR,30,MRP,MRP Processing,2025-11-29T19:09:36.211764+00:00,2025-12-01T19:09:36.211764+00:00,COMPLETED,,synthetic
168,PR,27,PR_CREATED,PR Created,2025-12-01T19:09:36.211764+00:00,2025-12-01T19:09:36.211764+00:00,COMPLETED,24,synthetic
169,PR,27,PO_CREATED,PO Created,2025-12-02T19:09:36.211764+00:00,2025-12-02T19:09:36.211764+00:00,COMPLETED,24,synthetic
170,RR,31,RR_CREATED,RR Created,2025-12-16T19:09:36.211764+00:00,2025-12-16T19:09:36.211764+00:00,COMPLETED,24,synthetic
171,RR,31,DOA,DOA Approval,2025-12-16T19:09:36.211764+00:00,2025-12-18T19:09:36.211764+00:00,COMPLETED,3,synthetic
172,RR,31,MRP,MRP Processing,2025-12-18T19:09:36.211764+00:00,2025-12-20T19:09:36.211764+00:00,COMPLETED,,synthetic
173,PR,28,PR_CREATED,PR Created,2025-12-20T19:09:36.211764+00:00,2025-12-20T19:09:36.211764+00:00,COMPLETED,24,synthetic
174,PR,28,RFQ,RFQ,2025-12-21T19:09:36.211764+00:00,2025-12-30T19:09:36.211764+00:00,COMPLETED,24,synthetic
175,PR,28,ARIBA,Ariba Event,2025-12-31T19:09:36.211764+00:00,2026-01-26T19:09:36.211764+00:00,COMPLETED,24,synthetic
176,PR,28,AUCTION,Auction,2026-01-27T04:09:36.211764+00:00,2026-01-27T10:09:36.211764+00:00,COMPLETED,24,synthetic
177,PR,28,NFA,NFA Approval,2026-01-28T10:09:36.211764+00:00,2026-01-30T10:09:36.211764+00:00,COMPLETED,15,synthetic
178,PR,28,PO_CREATED,PO Created,2026-01-31T10:09:36.211764+00:00,2026-01-31T10:09:36.211764+00:00,COMPLETED,24,synthetic
179,RR,32,RR_CREATED,RR Created,2026-07-12T10:09:36.211764+00:00,2026-07-12T10:09:36.211764+00:00,COMPLETED,7,synthetic
180,RR,32,DOA,DOA Approval,2026-07-12T10:09:36.211764+00:00,2026-07-15T10:09:36.211764+00:00,COMPLETED,15,synthetic
181,RR,32,MRP,MRP Processing,2026-07-15T10:09:36.211764+00:00,2026-07-18T10:09:36.211764+00:00,COMPLETED,,synthetic
182,PR,29,PR_CREATED,PR Created,2026-07-18T10:09:36.211764+00:00,2026-07-18T10:09:36.211764+00:00,COMPLETED,5,synthetic
183,PR,29,NFA,NFA Approval,2026-07-19T10:09:36.211764+00:00,2026-07-24T10:09:36.211764+00:00,COMPLETED,3,synthetic
184,PR,29,PO_CREATED,PO Created,2026-07-25T10:09:36.211764+00:00,2026-07-25T10:09:36.211764+00:00,COMPLETED,5,synthetic
185,RR,33,RR_CREATED,RR Created,2026-06-22T13:09:36.211764+00:00,2026-06-22T13:09:36.211764+00:00,COMPLETED,9,synthetic
186,RR,33,DOA,DOA Approval,2026-06-22T13:09:36.211764+00:00,,IN_PROGRESS,2,synthetic
187,RR,34,RR_CREATED,RR Created,2026-06-12T20:09:36.211764+00:00,2026-06-12T20:09:36.211764+00:00,COMPLETED,21,synthetic
188,RR,34,DOA,DOA Approval,2026-06-12T20:09:36.211764+00:00,2026-06-13T20:09:36.211764+00:00,COMPLETED,15,synthetic
189,RR,34,MRP,MRP Processing,2026-06-13T20:09:36.211764+00:00,2026-06-15T20:09:36.211764+00:00,COMPLETED,,synthetic
190,PR,30,PR_CREATED,PR Created,2026-06-15T20:09:36.211764+00:00,2026-06-15T20:09:36.211764+00:00,COMPLETED,12,synthetic
191,PR,30,RFQ,RFQ,2026-06-16T20:09:36.211764+00:00,,IN_PROGRESS,12,synthetic
192,RR,35,RR_CREATED,RR Created,2026-03-02T01:09:36.211764+00:00,2026-03-02T01:09:36.211764+00:00,COMPLETED,6,synthetic
