id,recipient_id,type,title,message,status,related_entity_type,related_entity_id,created_at,read_at
62,8,APPROVAL_RESULT,RR-1034 approved,Your requisition was approved at DOA.,UNREAD,RR,34,2026-07-28T01:18:35.097269+00:00,
63,22,APPROVAL_RESULT,RR-1035 approved,Your requisition was approved at DOA.,READ,RR,35,2026-08-21T21:18:35.097269+00:00,2026-08-22T11:18:35.097269+00:00
64,22,PO_CREATED,PO-3070 created,A purchase order has been created for your requisition.,UNREAD,PO,70,2026-10-13T14:18:35.097269+00:00,
65,2,APPROVAL_RESULT,RR-1036 approved,Your requisition was approved at DOA.,UNREAD,RR,36,2026-02-28T22:18:35.097269+00:00,
66,2,PO_CREATED,PO-3071 created,A purchase order has been created for your requisition.,UNREAD,PO,71,2026-03-23T02:18:35.097269+00:00,
67,15,APPROVAL_REQUEST,DOA approval needed: RR-1037,A requisition is waiting on your DOA approval.,UNREAD,RR,37,2026-08-24T22:18:35.097269+00:00,
68,18,APPROVAL_RESULT,RR-1038 approved,Your requisition was approved at DOA.,READ,RR,38,2026-04-11T22:18:35.097269+00:00,2026-04-13T04:18:35.097269+00:00
69,18,PO_CREATED,PO-3072 created,A purchase order has been created for your requisition.,UNREAD,PO,72,2026-05-01T22:18:35.097269+00:00,
70,10,APPROVAL_RESULT,RR-1040 approved,Your requisition was approved at DOA.,READ,RR,40,2026-08-24T09:18:35.097269+00:00,2026-08-25T10:18:35.097269+00:00
71,10,PO_CREATED,PO-3073 created,A purchase order has been created for your requisition.,UNREAD,PO,73,2026-08-30T09:18:35.097269+00:00,
72,9,APPROVAL_RESULT,RR-1041 approved,Your requisition was approved at DOA.,READ,RR,41,2026-07-05T22:18:35.097269+00:00,2026-07-06T23:18:35.097269+00:00
73,10,APPROVAL_RESULT,RR-1042 approved,Your requisition was approved at DOA.,UNREAD,RR,42,2026-07-12T00:18:35.097269+00:00,
74,10,PO_CREATED,PO-3074 created,A purchase order has been created for your requisition.,READ,PO,74,2026-07-30T00:18:35.097269+00:00,2026-07-30T13:18:35.097269+00:00
75,24,APPROVAL_RESULT,RR-1043 approved,Your requisition was approved at DOA.,UNREAD,RR,43,2026-05-14T16:18:35.097269+00:00,
76,24,PO_CREATED,PO-3075 created,A purchase order has been created for your requisition.,UNREAD,PO,75,2026-05-23T16:18:35.097269+00:00,
77,16,APPROVAL_RESULT,RR-1044 approved,Your requisition was approved at DOA.,READ,RR,44,2026-06-02T06:18:35.097269+00:00,2026-06-02T10:18:35.097269+00:00
78,12,APPROVAL_RESULT,NFA rejected for PR-2085,The NFA for this PR was rejected.,UNREAD,PR,85,2026-06-16T06:18:35.097269+00:00,
79,7,APPROVAL_RESULT,RR-1045 approved,Your requisition was approved at DOA.,UNREAD,RR,45,2026-01-02T05:18:35.097269+00:00,
80,12,APPROVAL_RESULT,RR-1046 approved,Your requisition was approved at DOA.,READ,RR,46,2026-04-25T06:18:35.097269+00:00,2026-04-26T07:18:35.097269+00:00
81,12,PO_CREATED,PO-3076 created,A purchase order has been created for your requisition.,UNREAD,PO,76,2026-05-25T17:18:35.097269+00:00,
82,8,APPROVAL_RESULT,RR-1047 approved,Your requisition was approved at DOA.,UNREAD,RR,47,2026-04-21T16:18:35.097269+00:00,
83,8,PO_CREATED,PO-3077 created,A purchase order has been created for your requisition.,UNREAD,PO,77,2026-04-24T16:18:35.097269+00:00,
84,3,APPROVAL_RESULT,RR-1048 approved,Your requisition was approved at DOA.,UNREAD,RR,48,2026-03-18T22:18:35.097269+00:00,
85,3,PO_CREATED,PO-3078 created,A purchase order has been created for your requisition.,READ,PO,78,2026-04-14T22:18:35.097269+00:00,2026-04-15T06:18:35.097269+00:00
86,22,APPROVAL_RESULT,RR-1049 approved,Your requisition was approved at DOA.,READ,RR,49,2026-04-19T07:18:35.097269+00:00,2026-04-20T08:18:35.097269+00:00
87,22,PO_CREATED,PO-3079 created,A purchase order has been created for your requisition.,UNREAD,PO,79,2026-04-27T07:18:35.097269+00:00,
88,23,APPROVAL_RESULT,RR-1050 approved,Your requisition was approved at DOA.,READ,RR,50,2026-08-19T02:18:35.097269+00:00,2026-08-20T05:18:35.097269+00:00
89,23,PO_CREATED,PO-3080 created,A purchase order has been created for your requisition.,UNREAD,PO,80,2026-08-21T02:18:35.097269+00:00,
90,20,APPROVAL_RESULT,RR-1051 approved,Your requisition was approved at DOA.,READ,RR,51,2026-04-21T09:18:35.097269+00:00,2026-04-21T19:18:35.097269+00:00
91,15,APPROVAL_RESULT,RR-1052 approved,Your requisition was approved at DOA.,READ,RR,52,2026-04-20T04:18:35.097269+00:00,2026-04-20T17:18:35.097269+00:00
92,7,APPROVAL_RESULT,RR-1053 approved,Your requisition was approved at DOA.,UNREAD,RR,53,2026-07-04T03:18:35.097269+00:00,
93,15,APPROVAL_REQUEST,DOA approval needed: RR-1054,A requisition is waiting on your DOA approval.,UNREAD,RR,54,2026-08-01T04:18:35.097269+00:00,
94,8,APPROVAL_RESULT,RR-1055 approved,Your requisition was approved at DOA.,UNREAD,RR,55,2026-04-09T09:18:35.097269+00:00,
95,8,PO_CREATED,PO-3081 created,A purchase order has been created for your requisition.,UNREAD,PO,81,2026-04-28T09:18:35.097269+00:00,
96,17,APPROVAL_RESULT,RR-1056 approved,Your requisition was approved at DOA.,READ,RR,56,2026-06-21T16:18:35.097269+00:00,2026-06-22T05:18:35.097269+00:00
97,17,PO_CREATED,PO-3082 created,A purchase order has been created for your requisition.,UNREAD,PO,82,2026-06-26T16:18:35.097269+00:00,
98,24,APPROVAL_RESULT,RR-1057 approved,Your requisition was approved at DOA.,READ,RR,57,2026-08-03T05:18:35.097269+00:00,2026-08-04T08:18:35.097269+00:00
99,24,PO_CREATED,PO-3083 created,A purchase order has been created for your requisition.,READ,PO,83,2026-08-06T05:18:35.097269+00:00,2026-08-06T21:18:35.097269+00:00
100,4,APPROVAL_RESULT,RR-1058 approved,Your requisition was approved at DOA.,READ,RR,58,2026-05-30T06:18:35.097269+00:00,2026-05-31T07:18:35.097269+00:00
101,4,PO_CREATED,PO-3084 created,A purchase order has been created for your requisition.,UNREAD,PO,84,2026-07-18T09:18:35.097269+00:00,
102,21,APPROVAL_RESULT,RR-1059 approved,Your requisition was approved at DOA.,READ,RR,59,2026-05-09T11:18:35.097269+00:00,2026-05-10T09:18:35.097269+00:00
103,23,APPROVAL_RESULT,RR-1060 approved,Your requisition was approved at DOA.,UNREAD,RR,60,2026-05-20T09:18:35.097269+00:00,
104,23,PO_CREATED,PO-3085 created,A purchase order has been created for your requisition.,READ,PO,85,2026-07-12T09:18:35.097269+00:00,2026-07-13T14:18:35.097269+00:00
105,21,APPROVAL_RESULT,RR-1061 approved,Your requisition was approved at DOA.,READ,RR,61,2026-03-12T07:18:35.097269+00:00,2026-03-13T08:18:35.097269+00:00
106,21,PO_CREATED,PO-3086 created,A purchase order has been created for your requisition.,READ,PO,86,2026-05-01T18:18:35.097269+00:00,2026-05-02T12:18:35.097269+00:00
107,12,APPROVAL_RESULT,RR-1062 approved,Your requisition was approved at DOA.,READ,RR,62,2026-06-20T23:18:35.097269+00:00,2026-06-22T05:18:35.097269+00:00
108,23,APPROVAL_RESULT,RR-1063 approved,Your requisition was approved at DOA.,READ,RR,63,2026-01-06T15:18:35.097269+00:00,2026-01-07T11:18:35.097269+00:00
109,23,PO_CREATED,PO-3087 created,A purchase order has been created for your requisition.,READ,PO,87,2026-01-23T03:18:35.097269+00:00,2026-01-23T13:18:35.097269+00:00
110,3,APPROVAL_RESULT,RR-1064 approved,Your requisition was approved at DOA.,READ,RR,64,2026-01-15T16:18:35.097269+00:00,2026-01-15T23:18:35.097269+00:00
111,3,PO_CREATED,PO-3088 created,A purchase order has been created for your requisition.,UNREAD,PO,88,2026-01-24T16:18:35.097269+00:00,
112,7,APPROVAL_RESULT,RR-1065 approved,Your requisition was approved at DOA.,READ,RR,65,2026-04-29T17:18:35.097269+00:00,2026-04-30T20:18:35.097269+00:00
113,7,PO_CREATED,PO-3089 created,A purchase order has been created for your requisition.,READ,PO,89,2026-05-16T17:18:35.097269+00:00,2026-05-16T22:18:35.097269+00:00
114,7,APPROVAL_RESULT,RR-1066 approved,Your requisition was approved at DOA.,READ,RR,66,2026-03-05T23:18:35.097269+00:00,2026-03-06T03:18:35.097269+00:00
115,7,PO_CREATED,PO-3090 created,A purchase order has been created for your requisition.,READ,PO,90,2026-04-14T23:18:35.097269+00:00,2026-04-16T00:18:35.097269+00:00
116,15,APPROVAL_RESULT,RR-1067 approved,Your requisition was approved at DOA.,READ,RR,67,2026-04-12T04:18:35.097269+00:00,2026-04-12T08:18:35.097269+00:00
117,15,PO_CREATED,PO-3091 created,A purchase order has been created for your requisition.,UNREAD,PO,91,2026-05-06T04:18:35.097269+00:00,
118,2,APPROVAL_REQUEST,DOA approval needed: RR-1068,A requisition is waiting on your DOA approval.,UNREAD,RR,68,2026-04-26T15:18:35.097269+00:00,
119,5,APPROVAL_RESULT,RR-1069 approved,Your requisition was approved at DOA.,READ,RR,69,2026-05-30T22:18:35.097269+00:00,2026-05-30T23:18:35.097269+00:00
120,5,PO_CREATED,PO-3092 created,A purchase order has been created for your requisition.,READ,PO,92,2026-06-10T22:18:35.097269+00:00,2026-06-11T13:18:35.097269+00:00
121,16,APPROVAL_RESULT,RR-1070 approved,Your requisition was approved at DOA.,UNREAD,RR,70,2026-02-16T03:18:35.097269+00:00,
122,16,PO_CREATED,PO-3093 created,A purchase order has been created for your requisition.,UNREAD,PO,93,2026-02-25T03:18:35.097269+00:00,
123,6,APPROVAL_RESULT,RR-1071 approved,Your requisition was approved at DOA.,READ,RR,71,2026-03-06T10:18:35.097269+00:00,2026-03-06T20:18:35.097269+00:00
124,6,PO_CREATED,PO-3094 created,A purchase order has been created for your requisition.,READ,PO,94,2026-04-22T04:18:35.097269+00:00,2026-04-23T04:18:35.097269+00:00
125,6,APPROVAL_RESULT,RR-1072 approved,Your requisition was approved at DOA.,READ,RR,72,2026-06-30T05:18:35.097269+00:00,2026-06-30T07:18:35.097269+00:00
126,6,PO_CREATED,PO-3095 created,A purchase order has been created for your requisition.,READ,PO,95,2026-07-30T05:18:35.097269+00:00,2026-07-30T12:18:35.097269+00:00
127,16,APPROVAL_RESULT,RR-1073 approved,Your requisition was approved at DOA.,READ,RR,73,2025-12-26T22:18:35.097269+00:00,2025-12-27T06:18:35.097269+00:00
128,16,PO_CREATED,PO-3096 created,A purchase order has been created for your requisition.,READ,PO,96,2026-01-08T22:18:35.097269+00:00,2026-01-10T02:18:35.097269+00:00
129,15,APPROVAL_REQUEST,DOA approval needed: RR-1074,A requisition is waiting on your DOA approval.,UNREAD,RR,74,2026-08-02T17:18:35.097269+00:00,
130,7,APPROVAL_RESULT,RR-1075 approved,Your requisition was approved at DOA.,UNREAD,RR,75,2026-01-31T01:18:35.097269+00:00,
131,7,PO_CREATED,PO-3097 created,A purchase order has been created for your requisition.,READ,PO,97,2026-03-17T01:18:35.097269+00:00,2026-03-18T06:18:35.097269+00:00
132,3,APPROVAL_RESULT,RR-1076 approved,Your requisition was approved at DOA.,READ,RR,76,2026-07-01T16:18:35.097269+00:00,2026-07-02T04:18:35.097269+00:00
133,3,APPROVAL_REQUEST,DOA approval needed: RR-1077,A requisition is waiting on your DOA approval.,UNREAD,RR,77,2026-07-31T13:18:35.097269+00:00,
134,5,APPROVAL_RESULT,RR-1078 approved,Your requisition was approved at DOA.,UNREAD,RR,78,2026-06-10T18:18:35.097269+00:00,
135,5,PO_CREATED,PO-3098 created,A purchase order has been created for your requisition.,UNREAD,PO,98,2026-06-12T18:18:35.097269+00:00,
136,1,APPROVAL_RESULT,RR-1079 approved,Your requisition was approved at DOA.,READ,RR,79,2026-02-02T21:18:35.097269+00:00,2026-02-03T15:18:35.097269+00:00
137,1,PO_CREATED,PO-3099 created,A purchase order has been created for your requisition.,READ,PO,99,2026-02-19T21:18:35.097269+00:00,2026-02-20T19:18:35.097269+00:00
138,10,APPROVAL_RESULT,RR-1080 approved,Your requisition was approved at DOA.,READ,RR,80,2026-02-19T21:18:35.097269+00:00,2026-02-20T07:18:35.097269+00:00
139,10,PO_CREATED,PO-3100 created,A purchase order has been created for your requisition.,READ,PO,100,2026-02-24T21:18:35.097269+00:00,2026-02-26T00:18:35.097269+00:00
140,9,APPROVAL_RESULT,RR-1081 approved,Your requisition was approved at DOA.,UNREAD,RR,81,2026-01-28T11:18:35.097269+00:00,
141,9,PO_CREATED,PO-3101 created,A purchase order has been created for your requisition.,UNREAD,PO,101,2026-03-23T11:18:35.097269+00:00,
142,10,APPROVAL_RESULT,RR-1083 approved,Your requisition was approved at DOA.,READ,RR,83,2026-06-07T06:18:35.097269+00:00,2026-06-08T05:18:35.097269+00:00
143,10,PO_CREATED,PO-3102 created,A purchase order has been created for your requisition.,UNREAD,PO,102,2026-06-23T06:18:35.097269+00:00,
144,3,APPROVAL_REQUEST,DOA approval needed: RR-1084,A requisition is waiting on your DOA approval.,UNREAD,RR,84,2026-08-17T07:18:35.097269+00:00,
145,9,APPROVAL_RESULT,RR-1085 approved,Your requisition was approved at DOA.,READ,RR,85,2026-07-02T13:18:35.097269+00:00,2026-07-03T13:18:35.097269+00:00
146,9,PO_CREATED,PO-3103 created,A purchase order has been created for your requisition.,UNREAD,PO,103,2026-07-15T13:18:35.097269+00:00,
147,15,APPROVAL_REQUEST,DOA approval needed: RR-1087,A requisition is waiting on your DOA approval.,UNREAD,RR,87,2026-05-12T13:18:35.097269+00:00,
148,21,APPROVAL_RESULT,RR-1088 approved,Your requisition was approved at DOA.,UNREAD,RR,88,2026-05-17T21:18:35.097269+00:00,
149,21,PO_CREATED,PO-3104 created,A purchase order has been created for your requisition.,UNREAD,PO,104,2026-05-26T21:18:35.097269+00:00,
150,24,APPROVAL_RESULT,RR-1089 approved,Your requisition was approved at DOA.,READ,RR,89,2026-04-20T12:18:35.097269+00:00,2026-04-21T00:18:35.097269+00:00
151,24,PO_CREATED,PO-3105 created,A purchase order has been created for your requisition.,UNREAD,PO,105,2026-05-27T12:18:35.097269+00:00,
152,23,APPROVAL_RESULT,RR-1090 approved,Your requisition was approved at DOA.,READ,RR,90,2026-06-14T15:18:35.097269+00:00,2026-06-15T00:18:35.097269+00:00
153,23,PO_CREATED,PO-3106 created,A purchase order has been created for your requisition.,UNREAD,PO,106,2026-07-17T15:18:35.097269+00:00,
154,16,APPROVAL_RESULT,RR-1091 approved,Your requisition was approved at DOA.,READ,RR,91,2026-06-25T06:18:35.097269+00:00,2026-06-25T18:18:35.097269+00:00
155,12,APPROVAL_RESULT,RR-1092 approved,Your requisition was approved at DOA.,UNREAD,RR,92,2026-02-19T03:18:35.097269+00:00,
156,12,PO_CREATED,PO-3107 created,A purchase order has been created for your requisition.,READ,PO,107,2026-03-01T03:18:35.097269+00:00,2026-03-02T05:18:35.097269+00:00
157,2,APPROVAL_RESULT,RR-1093 rejected,Your requisition was rejected at DOA approval.,READ,RR,93,2026-04-17T23:18:35.097269+00:00,2026-04-18T02:18:35.097269+00:00
158,5,APPROVAL_RESULT,RR-1094 approved,Your requisition was approved at DOA.,UNREAD,RR,94,2026-01-13T01:18:35.097269+00:00,
159,5,PO_CREATED,PO-3108 created,A purchase order has been created for your requisition.,UNREAD,PO,108,2026-02-24T01:18:35.097269+00:00,
160,4,APPROVAL_RESULT,RR-1095 approved,Your requisition was approved at DOA.,READ,RR,95,2026-02-02T19:18:35.097269+00:00,2026-02-03T03:18:35.097269+00:00
161,4,PO_CREATED,PO-3109 created,A purchase order has been created for your requisition.,READ,PO,109,2026-02-07T19:18:35.097269+00:00,2026-02-08T11:18:35.097269+00:00
162,10,APPROVAL_RESULT,RR-1096 approved,Your requisition was approved at DOA.,READ,RR,96,2026-05-02T13:18:35.097269+00:00,2026-05-03T05:18:35.097269+00:00
163,10,PO_CREATED,PO-3110 created,A purchase order has been created for your requisition.,UNREAD,PO,110,2026-05-19T13:18:35.097269+00:00,
164,17,APPROVAL_RESULT,RR-1097 approved,Your requisition was approved at DOA.,READ,RR,97,2025-12-26T05:18:35.097269+00:00,2025-12-27T00:18:35.097269+00:00
165,17,PO_CREATED,PO-3111 created,A purchase order has been created for your requisition.,UNREAD,PO,111,2025-12-28T05:18:35.097269+00:00,
166,7,APPROVAL_RESULT,RR-1098 approved,Your requisition was approved at DOA.,UNREAD,RR,98,2026-08-03T20:18:35.097269+00:00,
167,7,PO_CREATED,PO-3112 created,A purchase order has been created for your requisition.,UNREAD,PO,112,2026-08-16T20:18:35.097269+00:00,
168,18,APPROVAL_RESULT,RR-1099 approved,Your requisition was approved at DOA.,UNREAD,RR,99,2026-05-04T02:18:35.097269+00:00,
169,18,PO_CREATED,PO-3113 created,A purchase order has been created for your requisition.,UNREAD,PO,113,2026-05-18T02:18:35.097269+00:00,
170,5,APPROVAL_RESULT,RR-1100 approved,Your requisition was approved at DOA.,READ,RR,100,2026-02-28T07:18:35.097269+00:00,2026-02-28T12:18:35.097269+00:00
171,5,PO_CREATED,PO-3114 created,A purchase order has been created for your requisition.,READ,PO,114,2026-04-13T07:18:35.097269+00:00,2026-04-13T09:18:35.097269+00:00
172,15,APPROVAL_RESULT,RR-1101 approved,Your requisition was approved at DOA.,READ,RR,101,2026-01-02T08:18:35.097269+00:00,2026-01-03T04:18:35.097269+00:00
173,18,APPROVAL_RESULT,RR-1102 approved,Your requisition was approved at DOA.,READ,RR,102,2026-01-28T19:18:35.097269+00:00,2026-01-29T09:18:35.097269+00:00
174,18,PO_CREATED,PO-3115 created,A purchase order has been created for your requisition.,READ,PO,115,2026-03-13T19:18:35.097269+00:00,2026-03-14T01:18:35.097269+00:00
175,23,APPROVAL_RESULT,RR-1103 approved,Your requisition was approved at DOA.,READ,RR,103,2026-08-14T01:18:35.097269+00:00,2026-08-14T02:18:35.097269+00:00
176,23,PO_CREATED,PO-3116 created,A purchase order has been created for your requisition.,READ,PO,116,2026-08-20T01:18:35.097269+00:00,2026-08-20T11:18:35.097269+00:00
177,9,APPROVAL_RESULT,RR-1104 approved,Your requisition was approved at DOA.,READ,RR,104,2026-01-08T12:18:35.097269+00:00,2026-01-09T05:18:35.097269+00:00
