id,pr_number,rr_id,creation_date,required_date,status,buyer_id,plant,total_value,source_system,doc_type,duplicate_flag,duplicate_context
67,PR-2067,23,2026-05-01,2026-06-07,PO_CREATED,24,BMM,160549.7,synthetic,NEW_BUY,false,
68,PR-2068,24,2026-01-15,2026-02-16,PO_CREATED,5,BMM,106144.74,synthetic,NEW_BUY,false,
69,PR-2069,25,2026-02-21,2026-04-11,PO_CREATED,24,Gamsberg,23609.96,synthetic,NEW_BUY,false,
70,PR-2070,26,2026-05-11,2026-06-03,PO_CREATED,24,Gamsberg,844417.12,synthetic,NEW_BUY,false,
71,PR-2071,27,2026-03-01,2026-04-13,PO_CREATED,13,BMM,378719.76,synthetic,NEW_BUY,false,
72,PR-2072,28,2026-07-08,2026-08-28,PO_CREATED,24,Gamsberg,40751.04,synthetic,NEW_BUY,false,
73,PR-2073,30,2026-03-25,2026-04-17,PO_CREATED,13,BMM,642503.25,synthetic,NEW_BUY,false,
74,PR-2074,31,2026-05-29,2026-06-30,AWAITING_PO,5,Gamsberg,1667481.95,synthetic,NEW_BUY,false,
75,PR-2075,32,2026-07-23,2026-08-24,PO_CREATED,13,Gamsberg,889141.59,synthetic,NEW_BUY,false,
76,PR-2076,33,2026-03-18,2026-05-07,PO_CREATED,12,Gamsberg,228601.01,synthetic,NEW_BUY,false,
77,PR-2077,34,2026-07-29,2026-08-30,AWAITING_RFQ,13,BMM,561616.78,synthetic,NEW_BUY,false,
78,PR-2078,35,2026-08-22,2026-10-12,PO_CREATED,5,BMM,441103.41,synthetic,NEW_BUY,false,
79,PR-2079,36,2026-03-02,2026-04-02,PO_CREATED,5,BMM,2528033.79,synthetic,NEW_BUY,false,
80,PR-2080,38,2026-04-13,2026-04-22,PO_CREATED,12,Gamsberg,3284125.5,synthetic,NEW_BUY,false,
81,PR-2081,40,2026-08-25,2026-09-24,PO_CREATED,5,BMM,570549.42,synthetic,NEW_BUY,false,
82,PR-2082,41,2026-07-07,2026-06-17,AWAITING_PO,12,Gamsberg,1633406.86,synthetic,NEW_BUY,false,
83,PR-2083,42,2026-07-13,2026-08-21,PO_CREATED,13,BMM,1123809.23,synthetic,NEW_BUY,false,
84,PR-2084,43,2026-05-17,2026-07-06,PO_CREATED,13,Gamsberg,32362.56,synthetic,NEW_BUY,false,
85,PR-2085,44,2026-06-05,2026-07-18,REJECTED,12,Gamsberg,1742445.4,synthetic,NEW_BUY,false,
86,PR-2086,45,2026-01-04,2026-02-05,AWAITING_PO,24,Gamsberg,274669.34,synthetic,NEW_BUY,false,
87,PR-2087,46,2026-05-08,2026-05-18,PO_CREATED,24,Gamsberg,1452602.48,synthetic,NEW_BUY,false,
88,PR-2088,47,2026-04-23,2026-05-29,PO_CREATED,5,BMM,425501.28,synthetic,NEW_BUY,false,
89,PR-2089,48,2026-03-21,2026-04-28,PO_CREATED,5,BMM,773671.62,synthetic,NEW_BUY,false,
90,PR-2090,49,2026-04-22,2026-05-20,PO_CREATED,24,BMM,24202.35,synthetic,NEW_BUY,false,
91,PR-2091,50,2026-08-20,2026-09-16,PO_CREATED,13,BMM,204981.3,synthetic,NEW_BUY,true,"{""detected_at"": ""2026-08-18T02:18:35.097269+00:00"", ""plant"": ""BMM"", ""chain_count"": 1, ""materials"": [{""material_id"": 34, ""material_code"": ""80-10034"", ""material_description"": ""Knife Gate Valve, 40mm (1.5\""), rubber lined"", ""plant"": ""BMM"", ""is_repairable"": true, ""has_active_chain"": true, ""total_quantity_under_repair"": 1.0, ""earliest_expected_return"": ""2026-08-07"", ""chains"": [{""material_id"": 34, ""material_code"": ""80-10034"", ""material_description"": ""Knife Gate Valve, 40mm (1.5\""), rubber lined"", ""material_group"": ""Valves"", ""plant"": ""BMM"", ""repair_pr_number"": ""RPR-2036"", ""repair_pr_id"": 36, ""repair_po_number"": ""RPO-3032"", ""repair_po_id"": 32, ""supplier_id"": 23, ""vendor"": ""Karoo Pump Solutions (Pty) Ltd"", ""quantity_under_repair"": 1.0, ""repair_value"": 14358.4, ""opened_at"": ""2026-06-24"", ""expected_return"": ""2026-08-07"", ""days_open"": 63, ""days_overdue"": 19, ""overdue"": true, ""stage"": ""AT_VENDOR""}]}]}"
92,PR-2092,51,2026-04-24,2026-05-22,AWAITING_RFQ,13,Gamsberg,179229.32,synthetic,NEW_BUY,false,
93,PR-2093,52,2026-04-23,2026-05-07,AWAITING_RFQ,24,Gamsberg,316310.28,synthetic,NEW_BUY,false,
94,PR-2094,53,2026-07-07,2026-08-16,AWAITING_PO,5,Gamsberg,926960.95,synthetic,NEW_BUY,false,
95,PR-2095,55,2026-04-12,2026-05-14,PO_CREATED,13,BMM,1245392.16,synthetic,NEW_BUY,false,
96,PR-2096,56,2026-06-22,2026-07-21,PO_CREATED,13,Gamsberg,617576.79,synthetic,NEW_BUY,false,
97,PR-2097,57,2026-08-05,2026-08-31,PO_CREATED,24,Gamsberg,5219123.56,synthetic,NEW_BUY,false,
98,PR-2098,58,2026-05-31,2026-06-22,PO_CREATED,24,Gamsberg,401132.16,synthetic,NEW_BUY,false,
99,PR-2099,59,2026-05-12,2026-07-02,AWAITING_PO,12,BMM,1244583.84,synthetic,NEW_BUY,false,
100,PR-2100,60,2026-05-23,2026-06-06,PO_CREATED,12,BMM,153182.7,synthetic,NEW_BUY,false,
101,PR-2101,61,2026-03-15,2026-04-16,PO_CREATED,24,BMM,2605399.2,synthetic,NEW_BUY,false,
102,PR-2102,62,2026-06-21,2026-07-21,AWAITING_PO,13,Gamsberg,450932.72,synthetic,NEW_BUY,false,
103,PR-2103,63,2026-01-08,2026-02-15,PO_CREATED,5,BMM,16669.35,synthetic,NEW_BUY,false,
104,PR-2104,64,2026-01-17,2026-03-04,PO_CREATED,24,BMM,3593200.72,synthetic,NEW_BUY,false,
105,PR-2105,65,2026-04-30,2026-06-07,PO_CREATED,5,Gamsberg,934351.41,synthetic,NEW_BUY,false,
106,PR-2106,66,2026-03-07,2026-04-26,PO_CREATED,12,Gamsberg,836120.15,synthetic,NEW_BUY,false,
107,PR-2107,67,2026-05-02,2026-06-06,PO_CREATED,24,Gamsberg,1505500.32,synthetic,NEW_BUY,false,
108,PR-2108,69,2026-06-01,2026-06-05,PO_CREATED,24,Gamsberg,504308.18,synthetic,NEW_BUY,false,
109,PR-2109,70,2026-02-18,2026-03-11,PO_CREATED,13,Gamsberg,2469412.71,synthetic,NEW_BUY,false,
110,PR-2110,71,2026-03-07,2026-04-04,PO_CREATED,13,BMM,254420.6,synthetic,NEW_BUY,false,
111,PR-2111,72,2026-07-22,2026-08-07,PO_CREATED,13,BMM,502256.9,synthetic,NEW_BUY,false,
112,PR-2112,73,2025-12-27,2026-01-17,PO_CREATED,24,Gamsberg,520826.49,synthetic,NEW_BUY,false,
113,PR-2113,75,2026-02-01,2026-02-26,PO_CREATED,12,Gamsberg,84364.5,synthetic,NEW_BUY,false,
114,PR-2114,76,2026-07-02,2026-07-14,AWAITING_PO,24,BMM,420798.48,synthetic,NEW_BUY,false,
115,PR-2115,78,2026-06-11,2026-07-17,PO_CREATED,5,Gamsberg,146188.98,synthetic,NEW_BUY,false,
116,PR-2116,79,2026-02-04,2026-03-12,PO_CREATED,13,Gamsberg,1168340.98,synthetic,NEW_BUY,false,
117,PR-2117,80,2026-02-20,2026-04-12,PO_CREATED,13,BMM,549.6,synthetic,NEW_BUY,false,
118,PR-2118,81,2026-01-29,2026-02-22,PO_CREATED,13,Gamsberg,505245.73,synthetic,NEW_BUY,false,
119,PR-2119,83,2026-06-08,2026-06-28,PO_CREATED,13,BMM,95345.4,synthetic,NEW_BUY,false,
120,PR-2120,85,2026-07-03,2026-07-25,PO_CREATED,24,Gamsberg,35413.8,synthetic,NEW_BUY,false,
121,PR-2121,88,2026-05-18,2026-06-29,PO_CREATED,12,BMM,824593.77,synthetic,NEW_BUY,false,
122,PR-2122,89,2026-04-23,2026-06-04,PO_CREATED,5,Gamsberg,274386.42,synthetic,NEW_BUY,false,
123,PR-2123,90,2026-06-16,2026-08-07,PO_CREATED,24,BMM,164022.38,synthetic,NEW_BUY,false,
124,PR-2124,91,2026-06-28,2026-08-20,AWAITING_RFQ,13,Gamsberg,1856995.78,synthetic,NEW_BUY,false,
125,PR-2125,92,2026-02-22,2026-04-11,PO_CREATED,5,Gamsberg,92626.4,synthetic,NEW_BUY,false,
126,PR-2126,94,2026-01-16,2026-03-09,PO_CREATED,5,Gamsberg,281367.53,synthetic,NEW_BUY,false,
127,PR-2127,95,2026-02-03,2026-04-01,PO_CREATED,12,Gamsberg,1586907.11,synthetic,NEW_BUY,false,
128,PR-2128,96,2026-05-05,2026-06-20,PO_CREATED,5,BMM,2103475.76,synthetic,NEW_BUY,false,
129,PR-2129,97,2025-12-27,2026-01-07,PO_CREATED,13,Gamsberg,47080.25,synthetic,NEW_BUY,false,
130,PR-2130,98,2026-08-04,2026-08-24,PO_CREATED,24,Gamsberg,9910.44,synthetic,NEW_BUY,false,
131,PR-2131,99,2026-05-05,2026-05-28,PO_CREATED,5,Gamsberg,1307606.95,synthetic,NEW_BUY,false,
132,PR-2132,100,2026-03-03,2026-03-19,PO_CREATED,12,Gamsberg,390863.48,synthetic,NEW_BUY,false,
133,PR-2133,101,2026-01-03,2026-01-26,AWAITING_PO,12,Gamsberg,2830988.29,synthetic,NEW_BUY,false,
134,PR-2134,102,2026-01-29,2026-02-26,PO_CREATED,5,Gamsberg,1951442.14,synthetic,NEW_BUY,false,
135,PR-2135,103,2026-08-15,2026-09-13,PO_CREATED,12,BMM,152801.44,synthetic,NEW_BUY,true,"{""detected_at"": ""2026-08-13T01:18:35.097269+00:00"", ""plant"": ""BMM"", ""chain_count"": 1, ""materials"": [{""material_id"": 50, ""material_code"": ""80-10050"", ""material_description"": ""Butterfly Valve, 80mm (3\""), wafer type"", ""plant"": ""BMM"", ""is_repairable"": true, ""has_active_chain"": true, ""total_quantity_under_repair"": 3.0, ""earliest_expected_return"": ""2026-08-10"", ""chains"": [{""material_id"": 50, ""material_code"": ""80-10050"", ""material_description"": ""Butterfly Valve, 80mm (3\""), wafer type"", ""material_group"": ""Valves"", ""plant"": ""BMM"", ""repair_pr_number"": ""RPR-2033"", ""repair_pr_id"": 33, ""repair_po_number"": ""RPO-3029"", ""repair_po_id"": 29, ""supplier_id"": 11, ""vendor"": ""Waterberg Valve & Fittings (Pty) Ltd"", ""quantity_under_repair"": 3.0, ""repair_value"": 9260.37, ""opened_at"": ""2026-06-28"", ""expected_return"": ""2026-08-10"", ""days_open"": 59, ""days_overdue"": 16, ""overdue"": true, ""stage"": ""AT_VENDOR""}]}]}"
136,PR-2136,104,2026-01-09,2026-03-03,PO_CREATED,12,Gamsberg,2979789.05,synthetic,NEW_BUY,false,
137,PR-2137,105,2026-08-24,2026-09-28,AWAITING_NFA,12,Gamsberg,1267535.41,synthetic,NEW_BUY,false,
138,PR-2138,106,2026-04-09,2026-05-15,PO_CREATED,24,Gamsberg,1071742.14,synthetic,NEW_BUY,false,
139,PR-2139,107,2026-01-29,2026-03-21,PO_CREATED,12,Gamsberg,2289291.4,synthetic,NEW_BUY,false,
140,PR-2140,109,2026-05-08,2026-06-23,AWAITING_RFQ,5,BMM,1641180.73,synthetic,NEW_BUY,false,
141,PR-2141,111,2026-02-24,2026-04-02,PO_CREATED,12,BMM,537719.74,synthetic,NEW_BUY,false,
142,PR-2142,113,2026-07-05,2026-07-12,PO_CREATED,13,Gamsberg,2823639.0,synthetic,NEW_BUY,false,
143,PR-2143,114,2026-01-13,2026-01-11,PO_CREATED,12,Gamsberg,714341.09,synthetic,NEW_BUY,false,
144,PR-2144,115,2026-02-23,2026-04-21,PO_CREATED,13,BMM,1023466.31,synthetic,NEW_BUY,false,
145,PR-2145,117,2026-03-25,2026-04-10,PO_CREATED,13,BMM,634807.04,synthetic,NEW_BUY,false,
146,PR-2146,118,2026-08-07,2026-09-08,PO_CREATED,24,BMM,32255.12,synthetic,NEW_BUY,true,"{""detected_at"": ""2026-08-02T03:18:35.097269+00:00"", ""plant"": ""BMM"", ""chain_count"": 1, ""materials"": [{""material_id"": 176, ""material_code"": ""80-10176"", ""material_description"": ""Gland Packing Set, shaft 65mm, PTFE impregnated"", ""plant"": ""BMM"", ""is_repairable"": true, ""has_active_chain"": true, ""total_quantity_under_repair"": 3.0, ""earliest_expected_return"": ""2026-09-17"", ""chains"": [{""material_id"": 176, ""material_code"": ""80-10176"", ""material_description"": ""Gland Packing Set, shaft 65mm, PTFE impregnated"", ""material_group"": ""Mechanical Seals"", ""plant"": ""BMM"", ""repair_pr_number"": ""RPR-2012"", ""repair_pr_id"": 12, ""repair_po_number"": ""RPO-3011"", ""repair_po_id"": 11, ""supplier_id"": 12, ""vendor"": ""Kimberley Seals & Sealing Systems (Pty) Ltd"", ""quantity_under_repair"": 3.0, ""repair_value"": 1493.79, ""opened_at"": ""2026-07-17"", ""expected_return"": ""2026-09-17"", ""days_open"": 40, ""days_overdue"": 0, ""overdue"": false, ""stage"": ""AT_VENDOR""}]}]}"
147,PR-2147,119,2026-02-22,2026-03-13,PO_CREATED,24,Gamsberg,2463605.41,synthetic,NEW_BUY,false,
148,PR-2148,121,2026-07-18,2026-08-22,PO_CREATED,13,Gamsberg,1092689.55,synthetic,NEW_BUY,false,
149,PR-2149,124,2026-07-31,2026-09-04,PO_CREATED,24,Gamsberg,84681.44,synthetic,NEW_BUY,false,
150,PR-2150,125,2026-06-26,2026-07-10,PO_CREATED,13,BMM,15937.4,synthetic,NEW_BUY,false,
151,PR-2151,126,2026-02-09,2026-03-04,PO_CREATED,24,Gamsberg,467428.48,synthetic,NEW_BUY,false,
152,PR-2152,127,2026-08-19,2026-09-15,PO_CREATED,24,Gamsberg,254368.18,synthetic,NEW_BUY,true,"{""detected_at"": ""2026-08-16T20:18:35.097269+00:00"", ""plant"": ""Gamsberg"", ""chain_count"": 1, ""materials"": [{""material_id"": 187, ""material_code"": ""80-10187"", ""material_description"": ""Ball Mill Grinding Media, 40mm, forged steel balls"", ""plant"": ""Gamsberg"", ""is_repairable"": true, ""has_active_chain"": true, ""total_quantity_under_repair"": 1.0, ""earliest_expected_return"": ""2026-08-06"", ""chains"": [{""material_id"": 187, ""material_code"": ""80-10187"", ""material_description"": ""Ball Mill Grinding Media, 40mm, forged steel balls"", ""material_group"": ""Milling Components"", ""plant"": ""Gamsberg"", ""repair_pr_number"": ""RPR-2027"", ""repair_pr_id"": 27, ""repair_po_number"": ""RPO-3023"", ""repair_po_id"": 23, ""supplier_id"": 30, ""vendor"": ""Aggeneys Mining Equipment Traders (Pty) Ltd"", ""quantity_under_repair"": 1.0, ""repair_value"": 9141.37, ""opened_at"": ""2026-06-05"", ""expected_return"": ""2026-08-06"", ""days_open"": 82, ""days_overdue"": 20, ""overdue"": true, ""stage"": ""AT_VENDOR""}]}]}"
153,PR-2153,128,2026-03-21,2026-04-26,PO_CREATED,12,Gamsberg,5284474.98,synthetic,NEW_BUY,false,
154,PR-2154,129,2026-04-05,2026-05-12,PO_CREATED,13,Gamsberg,504524.32,synthetic,NEW_BUY,false,
155,PR-2155,130,2026-04-26,2026-05-15,PO_CREATED,12,Gamsberg,375673.67,synthetic,NEW_BUY,false,
156,PR-2156,131,2025-12-28,2026-01-23,AWAITING_PO,5,Gamsberg,1264858.5,synthetic,NEW_BUY,false,
157,PR-2157,133,2025-12-27,2026-01-21,PO_CREATED,13,Gamsberg,2278550.75,synthetic,NEW_BUY,false,
158,PR-2158,134,2026-08-29,2026-09-27,AWAITING_NFA,5,Gamsberg,1527634.94,synthetic,NEW_BUY,false,
159,PR-2159,135,2026-01-06,2026-01-17,PO_CREATED,5,BMM,1100198.65,synthetic,NEW_BUY,false,
160,PR-2160,136,2026-05-30,2026-06-11,PO_CREATED,13,BMM,181966.14,synthetic,NEW_BUY,false,
161,PR-2161,137,2026-03-20,2026-04-29,PO_CREATED,12,BMM,406913.6,synthetic,NEW_BUY,false,
162,PR-2162,138,2026-08-13,2026-09-16,AWAITING_NFA,13,BMM,205262.88,synthetic,NEW_BUY,false,
163,PR-2163,139,2026-01-22,2026-02-03,PO_CREATED,5,Gamsberg,3934201.9,synthetic,NEW_BUY,false,
164,PR-2164,140,2025-12-16,2025-12-27,PO_CREATED,12,BMM,758628.66,synthetic,NEW_BUY,false,
165,PR-2165,141,2026-07-10,2026-08-23,PO_CREATED,12,BMM,80458.56,synthetic,NEW_BUY,false,
166,PR-2166,142,2026-07-01,2026-07-11,PO_CREATED,5,BMM,1626135.11,synthetic,NEW_BUY,false,
167,PR-2167,143,2026-08-02,2026-09-20,REJECTED,24,Gamsberg,1997918.57,synthetic,NEW_BUY,false,
168,PR-2168,144,2026-07-02,2026-08-24,PO_CREATED,24,BMM,369804.15,synthetic,NEW_BUY,false,
169,PR-2169,145,2025-12-14,2026-02-02,AWAITING_PO,24,Gamsberg,148714.1,synthetic,NEW_BUY,false,
170,PR-2170,146,2026-02-20,2026-03-03,PO_CREATED,13,BMM,772541.88,synthetic,NEW_BUY,false,
171,PR-2171,149,2026-03-07,2026-04-09,PO_CREATED,24,Gamsberg,2678482.67,synthetic,NEW_BUY,false,
172,PR-2172,151,2026-04-24,2026-05-26,PO_CREATED,24,Gamsberg,598115.9,synthetic,NEW_BUY,false,
173,PR-2173,152,2026-08-15,2026-09-16,PO_CREATED,24,BMM,2368995.35,synthetic,NEW_BUY,false,
174,PR-2174,153,2026-08-08,2026-08-29,PO_CREATED,5,Gamsberg,715295.04,synthetic,NEW_BUY,false,
175,PR-2175,155,2026-07-12,2026-07-28,PO_CREATED,12,Gamsberg,15430.73,synthetic,NEW_BUY,false,
176,PR-2176,156,2026-05-15,2026-07-05,PO_CREATED,24,Gamsberg,434503.45,synthetic,NEW_BUY,false,
177,PR-2177,157,2026-08-03,2026-09-18,PO_CREATED,24,BMM,123889.82,synthetic,NEW_BUY,false,
178,PR-2178,158,2025-12-25,2026-02-10,PO_CREATED,24,Gamsberg,70696.24,synthetic,NEW_BUY,false,
179,PR-2179,159,2026-02-20,2026-03-08,PO_CREATED,5,Gamsberg,1545242.93,synthetic,NEW_BUY,false,
180,PR-2180,160,2025-12-09,2026-01-05,PO_CREATED,5,BMM,406686.1,synthetic,NEW_BUY,false,
181,PR-2181,161,2026-05-03,2026-05-19,PO_CREATED,5,Gamsberg,183283.69,synthetic,NEW_BUY,false,
182,PR-2182,162,2026-06-29,2026-08-07,PO_CREATED,24,Gamsberg,716371.5,synthetic,NEW_BUY,false,
183,PR-2183,163,2026-07-05,2026-08-16,PO_CREATED,12,Gamsberg,375562.8,synthetic,NEW_BUY,false,
184,PR-2184,164,2026-02-22,2026-04-16,PO_CREATED,13,BMM,4141000.17,synthetic,NEW_BUY,false,
185,PR-2185,165,2026-02-14,2026-02-26,PO_CREATED,12,Gamsberg,1948001.54,synthetic,NEW_BUY,false,
186,PR-2186,166,2026-03-25,2026-05-16,PO_CREATED,13,Gamsberg,47383.65,synthetic,NEW_BUY,false,
187,PR-2187,167,2026-01-25,2026-02-22,PO_CREATED,5,BMM,229194.34,synthetic,NEW_BUY,false,
188,PR-2188,168,2026-05-21,2026-05-29,PO_CREATED,5,BMM,1946437.52,synthetic,NEW_BUY,false,
189,PR-2189,169,2026-07-11,2026-08-25,AWAITING_RFQ,5,BMM,2631374.93,synthetic,NEW_BUY,false,
190,PR-2190,170,2026-07-11,2026-07-11,PO_CREATED,13,Gamsberg,1148708.66,synthetic,NEW_BUY,false,
191,PR-2191,172,2026-04-06,2026-04-19,AWAITING_PO,13,BMM,85602.1,synthetic,NEW_BUY,false,
192,PR-2192,173,2026-02-09,2026-03-31,PO_CREATED,5,Gamsberg,800636.03,synthetic,NEW_BUY,false,
193,PR-2193,174,2026-02-10,2026-03-12,PO_CREATED,12,BMM,85770.37,synthetic,NEW_BUY,false,
