case_id,Matnr,Werks,repair_pr,repair_po,repair_po_item,session_id,attestation_id,stage,removed_on,expected_back_on,returned_on,overdue,vendor_turnaround_days,notes
RPR-000034,000000000080000025,4000,2000008692,4500008642,00010,SESS-000763,ATT-000023,IN_REPAIR,2026-08-25,2026-09-28,,false,,Repair vendor Copperton Gearbox Refurbishment (Pt.
RPR-000035,000000000080000026,2000,2000008693,4500008643,00010,SESS-000764,,EXPECTED_BACK,2026-07-06,2026-09-13,,false,,Repair vendor Orange River Hydraulic Service Cent.
RPR-000036,000000000080000027,4000,2000008694,4500008644,00010,SESS-000765,,BACK_IN_STOCK,2026-02-11,2026-05-02,2026-05-06,false,74,Repair vendor Namaqua Hydraulic Service Centre (P.
RPR-000037,000000000080000028,2000,2000008695,4500008645,00010,SESS-000766,ATT-000024,RETURNED,2025-10-10,2026-01-13,2026-01-22,false,97,Repair vendor Springbok Mechanical Repair Works (.
RPR-000038,000000000080000029,3000,,,,SESS-000767,,NEW_PURCHASE_INSTEAD,,,,false,,New purchase on 4500008646 while a repairable unit was on hand.
RPR-000039,000000000080000029,1000,,,,SESS-000768,,NEW_PURCHASE_INSTEAD,,,,false,,New purchase on 4500008647 while a repairable unit was on hand.
RPR-000040,000000000080000030,3000,2000008698,4500008648,00010,SESS-000769,ATT-000025,BACK_IN_STOCK,2026-01-06,2026-03-07,2026-03-13,false,54,Repair vendor Springbok Mechanical Repair Works (.
RPR-000041,000000000080000030,1000,2000008699,4500008649,00010,SESS-000770,ATT-000026,OVERDUE,2026-04-16,2026-06-15,,true,,Repair vendor Kalahari Rotating Equipment Service.
RPR-000042,000000000080000031,2000,2000008700,4500008650,00010,SESS-000771,,BACK_IN_STOCK,2026-05-12,2026-07-03,2026-07-19,false,57,Repair vendor Springbok Rewind Services (Pty) Ltd.
RPR-000043,000000000080000032,4000,2000008701,4500008651,00010,SESS-000772,ATT-000027,RETURNED,2026-03-02,2026-05-15,2026-06-03,false,84,Repair vendor Copperton Gearbox Refurbishment (Pt.
RPR-000044,000000000080000033,1000,2000008702,4500008652,00010,SESS-000773,ATT-000028,BACK_IN_STOCK,2025-12-13,2026-01-23,2026-01-29,false,39,Repair vendor Prieska Mechanical Repair Works (Pt.
RPR-000045,000000000080000033,3000,2000008703,4500008653,00010,SESS-000774,ATT-000029,EXPECTED_BACK,2026-07-31,2026-09-11,,false,,Repair vendor Springbok Mechanical Repair Works (.
RPR-000046,000000000080000034,1000,,,,SESS-000775,,NEW_PURCHASE_INSTEAD,,,,false,,New purchase on 4500008654 while a repairable unit was on hand.
RPR-000047,000000000080000035,1000,2000008705,4500008655,00010,SESS-000776,ATT-000030,IN_REPAIR,2026-08-23,2026-10-07,,false,,Repair vendor Copperton Gearbox Refurbishment (Pt.
RPR-000048,000000000080000035,2000,2000008706,4500008656,00010,SESS-000777,ATT-000031,BACK_IN_STOCK,2026-03-05,2026-06-06,2026-06-26,false,105,Repair vendor Gariep Hydraulic Service Centre (Pt.
RPR-000049,000000000080000036,3000,2000008707,4500008657,00010,SESS-000778,ATT-000032,OVERDUE,2026-06-12,2026-08-25,,true,,Repair vendor Prieska Mechanical Repair Works (Pt.
RPR-000050,000000000080000037,4000,2000008708,4500008658,00010,SESS-000779,ATT-000033,EXPECTED_BACK,2026-07-19,2026-09-07,,false,,Repair vendor Kalahari Rotating Equipment Service.
RPR-000051,000000000080000038,4000,,,,SESS-000780,,NEW_PURCHASE_INSTEAD,,,,false,,New purchase on 4500008659 while a repairable unit was on hand.
RPR-000052,000000000080000039,4000,2000008710,4500008660,00010,SESS-000781,ATT-000034,OVERDUE,2026-05-09,2026-07-16,,true,,Repair vendor Namaqua Mechanical Repair Works (Pt.
RPR-000053,000000000080000040,1000,,,,SESS-000782,,NEW_PURCHASE_INSTEAD,,,,false,,New purchase on 4500008661 while a repairable unit was on hand.
RPR-000054,000000000080000041,2000,2000008712,4500008662,00010,SESS-000783,ATT-000035,BACK_IN_STOCK,2026-05-29,2026-07-08,2026-07-19,false,44,Repair vendor Namaqua Mechanical Repair Works (Pt.
RPR-000055,000000000080000042,4000,2000008713,4500008663,00010,SESS-000784,,BACK_IN_STOCK,2026-05-16,2026-08-06,2026-08-17,false,90,Repair vendor Orange River Hydraulic Service Cent.
RPR-000056,000000000080000043,4000,2000008714,4500008664,00010,SESS-000785,ATT-000036,BACK_IN_STOCK,2026-06-26,2026-08-21,2026-08-23,false,48,Repair vendor Orange River Gearbox Refurbishment .
RPR-000057,000000000080000044,3000,2000008715,4500008665,00010,SESS-000786,ATT-000037,IN_REPAIR,2026-08-08,2026-09-26,,false,,Repair vendor Kalahari Rotating Equipment Service.
RPR-000058,000000000080000045,3000,2000008716,4500008666,00010,SESS-000787,ATT-000038,EXPECTED_BACK,2026-07-11,2026-09-07,,false,,Repair vendor Copperton Gearbox Refurbishment (Pt.
RPR-000059,000000000080000046,3000,2000008717,4500008667,00010,SESS-000788,ATT-000039,IN_REPAIR,2026-08-23,2026-09-29,,false,,Repair vendor Springbok Hydraulic Service Centre .
RPR-000060,000000000080000046,4000,2000008718,4500008668,00010,SESS-000789,ATT-000040,OVERDUE,2026-06-29,2026-08-09,,true,,Repair vendor Copperton Gearbox Refurbishment (Pt.
RPR-000061,000000000080000047,4000,,,,SESS-000790,,NEW_PURCHASE_INSTEAD,,,,false,,New purchase on 4500008669 while a repairable unit was on hand.
RPR-000062,000000000080000047,2000,2000008720,4500008670,00010,SESS-000791,ATT-000041,RETURNED,2026-02-12,2026-04-17,2026-04-19,false,56,Repair vendor Aggeneys Rotating Equipment Service.
RPR-000063,000000000080000048,3000,2000008721,4500008671,00010,SESS-000792,ATT-000042,OVERDUE,2026-05-20,2026-08-14,,true,,Repair vendor Copperton Gearbox Refurbishment (Pt.
RPR-000064,000000000080000049,3000,2000008722,4500008672,00010,SESS-000793,,OVERDUE,2026-05-07,2026-07-03,,true,,Repair vendor Aggeneys Rotating Equipment Service.
RPR-000065,000000000080000050,3000,2000008723,4500008673,00010,SESS-000794,ATT-000043,RETURNED,2025-11-22,2026-02-20,2026-03-09,false,103,Repair vendor Orange River Hydraulic Service Cent.
RPR-000066,000000000080000051,2000,2000008724,4500008674,00010,SESS-000795,ATT-000044,OVERDUE,2026-06-10,2026-07-12,,true,,Repair vendor Aggeneys Rotating Equipment Service.
RPR-000067,000000000080000052,4000,2000008725,4500008675,00010,SESS-000796,,OVERDUE,2026-05-02,2026-07-08,,true,,Repair vendor Prieska Mechanical Repair Works (Pt.
RPR-000068,000000000080000053,1000,2000008726,4500008676,00010,SESS-000797,ATT-000045,BACK_IN_STOCK,2025-11-14,2026-01-28,2026-02-21,false,91,Repair vendor Springbok Mechanical Repair Works (.
RPR-000069,000000000080000054,3000,2000008727,4500008677,00010,SESS-000798,,RETURNED,2026-04-23,2026-06-23,2026-07-06,false,62,Repair vendor Springbok Rewind Services (Pty) Ltd.
RPR-000070,000000000080000055,2000,2000008728,4500008678,00010,SESS-000799,ATT-000046,BACK_IN_STOCK,2026-02-27,2026-05-04,2026-05-10,false,62,Repair vendor Gariep Hydraulic Service Centre (Pt.
RPR-000071,000000000080000055,3000,2000008729,4500008679,00010,SESS-000800,ATT-000047,BACK_IN_STOCK,2026-06-02,2026-07-03,2026-07-05,false,27,Repair vendor Namaqua Hydraulic Service Centre (P.
RPR-000072,000000000080000056,2000,2000008730,4500008680,00010,SESS-000801,ATT-000048,BACK_IN_STOCK,2026-02-12,2026-04-19,2026-05-04,false,78,Repair vendor Kalahari Rotating Equipment Service.
RPR-000073,000000000080000057,3000,2000008731,4500008681,00010,SESS-000802,,OVERDUE,2026-03-28,2026-07-07,,true,,Repair vendor Kalahari Rotating Equipment Service.
RPR-000074,000000000080000058,1000,2000008732,4500008682,00010,SESS-000803,ATT-000049,IN_REPAIR,2026-08-10,2026-10-04,,false,,Repair vendor Copperton Gearbox Refurbishment (Pt.
RPR-000075,000000000080000060,3000,2000008733,4500008683,00010,SESS-000804,ATT-000050,BACK_IN_STOCK,2026-04-26,2026-08-01,2026-08-24,false,106,Repair vendor Springbok Rewind Services (Pty) Ltd.
RPR-000076,000000000080000061,2000,2000008734,4500008684,00010,SESS-000805,ATT-000051,OVERDUE,2026-06-11,2026-07-08,,true,,Repair vendor Namaqua Hydraulic Service Centre (P.
RPR-000077,000000000080000061,3000,2000008735,4500008685,00010,SESS-000806,ATT-000052,OVERDUE,2026-05-07,2026-07-16,,true,,Repair vendor Orange River Hydraulic Service Cent.
RPR-000078,000000000080000062,3000,2000008736,4500008686,00010,SESS-000807,,OVERDUE,2026-06-06,2026-08-07,,true,,Repair vendor Kalahari Rotating Equipment Service.
RPR-000079,000000000080000063,2000,2000008737,4500008687,00010,SESS-000808,ATT-000053,RETURNED,2026-07-02,2026-08-17,2026-09-05,false,58,Repair vendor Springbok Mechanical Repair Works (.
RPR-000080,000000000080000063,3000,2000008738,4500008688,00010,SESS-000809,ATT-000054,BACK_IN_STOCK,2026-02-25,2026-04-07,2026-04-17,false,39,Repair vendor Namaqua Mechanical Repair Works (Pt.
RPR-000081,000000000080000064,4000,,,,SESS-000810,,NEW_PURCHASE_INSTEAD,,,,false,,New purchase on 4500008689 while a repairable unit was on hand.
RPR-000082,000000000080000065,4000,2000008740,4500008690,00010,SESS-000811,ATT-000055,BACK_IN_STOCK,2026-03-06,2026-05-31,2026-06-19,false,99,Repair vendor Copperton Gearbox Refurbishment (Pt.
RPR-000083,000000000080000065,3000,,,,SESS-000812,,NEW_PURCHASE_INSTEAD,,,,false,,New purchase on 4500008691 while a repairable unit was on hand.
RPR-000084,000000000080000066,1000,,,,SESS-000813,,NEW_PURCHASE_INSTEAD,,,,false,,New purchase on 4500008692 while a repairable unit was on hand.
RPR-000085,000000000080000066,4000,2000008743,4500008693,00010,SESS-000814,ATT-000056,OVERDUE,2026-03-30,2026-06-11,,true,,Repair vendor Copperton Gearbox Refurbishment (Pt.
RPR-000086,000000000080000067,2000,2000008744,4500008694,00010,SESS-000815,,EXPECTED_BACK,2026-07-22,2026-09-12,,false,,Repair vendor Springbok Hydraulic Service Centre .
RPR-000087,000000000080000067,3000,2000008745,4500008695,00010,SESS-000816,ATT-000057,BACK_IN_STOCK,2026-01-18,2026-02-27,2026-03-17,false,54,Repair vendor Prieska Mechanical Repair Works (Pt.
RPR-000088,000000000080000068,3000,2000008746,4500008696,00010,SESS-000817,ATT-000058,OVERDUE,2026-04-05,2026-06-12,,true,,Repair vendor Namaqua Mechanical Repair Works (Pt.
RPR-000089,000000000080000069,2000,,,,SESS-000818,,NEW_PURCHASE_INSTEAD,,,,false,,New purchase on 4500008697 while a repairable unit was on hand.
RPR-000090,000000000080000069,4000,2000008748,4500008698,00010,SESS-000819,,BACK_IN_STOCK,2026-06-16,2026-08-07,2026-08-07,false,45,Repair vendor Namaqua Mechanical Repair Works (Pt.
RPR-000091,000000000080000070,4000,2000008749,4500008699,00010,SESS-000820,ATT-000059,EXPECTED_BACK,2026-06-23,2026-09-09,,false,,Repair vendor Namaqua Hydraulic Service Centre (P.
RPR-000092,000000000080000070,2000,2000008750,4500008700,00010,SESS-000821,ATT-000060,RETURNED,2026-01-23,2026-02-27,2026-03-17,false,43,Repair vendor Namaqua Hydraulic Service Centre (P.
RPR-000093,000000000080000071,1000,2000008751,4500008701,00010,SESS-000822,,EXPECTED_BACK,2026-06-29,2026-09-11,,false,,Repair vendor Orange River Hydraulic Service Cent.
RPR-000094,000000000080000072,1000,2000008752,4500008702,00010,SESS-000823,ATT-000061,BACK_IN_STOCK,2026-04-13,2026-05-21,2026-05-25,false,32,Repair vendor Orange River Gearbox Refurbishment .
RPR-000095,000000000080000073,3000,,,,SESS-000824,,NEW_PURCHASE_INSTEAD,,,,false,,New purchase on 4500008703 while a repairable unit was on hand.
RPR-000096,000000000080000074,2000,2000008754,4500008704,00010,SESS-000825,ATT-000062,OVERDUE,2026-04-28,2026-07-26,,true,,Repair vendor Namaqua Hydraulic Service Centre (P.
RPR-000097,000000000080000075,2000,2000008755,4500008705,00010,SESS-000826,,BACK_IN_STOCK,2026-06-24,2026-08-14,2026-08-23,false,47,Repair vendor Namaqua Mechanical Repair Works (Pt.
RPR-000098,000000000080000076,4000,,,,SESS-000827,,NEW_PURCHASE_INSTEAD,,,,false,,New purchase on 4500008706 while a repairable unit was on hand.
RPR-000099,000000000080000077,2000,2000008757,4500008707,00010,SESS-000828,ATT-000063,OVERDUE,2026-05-24,2026-08-20,,true,,Repair vendor Springbok Hydraulic Service Centre .
RPR-000100,000000000080000078,2000,2000008758,4500008708,00010,SESS-000829,ATT-000064,IN_REPAIR,2026-08-17,2026-11-25,,false,,Repair vendor Springbok Rewind Services (Pty) Ltd.
RPR-000101,000000000080000079,2000,,,,SESS-000830,,NEW_PURCHASE_INSTEAD,,,,false,,New purchase on 4500008709 while a repairable unit was on hand.
RPR-000102,000000000080000080,4000,2000008760,4500008710,00010,SESS-000831,ATT-000065,RETURNED,2026-05-18,2026-08-07,2026-08-07,false,76,Repair vendor Gariep Hydraulic Service Centre (Pt.
RPR-000103,000000000080000081,1000,2000008761,4500008711,00010,SESS-000832,ATT-000066,IN_REPAIR,2026-08-22,2026-09-29,,false,,Repair vendor Orange River Gearbox Refurbishment .
RPR-000104,000000000080000082,1000,2000008762,4500008712,00010,SESS-000833,ATT-000067,BACK_IN_STOCK,2026-03-05,2026-05-19,2026-05-19,false,70,Repair vendor Orange River Gearbox Refurbishment .
RPR-000105,000000000080000083,1000,2000008763,4500008713,00010,SESS-000834,,EXPECTED_BACK,2026-06-30,2026-09-09,,false,,Repair vendor Springbok Rewind Services (Pty) Ltd.
RPR-000106,000000000080000083,3000,2000008764,4500008714,00010,SESS-000835,ATT-000068,EXPECTED_BACK,2026-05-31,2026-09-14,,false,,Repair vendor Kalahari Rotating Equipment Service.
RPR-000107,000000000080000084,3000,2000008765,4500008715,00010,SESS-000836,ATT-000069,OVERDUE,2026-04-11,2026-07-14,,true,,Repair vendor Orange River Gearbox Refurbishment .
RPR-000108,000000000080000085,4000,2000008766,4500008716,00010,SESS-000837,,IN_REPAIR,2026-07-28,2026-09-22,,false,,Repair vendor Namaqua Mechanical Repair Works (Pt.
RPR-000109,000000000080000086,1000,2000008767,4500008717,00010,SESS-000838,ATT-000070,BACK_IN_STOCK,2025-12-04,2026-01-15,2026-01-17,false,33,Repair vendor Prieska Mechanical Repair Works (Pt.
RPR-000110,000000000080000087,3000,2000008768,4500008718,00010,SESS-000839,ATT-000071,OVERDUE,2026-05-27,2026-08-01,,true,,Repair vendor Prieska Mechanical Repair Works (Pt.
RPR-000111,000000000080000089,3000,2000008769,4500008719,00010,SESS-000840,ATT-000072,RETURNED,2026-03-03,2026-04-19,2026-05-09,false,57,Repair vendor Prieska Mechanical Repair Works (Pt.
RPR-000112,000000000080000090,3000,2000008770,4500008720,00010,SESS-000841,ATT-000073,IN_REPAIR,2026-07-23,2026-10-24,,false,,Repair vendor Orange River Gearbox Refurbishment .
RPR-000113,000000000080000090,1000,2000008771,4500008721,00010,SESS-000842,ATT-000074,IN_REPAIR,2026-07-28,2026-10-28,,false,,Repair vendor Orange River Hydraulic Service Cent.
RPR-000114,000000000080000091,3000,2000008772,4500008722,00010,SESS-000843,ATT-000075,IN_REPAIR,2026-08-07,2026-11-15,,false,,Repair vendor Springbok Rewind Services (Pty) Ltd.
RPR-000115,000000000080000092,3000,2000008773,4500008723,00010,SESS-000844,ATT-000076,RETURNED,2026-03-19,2026-04-20,2026-05-06,false,39,Repair vendor Springbok Rewind Services (Pty) Ltd.
RPR-000116,000000000080000092,1000,2000008774,4500008724,00010,SESS-000845,ATT-000077,BACK_IN_STOCK,2026-02-26,2026-06-02,2026-06-12,false,96,Repair vendor Copperton Gearbox Refurbishment (Pt.
RPR-000117,000000000080000093,3000,2000008775,4500008725,00010,SESS-000846,ATT-000078,OVERDUE,2026-04-07,2026-07-21,,true,,Repair vendor Springbok Hydraulic Service Centre .
RPR-000118,000000000080000095,2000,2000008776,4500008726,00010,SESS-000847,ATT-000079,EXPECTED_BACK,2026-08-08,2026-09-08,,false,,Repair vendor Kalahari Rotating Equipment Service.
RPR-000119,000000000080000096,3000,2000008777,4500008727,00010,SESS-000848,ATT-000080,EXPECTED_BACK,2026-07-29,2026-09-11,,false,,Repair vendor Springbok Mechanical Repair Works (.
RPR-000120,000000000080000096,4000,2000008778,4500008728,00010,SESS-000849,ATT-000081,IN_REPAIR,2026-08-26,2026-10-04,,false,,Repair vendor Orange River Gearbox Refurbishment .
RPR-000121,000000000080000097,4000,2000008779,4500008729,00010,SESS-000850,ATT-000082,IN_REPAIR,2026-07-14,2026-09-19,,false,,Repair vendor Namaqua Hydraulic Service Centre (P.
RPR-000122,000000000080000098,1000,2000008780,4500008730,00010,SESS-000851,ATT-000083,OVERDUE,2026-06-18,2026-07-15,,true,,Repair vendor Orange River Gearbox Refurbishment .
RPR-000123,000000000080000098,3000,2000008781,4500008731,00010,SESS-000852,ATT-000084,RETURNED,2025-11-09,2026-01-26,2026-02-11,false,85,Repair vendor Namaqua Mechanical Repair Works (Pt.
RPR-000124,000000000080000099,3000,2000008782,4500008732,00010,SESS-000853,ATT-000085,IN_REPAIR,2026-08-06,2026-10-23,,false,,Repair vendor Copperton Gearbox Refurbishment (Pt.
RPR-000125,000000000080000100,1000,2000008783,4500008733,00010,SESS-000854,ATT-000086,IN_REPAIR,2026-08-17,2026-09-20,,false,,Repair vendor Kalahari Rotating Equipment Service.
RPR-000126,000000000080000101,4000,,,,SESS-000855,,NEW_PURCHASE_INSTEAD,,,,false,,New purchase on 4500008734 while a repairable unit was on hand.
RPR-000127,000000000080000102,4000,2000008785,4500008735,00010,SESS-000856,ATT-000087,BACK_IN_STOCK,2026-03-16,2026-06-24,2026-07-03,false,101,Repair vendor Orange River Gearbox Refurbishment .
RPR-000128,000000000080000103,1000,2000008786,4500008736,00010,SESS-000857,ATT-000088,BACK_IN_STOCK,2025-12-27,2026-02-06,2026-02-12,false,35,Repair vendor Orange River Gearbox Refurbishment .
RPR-000129,000000000080000104,4000,2000008787,4500008737,00010,SESS-000858,ATT-000089,OVERDUE,2026-05-25,2026-07-15,,true,,Repair vendor Prieska Mechanical Repair Works (Pt.
RPR-000130,000000000080000104,3000,2000008788,4500008738,00010,SESS-000859,ATT-000090,BACK_IN_STOCK,2026-05-09,2026-06-19,2026-07-06,false,48,Repair vendor Gariep Hydraulic Service Centre (Pt.
RPR-000131,000000000080000105,3000,,,,SESS-000860,,NEW_PURCHASE_INSTEAD,,,,false,,New purchase on 4500008739 while a repairable unit was on hand.
RPR-000132,000000000080000105,4000,2000008790,4500008740,00010,SESS-000861,ATT-000091,IN_REPAIR,2026-08-21,2026-09-29,,false,,Repair vendor Orange River Gearbox Refurbishment .
RPR-000133,000000000080000106,3000,2000008791,4500008741,00010,SESS-000862,ATT-000092,BACK_IN_STOCK,2026-02-18,2026-05-03,2026-05-03,false,70,Repair vendor Namaqua Hydraulic Service Centre (P.
RPR-000134,000000000080000107,4000,2000008792,4500008742,00010,SESS-000863,ATT-000093,IN_REPAIR,2026-08-13,2026-11-05,,false,,Repair vendor Orange River Gearbox Refurbishment .
RPR-000135,000000000080000107,3000,2000008793,4500008743,00010,SESS-000864,ATT-000094,RETURNED,2025-12-01,2026-03-11,2026-04-02,false,115,Repair vendor Springbok Rewind Services (Pty) Ltd.
RPR-000136,000000000080000108,3000,,,,SESS-000865,,NEW_PURCHASE_INSTEAD,,,,false,,New purchase on 4500008744 while a repairable unit was on hand.
RPR-000137,000000000080000108,4000,,,,SESS-000866,,NEW_PURCHASE_INSTEAD,,,,false,,New purchase on 4500008745 while a repairable unit was on hand.
RPR-000138,000000000080000109,2000,2000008796,4500008746,00010,SESS-000867,ATT-000095,BACK_IN_STOCK,2026-04-23,2026-06-06,2026-06-17,false,49,Repair vendor Aggeneys Rotating Equipment Service.
RPR-000139,000000000080000109,4000,2000008797,4500008747,00010,SESS-000868,,RETURNED,2026-02-26,2026-05-20,2026-06-06,false,92,Repair vendor Aggeneys Rotating Equipment Service.
RPR-000140,000000000080000110,2000,2000008798,4500008748,00010,SESS-000869,ATT-000096,IN_REPAIR,2026-08-26,2026-10-28,,false,,Repair vendor Namaqua Hydraulic Service Centre (P.
RPR-000141,000000000080000111,4000,,,,SESS-000870,,NEW_PURCHASE_INSTEAD,,,,false,,New purchase on 4500008749 while a repairable unit was on hand.
RPR-000142,000000000080000112,2000,2000008800,4500008750,00010,SESS-000871,,BACK_IN_STOCK,2026-01-23,2026-03-03,2026-03-26,false,48,Repair vendor Kalahari Rotating Equipment Service.
RPR-000143,000000000080000113,4000,2000008801,4500008751,00010,SESS-000872,ATT-000097,EXPECTED_BACK,2026-07-27,2026-09-10,,false,,Repair vendor Copperton Gearbox Refurbishment (Pt.
RPR-000144,000000000080000114,1000,,,,SESS-000873,,NEW_PURCHASE_INSTEAD,,,,false,,New purchase on 4500008752 while a repairable unit was on hand.
RPR-000145,000000000080000114,3000,2000008803,4500008753,00010,SESS-000874,ATT-000098,RETURNED,2026-03-17,2026-04-17,2026-04-25,false,30,Repair vendor Copperton Gearbox Refurbishment (Pt.
RPR-000146,000000000080000115,3000,2000008804,4500008754,00010,SESS-000875,ATT-000099,OVERDUE,2026-05-01,2026-06-10,,true,,Repair vendor Namaqua Hydraulic Service Centre (P.
