service,entity_set,property,type,nullable,is_key
ZVZI_KPI02_SHARED_SRV,InfoRecordOrgSet,Esokz,Edm.String,false,K
ZVZI_KPI02_SHARED_SRV,InfoRecordOrgSet,Werks,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,InfoRecordOrgSet,Loekz,Edm.Boolean,false,
ZVZI_KPI02_SHARED_SRV,InfoRecordOrgSet,Waers,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,InfoRecordOrgSet,Aplfz,Edm.Decimal,false,
ZVZI_KPI02_SHARED_SRV,InfoRecordOrgSet,Netpr,Edm.Decimal,false,
ZVZI_KPI02_SHARED_SRV,InfoRecordOrgSet,Peinh,Edm.Decimal,false,
ZVZI_KPI02_SHARED_SRV,InfoRecordOrgSet,Effpr,Edm.Decimal,false,
ZVZI_KPI02_SHARED_SRV,PurchaseOrderSet,Ebeln,Edm.String,false,K
ZVZI_KPI02_SHARED_SRV,PurchaseOrderSet,Bsart,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,PurchaseOrderSet,Aedat,Edm.DateTime,false,
ZVZI_KPI02_SHARED_SRV,PurchaseOrderSet,Lifnr,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,PurchaseOrderSet,Ekorg,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,PurchaseOrderSet,Ekgrp,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,PurchaseOrderSet,Waers,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,PurchaseOrderItemSet,Ebeln,Edm.String,false,K
ZVZI_KPI02_SHARED_SRV,PurchaseOrderItemSet,Ebelp,Edm.String,false,K
ZVZI_KPI02_SHARED_SRV,PurchaseOrderItemSet,Loekz,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,PurchaseOrderItemSet,Txz01,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,PurchaseOrderItemSet,Matnr,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,PurchaseOrderItemSet,Werks,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,PurchaseOrderItemSet,Lgort,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,PurchaseOrderItemSet,Bednr,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,PurchaseOrderItemSet,Menge,Edm.Decimal,false,
ZVZI_KPI02_SHARED_SRV,PurchaseOrderItemSet,Meins,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,PurchaseOrderItemSet,Netpr,Edm.Decimal,false,
ZVZI_KPI02_SHARED_SRV,PurchaseOrderItemSet,Peinh,Edm.Decimal,false,
ZVZI_KPI02_SHARED_SRV,PurchaseOrderItemSet,Netwr,Edm.Decimal,false,
ZVZI_KPI02_SHARED_SRV,PurchaseOrderItemSet,Elikz,Edm.Boolean,false,
ZVZI_KPI02_SHARED_SRV,PurchaseOrderItemSet,Pstyp,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,PurchaseOrderItemSet,Knttp,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,PurchaseOrderItemSet,Plifz,Edm.Decimal,false,
ZVZI_KPI02_SHARED_SRV,PurchaseOrderItemSet,Banfn,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,PurchaseOrderItemSet,Bnfpo,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,VendorSet,Lifnr,Edm.String,false,K
ZVZI_KPI02_SHARED_SRV,VendorSet,Name1,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,VendorSet,Ktokk,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,VendorSet,Loevm,Edm.Boolean,false,
ZVZI_KPI02_SHARED_SRV,MaterialDescriptionSet,Matnr,Edm.String,false,K
ZVZI_KPI02_SHARED_SRV,MaterialDescriptionSet,Spras,Edm.String,false,K
ZVZI_KPI02_SHARED_SRV,MaterialDescriptionSet,Maktx,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,MaterialSet,Matnr,Edm.String,false,K
ZVZI_KPI02_SHARED_SRV,MaterialSet,Lvorm,Edm.Boolean,false,
ZVZI_KPI02_SHARED_SRV,MaterialSet,Mtart,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,MaterialSet,Matkl,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,MaterialSet,Bismt,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,MaterialSet,Meins,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,MaterialSet,Mstae,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,MaterialPlantSet,Matnr,Edm.String,false,K
ZVZI_KPI02_SHARED_SRV,MaterialPlantSet,Werks,Edm.String,false,K
ZVZI_KPI02_SHARED_SRV,MaterialPlantSet,Lvorm,Edm.Boolean,false,
ZVZI_KPI02_SHARED_SRV,MaterialPlantSet,Dismm,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,MaterialPlantSet,Dispo,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,MaterialPlantSet,Plifz,Edm.Decimal,false,
ZVZI_KPI02_SHARED_SRV,MaterialPlantSet,Webaz,Edm.Decimal,false,
ZVZI_KPI02_SHARED_SRV,MaterialPlantSet,Minbe,Edm.Decimal,false,
ZVZI_KPI02_SHARED_SRV,MaterialPlantSet,Eisbe,Edm.Decimal,false,
ZVZI_KPI02_SHARED_SRV,MaterialPlantSet,Bstmi,Edm.Decimal,false,
ZVZI_KPI02_SHARED_SRV,MaterialPlantSet,Bstma,Edm.Decimal,false,
ZVZI_KPI02_SHARED_SRV,MaterialPlantSet,Mabst,Edm.Decimal,false,
ZVZI_KPI02_SHARED_SRV,StorageLocationStockSet,Matnr,Edm.String,false,K
ZVZI_KPI02_SHARED_SRV,StorageLocationStockSet,Werks,Edm.String,false,K
ZVZI_KPI02_SHARED_SRV,StorageLocationStockSet,Lgort,Edm.String,false,K
ZVZI_KPI02_SHARED_SRV,StorageLocationStockSet,Labst,Edm.Decimal,false,
ZVZI_KPI02_SHARED_SRV,StorageLocationStockSet,Insme,Edm.Decimal,false,
ZVZI_KPI02_SHARED_SRV,StorageLocationStockSet,Speme,Edm.Decimal,false,
ZVZI_KPI02_SHARED_SRV,StorageLocationStockSet,Lgpbe,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,MaterialDocumentHeaderSet,Mblnr,Edm.String,false,K
ZVZI_KPI02_SHARED_SRV,MaterialDocumentHeaderSet,Mjahr,Edm.String,false,K
ZVZI_KPI02_SHARED_SRV,MaterialDocumentHeaderSet,Budat,Edm.DateTime,false,
ZVZI_KPI02_SHARED_SRV,MaterialDocumentHeaderSet,Cpudt,Edm.DateTime,false,
ZVZI_KPI02_SHARED_SRV,MaterialDocumentHeaderSet,Xblnr,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,POScheduleLineSet,Ebeln,Edm.String,false,K
ZVZI_KPI02_SHARED_SRV,POScheduleLineSet,Ebelp,Edm.String,false,K
ZVZI_KPI02_SHARED_SRV,POScheduleLineSet,Etenr,Edm.String,false,K
ZVZI_KPI02_SHARED_SRV,POScheduleLineSet,Eindt,Edm.DateTime,false,
ZVZI_KPI02_SHARED_SRV,POScheduleLineSet,Menge,Edm.Decimal,false,
ZVZI_KPI02_SHARED_SRV,POScheduleLineSet,Wemng,Edm.Decimal,false,
ZVZI_KPI02_SHARED_SRV,POHistorySet,Ebeln,Edm.String,false,K
ZVZI_KPI02_SHARED_SRV,POHistorySet,Ebelp,Edm.String,false,K
ZVZI_KPI02_SHARED_SRV,POHistorySet,Zekkn,Edm.String,false,K
ZVZI_KPI02_SHARED_SRV,POHistorySet,Vgabe,Edm.String,false,K
ZVZI_KPI02_SHARED_SRV,POHistorySet,Gjahr,Edm.String,false,K
ZVZI_KPI02_SHARED_SRV,POHistorySet,Belnr,Edm.String,false,K
ZVZI_KPI02_SHARED_SRV,POHistorySet,Buzei,Edm.String,false,K
ZVZI_KPI02_SHARED_SRV,POHistorySet,Bewtp,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,POHistorySet,Bwart,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,POHistorySet,Budat,Edm.DateTime,false,
ZVZI_KPI02_SHARED_SRV,POHistorySet,Menge,Edm.Decimal,false,
ZVZI_KPI02_SHARED_SRV,POHistorySet,Dmbtr,Edm.Decimal,false,
ZVZI_KPI02_SHARED_SRV,POHistorySet,Shkzg,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,POHistorySet,Cpudt,Edm.DateTime,false,
ZVZI_KPI02_SHARED_SRV,POHistorySet,Matnr,Edm.String,false,
ZVZI_KPI02_SHARED_SRV,POHistorySet,Werks,Edm.String,false,
